ID,CheckHP,CheckAtk,CheckDef,CheckWeight,CheckSpeed,CheckIAS,CheckCRT,CheckMLT,CheckMDK,CheckMFE,CheckMWR,CheckMTR,CheckRLT,CheckRDK,CheckRFE,CheckRWR,CheckRTR,CheckBlood,CheckSkillUp,CheckBounsSkill
51,,,,,,,,,,,,,V,V,,,,,,
52,V,,V,,,,,,,,,,V,,,,,,,
53,V,,V,,,,,,,,,,,V,,,,,,
54,V,,,,,,,,,,,,V,V,,,,,,
55,,,V,,,,,,,,,,V,V,,,,,,
56,V,,V,,,,,,,,,,V,V,,,,,,
57,,,V,,,V,,,,,,,,,,,,,,
58,,,,,,V,,,,,,,V,,,,,,,
59,,,,,,V,,,,,,,,V,,,,,,
60,,,V,,,,,,,,,,V,,,,,,,
61,,,V,,,,,,,,,,,V,,,,,,
62,,,,,,,,,,,,,V,V,,,,,,
63,,,V,,,V,,,,,,,V,,,,,,,
64,,,V,,,V,,,,,,,,V,,,,,,
65,,,,,,V,,,,,,,V,V,,,,,,
66,,,V,,,,,,,,,,V,V,,,,,,
67,,,V,,,V,,,,,,,V,V,,,,,,
68,,,V,,V,,,,,,,,,,,,,,,
69,,,,,V,,,,,,,,V,,,,,,,
70,,,,,V,,,,,,,,,V,,,,,,
71,,,V,,,,,,,,,,V,,,,,,,
72,,,V,,,,,,,,,,,V,,,,,,
73,,,,,,,,,,,,,V,V,,,,,,
74,,,V,,V,,,,,,,,V,,,,,,,
75,,,V,,V,,,,,,,,,V,,,,,,
76,,,,,V,,,,,,,,V,V,,,,,,
77,,,V,,,,,,,,,,V,V,,,,,,
78,,,V,,V,,,,,,,,V,V,,,,,,
79,V,V,,,,,,,,,,,,,,,,,,
80,V,,,,,,,,,,,,,,,,,V,,
81,V,,,,,V,,,,,,,,,,,,,,
82,V,,,,,,,V,,,,,,,,,,,,
83,V,,,,,,,,V,,,,,,,,,,,
84,,V,,,,,,,,,,,,,,,,V,,
85,,V,,,,V,,,,,,,,,,,,,,
86,,V,,,,,,V,,,,,,,,,,,,
87,,V,,,,,,,V,,,,,,,,,,,
88,,,,,,V,,,,,,,,,,,,V,,
89,,,,,,,,V,,,,,,,,,,V,,
90,,,,,,,,,V,,,,,,,,,V,,
91,,,,,,V,,V,,,,,,,,,,,,
92,,,,,,V,,,V,,,,,,,,,,,
93,,,,,,,,V,V,,,,,,,,,,,
94,V,V,,,,V,,,,,,,,,,,,,,
95,V,V,,,,,,,,,,,,,,,,V,,
96,V,V,,,,,,V,,,,,,,,,,,,
97,V,V,,,,,,,V,,,,,,,,,,,
98,V,,,,,V,,,,,,,,,,,,V,,
99,V,,,,,V,,V,,,,,,,,,,,,
100,V,,,,,V,,,V,,,,,,,,,,,
101,V,,,,,,,V,,,,,,,,,,V,,
102,V,,,,,,,,V,,,,,,,,,V,,
103,V,,,,,,,V,V,,,,,,,,,,,
104,,V,,,,V,,,,,,,,,,,,V,,
105,,V,,,,V,,V,,,,,,,,,,,,
106,,V,,,,V,,,V,,,,,,,,,,,
107,,V,,,,,,V,,,,,,,,,,V,,
108,,V,,,,,,,V,,,,,,,,,V,,
109,,V,,,,,,V,V,,,,,,,,,,,
110,,,,,,V,,V,,,,,,,,,,V,,
111,,,,,,V,,,V,,,,,,,,,V,,
112,,,,,,V,,V,V,,,,,,,,,,,
113,,,,,,,,V,V,,,,,,,,,V,,
114,V,V,,,,V,,,,,,,,,,,,V,,
115,V,V,,,,V,,V,,,,,,,,,,,,
116,V,V,,,,V,,,V,,,,,,,,,,,
117,V,V,,,,,,V,,,,,,,,,,V,,
118,V,V,,,,,,,V,,,,,,,,,V,,
119,V,V,,,,,,V,V,,,,,,,,,,,
120,V,,,,,V,,V,,,,,,,,,,V,,
121,V,,,,,V,,,V,,,,,,,,,V,,
122,V,,,,,V,,V,V,,,,,,,,,,,
123,V,,,,,,,V,V,,,,,,,,,V,,
124,,V,,,,V,,V,,,,,,,,,,V,,
125,,V,,,,V,,,V,,,,,,,,,V,,
126,,V,,,,V,,V,V,,,,,,,,,,,
127,,V,,,,,,V,V,,,,,,,,,V,,
128,,,,,,V,,V,V,,,,,,,,,V,,
129,V,,,,,,V,,,,,,,,,,,,,
130,V,,,,,,,V,,,,,,,,,,,,
131,V,,,,,,,,V,,,,,,,,,,,
132,V,,,,,,,,,V,,,,,,,,,,
133,V,,,,,,,,,,V,,,,,,,,,
134,V,,,,,,,,,,,V,,,,,,,,
135,,,,,,,V,V,,,,,,,,,,,,
136,,,,,,,V,,V,,,,,,,,,,,
137,,,,,,,V,,,V,,,,,,,,,,
138,,,,,,,V,,,,V,,,,,,,,,
139,,,,,,,V,,,,,V,,,,,,,,
140,,,,,,,,V,V,,,,,,,,,,,
141,,,,,,,,V,,V,,,,,,,,,,
142,,,,,,,,V,,,V,,,,,,,,,
143,,,,,,,,V,,,,V,,,,,,,,
144,,,,,,,,,V,V,,,,,,,,,,
145,,,,,,,,,V,,V,,,,,,,,,
146,,,,,,,,,V,,,V,,,,,,,,
147,,,,,,,,,,V,V,,,,,,,,,
148,,,,,,,,,,V,,V,,,,,,,,
149,,,,,,,,,,,V,V,,,,,,,,
150,V,,,,,,V,V,,,,,,,,,,,,
151,V,,,,,,V,,V,,,,,,,,,,,
152,V,,,,,,V,,,V,,,,,,,,,,
153,V,,,,,,V,,,,V,,,,,,,,,
154,V,,,,,,V,,,,,V,,,,,,,,
155,V,,,,,,,V,V,,,,,,,,,,,
156,V,,,,,,,V,,V,,,,,,,,,,
157,V,,,,,,,V,,,V,,,,,,,,,
158,V,,,,,,,V,,,,V,,,,,,,,
159,V,,,,,,,,V,V,,,,,,,,,,
160,V,,,,,,,,V,,V,,,,,,,,,
161,V,,,,,,,,V,,,V,,,,,,,,
162,V,,,,,,,,,V,V,,,,,,,,,
163,V,,,,,,,,,V,,V,,,,,,,,
164,V,,,,,,,,,,V,V,,,,,,,,
165,,,,,,,V,V,V,,,,,,,,,,,
166,,,,,,,V,V,,V,,,,,,,,,,
167,,,,,,,V,V,,,V,,,,,,,,,
168,,,,,,,V,V,,,,V,,,,,,,,
169,,,,,,,V,,V,V,,,,,,,,,,
170,,,,,,,V,,V,,V,,,,,,,,,
171,,,,,,,V,,V,,,V,,,,,,,,
172,,,,,,,V,,,V,V,,,,,,,,,
173,,,,,,,V,,,V,,V,,,,,,,,
174,,,,,,,V,,,,V,V,,,,,,,,
175,,,,,,,,V,V,V,,,,,,,,,,
176,,,,,,,,V,V,,V,,,,,,,,,
177,,,,,,,,V,V,,,V,,,,,,,,
178,,,,,,,,V,,V,V,,,,,,,,,
179,,,,,,,,V,,V,,V,,,,,,,,
180,,,,,,,,V,,,V,V,,,,,,,,
181,,,,,,,,,V,V,V,,,,,,,,,
182,,,,,,,,,V,V,,V,,,,,,,,
183,,,,,,,,,V,,V,V,,,,,,,,
184,,,,,,,,,,V,V,V,,,,,,,,
185,V,,,,,,V,V,V,,,,,,,,,,,
186,V,,,,,,V,V,,V,,,,,,,,,,
187,V,,,,,,V,V,,,V,,,,,,,,,
188,V,,,,,,V,V,,,,V,,,,,,,,
189,V,,,,,,V,,V,V,,,,,,,,,,
190,V,,,,,,V,,V,,V,,,,,,,,,
191,V,,,,,,V,,V,,,V,,,,,,,,
192,V,,,,,,V,,,V,V,,,,,,,,,
193,V,,,,,,V,,,V,,V,,,,,,,,
194,V,,,,,,V,,,,V,V,,,,,,,,
195,V,,,,,,,V,V,V,,,,,,,,,,
196,V,,,,,,,V,V,,V,,,,,,,,,
197,V,,,,,,,V,V,,,V,,,,,,,,
198,V,,,,,,,V,,V,V,,,,,,,,,
199,V,,,,,,,V,,V,,V,,,,,,,,
200,V,,,,,,,V,,,V,V,,,,,,,,
201,V,,,,,,,,V,V,V,,,,,,,,,
202,V,,,,,,,,V,V,,V,,,,,,,,
203,V,,,,,,,,V,,V,V,,,,,,,,
204,V,,,,,,,,,V,V,V,,,,,,,,
205,,,,,,,V,V,V,V,,,,,,,,,,
206,,,,,,,V,V,V,,V,,,,,,,,,
207,,,,,,,V,V,V,,,V,,,,,,,,
208,,,,,,,V,V,,V,V,,,,,,,,,
209,,,,,,,V,V,,V,,V,,,,,,,,
210,,,,,,,V,V,,,V,V,,,,,,,,
211,,,,,,,V,,V,V,V,,,,,,,,,
212,,,,,,,V,,V,V,,V,,,,,,,,
213,,,,,,,V,,V,,V,V,,,,,,,,
214,,,,,,,V,,,V,V,V,,,,,,,,
215,,,,,,,,V,V,V,V,,,,,,,,,
216,,,,,,,,V,V,V,,V,,,,,,,,
217,,,,,,,,V,V,,V,V,,,,,,,,
218,,,,,,,,V,,V,V,V,,,,,,,,
219,,,,,,,,,V,V,V,V,,,,,,,,
220,V,,,,,,V,,,,,,,,,,,,,
221,V,,,,,,,,,,,,V,,,,,,,
222,V,,,,,,,,,,,,,V,,,,,,
223,V,,,,,,,,,,,,,,V,,,,,
224,V,,,,,,,,,,,,,,,V,,,,
225,V,,,,,,,,,,,,,,,,V,,,
226,,,,,,,V,,,,,,V,,,,,,,
227,,,,,,,V,,,,,,,V,,,,,,
228,,,,,,,V,,,,,,,,V,,,,,
229,,,,,,,V,,,,,,,,,V,,,,
230,,,,,,,V,,,,,,,,,,V,,,
231,,,,,,,,,,,,,V,V,,,,,,
232,,,,,,,,,,,,,V,,V,,,,,
233,,,,,,,,,,,,,V,,,V,,,,
234,,,,,,,,,,,,,V,,,,V,,,
235,,,,,,,,,,,,,,V,V,,,,,
236,,,,,,,,,,,,,,V,,V,,,,
237,,,,,,,,,,,,,,V,,,V,,,
238,,,,,,,,,,,,,,,V,V,,,,
239,,,,,,,,,,,,,,,V,,V,,,
240,,,,,,,,,,,,,,,,V,V,,,
241,V,,,,,,V,,,,,,V,,,,,,,
242,V,,,,,,V,,,,,,,V,,,,,,
243,V,,,,,,V,,,,,,,,V,,,,,
244,V,,,,,,V,,,,,,,,,V,,,,
245,V,,,,,,V,,,,,,,,,,V,,,
246,V,,,,,,,,,,,,V,V,,,,,,
247,V,,,,,,,,,,,,V,,V,,,,,
248,V,,,,,,,,,,,,V,,,V,,,,
249,V,,,,,,,,,,,,V,,,,V,,,
250,V,,,,,,,,,,,,,V,V,,,,,
251,V,,,,,,,,,,,,,V,,V,,,,
252,V,,,,,,,,,,,,,V,,,V,,,
253,V,,,,,,,,,,,,,,V,V,,,,
254,V,,,,,,,,,,,,,,V,,V,,,
255,V,,,,,,,,,,,,,,,V,V,,,
256,,,,,,,V,,,,,,V,V,,,,,,
257,,,,,,,V,,,,,,V,,V,,,,,
258,,,,,,,V,,,,,,V,,,V,,,,
259,,,,,,,V,,,,,,V,,,,V,,,
260,,,,,,,V,,,,,,,V,V,,,,,
261,,,,,,,V,,,,,,,V,,V,,,,
262,,,,,,,V,,,,,,,V,,,V,,,
263,,,,,,,V,,,,,,,,V,V,,,,
264,,,,,,,V,,,,,,,,V,,V,,,
265,,,,,,,V,,,,,,,,,V,V,,,
266,,,,,,,,,,,,,V,V,V,,,,,
267,,,,,,,,,,,,,V,V,,V,,,,
268,,,,,,,,,,,,,V,V,,,V,,,
269,,,,,,,,,,,,,V,,V,V,,,,
270,,,,,,,,,,,,,V,,V,,V,,,
271,,,,,,,,,,,,,V,,,V,V,,,
272,,,,,,,,,,,,,,V,V,V,,,,
273,,,,,,,,,,,,,,V,V,,V,,,
274,,,,,,,,,,,,,,V,,V,V,,,
275,,,,,,,,,,,,,,,V,V,V,,,
276,V,,,,,,V,,,,,,V,V,,,,,,
277,V,,,,,,V,,,,,,V,,V,,,,,
278,V,,,,,,V,,,,,,V,,,V,,,,
279,V,,,,,,V,,,,,,V,,,,V,,,
280,V,,,,,,V,,,,,,,V,V,,,,,
281,V,,,,,,V,,,,,,,V,,V,,,,
282,V,,,,,,V,,,,,,,V,,,V,,,
283,V,,,,,,V,,,,,,,,V,V,,,,
284,V,,,,,,V,,,,,,,,V,,V,,,
285,V,,,,,,V,,,,,,,,,V,V,,,
286,V,,,,,,,,,,,,V,V,V,,,,,
287,V,,,,,,,,,,,,V,V,,V,,,,
288,V,,,,,,,,,,,,V,V,,,V,,,
289,V,,,,,,,,,,,,V,,V,V,,,,
290,V,,,,,,,,,,,,V,,V,,V,,,
291,V,,,,,,,,,,,,V,,,V,V,,,
292,V,,,,,,,,,,,,,V,V,V,,,,
293,V,,,,,,,,,,,,,V,V,,V,,,
294,V,,,,,,,,,,,,,V,,V,V,,,
295,V,,,,,,,,,,,,,,V,V,V,,,
296,,,,,,,V,,,,,,V,V,V,,,,,
297,,,,,,,V,,,,,,V,V,,V,,,,
298,,,,,,,V,,,,,,V,V,,,V,,,
299,,,,,,,V,,,,,,V,,V,V,,,,
300,,,,,,,V,,,,,,V,,V,,V,,,
301,,,,,,,V,,,,,,V,,,V,V,,,
302,,,,,,,V,,,,,,,V,V,V,,,,
303,,,,,,,V,,,,,,,V,V,,V,,,
304,,,,,,,V,,,,,,,V,,V,V,,,
305,,,,,,,V,,,,,,,,V,V,V,,,
306,,,,,,,,,,,,,V,V,V,V,,,,
307,,,,,,,,,,,,,V,V,V,,V,,,
308,,,,,,,,,,,,,V,V,,V,V,,,
309,,,,,,,,,,,,,V,,V,V,V,,,
310,,,,,,,,,,,,,,V,V,V,V,,,
311,V,,V,V,,,,,,,,,,,,,,,,
312,V,,V,,,,,,,,,,V,,,,,,,
313,V,,V,,,,,,,,,,,V,,,,,,
314,V,,V,,,,,,,,,,,,V,,,,,
315,V,,V,,,,,,,,,,,,,V,,,,
316,V,,V,,,,,,,,,,,,,,V,,,
317,V,,,,,,,,,,,,V,V,,,,,,
318,V,,,,,,,,,,,,V,,V,,,,,
319,V,,,,,,,,,,,,V,,,V,,,,
320,V,,,,,,,,,,,,V,,,,V,,,
321,V,,,,,,,,,,,,,V,V,,,,,
322,V,,,,,,,,,,,,,V,,V,,,,
323,V,,,,,,,,,,,,,V,,,V,,,
324,V,,,,,,,,,,,,,,V,V,,,,
325,V,,,,,,,,,,,,,,V,,V,,,
326,V,,,,,,,,,,,,,,,V,V,,,
327,,,V,,,,,,,,,,V,V,,,,,,
328,,,V,,,,,,,,,,V,,V,,,,,
329,,,V,,,,,,,,,,V,,,V,,,,
330,,,V,,,,,,,,,,V,,,,V,,,
331,,,V,,,,,,,,,,,V,V,,,,,
332,,,V,,,,,,,,,,,V,,V,,,,
333,,,V,,,,,,,,,,,V,,,V,,,
334,,,V,,,,,,,,,,,,V,V,,,,
335,,,V,,,,,,,,,,,,V,,V,,,
336,,,V,,,,,,,,,,,,,V,V,,,
337,,,,,,,,,,,,,V,V,V,,,,,
338,,,,,,,,,,,,,V,V,,V,,,,
339,,,,,,,,,,,,,V,V,,,V,,,
340,,,,,,,,,,,,,V,,V,V,,,,
341,,,,,,,,,,,,,V,,V,,V,,,
342,,,,,,,,,,,,,V,,,V,V,,,
343,,,,,,,,,,,,,,V,V,V,,,,
344,,,,,,,,,,,,,,V,V,,V,,,
345,,,,,,,,,,,,,,V,,V,V,,,
346,,,,,,,,,,,,,,,V,V,V,,,
347,V,,V,V,,,,,,,,,V,,,,,,,
348,V,,V,V,,,,,,,,,,V,,,,,,
349,V,,V,V,,,,,,,,,,,V,,,,,
350,V,,V,V,,,,,,,,,,,,V,,,,
351,V,,V,V,,,,,,,,,,,,,V,,,
352,V,,V,,,,,,,,,,V,V,,,,,,
353,V,,V,,,,,,,,,,V,,V,,,,,
354,V,,V,,,,,,,,,,V,,,V,,,,
355,V,,V,,,,,,,,,,V,,,,V,,,
356,V,,V,,,,,,,,,,,V,V,,,,,
357,V,,V,,,,,,,,,,,V,,V,,,,
358,V,,V,,,,,,,,,,,V,,,V,,,
359,V,,V,,,,,,,,,,,,V,V,,,,
360,V,,V,,,,,,,,,,,,V,,V,,,
361,V,,V,,,,,,,,,,,,,V,V,,,
362,V,,,V,,,,,,,,,V,V,,,,,,
363,V,,,V,,,,,,,,,V,,V,,,,,
364,V,,,V,,,,,,,,,V,,,V,,,,
365,V,,,V,,,,,,,,,V,,,,V,,,
366,V,,,V,,,,,,,,,,V,V,,,,,
367,V,,,V,,,,,,,,,,V,,V,,,,
368,V,,,V,,,,,,,,,,V,,,V,,,
369,V,,,V,,,,,,,,,,,V,V,,,,
370,V,,,V,,,,,,,,,,,V,,V,,,
371,V,,,V,,,,,,,,,,,,V,V,,,
372,V,,,,,,,,,,,,V,V,V,,,,,
373,V,,,,,,,,,,,,V,V,,V,,,,
374,V,,,,,,,,,,,,V,V,,,V,,,
375,V,,,,,,,,,,,,V,,V,V,,,,
376,V,,,,,,,,,,,,V,,V,,V,,,
377,V,,,,,,,,,,,,V,,,V,V,,,
378,V,,,,,,,,,,,,,V,V,V,,,,
379,V,,,,,,,,,,,,,V,V,,V,,,
380,V,,,,,,,,,,,,,V,,V,V,,,
381,V,,,,,,,,,,,,,,V,V,V,,,
382,,,V,V,,,,,,,,,V,V,,,,,,
383,,,V,V,,,,,,,,,V,,V,,,,,
384,,,V,V,,,,,,,,,V,,,V,,,,
385,,,V,V,,,,,,,,,V,,,,V,,,
386,,,V,V,,,,,,,,,,V,V,,,,,
387,,,V,V,,,,,,,,,,V,,V,,,,
388,,,V,V,,,,,,,,,,V,,,V,,,
389,,,V,V,,,,,,,,,,,V,V,,,,
390,,,V,V,,,,,,,,,,,V,,V,,,
391,,,V,V,,,,,,,,,,,,V,V,,,
392,,,V,,,,,,,,,,V,V,V,,,,,
393,,,V,,,,,,,,,,V,V,,V,,,,
394,,,V,,,,,,,,,,V,V,,,V,,,
395,,,V,,,,,,,,,,V,,V,V,,,,
396,,,V,,,,,,,,,,V,,V,,V,,,
397,,,V,,,,,,,,,,V,,,V,V,,,
398,,,V,,,,,,,,,,,V,V,V,,,,
399,,,V,,,,,,,,,,,V,V,,V,,,
400,,,V,,,,,,,,,,,V,,V,V,,,
401,,,V,,,,,,,,,,,,V,V,V,,,
402,,,,V,,,,,,,,,V,V,V,,,,,
403,,,,V,,,,,,,,,V,V,,V,,,,
404,,,,V,,,,,,,,,V,V,,,V,,,
405,,,,V,,,,,,,,,V,,V,V,,,,
406,,,,V,,,,,,,,,V,,V,,V,,,
407,,,,V,,,,,,,,,V,,,V,V,,,
408,,,,V,,,,,,,,,,V,V,V,,,,
409,,,,V,,,,,,,,,,V,V,,V,,,
410,,,,V,,,,,,,,,,V,,V,V,,,
411,,,,V,,,,,,,,,,,V,V,V,,,
412,,,,,,,,,,,,,V,V,V,V,,,,
413,,,,,,,,,,,,,V,V,V,,V,,,
414,,,,,,,,,,,,,V,V,,V,V,,,
415,,,,,,,,,,,,,V,,V,V,V,,,
416,,,,,,,,,,,,,,V,V,V,V,,,
417,V,,V,V,,,,,,,,,V,V,,,,,,
418,V,,V,V,,,,,,,,,V,,V,,,,,
419,V,,V,V,,,,,,,,,V,,,V,,,,
420,V,,V,V,,,,,,,,,V,,,,V,,,
421,V,,V,V,,,,,,,,,,V,V,,,,,
422,V,,V,V,,,,,,,,,,V,,V,,,,
423,V,,V,V,,,,,,,,,,V,,,V,,,
424,V,,V,V,,,,,,,,,,,V,V,,,,
425,V,,V,V,,,,,,,,,,,V,,V,,,
426,V,,V,V,,,,,,,,,,,,V,V,,,
427,V,,V,,,,,,,,,,V,V,V,,,,,
428,V,,V,,,,,,,,,,V,V,,V,,,,
429,V,,V,,,,,,,,,,V,V,,,V,,,
430,V,,V,,,,,,,,,,V,,V,V,,,,
431,V,,V,,,,,,,,,,V,,V,,V,,,
432,V,,V,,,,,,,,,,V,,,V,V,,,
433,V,,V,,,,,,,,,,,V,V,V,,,,
434,V,,V,,,,,,,,,,,V,V,,V,,,
435,V,,V,,,,,,,,,,,V,,V,V,,,
436,V,,V,,,,,,,,,,,,V,V,V,,,
437,V,,,V,,,,,,,,,V,V,V,,,,,
438,V,,,V,,,,,,,,,V,V,,V,,,,
439,V,,,V,,,,,,,,,V,V,,,V,,,
440,V,,,V,,,,,,,,,V,,V,V,,,,
441,V,,,V,,,,,,,,,V,,V,,V,,,
442,V,,,V,,,,,,,,,V,,,V,V,,,
443,V,,,V,,,,,,,,,,V,V,V,,,,
444,V,,,V,,,,,,,,,,V,V,,V,,,
445,V,,,V,,,,,,,,,,V,,V,V,,,
446,V,,,V,,,,,,,,,,,V,V,V,,,
447,V,,,,,,,,,,,,V,V,V,V,,,,
448,V,,,,,,,,,,,,V,V,V,,V,,,
449,V,,,,,,,,,,,,V,V,,V,V,,,
450,V,,,,,,,,,,,,V,,V,V,V,,,
451,V,,,,,,,,,,,,,V,V,V,V,,,
452,,,V,V,,,,,,,,,V,V,V,,,,,
453,,,V,V,,,,,,,,,V,V,,V,,,,
454,,,V,V,,,,,,,,,V,V,,,V,,,
455,,,V,V,,,,,,,,,V,,V,V,,,,
456,,,V,V,,,,,,,,,V,,V,,V,,,
457,,,V,V,,,,,,,,,V,,,V,V,,,
458,,,V,V,,,,,,,,,,V,V,V,,,,
459,,,V,V,,,,,,,,,,V,V,,V,,,
460,,,V,V,,,,,,,,,,V,,V,V,,,
461,,,V,V,,,,,,,,,,,V,V,V,,,
462,,,V,,,,,,,,,,V,V,V,V,,,,
463,,,V,,,,,,,,,,V,V,V,,V,,,
464,,,V,,,,,,,,,,V,V,,V,V,,,
465,,,V,,,,,,,,,,V,,V,V,V,,,
466,,,V,,,,,,,,,,,V,V,V,V,,,
467,,,,V,,,,,,,,,V,V,V,V,,,,
468,,,,V,,,,,,,,,V,V,V,,V,,,
469,,,,V,,,,,,,,,V,V,,V,V,,,
470,,,,V,,,,,,,,,V,,V,V,V,,,
471,,,,V,,,,,,,,,,V,V,V,V,,,
472,,,,,,,,,,,,,V,V,V,V,V,,,
473,V,,V,V,,,,,,,,,V,V,V,,,,,
474,V,,V,V,,,,,,,,,V,V,,V,,,,
475,V,,V,V,,,,,,,,,V,V,,,V,,,
476,V,,V,V,,,,,,,,,V,,V,V,,,,
477,V,,V,V,,,,,,,,,V,,V,,V,,,
478,V,,V,V,,,,,,,,,V,,,V,V,,,
479,V,,V,V,,,,,,,,,,V,V,V,,,,
480,V,,V,V,,,,,,,,,,V,V,,V,,,
481,V,,V,V,,,,,,,,,,V,,V,V,,,
482,V,,V,V,,,,,,,,,,,V,V,V,,,
483,V,,V,,,,,,,,,,V,V,V,V,,,,
484,V,,V,,,,,,,,,,V,V,V,,V,,,
485,V,,V,,,,,,,,,,V,V,,V,V,,,
486,V,,V,,,,,,,,,,V,,V,V,V,,,
487,V,,V,,,,,,,,,,,V,V,V,V,,,
488,V,,V,,,,,,,,,,,V,V,V,V,,,
489,V,,,V,,,,,,,,,V,V,V,V,,,,
490,V,,,V,,,,,,,,,V,V,V,,V,,,
491,V,,,V,,,,,,,,,V,V,,V,V,,,
492,V,,,V,,,,,,,,,V,,V,V,V,,,
493,V,,,V,,,,,,,,,,V,V,V,V,,,
494,V,,,V,,,,,,,,,,V,V,V,V,,,
495,V,,,,,,,,,,,,V,V,V,V,V,,,
496,V,,,,,,,,,,,,V,V,V,V,V,,,
497,,,V,V,,,,,,,,,V,V,V,V,,,,
498,,,V,V,,,,,,,,,V,V,V,,V,,,
499,,,V,V,,,,,,,,,V,V,,V,V,,,
500,,,V,V,,,,,,,,,V,,V,V,V,,,
501,,,V,V,,,,,,,,,,V,V,V,V,,,
502,,,V,V,,,,,,,,,,V,V,V,V,,,
503,,,V,,,,,,,,,,V,V,V,V,V,,,
504,,,V,,,,,,,,,,V,V,V,V,V,,,
505,,,,V,,,,,,,,,V,V,V,V,V,,,
506,,,,V,,,,,,,,,V,V,V,V,V,,,
507,,,V,V,,V,,,,,,,,,,,,,,
508,,,V,,,V,,,,,,,V,,,,,,,
509,,,V,,,V,,,,,,,,V,,,,,,
510,,,V,,,V,,,,,,,,,V,,,,,
511,,,V,,,V,,,,,,,,,,V,,,,
512,,,V,,,V,,,,,,,,,,,V,,,
513,,,,,,V,,,,,,,V,V,,,,,,
514,,,,,,V,,,,,,,V,,V,,,,,
515,,,,,,V,,,,,,,V,,,V,,,,
516,,,,,,V,,,,,,,V,,,,V,,,
517,,,,,,V,,,,,,,,V,V,,,,,
518,,,,,,V,,,,,,,,V,,V,,,,
519,,,,,,V,,,,,,,,V,,,V,,,
520,,,,,,V,,,,,,,,,V,V,,,,
521,,,,,,V,,,,,,,,,V,,V,,,
522,,,,,,V,,,,,,,,,,V,V,,,
523,,,V,,,,,,,,,,V,V,,,,,,
524,,,V,,,,,,,,,,V,,V,,,,,
525,,,V,,,,,,,,,,V,,,V,,,,
526,,,V,,,,,,,,,,V,,,,V,,,
527,,,V,,,,,,,,,,,V,V,,,,,
528,,,V,,,,,,,,,,,V,,V,,,,
529,,,V,,,,,,,,,,,V,,,V,,,
530,,,V,,,,,,,,,,,,V,V,,,,
531,,,V,,,,,,,,,,,,V,,V,,,
532,,,V,,,,,,,,,,,,,V,V,,,
533,,,,,,,,,,,,,V,V,V,,,,,
534,,,,,,,,,,,,,V,V,,V,,,,
535,,,,,,,,,,,,,V,V,,,V,,,
536,,,,,,,,,,,,,V,,V,V,,,,
537,,,,,,,,,,,,,V,,V,,V,,,
538,,,,,,,,,,,,,V,,,V,V,,,
