ID,RoleID,HasHighLight,Title,Name,Icon,IconSmall,IconSmall_SFW,PuzzleIcon,PuzzleIcon_SFW,PuzzleID,DialogShowID,DialogShowID_SFW,VersionControl
10,2001,,T_Story_Title_1,T_Story_Name_10,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P02_Normal_1,,Icon_CgChip_P02_Normal_1_1,,19,P002_3,P002_3,
11,2001,,T_Story_Title_1,T_Story_Name_11,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P02_Normal_1,,Icon_CgChip_P02_Normal_1_1,,20,P002_4,P002_4,
12,2001,TRUE,T_Story_Title_3,T_Story_Name_12,Icon/Images03_HCG/Images/P002_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P02_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P02_Normal_1,Icon_CgChip_P02_CG2_1_1,Icon_CgChip_P02_Normal_1_1,21-22-23-24,P002_h2,P002_N_2,58
73,2001,TRUE,T_Story_Title_3,T_Story_Name_73,Icon/Images03_HCG/Images/P002_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P02_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P02_Normal_1,Icon_CgChip_P02_CG3_1_1,Icon_CgChip_P02_Normal_1_1,157-158-159-160,P02_h3,P002_N_3,606-58
13,3001,,T_Story_Title_1,T_Story_Name_13,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P03_Normal_1,,Icon_CgChip_P03_Normal_1_1,,25,P003_1,P003_1,
14,3001,,T_Story_Title_1,T_Story_Name_14,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P03_Normal_1,,Icon_CgChip_P03_Normal_1_1,,26,P003_2,P003_2,
15,3001,TRUE,T_Story_Title_3,T_Story_Name_15,Icon/Images03_HCG/Images/P003_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P03_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P03_Normal_1,Icon_CgChip_P03_CG1_1_1,Icon_CgChip_P03_Normal_1_1,27-28-29-30,P003_h1,P003_N_1,58
16,3001,,T_Story_Title_1,T_Story_Name_16,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P03_Normal_1,,Icon_CgChip_P03_Normal_1_1,,31,P003_3,P003_3,
17,3001,,T_Story_Title_1,T_Story_Name_17,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P03_Normal_1,,Icon_CgChip_P03_Normal_1_1,,32,P003_4,P003_4,
18,3001,TRUE,T_Story_Title_3,T_Story_Name_18,Icon/Images03_HCG/Images/P003_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P03_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P03_Normal_1,Icon_CgChip_P03_CG2_1_1,Icon_CgChip_P03_Normal_1_1,33-34-35-36,P003_h2,P003_N_2,58
67,3001,TRUE,T_Story_Title_3,T_Story_Name_67,Icon/Images03_HCG/Images/P003_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P03_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P03_Normal_1,Icon_CgChip_P03_CG3_1_1,Icon_CgChip_P03_Normal_1_1,133-134-135-136,P03_h3,P003_N_3,601-58
19,4001,,T_Story_Title_1,T_Story_Name_19,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P04_Normal_1,,Icon_CgChip_P04_Normal_1_1,,37,P004_1,P004_1,
20,4001,,T_Story_Title_1,T_Story_Name_20,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P04_Normal_1,,Icon_CgChip_P04_Normal_1_1,,38,P004_2,P004_2,
21,4001,TRUE,T_Story_Title_3,T_Story_Name_21,Icon/Images03_HCG/Images/P004_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P04_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P04_Normal_1,Icon_CgChip_P04_CG1_1_1,Icon_CgChip_P04_Normal_1_1,39-40-41-42,P004_h1,P004_N_1,58
22,4001,,T_Story_Title_1,T_Story_Name_22,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P04_Normal_1,,Icon_CgChip_P04_Normal_1_1,,43,P004_3,P004_3,
23,4001,,T_Story_Title_1,T_Story_Name_23,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P04_Normal_1,,Icon_CgChip_P04_Normal_1_1,,44,P004_4,P004_4,
24,4001,TRUE,T_Story_Title_3,T_Story_Name_24,Icon/Images03_HCG/Images/P004_CG2_03,Icon/Item/CGSmall/Icon_CGSmall_P04_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P04_Normal_1,Icon_CgChip_P04_CG2_1_1,Icon_CgChip_P04_Normal_1_1,45-46-47-48,P004_h2,P004_N_2,58
74,4001,TRUE,T_Story_Title_3,T_Story_Name_74,Icon/Images03_HCG/Images/P004_CG3_03,Icon/Item/CGSmall/Icon_CGSmall_P04_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P04_Normal_1,Icon_CgChip_P04_CG3_1_1,Icon_CgChip_P04_Normal_1_1,161-162-163-164,P04_h3,P004_N_3,607-58
25,5001,,T_Story_Title_1,T_Story_Name_25,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P05_Normal,,Icon_CgChip_P05_Normal_1_1,,49,P005_1,P005_1,
26,5001,,T_Story_Title_1,T_Story_Name_26,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P05_Normal,,Icon_CgChip_P05_Normal_1_1,,50,P005_2,P005_2,
27,5001,TRUE,T_Story_Title_3,T_Story_Name_27,Icon/Images03_HCG/Images/P005_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P05_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P05_Normal,Icon_CgChip_P05_CG1_1_1,Icon_CgChip_P05_Normal_1_1,51-52-53-54,P005_h1,P005_N_1,58
28,5001,,T_Story_Title_1,T_Story_Name_28,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P05_Normal,,Icon_CgChip_P05_Normal_1_1,,55,P005_3,P005_3,
29,5001,,T_Story_Title_1,T_Story_Name_29,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P05_Normal,,Icon_CgChip_P05_Normal_1_1,,56,P005_4,P005_4,
30,5001,TRUE,T_Story_Title_3,T_Story_Name_30,Icon/Images03_HCG/Images/P005_CG2_03,Icon/Item/CGSmall/Icon_CGSmall_P05_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P05_Normal,Icon_CgChip_P05_CG2_1_1,Icon_CgChip_P05_Normal_1_1,57-58-59-60,P005_h2,P005_N_2,58
69,5001,TRUE,T_Story_Title_3,T_Story_Name_69,Icon/Images03_HCG/Images/P005_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P05_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P05_Normal,Icon_CgChip_P05_CG3_1_1,Icon_CgChip_P05_Normal_1_1,141-142-143-144,P05_h3,P005_N_3,602-58
31,6001,,T_Story_Title_1,T_Story_Name_31,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P06_Normal_1,,Icon_CgChip_P06_Normal_1_1,,61,P006_1,P006_1,
32,6001,,T_Story_Title_1,T_Story_Name_32,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P06_Normal_1,,Icon_CgChip_P06_Normal_1_1,,62,P006_2,P006_2,
33,6001,TRUE,T_Story_Title_3,T_Story_Name_33,Icon/Images03_HCG/Images/P006_CG1_02,Icon/Item/CGSmall/Icon_CGSmall_P06_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P06_Normal_1,Icon_CgChip_P06_CG1_1_1,Icon_CgChip_P06_Normal_1_1,63-64-65-66,P006_h1,P006_N_1,58
34,6001,,T_Story_Title_1,T_Story_Name_34,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P06_Normal_1,,Icon_CgChip_P06_Normal_1_1,,67,P006_3,P006_3,
35,6001,,T_Story_Title_1,T_Story_Name_35,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P06_Normal_1,,Icon_CgChip_P06_Normal_1_1,,68,P006_4,P006_4,
36,6001,TRUE,T_Story_Title_3,T_Story_Name_36,Icon/Images03_HCG/Images/P006_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P06_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P06_Normal_1,Icon_CgChip_P06_CG2_1_1,Icon_CgChip_P06_Normal_1_1,69-70-71-72,P006_h2,P006_N_2,58
70,6001,TRUE,T_Story_Title_3,T_Story_Name_70,Icon/Images03_HCG/Images/P006_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P06_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P06_Normal_1,Icon_CgChip_P06_CG3_1_1,Icon_CgChip_P06_Normal_1_1,145-146-147-148,P06_h3,P006_N_3,603-58
37,7001,,T_Story_Title_1,T_Story_Name_37,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P07_Normal_1,,Icon_CgChip_P07_Normal_1_1,,73,P007_1,P007_1,
38,7001,,T_Story_Title_1,T_Story_Name_38,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P07_Normal_1,,Icon_CgChip_P07_Normal_1_1,,74,P007_2,P007_2,
39,7001,TRUE,T_Story_Title_3,T_Story_Name_39,Icon/Images03_HCG/Images/P007_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P07_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P07_Normal_1,Icon_CgChip_P07_CG1_1_1,Icon_CgChip_P07_Normal_1_1,75-76-77-78,P007_h1,P007_N_1,58
40,7001,,T_Story_Title_1,T_Story_Name_40,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P07_Normal_1,,Icon_CgChip_P07_Normal_1_1,,79,P007_3,P007_3,
41,7001,,T_Story_Title_1,T_Story_Name_41,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P07_Normal_1,,Icon_CgChip_P07_Normal_1_1,,80,P007_4,P007_4,
42,7001,TRUE,T_Story_Title_3,T_Story_Name_42,Icon/Images03_HCG/Images/P007_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P07_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P07_Normal_1,Icon_CgChip_P07_CG2_1_1,Icon_CgChip_P07_Normal_1_1,81-82-83-84,P007_h2,P007_N_2,58
71,7001,TRUE,T_Story_Title_3,T_Story_Name_71,Icon/Images03_HCG/Images/P007_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P07_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P07_Normal_1,Icon_CgChip_P07_CG3_1_1,Icon_CgChip_P07_Normal_1_1,149-150-151-152,P07_h3,P007_N_3,604-58
43,8001,,T_Story_Title_1,T_Story_Name_43,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P08_Normal_1,,Icon_CgChip_P08_Normal_1_1,,85,P008_1,P008_1,
44,8001,,T_Story_Title_1,T_Story_Name_44,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P08_Normal_1,,Icon_CgChip_P08_Normal_1_1,,86,P008_2,P008_2,
45,8001,TRUE,T_Story_Title_3,T_Story_Name_45,Icon/Images03_HCG/Images/P008_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P08_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P08_Normal_1,Icon_CgChip_P08_CG1_1_1,Icon_CgChip_P08_Normal_1_1,87-88-89-90,P008_h1,P008_N_1,58
46,8001,,T_Story_Title_1,T_Story_Name_46,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P08_Normal_1,,Icon_CgChip_P08_Normal_1_1,,91,P008_3,P008_3,
47,8001,,T_Story_Title_1,T_Story_Name_47,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P08_Normal_1,,Icon_CgChip_P08_Normal_1_1,,92,P008_4,P008_4,
48,8001,TRUE,T_Story_Title_3,T_Story_Name_48,Icon/Images03_HCG/Images/P008_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P08_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P08_Normal_1,Icon_CgChip_P08_CG2_1_1,Icon_CgChip_P08_Normal_1_1,93-94-95-96,P008_h2,P008_N_2,58
72,8001,TRUE,T_Story_Title_3,T_Story_Name_72,Icon/Images03_HCG/Images/P008_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P08_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P08_Normal_1,Icon_CgChip_P08_CG3_1_1,Icon_CgChip_P08_Normal_1_1,153-154-155-156,P08_h3,P008_N_3,605-58
49,9001,,T_Story_Title_1,T_Story_Name_49,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P09_Normal_1,,Icon_CgChip_P09_Normal_1_1,,97,P009_1,P009_1,
50,9001,,T_Story_Title_1,T_Story_Name_50,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P09_Normal_1,,Icon_CgChip_P09_Normal_1_1,,98,P009_2,P009_2,
51,9001,TRUE,T_Story_Title_3,T_Story_Name_51,Icon/Images03_HCG/Images/P009_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P09_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P09_Normal_1,Icon_CgChip_P09_CG1_1_1,Icon_CgChip_P09_Normal_1_1,99-100-101-102,P009_h1,P009_N_1,58
52,9001,,T_Story_Title_1,T_Story_Name_52,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P09_Normal_1,,Icon_CgChip_P09_Normal_1_1,,103,P009_3,P009_3,
53,9001,,T_Story_Title_1,T_Story_Name_53,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P09_Normal_1,,Icon_CgChip_P09_Normal_1_1,,104,P009_4,P009_4,
54,9001,TRUE,T_Story_Title_3,T_Story_Name_54,Icon/Images03_HCG/Images/P009_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P09_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P09_Normal_1,Icon_CgChip_P09_CG2_1_1,Icon_CgChip_P09_Normal_1_1,105-106-107-108,P009_h2,P009_N_2,58
75,9001,TRUE,T_Story_Title_3,T_Story_Name_75,Icon/Images03_HCG/Images/P009_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P09_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P09_Normal_1,Icon_CgChip_P09_CG3_1_1,Icon_CgChip_P09_Normal_1_1,165-166-167-168,P09_h3,P009_N_3,608-58
55,10001,,T_Story_Title_1,T_Story_Name_55,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P10_Normal_1,,Icon_CgChip_P10_Normal_1_1,,109,P010_1,P010_1,
56,10001,,T_Story_Title_1,T_Story_Name_56,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P10_Normal_1,,Icon_CgChip_P10_Normal_1_1,,110,P010_2,P010_2,
57,10001,TRUE,T_Story_Title_3,T_Story_Name_57,Icon/Images03_HCG/Images/P010_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P10_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P10_Normal_1,Icon_CgChip_P10_CG1_1_1,Icon_CgChip_P10_Normal_1_1,111-112-113-114,P010_h1,P010_N_1,58
58,10001,,T_Story_Title_1,T_Story_Name_58,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P10_Normal_1,,Icon_CgChip_P10_Normal_1_1,,115,P010_3,P010_3,
59,10001,,T_Story_Title_1,T_Story_Name_59,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P10_Normal_1,,Icon_CgChip_P10_Normal_1_1,,116,P010_4,P010_4,
60,10001,TRUE,T_Story_Title_3,T_Story_Name_60,Icon/Images03_HCG/Images/P010_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P10_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P10_Normal_1,Icon_CgChip_P10_CG2_1_1,Icon_CgChip_P10_Normal_1_1,117-118-119-120,P010_h2,P010_N_2,58
76,10001,TRUE,T_Story_Title_3,T_Story_Name_76,Icon/Images03_HCG/Images/P010_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P10_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P10_Normal_1,Icon_CgChip_P10_CG3_1_1,Icon_CgChip_P10_Normal_1_1,169-170-171-172,P10_h3,P010_N_3,609-58
61,11001,,T_Story_Title_1,T_Story_Name_61,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P11_Normal_1,,Icon_CgChip_P11_Normal_1_1,,121,P011_1,P011_1,
62,11001,,T_Story_Title_1,T_Story_Name_62,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P11_Normal_1,,Icon_CgChip_P11_Normal_1_1,,122,P011_2,P011_2,
63,11001,TRUE,T_Story_Title_3,T_Story_Name_63,Icon/Images03_HCG/Images/P011_CG1_01,Icon/Item/CGSmall/Icon_CGSmall_P11_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P11_Normal_1,Icon_CgChip_P11_CG1_1_1,Icon_CgChip_P11_Normal_1_1,123-124-125-126,P011_h1,P011_N_1,58
64,11001,,T_Story_Title_1,T_Story_Name_64,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P11_Normal_1,,Icon_CgChip_P11_Normal_1_1,,127,P011_3,P011_3,
65,11001,,T_Story_Title_1,T_Story_Name_65,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P11_Normal_1,,Icon_CgChip_P11_Normal_1_1,,128,P011_4,P011_4,
66,11001,TRUE,T_Story_Title_3,T_Story_Name_66,Icon/Images03_HCG/Images/P011_CG2_01,Icon/Item/CGSmall/Icon_CGSmall_P11_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P11_Normal_1,Icon_CgChip_P11_CG2_1_1,Icon_CgChip_P11_Normal_1_1,129-130-131-132,P011_h2,P011_N_2,58
77,11001,TRUE,T_Story_Title_3,T_Story_Name_77,Icon/Images03_HCG/Images/P011_CG3_01,Icon/Item/CGSmall/Icon_CGSmall_P11_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P11_Normal_1,Icon_CgChip_P11_CG3_1_1,Icon_CgChip_P11_Normal_1_1,173-174-175-176,P11_h3,P011_N_3,610-58
78,12001,,T_Story_Title_1,T_Story_Name_78,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P12_Normal_1,,Icon_CgChip_P12_Normal_1_1,,177,P012_1,P012_1,
79,12001,,T_Story_Title_1,T_Story_Name_79,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P12_Normal_1,,Icon_CgChip_P12_Normal_1_1,,178,P012_2,P012_2,
80,12001,TRUE,T_Story_Title_3,T_Story_Name_80,Icon/Images03_HCG/Images/P012_CG1_00,Icon/Item/CGSmall/Icon_CGSmall_P12_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P12_Normal_1,Icon_CgChip_P12_CG1_1_1,Icon_CgChip_P12_Normal_1_1,179-180-181-182,P012_h1,P012_N_1,58
81,12001,,T_Story_Title_1,T_Story_Name_81,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P12_Normal_1,,Icon_CgChip_P12_Normal_1_1,,183,P012_3,P012_3,
82,12001,,T_Story_Title_1,T_Story_Name_82,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P12_Normal_1,,Icon_CgChip_P12_Normal_1_1,,184,P012_4,P012_4,
83,12001,TRUE,T_Story_Title_3,T_Story_Name_83,Icon/Images03_HCG/Images/P012_CG2_00,Icon/Item/CGSmall/Icon_CGSmall_P12_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P12_Normal_1,Icon_CgChip_P12_CG2_1_1,Icon_CgChip_P12_Normal_1_1,185-186-187-188,P012_h2,P012_N_2,58
84,12001,TRUE,T_Story_Title_3,T_Story_Name_84,Icon/Images03_HCG/Images/P012_CG3_00,Icon/Item/CGSmall/Icon_CGSmall_P12_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P12_Normal_1,Icon_CgChip_P12_CG3_1_1,Icon_CgChip_P12_Normal_1_1,189-190-191-192,P012_h3,P012_N_3,611-58
85,13001,,T_Story_Title_1,T_Story_Name_85,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P13_Normal_1,,Icon_CgChip_P13_Normal_1_1,,193,P013_1,P013_1,
86,13001,,T_Story_Title_1,T_Story_Name_86,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P13_Normal_1,,Icon_CgChip_P13_Normal_1_1,,194,P013_2,P013_2,
87,13001,TRUE,T_Story_Title_3,T_Story_Name_87,Icon/Images03_HCG/Images/P013_CG1_00,Icon/Item/CGSmall/Icon_CGSmall_P13_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P13_Normal_1,Icon_CgChip_P13_CG1_1_1,Icon_CgChip_P13_Normal_1_1,195-196-197-198,P013_h1,P013_N_1,58
88,13001,,T_Story_Title_1,T_Story_Name_88,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P13_Normal_1,,Icon_CgChip_P13_Normal_1_1,,199,P013_3,P013_3,
89,13001,,T_Story_Title_1,T_Story_Name_89,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P13_Normal_1,,Icon_CgChip_P13_Normal_1_1,,200,P013_4,P013_4,
90,13001,TRUE,T_Story_Title_3,T_Story_Name_90,Icon/Images03_HCG/Images/P013_CG2_00,Icon/Item/CGSmall/Icon_CGSmall_P13_CG_2,Icon/Item/CGSmall/Icon_CGSmall_P13_Normal_1,Icon_CgChip_P13_CG2_1_1,Icon_CgChip_P13_Normal_1_1,201-202-203-204,P013_h2,P013_N_2,58
91,13001,TRUE,T_Story_Title_3,T_Story_Name_91,Icon/Images03_HCG/Images/P013_CG3_00,Icon/Item/CGSmall/Icon_CGSmall_P13_CG_3,Icon/Item/CGSmall/Icon_CGSmall_P13_Normal_1,Icon_CgChip_P13_CG3_1_1,Icon_CgChip_P13_Normal_1_1,205-206-207-208,P013_h3,P013_N_3,612-58
92,14001,,T_Story_Title_1,T_Story_Name_92,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P14_Normal_1,,Icon_CgChip_P14_Normal_1_1,,209,P014_1,P014_1,
93,14001,,T_Story_Title_1,T_Story_Name_93,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P14_Normal_1,,Icon_CgChip_P14_Normal_1_1,,210,P014_2,P014_2,
94,14001,TRUE,T_Story_Title_3,T_Story_Name_94,Icon/Images03_HCG/Images/P014_CG1_00,Icon/Item/CGSmall/Icon_CGSmall_P14_CG_1,Icon/Item/CGSmall/Icon_CGSmall_P14_Normal_1,Icon_CgChip_P14_CG1_1_1,Icon_CgChip_P14_Normal_1_1,211-212-213-214,P014_h1,P014_N_1,58
95,14001,,T_Story_Title_1,T_Story_Name_95,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P14_Normal_1,,Icon_CgChip_P14_Normal_1_1,,215,P014_3,P014_3,
96,14001,,T_Story_Title_1,T_Story_Name_96,Icon/Images03_HCG/Images/Images03_HCGBg,Icon/Item/CGSmall/Icon_CGSmall_P14_Normal_1,,Icon_CgChip_P14_Normal_1_1,,216,P014_4,P014_4,
