ID,PVP1V1Rate,PVP1V1AddHPRate,DynamicAtt,MAX_HP,HP_RATE,HP_RECOVER,EnergyRecoverRate,ATTACK,ATK_RATE,DEFENSE,DEF_RATE,RESILIENCE,Penetration_RATE,SPEED,Walk_Speed,SPD_RATE,ATK_SPEED,CRT_RATE,CRT_DMG_Rate,CRT_Resist_Rate,WEIGHT,VAMPIRE,VAMPIRE_Value,BONUS_SKILL,Scale,DamageReduce,HitFlyValue,IRT_VALUE,Friction,ImmunityStatusAnimationLimitType
120011,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,
120012,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
120013,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
120014,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
120015,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
120016,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
120017,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
120018,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,
120019,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
120020,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,
120021,,,,,,,,,,,,,,,,,,,,0.027,,,,,,,,,,
120022,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,,,
120023,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,
120024,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,
120025,,,,,,,,,,,,,,,,,,,,,,0.048,,,,,,,,
120026,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,
120027,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,
120028,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,,,,
120029,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,
120030,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
120031,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
120032,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
120033,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
120034,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
120035,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
120036,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,
120037,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,
120038,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,
120039,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
120040,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
120041,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,
120042,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
120043,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
120044,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
120045,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
120046,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
120047,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,
120048,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,
120049,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,
120050,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,
120051,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,
120052,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
120053,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,
120054,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,
120055,,,,,,,,,,,,,,,,,,,,0.126,,,,,,,,,,
120056,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
120057,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
120058,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
120059,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
120060,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
120061,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
120062,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
120063,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
120064,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
120065,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
120066,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
120067,0.03,,,,0.06,,,,0.03,,,,,,,,,,,,,,,,,,,,,
120068,0.05,,,,0.1,,,,0.05,,,,,,,,,,,,,,,,,,,,,
120069,0.07,,,,0.14,,,,0.07,,,,,,,,,,,,,,,,,,,,,
120070,0.1,,,,0.2,,,,0.1,,,,,,,,,,,,,,,,,,,,,
120071,0.15,,,,0.3,,,,0.15,,,,,,,,,,,,,,,,,,,,,
120072,0.2,,,,0.4,,,,0.2,,,,,,,,,,,,,,,,,,,,,
120075,0.25,,,,0.5,,,,0.25,,,,,,,,,,,,,,,,,,,,,
120076,0.3,,,,0.6,,,,0.3,,,,,,,,,,,,,,,,,,,,,
120073,,,,,0.1,,,,,,0.15,,,,,,,,,,,,,,,,,,,
120074,,,,,0.2,,,,,,0.3,,,,,,,,,,,,,,,,,,,
130000,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
130001,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
130002,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
130003,,,,,,,,,,,,,,,,,,,,,,,,130003,,,,,,
130004,,,,,,,,,,,,,,,,,,,,,,,,130004,,,,,,
130005,,,,,,,,,,,,,,,,,,,,,,,,130005,,,,,,
130006,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,
130007,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,
130008,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,
130009,,,,,,,,,,,,,,,,,,,,,,,,130009,,,,,,
130010,,,,,,,,,,,,,,,,,,,,,,,,130010,,,,,,
130011,,,,,,,,,,,,,,,,,,,,,,,,130011,,,,,,
130012,,,,,,,,,,,0.05,,,,,,,0.05,,,,,,,,,,,,
130013,,,,,,,,,,,0.1,,,,,,,0.07,,,,,,,,,,,,
130014,,,,,,,,,,,0.15,,,,,,,0.12,,,,,,,,,,,,
130015,,,,,,,,,,,,,,,,,,,,,,,,130015,,,,,,
130016,,,,,,,,,,,,,,,,,,,,,,,,130016,,,,,,
130017,,,,,,,,,,,,,,,,,,,,,,,,130017,,,,,,
130018,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
130019,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
130020,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
130021,,,,,,,,,,,,,,,,,,,,,,,,130021,,,,,,
130022,,,,,,,,,,,,,,,,,,,,,,,,130022,,,,,,
130023,,,,,,,,,,,,,,,,,,,,,,,,130023,,,,,,
130024,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,
130025,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,
130026,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
130027,,,,,,,,,,,,,,,,,,,,,,,,130027,,,,,,
130028,,,,,,,,,,,,,,,,,,,,,,,,130028,,,,,,
130029,,,,,,,,,,,,,,,,,,,,,,,,130029,,,,,,
130030,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
130031,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
130032,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
130033,,,,,,,,,,,,,,,,,,,,,,,,130033,,,,,,
130034,,,,,,,,,,,,,,,,,,,,,,,,130034,,,,,,
130035,,,,,,,,,,,,,,,,,,,,,,,,130035,,,,,,
130036,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
130037,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
130038,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
130039,,,,,,,,,,,,,,,,,,,,,,,,130039,,,,,,
130040,,,,,,,,,,,,,,,,,,,,,,,,130040,,,,,,
130041,,,,,,,,,,,,,,,,,,,,,,,,130041,,,,,,
130042,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
130043,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
130044,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
130045,,,,,,,,,,,,,,,,,,,,,,,,130045,,,,,,
130046,,,,,,,,,,,,,,,,,,,,,,,,130046,,,,,,
130047,,,,,,,,,,,,,,,,,,,,,,,,130047,,,,,,
130048,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,
130049,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,
130050,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
130051,,,,,,,,,,,,,,,,,,,,,,,,130051,,,,,,
130052,,,,,,,,,,,,,,,,,,,,,,,,130052,,,,,,
130053,,,,,,,,,,,,,,,,,,,,,,,,130053,,,,,,
130054,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
130055,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
130056,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
130057,,,,,,,,,,,,,,,,,,,,,,,,130057,,,,,,
130058,,,,,,,,,,,,,,,,,,,,,,,,130058,,,,,,
130059,,,,,,,,,,,,,,,,,,,,,,,,130059,,,,,,
130060,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
130061,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
130062,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
130063,,,,,,,,,,,,,,,,,,,,,,,,130063,,,,,,
130064,,,,,,,,,,,,,,,,,,,,,,,,130064,,,,,,
130065,,,,,,,,,,,,,,,,,,,,,,,,130065,,,,,,
130066,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
130067,,,,,,,,,0.03,,,,,,,,,,,,,,,130067,,,,,,
130068,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,
130069,,,,,,,,,,,,,,,,,,,,,,,,130069,,,,,,
130070,,,,,,,,,,,0.2,,,,,,,0.17,,,,,,,,,,,,
130071,,,,,0.03,,,,,,,,,,,,,,,,,,,130071,,,,,,
130072,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
130073,,,,,,,,,,,,,,,,,,,,,,,,130073,,,,,,
130074,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,
130075,,,,,,,,,0.03,,,,,,,,,,,,,,,130075,,,,,,
130076,,,,,,,1.5,,,,,,,,,,,0.05,,,,,,,,,,,,
130077,,,,,,,,,0.03,,,,,,,,,,,,,,,130077,,,,,,
130078,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
130079,,,,,,,,,,,,,,,,,,,,,,,,130079,,,,,,
130080,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
130081,,,,,,,,,0.03,,,,,,,,,,,,,,,130081,,,,,,
130082,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,
130083,,,,,,,,,,,,,,,,,,,,,,,,130083,,,,,,
130084,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
130085,,,,,,,,,0.03,,,,,,,,,,,,,,,130085,,,,,,
130086,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
130087,,,,,,,,,,,,,,,,,,,,,,,,130087,,,,,,
130088,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
130089,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
130090,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
130091,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
130092,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
130093,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
130094,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,
130095,,,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,
130096,,,,,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,,
130097,,,,,0.07,,,,0.07,,,,,,,,,,,,,,,,,,,,,
130098,,,,,,,,,,,,,,,,,,,,,,,,130098,,,,,,
130099,,,,,,,,,,,,,,,,,,,,,,,,130099,,,,,,
130100,,,,,,,,,,,,,,,,,,,,,,,,130100,,,,,,
130101,,,,,,,,,,,,,,,,,,,,,,,,130101,,,,,,
130102,,,,,0.1,,,,0.05,,0.1,,,,,,,,,,,,,,,,,,,
130103,,,,,0.2,,,,0.1,,0.2,,,,,,,,,,,,,,,,,,,
131104,,,,,0.3,,,,0.15,,0.3,,,,,,,,,,,,,,,,,,,
130104,,,,,,,,,,,,,,,,,,,,,,,,130104,,,,,,
130105,,,,,,,,,,,,,,,,,,,,,,,,130105,,,,,,
130106,,,,,,,,,,,,,,,,,,,,,,,,130106,,,,,,
130107,,,,,,,,,,,,,,,,,,,,,,,,130107,,,,,,
130108,,,,,,,,,,,,,,,,,,,,,,,,130108,,,,,,
130109,,,,,,,,,,,,,,,,,,,,,,,,130109,,,,,,
130110,,,,,,,,,,,,,,,,,,,,,,,,130110,,,,,,
130111,,,,,,,,,,,,,,,,,,,,,,,,130111,,,,,,
130112,,,,,,,,,0.02,,,,,,,,,0.03,,,,,,,,,,,,
130113,,,,,,,,,0.03,,,,,,,,,0.05,,,,,,,,,,,,
130114,,,,,,,,,0.05,,,,,,,,,0.08,,,,,,,,,,,,
130115,,,,,,,,,0.07,,,,,,,,,0.11,,,,,,,,,,,,
130116,,,,,,,,,0.03,,,,,,,,,,,,,,,130116,,,,,,
130117,,,,,,,,,0.05,,,,,,,,,,,,,,,130117,,,,,,
130118,,,,,,,,,0.05,,,,,,,,,,,,,,,130118,,,,,,
130119,,,,,,,,,0.08,,,,,,,,,,,,,,,130119,,,,,,
130120,,,,,,,,,,,,,,,,,,,,,,,,130120,,,,,,
130121,,,,,,,,,,,,,,,,,,,,,,,,130121,,,,,,
130122,,,,,,,,,,,,,,,,,,,,,,,,130122,,,,,,
130123,,,,,,,,,,,,,,,,,,,,,,,,130123,,,,,,
130124,,,,,,,0.2,,0.03,,,,,,,,,,,,,,,,,,,,,
130125,,,,,,,0.3,,0.05,,,,,,,,,,,,,,,,,,,,,
130126,,,,,,,0.4,,0.08,,,,,,,,,,,,,,,,,,,,,
130127,,,,,,,0.5,,0.11,,,,,,,,,,,,,,,,,,,,,
130128,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
130129,,,,,,,,,0.02,,0.03,,,,,,,,,,,,,,,,,,,
130130,,,,,,,,,0.03,,0.05,,,,,,,,,,,,,,,,,,,
130131,,,,,,,,,0.05,,0.08,,,,,,,,,,,,,,,,,,,
130132,,,,,,,,,0.07,,0.11,,,,,,,,,,,,,,,,,,,
130133,,,,,,,,,,,,,,,,,,,,,,,,130133,,,,,,
130134,,,,,,,,,,,,,,,,,,,,,,,,130134,,,,,,
130135,,,,,,,,,,,,,,,,,,,,,,,,130135,,,,,,
130136,,,,,,,,,,,,,,,,,,,,,,,,130136,,,,,,
130137,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,
130138,,,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,
130139,,,,,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,,
130140,,,,,0.07,,,,0.07,,,,,,,,,,,,,,,,,,,,,
130141,,,,,,,,,0.03,,,,,,,,,,,,,,,130141,,,,,,
130142,,,,,,,,,0.05,,,,,,,,,,,,,,,130142,,,,,,
130143,,,,,,,,,0.05,,,,,,,,,,,,,,,130143,,,,,,
130144,,,,,,,,,0.08,,,,,,,,,,,,,,,130144,,,,,,
130145,,,,,,,,,,,,,,,,,,,,,,,,130145,,,,,,
130146,,,,,,,,,,,,,,,,,,,,,,,,130146,,,,,,
130147,,,,,,,,,,,,,,,,,,,,,,,,130147,,,,,,
130148,,,,,,,,,,,,,,,,,,,,,,,,130148,,,,,,
130149,,,,,,,,,,,,,,,,,,,,,,,,130149,,,,,,
130150,,,,,,,,,,,,,,,,,,,,,,,,130150,,,,,,
130151,,,,,,,,,,,,,,,,,,,,,,,,130151,,,,,,
130152,,,,,,,,,,,,,,,,,,,,,,,,130152,,,,,,
130153,,,,,,,,,,,,,,,,,,,,,,,,130153,,,,,,
130154,,,,,,,,,,,,,,,,,,,,,,,,130154,,,,,,
130155,,,,,,,,,,,,,,,,,,,,,,,,130155,,,,,,
130156,,,,,,,,,,,,,,,,,,,,,,,,130156,,,,,,
130157,,,,,,,,,,,,,,,,,,,,,,,,130157,,,,,,
130158,,,,,,,,,,,,,,,,,,,,,,,,130158,,,,,,
130159,,,,,,,,,,,,,,,,,,,,,,,,130159,,,,,,
130160,,,,,,,,,,,,,,,,,,,,,,,,130160,,,,,,
130161,,,,,,,,,,,,,,,,,,,,,,,,130161,,,,,,
130162,,,,,,,,,,,,,,,,,,,,,,,,130162,,,,,,
130163,,,,,,,,,,,,,,,,,,,,,,,,130163,,,,,,
130164,,,,,,,,,,,,,,,,,,,,,,,,130164,,,,,,
130165,,,,,,,,,,,,,,,,,,,,,,,,130165,,,,,,
130166,,,,,,,,,,,,,,,,,,,,,,,,130166,,,,,,
130167,,,,,,,,,,,,,,,,,,,,,,,,130167,,,,,,
130168,,,,,,,,,,,,,,,,,,,,,,,,130168,,,,,,
130169,,,,,,,,,,,,,,,,,,,,,,,,130169,,,,,,
130170,,,,,,,,,,,,,,,,,,,,,,,,130170,,,,,,
130171,,,,,,,,,,,,,,,,,,,,,,,,130171,,,,,,
130172,,,,,,,,,,,,,,,,,,,,,,,,130172,,,,,,
130173,,,,,,,,,,,,,,,,,,,,,,,,130173,,,,,,
130174,,,,,,,,,,,,,,,,,,,,,,,,130174,,,,,,
130175,,,,,,,,,,,,,,,,,,,,,,,,130175,,,,,,
130176,,,,,,,,,,,,,,,,,,,,,,,,130176,,,,,,
130177,,,,,,,,,0.03,,,,,,,,,,,,,,,130177,,,,,,
130178,,,,,,,,,0.05,,,,,,,,,,,,,,,130178,,,,,,
130179,,,,,,,,,0.05,,,,,,,,,,,,,,,130179,,,,,,
130180,,,,,,,,,0.08,,,,,,,,,,,,,,,130180,,,,,,
130181,,,,,,,,,,,,,,,,,,,,,,,,130181,,,,,,
130182,,,,,,,,,,,,,,,,,,,,,,,,130182,,,,,,
130183,,,,,,,,,,,,,,,,,,,,,,,,130183,,,,,,
130184,,,,,,,,,,,,,,,,,,,,,,,,130184,,,,,,
130185,,,,,,,,,,,,,,,,,,,,,,,,130185,,,,,,
130186,,,,,,,,,,,,,,,,,,,,,,,,130186,,,,,,
130187,,,,,,,,,,,,,,,,,,,,,,,,130187,,,,,,
130188,,,,,,,,,,,,,,,,,,,,,,,,130188,,,,,,
130189,,,,,,,,,,,,,,,,,,,,,,,,130189,,,,,,
130190,,,,,,,,,,,,,,,,,,,,,,,,130190,,,,,,
130191,,,,,,,,,,,,,,,,,,,,,,,,130191,,,,,,
130192,,,,,,,,,,,,,,,,,,,,,,,,130192,,,,,,
130193,,,,,,,,,,,,,,,,,,,,,,,,130193,,,,,,
130194,,,,,,,,,,,,,,,,,,,,,,,,130194,,,,,,
130195,,,,,,,,,,,,,,,,,,,,,,,,130195,,,,,,
130196,,,,,,,,,,,,,,,,,,,,,,,,130196,,,,,,
130197,,,,,,,,,,,,,,,,,,,,,,,,130197,,,,,,
130198,,,,,,,,,,,,,,,,,,,,,,,,130198,,,,,,
130199,,,,,,,,,,,,,,,,,,,,,,,,130199,,,,,,
130200,,,,,,,,,,,,,,,,,,,,,,,,130200,,,,,,
130201,,,,,,,,,,,,,,,,,,,,,,,,130201,,,,,,
130202,,,,,,,,,,,,,,,,,,,,,,,,130202,,,,,,
130203,,,,,,,,,,,,,,,,,,,,,,,,130203,,,,,,
130204,,,,,,,,,,,,,,,,,,,,,,,,130204,,,,,,
130205,,,,,,,,,,,,,,,,,,,,,,,,130205,,,,,,
130206,,,,,,,,,,,,,,,,,,,,,,,,130206,,,,,,
130207,,,,,,,,,,,,,,,,,,,,,,,,130207,,,,,,
130208,,,,,,,,,,,,,,,,,,,,,,,,130208,,,,,,
130209,,,,,,,,,,,,,,,,,,,,,,,,130209,,,,,,
130210,,,,,,,,,,,,,,,,,,,,,,,,130210,,,,,,
130211,,,,,,,,,,,,,,,,,,,,,,,,130211,,,,,,
130212,,,,,,,,,,,,,,,,,,,,,,,,130212,,,,,,
130213,,,,,,,,,,,,,,,,,,,,,,,,130213,,,,,,
130214,,,,,,,,,,,,,,,,,,,,,,,,130214,,,,,,
130215,,,,,,,,,,,,,,,,,,,,,,,,130215,,,,,,
130216,,,,,,,,,,,,,,,,,,,,,,,,130216,,,,,,
130217,,,EnergeRecover+36004+0.2&EnergeRecover+36006+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
130218,,,EnergeRecover+36004+0.3&EnergeRecover+36006+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
130219,,,EnergeRecover+36004+0.4&EnergeRecover+36006+0.4,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
130220,,,EnergeRecover+36004+0.5&EnergeRecover+36006+0.5,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
130221,,,,,,,,,,,,,,,,,,,,,,,,130221,,,,,,
130222,,,,,,,,,,,,,,,,,,,,,,,,130222,,,,,,
130223,,,,,,,,,,,,,,,,,,,,,,,,130223,,,,,,
130224,,,,,,,,,,,,,,,,,,,,,,,,130224,,,,,,
130225,,,,,,,0.2,,,,0.15,,,,,,,,,,,,,,,,,,,
130226,,,,,,,0.3,,,,0.2,,,,,,,,,,,,,,,,,,,
130227,,,,,,,0.4,,,,0.25,,,,,,,,,,,,,,,,,,,
130228,,,,,,,0.5,,,,0.3,,,,,,,,,,,,,,,,,,,
130229,,,,,,,,,,,,,,,,,,,,,,,,130229,,,,,,
130230,,,,,,,,,,,,,,,,,,,,,,,,130230,,,,,,
130231,,,,,,,,,,,,,,,,,,,,,,,,130231,,,,,,
130232,,,,,,,,,,,,,,,,,,,,,,,,130232,,,,,,
130233,,,,,,,,,,,,,,,,,,,,,,,,130233,,,,,,
130234,,,,,,,,,,,,,,,,,,,,,,,,130234,,,,,,
130235,,,,,,,,,,,,,,,,,,,,,,,,130235,,,,,,
130236,,,,,,,,,,,,,,,,,,,,,,,,130236,,,,,,
130237,,,,,,,,,,,,,,,,,,,,,,,,130237,,,,,,
130238,,,,,,,,,,,,,,,,,,,,,,,,130238,,,,,,
130239,,,,,,,,,,,,,,,,,,,,,,,,130239,,,,,,
130240,,,,,,,,,,,,,,,,,,,,,,,,130240,,,,,,
130241,,,,,,,,,,,,,,,,,,,,,,,,130241,,,,,,
130242,,,,,,,,,,,,,,,,,,,,,,,,130242,,,,,,
130243,,,,,,,,,,,,,,,,,,,,,,,,130243,,,,,,
130244,,,,,,,,,,,,,,,,,,,,,,,,130244,,,,,,
1300211,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
1300221,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,
1300231,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
