ID,RoleID,Name,Model,Type,Icon,Animation_Idle,Animation_Hit_1,Animation_Hit_2,Animation_TakeOFF,R18PositionIDs,SFWPositionIDs,Animation_TakeOFF_Idle,TraininRewards,Intimacy,Exp,Description,LockIntimacy,LockItem,Step2LockItem,Step2Rewards,Step2Description,VersionControl
300027,3001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300027-308,3,2,T_TrainingAction_Description_300003,,300027,,,,351-56
300028,3001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300028-308,,5,T_TrainingAction_Description_300003,,300028,,,,351-56
300029,3001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300029-308,1,4,T_TrainingAction_Description_300005,,300029,,,,56
300030,3001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300030-308,2,3,T_TrainingAction_Description_300005,,300030,,,,56
300031,3001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300031-308,,5,T_TrainingAction_Description_300005,,300031,,,,56
300032,3001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300032-308,3,2,T_TrainingAction_Description_300005,,300032,,,,56
300033,4001,T_TrainingAction_Name_300001,,,Icon/Icon04_Head/Icon04_Head_B_P04,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300033-308,1,4,T_TrainingAction_Description_300003,,300033,,,,56
300034,4001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300034-308,2,3,T_TrainingAction_Description_300003,,300034,,,,56
300035,4001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300035-308,3,2,T_TrainingAction_Description_300003,,300035,,,,56
300036,4001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300036-308,,5,T_TrainingAction_Description_300003,,300036,,,,56
300037,4001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300037-308,1,4,T_TrainingAction_Description_300005,,300037,,,,56
300038,4001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300038-308,2,3,T_TrainingAction_Description_300005,,300038,,,,56
300039,4001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300039-308,,5,T_TrainingAction_Description_300005,,300039,,,,56
300040,4001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300040-308,3,2,T_TrainingAction_Description_300005,,300040,,,,56
300009,5001,T_TrainingAction_Name_300001,,,Icon/Icon05_Head/Icon05_Head_B_P05,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300009-308,1,4,T_TrainingAction_Description_300003,,300009,,,,56
300010,5001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300010-308,2,3,T_TrainingAction_Description_300003,,300010,,,,56
300011,5001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300011-308,3,2,T_TrainingAction_Description_300003,,300011,,,,56
300012,5001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300012-308,,5,T_TrainingAction_Description_300003,,300012,,,,56
300013,5001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300013-308,1,4,T_TrainingAction_Description_300005,,300013,,,,56
300014,5001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300014-308,2,3,T_TrainingAction_Description_300005,,300014,,,,56
300015,5001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300015-308,,5,T_TrainingAction_Description_300005,,300015,,,,56
300016,5001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300016-308,3,2,T_TrainingAction_Description_300005,,300016,,,,56
300057,6001,T_TrainingAction_Name_300001,,,Icon/Icon06_Head/Icon06_Head_B_P06,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300057-308,1,4,T_TrainingAction_Description_300003,,300057,,,,56
300058,6001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300058-308,2,3,T_TrainingAction_Description_300003,,300058,,,,56
300059,6001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300059-308,3,2,T_TrainingAction_Description_300003,,300059,,,,56
300060,6001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300060-308,,5,T_TrainingAction_Description_300003,,300060,,,,56
300061,6001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300061-308,1,4,T_TrainingAction_Description_300005,,300061,,,,56
300062,6001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300062-308,2,3,T_TrainingAction_Description_300005,,300062,,,,56
300063,6001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300063-308,,5,T_TrainingAction_Description_300005,,300063,,,,56
300064,6001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300064-308,3,2,T_TrainingAction_Description_300005,,300064,,,,56
300049,7001,T_TrainingAction_Name_300001,,,Icon/Icon07_Head/Icon07_Head_B_P07,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300049-308,1,4,T_TrainingAction_Description_300003,,300049,,,,56
300050,7001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300050-308,2,3,T_TrainingAction_Description_300003,,300050,,,,56
300051,7001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300051-308,3,2,T_TrainingAction_Description_300003,,300051,,,,56
300052,7001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300052-308,,5,T_TrainingAction_Description_300003,,300052,,,,56
300053,7001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300053-308,1,4,T_TrainingAction_Description_300005,,300053,,,,56
300054,7001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300054-308,2,3,T_TrainingAction_Description_300005,,300054,,,,56
300055,7001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300055-308,,5,T_TrainingAction_Description_300005,,300055,,,,56
300056,7001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300056-308,3,2,T_TrainingAction_Description_300005,,300056,,,,56
300041,8001,T_TrainingAction_Name_300001,,,,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300041-308,1,4,T_TrainingAction_Description_300003,,300041,,,,56
300042,8001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300042-308,2,3,T_TrainingAction_Description_300003,,300042,,,,56
300043,8001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300043-308,3,2,T_TrainingAction_Description_300003,,300043,,,,56
300044,8001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300044-308,,5,T_TrainingAction_Description_300003,,300044,,,,56
300045,8001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300045-308,1,4,T_TrainingAction_Description_300005,,300045,,,,56
300046,8001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300046-308,2,3,T_TrainingAction_Description_300005,,300046,,,,56
300047,8001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300047-308,,5,T_TrainingAction_Description_300005,,300047,,,,56
300048,8001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300048-308,3,2,T_TrainingAction_Description_300005,,300048,,,,56
300065,9001,T_TrainingAction_Name_300001,,,,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300065-308,1,4,T_TrainingAction_Description_300003,,300065,,,,352-56
300066,9001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300066-308,2,3,T_TrainingAction_Description_300003,,300066,,,,352-56
300067,9001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300067-308,3,2,T_TrainingAction_Description_300003,,300067,,,,352-56
300068,9001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300068-308,,5,T_TrainingAction_Description_300003,,300068,,,,352-56
300069,9001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300069-308,1,4,T_TrainingAction_Description_300005,,300069,,,,56
300070,9001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300070-308,2,3,T_TrainingAction_Description_300005,,300070,,,,56
300071,9001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300071-308,,5,T_TrainingAction_Description_300005,,300071,,,,56
300072,9001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300072-308,3,2,T_TrainingAction_Description_300005,,300072,,,,56
300073,10001,T_TrainingAction_Name_300001,,,,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300073-308,1,4,T_TrainingAction_Description_300003,,300073,,,,353-56
300074,10001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300074-308,2,3,T_TrainingAction_Description_300003,,300074,,,,353-56
300075,10001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300075-308,3,2,T_TrainingAction_Description_300003,,300075,,,,353-56
300076,10001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300076-308,,5,T_TrainingAction_Description_300003,,300076,,,,353-56
300077,10001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300077-308,1,4,T_TrainingAction_Description_300005,,300077,,,,56
300078,10001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300078-308,2,3,T_TrainingAction_Description_300005,,300078,,,,56
300079,10001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300079-308,,5,T_TrainingAction_Description_300005,,300079,,,,56
300080,10001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300080-308,3,2,T_TrainingAction_Description_300005,,300080,,,,56
300081,11001,T_TrainingAction_Name_300001,,,,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300081-308,1,4,T_TrainingAction_Description_300003,,300081,,,,353-56
300082,11001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300082-308,2,3,T_TrainingAction_Description_300003,,300082,,,,353-56
300083,11001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300083-308,3,2,T_TrainingAction_Description_300003,,300083,,,,353-56
300084,11001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300084-308,,5,T_TrainingAction_Description_300003,,300084,,,,353-56
300085,11001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300085-308,1,4,T_TrainingAction_Description_300005,,300085,,,,56
300086,11001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300086-308,2,3,T_TrainingAction_Description_300005,,300086,,,,56
300087,11001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300087-308,,5,T_TrainingAction_Description_300005,,300087,,,,56
300088,11001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300088-308,3,2,T_TrainingAction_Description_300005,,300088,,,,56
300089,12001,T_TrainingAction_Name_300001,,,,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300089-308,1,4,T_TrainingAction_Description_300003,,300089,,,,355-56
300090,12001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300090-308,2,3,T_TrainingAction_Description_300003,,300090,,,,355-56
300091,12001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300091-308,3,2,T_TrainingAction_Description_300003,,300091,,,,355-56
300092,12001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300092-308,,5,T_TrainingAction_Description_300003,,300092,,,,355-56
300093,12001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300093-308,1,4,T_TrainingAction_Description_300005,,300093,,,,56
300094,12001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300094-308,2,3,T_TrainingAction_Description_300005,,300094,,,,56
300095,12001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300095-308,,5,T_TrainingAction_Description_300005,,300095,,,,56
300096,12001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300096-308,3,2,T_TrainingAction_Description_300005,,300096,,,,56
300097,13001,T_TrainingAction_Name_300001,,,,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300097-308,1,4,T_TrainingAction_Description_300003,,300097,,,,356-56
300098,13001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300098-308,2,3,T_TrainingAction_Description_300003,,300098,,,,356-56
300099,13001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300099-308,3,2,T_TrainingAction_Description_300003,,300099,,,,356-56
300100,13001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300100-308,,5,T_TrainingAction_Description_300003,,300100,,,,356-56
300101,13001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300101-308,1,4,T_TrainingAction_Description_300005,,300101,,,,56
300102,13001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300102-308,2,3,T_TrainingAction_Description_300005,,300102,,,,56
300103,13001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300103-308,,5,T_TrainingAction_Description_300005,,300103,,,,56
300104,13001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300104-308,3,2,T_TrainingAction_Description_300005,,300104,,,,56
300105,14001,T_TrainingAction_Name_300001,,,,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300105-308,1,4,T_TrainingAction_Description_300003,,300105,,,,357-56
300106,14001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300106-308,2,3,T_TrainingAction_Description_300003,,300106,,,,357-56
300107,14001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300107-308,3,2,T_TrainingAction_Description_300003,,300107,,,,357-56
300108,14001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300108-308,,5,T_TrainingAction_Description_300003,,300108,,,,357-56
300109,14001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300109-308,1,4,T_TrainingAction_Description_300005,,300109,,,,56
300110,14001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300110-308,2,3,T_TrainingAction_Description_300005,,300110,,,,56
300111,14001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300111-308,,5,T_TrainingAction_Description_300005,,300111,,,,56
300112,14001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300112-308,3,2,T_TrainingAction_Description_300005,,300112,,,,56
300113,15001,T_TrainingAction_Name_300001,,,,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300113-308,1,4,T_TrainingAction_Description_300003,,300113,,,,358-56
300114,15001,T_TrainingAction_Name_300002,,,,Lobby_idel_01,Lobby_hit_01,Lobby_hit2_01,Lobby_end_01,,,Lobby_idel2_01,300114-308,2,3,T_TrainingAction_Description_300003,,300114,,,,358-56
300115,15001,T_TrainingAction_Name_300003,,,,Lobby_idel_02,Lobby_hit_02,Lobby_hit2_02,Lobby_end_02,,,Lobby_idel2_02,300115-308,3,2,T_TrainingAction_Description_300003,,300115,,,,358-56
300116,15001,T_TrainingAction_Name_300004,,,,Lobby_idel_03,Lobby_hit_03,Lobby_hit2_03,Lobby_end_03,,,Lobby_idel2_03,300116-308,,5,T_TrainingAction_Description_300003,,300116,,,,358-56
300117,15001,T_TrainingAction_Name_300005,,,,Lobby_idel_04,Lobby_hit_04,Lobby_hit2_04,Lobby_end_04,,,Lobby_idel2_04,300117-308,1,4,T_TrainingAction_Description_300005,,300117,,,,56
300118,15001,T_TrainingAction_Name_300006,,,,Lobby_idel_05,Lobby_hit_05,Lobby_hit2_05,Lobby_end_05,,,Lobby_idel2_05,300118-308,2,3,T_TrainingAction_Description_300005,,300118,,,,56
300119,15001,T_TrainingAction_Name_300007,,,,Lobby_idel_06,Lobby_hit_06,Lobby_hit2_06,Lobby_end_06,,,Lobby_idel2_06,300119-308,,5,T_TrainingAction_Description_300005,,300119,,,,56
300120,15001,T_TrainingAction_Name_300008,,,,Lobby_idel_07,Lobby_hit_07,Lobby_hit2_07,Lobby_end_07,,,Lobby_idel2_07,300120-308,3,2,T_TrainingAction_Description_300005,,300120,,,,56
300121,16001,T_TrainingAction_Name_300001,,,,Lobby_idel_00,Lobby_hit_00,Lobby_hit2_00,Lobby_end_00,,,Lobby_idel2_00,300121-308,1,4,T_TrainingAction_Description_300003,,300121,,,,359-56
