ID,Type,Group,NameKey,ItemIDs,SpecialItemIDs,Count,DropID,ExtraDropIDs,PriceItemID,Price,PrefabID,PrevStepID,IAPID,ResetType,ResetInterval,BuyLimit,LoginHourLimit,FreeInterval,FreeCumulative,FreeBuyLimit,BeginFree,VipLevel,ValueFunction,Value,Activity,VersionControls
910034,4,,T_NewStore_NameKey_910034,910034,9100341-9100342,,,,2,2700,,,,,,,,,,,,,,10,,
910035,4,,T_NewStore_NameKey_910035,910035,9100351-9100352,,,,2,2700,,,,,,,,,,,,,,10,,
910036,4,,T_NewStore_NameKey_910036,910036,9100361-9100362,,,,2,2700,,,,,,,,,,,,,,10,,
910037,4,,T_NewStore_NameKey_910037,910037,9100371-9100372,,,,2,2700,,,,,,,,,,,,,,10,,
910038,4,,T_NewStore_NameKey_910038,910038,9100381-9100382,,,,2,2700,,,,,,,,,,,,,,10,,
910039,4,,T_NewStore_NameKey_910039,910039,9100391-9100392,,,,2,2700,,,,,,,,,,,,,,10,,
910040,4,,T_NewStore_NameKey_910040,910040,9100401-9100402,,,,2,2700,,,,,,,,,,,,,,10,,
910041,4,,T_NewStore_NameKey_910041,910041,9100411-9100412,,,,2,2700,,,,,,,,,,,,,,10,,
910042,4,,T_NewStore_NameKey_910042,910042,9100421-9100422,,,,2,2700,,,,,,,,,,,,,,10,,
910043,4,,T_NewStore_NameKey_910043,910043,9100431-9100432,,,,2,2700,,,,,,,,,,,,,,10,,
910044,4,,T_NewStore_NameKey_910044,910044,9100441-9100442,,,,2,2700,,,,,,,,,,,,,,10,,
910045,4,,T_NewStore_NameKey_910045,910045,9100451-9100452,,,,2,2700,,,,,,,,,,,,,,10,,
910046,4,,T_NewStore_NameKey_910046,910046,9100461-9100462,,,,2,2700,,,,,,,,,,,,,,10,,
910047,4,,T_NewStore_NameKey_910047,910047,9100471-9100472,,,,2,2700,,,,,,,,,,,,,,10,,
910048,4,,T_NewStore_NameKey_910048,910048,9100481-9100482,,,,2,2700,,,,,,,,,,,,,,10,,
911001,4,,T_NewStore_NameKey_911001,911001,9110011-9110012,,,,2,2700,,,,,,,,,,,,,,10,,
911002,4,,T_NewStore_NameKey_911002,911002,9110021-9110022,,,,2,2700,,,,,,,,,,,,,,10,,
911003,4,,T_NewStore_NameKey_911003,911003,9110031-9110032,,,,2,2700,,,,,,,,,,,,,,10,,
911004,4,,T_NewStore_NameKey_911004,911004,9110041-9110042,,,,2,2700,,,,,,,,,,,,,,10,,
911005,4,,T_NewStore_NameKey_911005,911005,9110051-9110052,,,,2,2700,,,,,,,,,,,,,,10,,
911006,4,,T_NewStore_NameKey_911006,911006,9110061-9110062,,,,2,2700,,,,,,,,,,,,,,10,,
911007,4,,T_NewStore_NameKey_911007,911007,9110071-9110072,,,,2,2700,,,,,,,,,,,,,,10,,
911008,4,,T_NewStore_NameKey_911008,911008,9110081-9110082,,,,2,2700,,,,,,,,,,,,,,10,,
911009,4,,T_NewStore_NameKey_911009,911009,9110091-9110092,,,,2,2700,,,,,,,,,,,,,,10,,
911010,4,,T_NewStore_NameKey_911010,911010,9110101-9110102,,,,2,2700,,,,,,,,,,,,,,10,,
911011,4,,T_NewStore_NameKey_911011,911011,9110111-9110112,,,,2,2700,,,,,,,,,,,,,,10,,
911012,4,,T_NewStore_NameKey_911012,911012,9110121-9110122,,,,2,2700,,,,,,,,,,,,,,10,,
911013,4,,T_NewStore_NameKey_911013,911013,9110131-9110132,,,,2,2700,,,,,,,,,,,,,,10,,
911014,4,,T_NewStore_NameKey_911014,911014,9110141-9110142,,,,2,2700,,,,,,,,,,,,,,10,,
911015,4,,T_NewStore_NameKey_911015,911015,9110151-9110152,,,,2,2700,,,,,,,,,,,,,,10,,
911016,4,,T_NewStore_NameKey_911016,911016,9110161-9110162,,,,2,2700,,,,,,,,,,,,,,10,,
911017,4,,T_NewStore_NameKey_911017,911017,9110171-9110172,,,,2,2700,,,,,,,,,,,,,,10,,
911018,4,,T_NewStore_NameKey_911018,911018,9110181-9110182,,,,2,2700,,,,,,,,,,,,,,10,,
911019,4,,T_NewStore_NameKey_911019,911019,9110191-9110192,,,,2,2700,,,,,,,,,,,,,,10,,
911020,4,,T_NewStore_NameKey_911020,911020,9110201-9110202,,,,2,2700,,,,,,,,,,,,,,10,,
911021,4,,T_NewStore_NameKey_911021,911021,9110211-9110212,,,,2,2700,,,,,,,,,,,,,,10,,
911022,4,,T_NewStore_NameKey_911022,911022,9110221-9110222,,,,2,2700,,,,,,,,,,,,,,10,,
911023,4,,T_NewStore_NameKey_911023,911023,9110231-9110232,,,,2,2700,,,,,,,,,,,,,,10,,
911024,4,,T_NewStore_NameKey_911024,911024,9110241-9110242,,,,2,2700,,,,,,,,,,,,,,10,,
911025,4,,T_NewStore_NameKey_911025,911025,9110251-9110252,,,,2,2700,,,,,,,,,,,,,,10,,
911026,4,,T_NewStore_NameKey_911026,911026,9110261-9110262,,,,2,2700,,,,,,,,,,,,,,10,,
911027,4,,T_NewStore_NameKey_911027,911027,9110271-9110272,,,,2,2700,,,,,,,,,,,,,,10,,
911028,4,,T_NewStore_NameKey_911028,911028,9110281-9110282,,,,2,2700,,,,,,,,,,,,,,10,,
911029,4,,T_NewStore_NameKey_911029,911029,9110291-9110292,,,,2,2700,,,,,,,,,,,,,,10,,
911030,4,,T_NewStore_NameKey_911030,911030,9110301-9110302,,,,2,2700,,,,,,,,,,,,,,10,,
911031,4,,T_NewStore_NameKey_911031,911031,9110311-9110312,,,,2,2700,,,,,,,,,,,,,,10,,
911032,4,,T_NewStore_NameKey_911032,911032,9110321-9110322,,,,2,2700,,,,,,,,,,,,,,10,,
911033,4,,T_NewStore_NameKey_911033,911033,9110331-9110332,,,,2,2700,,,,,,,,,,,,,,10,,
911034,4,,T_NewStore_NameKey_911034,911034,9110341-9110342,,,,2,2700,,,,,,,,,,,,,,10,,
911035,4,,T_NewStore_NameKey_911035,911035,9110351-9110352,,,,2,2700,,,,,,,,,,,,,,10,,
911036,4,,T_NewStore_NameKey_911036,911036,9110361-9110362,,,,2,2700,,,,,,,,,,,,,,10,,
911037,4,,T_NewStore_NameKey_911037,911037,9110371-9110372,,,,2,2700,,,,,,,,,,,,,,10,,
911038,4,,T_NewStore_NameKey_911038,911038,9110381-9110382,,,,2,2700,,,,,,,,,,,,,,10,,
911039,4,,T_NewStore_NameKey_911039,911039,9110391-9110392,,,,2,2700,,,,,,,,,,,,,,10,,
911040,4,,T_NewStore_NameKey_911040,911040,9110401-9110402,,,,2,2700,,,,,,,,,,,,,,10,,
911041,4,,T_NewStore_NameKey_911041,911041,9110411-9110412,,,,2,2700,,,,,,,,,,,,,,10,,
911042,4,,T_NewStore_NameKey_911042,911042,9110421-9110422,,,,2,2700,,,,,,,,,,,,,,10,,
911043,4,,T_NewStore_NameKey_911043,911043,9110431-9110432,,,,2,2700,,,,,,,,,,,,,,10,,
911044,4,,T_NewStore_NameKey_911044,911044,9110441-9110442,,,,2,2700,,,,,,,,,,,,,,10,,
911045,4,,T_NewStore_NameKey_911045,911045,9110451-9110452,,,,2,2700,,,,,,,,,,,,,,10,,
911046,4,,T_NewStore_NameKey_911046,911046,9110461-9110462,,,,2,2700,,,,,,,,,,,,,,10,,
911047,4,,T_NewStore_NameKey_911047,911047,9110471-9110472,,,,2,2700,,,,,,,,,,,,,,10,,
911048,4,,T_NewStore_NameKey_911048,911048,9110481-9110482,,,,2,2700,,,,,,,,,,,,,,10,,
911049,4,,T_NewStore_NameKey_911049,911049,9110491-9110492,,,,2,2700,,,,,,,,,,,,,,10,,
911050,4,,T_NewStore_NameKey_911050,911050,9110501-9110502,,,,2,2700,,,,,,,,,,,,,,10,,
911051,4,,T_NewStore_NameKey_911051,911051,9110511-9110512,,,,2,2700,,,,,,,,,,,,,,10,,
911052,4,,T_NewStore_NameKey_911052,911052,9110521-9110522,,,,2,2700,,,,,,,,,,,,,,10,,
911053,4,,T_NewStore_NameKey_911053,911053,9110531-9110532,,,,2,2700,,,,,,,,,,,,,,10,,
911054,4,,T_NewStore_NameKey_911054,911054,9110541-9110542,,,,2,2700,,,,,,,,,,,,,,10,,
911055,4,,T_NewStore_NameKey_911055,911055,9110551-9110552,,,,2,2700,,,,,,,,,,,,,,10,,
911056,4,,T_NewStore_NameKey_911056,911056,9110561-9110562,,,,2,2700,,,,,,,,,,,,,,10,,
911057,4,,T_NewStore_NameKey_911057,911057,9110571-9110572,,,,2,2700,,,,,,,,,,,,,,10,,
911058,4,,T_NewStore_NameKey_911058,911058,9110581-9110582,,,,2,2700,,,,,,,,,,,,,,10,,
911059,4,,T_NewStore_NameKey_911059,911059,9110591-9110592,,,,2,2700,,,,,,,,,,,,,,10,,
911060,4,,T_NewStore_NameKey_911060,911060,9110601-9110602,,,,2,2700,,,,,,,,,,,,,,10,,
911061,4,,T_NewStore_NameKey_911061,911061,9110611-9110612,,,,2,2700,,,,,,,,,,,,,,10,,
911062,4,,T_NewStore_NameKey_911062,911062,9110621-9110622,,,,2,2700,,,,,,,,,,,,,,10,,
911063,4,,T_NewStore_NameKey_911063,911063,9110631-9110632,,,,2,2700,,,,,,,,,,,,,,10,,
911064,4,,T_NewStore_NameKey_911064,911064,9110641-9110642,,,,2,2700,,,,,,,,,,,,,,10,,
911065,4,,T_NewStore_NameKey_911065,911065,9110651-9110652,,,,2,2700,,,,,,,,,,,,,,10,,
911066,4,,T_NewStore_NameKey_911066,911066,9110661-9110662,,,,2,2700,,,,,,,,,,,,,,10,,
911067,4,,T_NewStore_NameKey_911067,911067,9110671-9110672,,,,2,2700,,,,,,,,,,,,,,10,,
911068,4,,T_NewStore_NameKey_911068,911068,9110681-9110682,,,,2,2700,,,,,,,,,,,,,,10,,
911069,4,,T_NewStore_NameKey_911069,911069,9110691-9110692,,,,2,2700,,,,,,,,,,,,,,10,,
911070,4,,T_NewStore_NameKey_911070,911070,9110701-9110702,,,,2,2700,,,,,,,,,,,,,,10,,
911071,4,,T_NewStore_NameKey_911071,911071,9110711-9110712,,,,2,2700,,,,,,,,,,,,,,10,,
911072,4,,T_NewStore_NameKey_911072,911072,9110721-9110722,,,,2,2700,,,,,,,,,,,,,,10,,
911073,4,,T_NewStore_NameKey_911073,911073,9110731-9110732,,,,2,2700,,,,,,,,,,,,,,10,,
911074,4,,T_NewStore_NameKey_911074,911074,9110741-9110742,,,,2,2700,,,,,,,,,,,,,,10,,
911075,4,,T_NewStore_NameKey_911075,911075,9110751-9110752,,,,2,2700,,,,,,,,,,,,,,10,,
914001,4,,T_NewStore_NameKey_914001,914001,9140011-9140012,,,,2,2700,,,,,,,,,,,,,,10,,
914002,4,,T_NewStore_NameKey_914002,914002,9140021-9140022,,,,2,2700,,,,,,,,,,,,,,10,,
914003,4,,T_NewStore_NameKey_914003,914003,9140031-9140032,,,,2,2700,,,,,,,,,,,,,,10,,
914004,4,,T_NewStore_NameKey_914004,914004,9140041-9140042,,,,2,2700,,,,,,,,,,,,,,10,,
915001,4,,T_NewStore_NameKey_915001,915001,9150011-9150012,,,,2,2700,,,,,,,,,,,,,,10,,
915002,4,,T_NewStore_NameKey_915002,915002,9150021-9150022,,,,2,2700,,,,,,,,,,,,,,10,,
915003,4,,T_NewStore_NameKey_915003,915003,9150031-9150032,,,,2,2700,,,,,,,,,,,,,,10,,
915004,4,,T_NewStore_NameKey_915004,915004,9150041-9150042,,,,2,2700,,,,,,,,,,,,,,10,,
915005,4,,T_NewStore_NameKey_915005,915005,9150051-9150052,,,,2,2700,,,,,,,,,,,,,,10,,
915006,4,,T_NewStore_NameKey_915006,915006,9150061-9150062,,,,2,2700,,,,,,,,,,,,,,10,,
915007,4,,T_NewStore_NameKey_915007,915007,9150071-9150072,,,,2,2700,,,,,,,,,,,,,,10,,
915008,4,,T_NewStore_NameKey_915008,915008,9150081-9150082,,,,2,2700,,,,,,,,,,,,,,10,,
915009,4,,T_NewStore_NameKey_915009,915009,9150091-9150092,,,,2,2700,,,,,,,,,,,,,,10,,
915010,4,,T_NewStore_NameKey_915010,915010,9150101-9150102,,,,2,2700,,,,,,,,,,,,,,10,,
915011,4,,T_NewStore_NameKey_915011,915011,9150111-9150112,,,,2,2700,,,,,,,,,,,,,,10,,
915012,4,,T_NewStore_NameKey_915012,915012,9150121-9150122,,,,2,2700,,,,,,,,,,,,,,10,,
915013,4,,T_NewStore_NameKey_915013,915013,9150131-9150132,,,,2,2700,,,,,,,,,,,,,,10,,
915014,4,,T_NewStore_NameKey_915014,915014,9150141-9150142,,,,2,2700,,,,,,,,,,,,,,10,,
915015,4,,T_NewStore_NameKey_915015,915015,9150151-9150152,,,,2,2700,,,,,,,,,,,,,,10,,
915016,4,,T_NewStore_NameKey_915016,915016,9150161-9150162,,,,2,2700,,,,,,,,,,,,,,10,,
915017,4,,T_NewStore_NameKey_915017,915017,9150171-9150172,,,,2,2700,,,,,,,,,,,,,,10,,
915018,4,,T_NewStore_NameKey_915018,915018,9150181-9150182,,,,2,2700,,,,,,,,,,,,,,10,,
915019,4,,T_NewStore_NameKey_915019,915019,9150191-9150192,,,,2,2700,,,,,,,,,,,,,,10,,
915020,4,,T_NewStore_NameKey_915020,915020,9150201-9150202,,,,2,2700,,,,,,,,,,,,,,10,,
915021,4,,T_NewStore_NameKey_915021,915021,9150211-9150212,,,,2,2700,,,,,,,,,,,,,,10,,
915022,4,,T_NewStore_NameKey_915022,915022,9150221-9150222,,,,2,2700,,,,,,,,,,,,,,10,,
915023,4,,T_NewStore_NameKey_915023,915023,9150231-9150232,,,,2,2700,,,,,,,,,,,,,,10,,
915024,4,,T_NewStore_NameKey_915024,915024,9150241-9150242,,,,2,2700,,,,,,,,,,,,,,10,,
915025,4,,T_NewStore_NameKey_915025,915025,9150251-9150252,,,,2,2700,,,,,,,,,,,,,,10,,
915026,4,,T_NewStore_NameKey_915026,915026,9150261-9150262,,,,2,2700,,,,,,,,,,,,,,10,,
915027,4,,T_NewStore_NameKey_915027,915027,9150271-9150272,,,,2,2700,,,,,,,,,,,,,,10,,
915028,4,,T_NewStore_NameKey_915028,915028,9150281-9150282,,,,2,2700,,,,,,,,,,,,,,10,,
917002,4,,T_NewStore_NameKey_917002,917002,9170021,,,,2,2700,,,,,,,,,,,,,,10,,
917003,4,,T_NewStore_NameKey_917003,917003,9170031,,,,2,2700,,,,,,,,,,,,,,10,,
917004,4,,T_NewStore_NameKey_917004,917004,9170041,,,,2,2700,,,,,,,,,,,,,,10,,
917005,4,,T_NewStore_NameKey_917005,917005,9170051,,,,2,2700,,,,,,,,,,,,,,10,,
917006,4,,T_NewStore_NameKey_917006,917006,9170061,,,,2,2700,,,,,,,,,,,,,,10,,
917007,4,,T_NewStore_NameKey_917007,917007,9170071,,,,2,2700,,,,,,,,,,,,,,10,,
909001,4,,T_NewStore_NameKey_909001,909001,,,,,1,300,,,,,1,,,360,1,4,1,,,1,,
919001,4,,T_NewStore_NameKey_919001,919001,,,,,1,2700,,,,,1,,,1440,1,1,1,,,10,,
919002,4,,T_NewStore_NameKey_919002,919002,9190021-9190022,,,,2,2700,,,,,,,,,,,,,,10,,
909003,4,,T_NewStore_NameKey_909003,909003,,,,,2,300,,,,,,,,,,,,,,1,,
919003,4,,T_NewStore_NameKey_919003,919003,,,,,2,2700,,,,,,,,,,,,,,10,,
919004,4,,T_NewStore_NameKey_919004,919004,9190041-9190042,,,,2,2700,,,,,,,,,,,,,,10,,
909005,4,,T_NewStore_NameKey_909005,909005,,,,,2,150,,,,,,,,,,,,,,,,
919005,4,,T_NewStore_NameKey_919005,919005,9190051-9190052,,,,2,1350,,,,,,,,,,,,,,,,
909006,4,,T_NewStore_NameKey_909006,909006,,,,,2,150,,,,,,,,,,,,,,,,
919006,4,,T_NewStore_NameKey_919006,919006,9190061-9190062,,,,2,1350,,,,,,,,,,,,,,,,
S919007,4,,T_NewStore_NameKey_S919007,919007,,,,,11,4500,,,,,,,,,,,,,,11,,
919008,4,,T_NewStore_NameKey_919008,919008,9190081-9190082,,,,2,2700,,,,,,,,,,,,,,10,,
919009,4,,T_NewStore_NameKey_919009,919009,9190091-9190092,,,,2,2700,,,,,,,,,,,,,,10,,
S919010,4,,T_NewStore_NameKey_S919010,919010,,,,,11,4500,,,,,,,,,,,,,,11,,
S919011,4,,T_NewStore_NameKey_S919011,919011,,,,,11,4500,,,,,,,,,,,,,,11,,
919012,4,,T_NewStore_NameKey_919012,919012,9190121-9190122,,,,2,2700,,,,,,,,,,,,,,10,,
S919013,4,,T_NewStore_NameKey_S919013,919013,,,,,11,4500,,,,,,,,,,,,,,11,,
919014,4,,T_NewStore_NameKey_919014,919014,9190141-9190142,,,,2,2700,,,,,,,,,,,,,,10,,
919015,4,,T_NewStore_NameKey_919015,919015,9190151-9190152,,,,2,2700,,,,,,,,,,,,,,10,,
S919016,4,,T_NewStore_NameKey_S919016,919016,,,,,11,4500,,,,,,,,,,,,,,11,,
919017,4,,T_NewStore_NameKey_919017,919017,9190171-9190172,,,,2,2700,,,,,,,,,,,,,,10,,
919018,4,,T_NewStore_NameKey_919018,919018,9190181,,,,2,2700,,,,,,,,,,,,,,10,,
919019,4,,T_NewStore_NameKey_919019,919019,9190191,,,,2,2700,,,,,,,,,,,,,,10,,
919020,4,,T_NewStore_NameKey_919020,919020,9190201,,,,2,2700,,,,,,,,,,,,,,10,,
919021,4,,T_NewStore_NameKey_919021,919021,9190211-9190212,,,,2,2700,,,,,,,,,,,,,,10,,
919022,4,,T_NewStore_NameKey_919022,919022,9190221-9190222,,,,2,2700,,,,,,,,,,,,,,10,,
919023,4,,T_NewStore_NameKey_919023,919023,9190231-9190232,,,,2,2700,,,,,,,,,,,,,,10,,
909024,4,,T_NewStore_NameKey_909024,909024,,,,,74,300,,,,,,,,,,,,,,1,,
919024,4,,T_NewStore_NameKey_919024,919024,9190241-9190242,,,,74,2700,,,,,,,,,,,,,,10,,
909025,4,,T_NewStore_NameKey_909025,909025,,,,,74,300,,,,,,,,,,,,,,1,,
919025,4,,T_NewStore_NameKey_919025,919025,9190251-9190252,,,,74,2700,,,,,,,,,,,,,,10,,
919026,4,,T_NewStore_NameKey_919026,919026,9190261-9190262,,,,2,2700,,,,,,,,,,,,,,10,,
919027,4,,T_NewStore_NameKey_919027,919027,9190271-9190272,,,,2,2700,,,,,,,,,,,,,,10,,
909028,4,,T_NewStore_NameKey_909028,909028,,,,,11,400,,,,,,,,,,,,,,1,,
919028,4,,T_NewStore_NameKey_919028,919028,9190281-9190282,,,,11,1000,,,,,,,,,,,,,,10,,
909029,4,,T_NewStore_NameKey_909029,909029,,,,,11,400,,,,,,,,,,,,,,1,,
919029,4,,T_NewStore_NameKey_919029,919029,9190291-9190292,,,,11,1000,,,,,,,,,,,,,,10,,
919030,4,,T_NewStore_NameKey_919030,919030,9190301-9190302,,,,2,2700,,,,,,,,,,,,,,10,,
919031,4,,T_NewStore_NameKey_919031,919031,9190311-9190312,,,,2,2700,,,,,,,,,,,,,,10,,
919032,4,,T_NewStore_NameKey_919032,919032,9190321-9190322,,,,2,2700,,,,,,,,,,,,,,10,,
919033,4,,T_NewStore_NameKey_919033,919033,9190331-9190332,,,,2,2700,,,,,,,,,,,,,,10,,
919034,4,,T_NewStore_NameKey_919034,919034,,,,,11,1000,,,,,,,,,,,,,,10,,
919035,4,,T_NewStore_NameKey_919035,919035,9190351-9190352,,,,2,2700,,,,,,,,,,,,,,10,,
919036,4,,T_NewStore_NameKey_919036,919036,9190361-9190362,,,,2,2700,,,,,,,,,,,,,,10,,
919037,4,,T_NewStore_NameKey_919037,919037,9190371-9190372,,,,2,2700,,,,,,,,,,,,,,10,,
919038,4,,T_NewStore_NameKey_919038,919038,,,,,11,1000,,,,,,,,,,,,,,10,,
919039,4,,T_NewStore_NameKey_919039,919039,9190391-9190392,,,,2,2700,,,,,,,,,,,,,,10,,
919040,4,,T_NewStore_NameKey_919040,919040,9190401-9190402,,,,2,2700,,,,,,,,,,,,,,10,,
919041,4,,T_NewStore_NameKey_919041,919041,9190411-9190412,,,,2,2700,,,,,,,,,,,,,,10,,
919042,4,,T_NewStore_NameKey_919042,919042,,,,,11,500,,,,,,,48,,,,,,,10,,
919043,4,,T_NewStore_NameKey_919043,919043,9190431-9190432,,,,2,2700,,,,,,,,,,,,,,10,,
919044,4,,T_NewStore_NameKey_919044,919044,9190441-9190442,,,,2,2700,,,,,,,,,,,,,,10,,
919045,4,,T_NewStore_NameKey_919045,919045,,,,,11,1000,,,,,,,,,,,,,,10,,
919046,4,,T_NewStore_NameKey_919046,919046,9190461-9190462,,,,11,1000,,,,,,,,,,,,,,10,,
919047,4,,T_NewStore_NameKey_919047,919047,,,,,32,1,,,,,,,,,,,,,,10,,
919048,4,,T_NewStore_NameKey_919048,919048,9190481-9190482,,,,2,2700,,,,,,,,,,,,,,10,,
919049,4,,T_NewStore_NameKey_919049,919049,9190491-9190492,,,,2,2700,,,,,,,,,,,,,,10,,
919050,4,,T_NewStore_NameKey_919050,919050,9190501-9190502,,,,2,2700,,,,,,,,,,,,,,10,,
919051,4,,T_NewStore_NameKey_919051,919051,,,,,11,1000,,,,,,,,,,,,,,10,,
919052,4,,T_NewStore_NameKey_919052,919052,9190521-9190522,,,,11,1000,,,,,,,,,,,,,,10,,
919053,4,,T_NewStore_NameKey_919053,919053,,,,,32,1,,,,,,,,,,,,,,10,,
919054,4,,T_NewStore_NameKey_919054,919054,,,,,32,1,,,,,,,,,,,,,,10,,
919055,4,,T_NewStore_NameKey_919055,919055,,,,,32,1,,,,,,,,,,,,,,10,,
919056,4,,T_NewStore_NameKey_919056,919056,9190561-9190562,,,,2,2700,,,,,,,,,,,,,,10,,
919057,4,,T_NewStore_NameKey_919057,919057,9190571-9190572,,,,2,2700,,,,,,,,,,,,,,10,,
919058,4,,T_NewStore_NameKey_919058,919058,9190581-9190582,,,,2,2700,,,,,,,,,,,,,,10,,
919059,4,,T_NewStore_NameKey_919059,919059,9190591-9190592,,,,2,2700,,,,,,,,,,,,,,10,,
919060,4,,T_NewStore_NameKey_919060,919060,9190601-9190602,,,,2,2700,,,,,,,,,,,,,,10,,
919061,4,,T_NewStore_NameKey_919061,919061,9190611-9190612,,,,2,2700,,,,,,,,,,,,,,10,,
909062,4,,T_NewStore_NameKey_909062,909062,,,,,35,1,,,,,,,,,,,,,,1,,
919062,4,,T_NewStore_NameKey_919062,919062,,,,,35,10,,,,,,,,,,,,,,10,,
909063,4,,T_NewStore_NameKey_909063,909063,,,,,35,1,,,,,,,,,,,,,,1,,
919063,4,,T_NewStore_NameKey_919063,919063,,,,,35,10,,,,,,,,,,,,,,10,,
909064,4,,T_NewStore_NameKey_909064,909064,,,,,35,1,,,,,,,,,,,,,,1,,
919064,4,,T_NewStore_NameKey_919064,919064,,,,,35,10,,,,,,,,,,,,,,10,,
909065,4,,T_NewStore_NameKey_909065,909065,,,,,35,1,,,,,,,,,,,,,,1,,
919065,4,,T_NewStore_NameKey_919065,919065,,,,,35,10,,,,,,,,,,,,,,10,,
919066,4,,T_NewStore_NameKey_919066,919066,9190661-9190662,,,,2,2700,,,,,,,,,,,,,,10,,
919067,4,,T_NewStore_NameKey_919067,919067,9190671-9190672,,,,2,2700,,,,,,,,,,,,,,10,,
909068,4,,T_NewStore_NameKey_909068,909068,,,,,38,1,,,,,,,,,,,,,,1,,
919068,4,,T_NewStore_NameKey_919068,919068,,,,,38,10,,,,,,,,,,,,,,10,,
909069,4,,T_NewStore_NameKey_909069,909069,,,,,38,1,,,,,,,,,,,,,,1,,
919069,4,,T_NewStore_NameKey_919069,919069,,,,,38,10,,,,,,,,,,,,,,10,,
919070,4,,T_NewStore_NameKey_919067,919070,9190701-9190702,,,,2,2700,,,,,,,,,,,,,,10,,
