CheerID,ShowUnlock,Level,Threshold,MaxEnergy,SkillID,CheerAttributeID,CheerAttributeTip,HcgIcon,StaticImage,DynamicImage
FE002,1,15,,110,FS0024,FA0024,T_FairyInfo_CheerAttributeTip_FE002_14,Icon/Images03_HCG/Images/HCG_E003_002,Icon/Images03_HCG/HCG_E003_02,
FE003,,1,100,40,FS0031,FA0030,T_FairyInfo_CheerAttributeTip_FE003,,,
FE003,,2,400,45,FS0031,FA0030,T_FairyInfo_CheerAttributeTip_FE003,,,
FE003,1,3,900,50,FS0031,FA0031,T_FairyInfo_CheerAttributeTip_FE003_2,,,
FE003,,4,1600,55,FS0031,FA0031,T_FairyInfo_CheerAttributeTip_FE003_2,,,
FE003,,5,2300,60,FS0031,FA0031,T_FairyInfo_CheerAttributeTip_FE003_2,,,
FE003,1,6,3000,65,FS0032,FA0032,T_FairyInfo_CheerAttributeTip_FE003_5,Icon/Images03_HCG/Images/HCG_E000_000,Icon/Images03_HCG/HCG_E000_01,
FE003,,7,3400,70,FS0032,FA0032,T_FairyInfo_CheerAttributeTip_FE003_5,,,
FE003,,8,4000,75,FS0032,FA0032,T_FairyInfo_CheerAttributeTip_FE003_5,,,
FE003,,9,5000,80,FS0032,FA0032,T_FairyInfo_CheerAttributeTip_FE003_5,,,
FE003,1,10,9000,85,FS0033,FA0033,T_FairyInfo_CheerAttributeTip_FE003_9,,,
FE003,,11,15000,90,FS0033,FA0033,T_FairyInfo_CheerAttributeTip_FE003_9,,,
FE003,,12,20000,95,FS0033,FA0033,T_FairyInfo_CheerAttributeTip_FE003_9,,,
FE003,,13,40000,100,FS0033,FA0033,T_FairyInfo_CheerAttributeTip_FE003_9,,,
FE003,,14,80000,105,FS0033,FA0033,T_FairyInfo_CheerAttributeTip_FE003_9,,,
FE003,1,15,,110,FS0034,FA0034,T_FairyInfo_CheerAttributeTip_FE003_14,Icon/Images03_HCG/Images/HCG_E000_002,Icon/Images03_HCG/HCG_E000_02,
FE004,,1,100,40,FS0041,FA0040,T_FairyInfo_CheerAttributeTip_FE004,,,
FE004,,2,400,45,FS0041,FA0040,T_FairyInfo_CheerAttributeTip_FE004,,,
FE004,1,3,900,50,FS0041,FA0041,T_FairyInfo_CheerAttributeTip_FE004_2,,,
FE004,,4,1600,55,FS0041,FA0041,T_FairyInfo_CheerAttributeTip_FE004_2,,,
FE004,,5,2300,60,FS0041,FA0041,T_FairyInfo_CheerAttributeTip_FE004_2,,,
FE004,1,6,3000,65,FS0042,FA0042,T_FairyInfo_CheerAttributeTip_FE004_5,Icon/Images03_HCG/Images/HCG_E002_000,Icon/Images03_HCG/HCG_E002_01,
FE004,,7,3400,70,FS0042,FA0042,T_FairyInfo_CheerAttributeTip_FE004_5,,,
FE004,,8,4000,75,FS0042,FA0042,T_FairyInfo_CheerAttributeTip_FE004_5,,,
FE004,,9,5000,80,FS0042,FA0042,T_FairyInfo_CheerAttributeTip_FE004_5,,,
FE004,1,10,9000,85,FS0043,FA0043,T_FairyInfo_CheerAttributeTip_FE004_9,,,
FE004,,11,15000,90,FS0043,FA0043,T_FairyInfo_CheerAttributeTip_FE004_9,,,
FE004,,12,20000,95,FS0043,FA0043,T_FairyInfo_CheerAttributeTip_FE004_9,,,
FE004,,13,40000,100,FS0043,FA0043,T_FairyInfo_CheerAttributeTip_FE004_9,,,
FE004,,14,80000,105,FS0043,FA0043,T_FairyInfo_CheerAttributeTip_FE004_9,,,
FE004,1,15,,110,FS0044,FA0044,T_FairyInfo_CheerAttributeTip_FE004_14,Icon/Images03_HCG/Images/HCG_E002_002,Icon/Images03_HCG/HCG_E002_02,
FE005,,1,100,40,FS0050,FA0050,T_FairyInfo_CheerAttributeTip_FE005,,,
FE005,,2,400,45,FS0050,FA0050,T_FairyInfo_CheerAttributeTip_FE005,,,
FE005,1,3,900,50,FS0051,FA0051,T_FairyInfo_CheerAttributeTip_FE005_2,,,
FE005,,4,1600,55,FS0051,FA0051,T_FairyInfo_CheerAttributeTip_FE005_2,,,
FE005,,5,2300,60,FS0051,FA0051,T_FairyInfo_CheerAttributeTip_FE005_2,,,
FE005,1,6,3000,65,FS0052,FA0052,T_FairyInfo_CheerAttributeTip_FE005_5,Icon/Images03_HCG/Images/HCG_E001_000,Icon/Images03_HCG/HCG_E001_01,
FE005,,7,3400,70,FS0052,FA0052,T_FairyInfo_CheerAttributeTip_FE005_5,,,
FE005,,8,4000,75,FS0052,FA0052,T_FairyInfo_CheerAttributeTip_FE005_5,,,
FE005,,9,5000,80,FS0052,FA0052,T_FairyInfo_CheerAttributeTip_FE005_5,,,
FE005,1,10,9000,85,FS0053,FA0053,T_FairyInfo_CheerAttributeTip_FE005_9,Icon/Images03_HCG/Images/HCG_E001_002,Icon/Images03_HCG/HCG_E001_02,
FE005,,11,15000,90,FS0053,FA0053,T_FairyInfo_CheerAttributeTip_FE005_9,,,
FE005,,12,20000,95,FS0053,FA0053,T_FairyInfo_CheerAttributeTip_FE005_9,,,
FE005,,13,40000,100,FS0053,FA0053,T_FairyInfo_CheerAttributeTip_FE005_9,,,
FE005,,14,80000,105,FS0053,FA0053,T_FairyInfo_CheerAttributeTip_FE005_9,,,
FE005,1,15,,110,FS0054,FA0054,T_FairyInfo_CheerAttributeTip_FE005_14,Icon/Images03_HCG/Images/HCG_E001_001,,Icon/Images03_HCG_act/Interactive/E001_CG1
FE006,,1,100,40,FS0061,FA0060,T_FairyInfo_CheerAttributeTip_FE002_5,,,
FE006,,2,400,45,FS0061,FA0060,T_FairyInfo_CheerAttributeTip_FE002_5,,,
FE006,1,3,900,50,FS0061,FA0061,T_FairyInfo_CheerAttributeTip_FE006_2,,,
FE006,,4,1600,55,FS0061,FA0061,T_FairyInfo_CheerAttributeTip_FE006_2,,,
FE006,,5,2300,60,FS0061,FA0061,T_FairyInfo_CheerAttributeTip_FE006_2,,,
FE006,1,6,3000,65,FS0062,FA0062,T_FairyInfo_CheerAttributeTip_FE006_5,Icon/Images03_HCG/Images/HCG_E008_000,Icon/Images03_HCG/HCG_E008_01,
FE006,,7,3400,70,FS0062,FA0062,T_FairyInfo_CheerAttributeTip_FE006_5,,,
FE006,,8,4000,75,FS0062,FA0062,T_FairyInfo_CheerAttributeTip_FE006_5,,,
FE006,,9,5000,80,FS0062,FA0062,T_FairyInfo_CheerAttributeTip_FE006_5,,,
FE006,1,10,9000,85,FS0063,FA0063,T_FairyInfo_CheerAttributeTip_FE006_9,Icon/Images03_HCG/Images/HCG_E008_002,Icon/Images03_HCG/HCG_E008_02,
FE006,,11,15000,90,FS0063,FA0063,T_FairyInfo_CheerAttributeTip_FE006_9,,,
FE006,,12,20000,95,FS0063,FA0063,T_FairyInfo_CheerAttributeTip_FE006_9,,,
FE006,,13,40000,100,FS0063,FA0063,T_FairyInfo_CheerAttributeTip_FE006_9,,,
FE006,,14,80000,105,FS0063,FA0063,T_FairyInfo_CheerAttributeTip_FE006_9,,,
FE006,1,15,,110,FS0064,FA0064,T_FairyInfo_CheerAttributeTip_FE006_14,Icon/Images03_HCG/Images/HCG_E008_001,,Icon/Images03_HCG_act/Interactive/E008_CG1
FE007,,1,100,40,FS0070,FA0070,T_FairyInfo_CheerAttributeTip_FE007,,,
FE007,,2,400,45,FS0070,FA0070,T_FairyInfo_CheerAttributeTip_FE007,,,
FE007,1,3,900,50,FS0071,FA0071,T_FairyInfo_CheerAttributeTip_FE007_2,,,
FE007,,4,1600,55,FS0071,FA0071,T_FairyInfo_CheerAttributeTip_FE007_2,,,
FE007,,5,2300,60,FS0071,FA0071,T_FairyInfo_CheerAttributeTip_FE007_2,,,
FE007,1,6,3000,65,FS0072,FA0072,T_FairyInfo_CheerAttributeTip_FE007_5,Icon/Images03_HCG/Images/HCG_E010_000,Icon/Images03_HCG/HCG_E010_01,
FE007,,7,3400,70,FS0072,FA0072,T_FairyInfo_CheerAttributeTip_FE007_5,,,
FE007,,8,4000,75,FS0072,FA0072,T_FairyInfo_CheerAttributeTip_FE007_5,,,
FE007,,9,5000,80,FS0072,FA0072,T_FairyInfo_CheerAttributeTip_FE007_5,,,
FE007,1,10,9000,85,FS0073,FA0073,T_FairyInfo_CheerAttributeTip_FE007_9,Icon/Images03_HCG/Images/HCG_E010_002,Icon/Images03_HCG/HCG_E010_02,
FE007,,11,15000,90,FS0073,FA0073,T_FairyInfo_CheerAttributeTip_FE007_9,,,
FE007,,12,20000,95,FS0073,FA0073,T_FairyInfo_CheerAttributeTip_FE007_9,,,
FE007,,13,40000,100,FS0073,FA0073,T_FairyInfo_CheerAttributeTip_FE007_9,,,
FE007,,14,80000,105,FS0073,FA0073,T_FairyInfo_CheerAttributeTip_FE007_9,,,
FE007,1,15,,110,FS0074,FA0074,T_FairyInfo_CheerAttributeTip_FE007_14,Icon/Images03_HCG/Images/HCG_E010_001,,Icon/Images03_HCG_act/Interactive/E010_CG1
FE008,,1,100,40,FS0080,FA0080,T_FairyInfo_CheerAttributeTip_FE008,,,
FE008,,2,400,45,FS0080,FA0080,T_FairyInfo_CheerAttributeTip_FE008,,,
FE008,1,3,900,50,FS0081,FA0081,T_FairyInfo_CheerAttributeTip_FE001_9,,,
FE008,,4,1600,55,FS0081,FA0081,T_FairyInfo_CheerAttributeTip_FE001_9,,,
FE008,,5,2300,60,FS0081,FA0081,T_FairyInfo_CheerAttributeTip_FE001_9,,,
FE008,1,6,3000,65,FS0082,FA0082,T_FairyInfo_CheerAttributeTip_FE001_14,Icon/Images03_HCG/Images/HCG_E011_000,Icon/Images03_HCG/HCG_E011_01,
FE008,,7,3400,70,FS0082,FA0082,T_FairyInfo_CheerAttributeTip_FE001_14,,,
FE008,,8,4000,75,FS0082,FA0082,T_FairyInfo_CheerAttributeTip_FE001_14,,,
FE008,,9,5000,80,FS0082,FA0082,T_FairyInfo_CheerAttributeTip_FE001_14,,,
FE008,1,10,9000,85,FS0083,FA0083,T_FairyInfo_CheerAttributeTip_FE008_9,Icon/Images03_HCG/Images/HCG_E011_002,Icon/Images03_HCG/HCG_E011_02,
FE008,,11,15000,90,FS0083,FA0083,T_FairyInfo_CheerAttributeTip_FE008_9,,,
FE008,,12,20000,95,FS0083,FA0083,T_FairyInfo_CheerAttributeTip_FE008_9,,,
FE008,,13,40000,100,FS0083,FA0083,T_FairyInfo_CheerAttributeTip_FE008_9,,,
FE008,,14,80000,105,FS0083,FA0083,T_FairyInfo_CheerAttributeTip_FE008_9,,,
FE008,1,15,,110,FS0084,FA0084,T_FairyInfo_CheerAttributeTip_FE008_14,Icon/Images03_HCG/Images/HCG_E011_001,,Icon/Images03_HCG_act/Interactive/E011_CG1
FE009,,1,100,40,FS0090,FA0090,T_FairyInfo_CheerAttributeTip_FE006_2,,,
FE009,,2,400,45,FS0090,FA0090,T_FairyInfo_CheerAttributeTip_FE006_2,,,
FE009,1,3,900,50,FS0091,FA0091,T_FairyInfo_CheerAttributeTip_FE009_2,,,
FE009,,4,1600,55,FS0091,FA0091,T_FairyInfo_CheerAttributeTip_FE009_2,,,
FE009,,5,2300,60,FS0091,FA0091,T_FairyInfo_CheerAttributeTip_FE009_2,,,
FE009,1,6,3000,65,FS0092,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,Icon/Images03_HCG/Images/HCG_E016_000,Icon/Images03_HCG/HCG_E016_01,
FE009,,7,3400,70,FS0092,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,,,
FE009,,8,4000,75,FS0092,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,,,
FE009,,9,5000,80,FS0092,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,,,
FE009,1,10,9000,85,FS0093,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,Icon/Images03_HCG/Images/HCG_E016_002,Icon/Images03_HCG/HCG_E016_02,
FE009,,11,15000,90,FS0093,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE009,,12,20000,95,FS0093,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE009,,13,40000,100,FS0093,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE009,,14,80000,105,FS0093,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE009,1,15,,110,FS0094,FA0094,T_FairyInfo_CheerAttributeTip_FE009_14,Icon/Images03_HCG/Images/HCG_E016_001,,Icon/Images03_HCG_act/Interactive/E016_CG1
FE010,,1,100,40,FS0100,FA0070,T_FairyInfo_CheerAttributeTip_FE007,,,
FE010,,2,400,45,FS0100,FA0070,T_FairyInfo_CheerAttributeTip_FE007,,,
FE010,1,3,900,50,FS0101,FA0071,T_FairyInfo_CheerAttributeTip_FE007_2,,,
FE010,,4,1600,55,FS0101,FA0071,T_FairyInfo_CheerAttributeTip_FE007_2,,,
FE010,,5,2300,60,FS0101,FA0071,T_FairyInfo_CheerAttributeTip_FE007_2,,,
FE010,1,6,3000,65,FS0102,FA0072,T_FairyInfo_CheerAttributeTip_FE007_5,Icon/Images03_HCG/Images/HCG_E004_000,Icon/Images03_HCG/HCG_E004_01,
FE010,,7,3400,70,FS0102,FA0072,T_FairyInfo_CheerAttributeTip_FE007_5,,,
FE010,,8,4000,75,FS0102,FA0072,T_FairyInfo_CheerAttributeTip_FE007_5,,,
FE010,,9,5000,80,FS0102,FA0072,T_FairyInfo_CheerAttributeTip_FE007_5,,,
FE010,1,10,9000,85,FS0103,FA0073,T_FairyInfo_CheerAttributeTip_FE007_9,Icon/Images03_HCG/Images/HCG_E004_002,Icon/Images03_HCG/HCG_E004_02,
FE010,,11,15000,90,FS0103,FA0073,T_FairyInfo_CheerAttributeTip_FE007_9,,,
FE010,,12,20000,95,FS0103,FA0073,T_FairyInfo_CheerAttributeTip_FE007_9,,,
FE010,,13,40000,100,FS0103,FA0073,T_FairyInfo_CheerAttributeTip_FE007_9,,,
FE010,,14,80000,105,FS0103,FA0073,T_FairyInfo_CheerAttributeTip_FE007_9,,,
FE010,1,15,,110,FS0104,FA0104,T_FairyInfo_CheerAttributeTip_FE010_14,Icon/Images03_HCG/Images/HCG_E004_001,,Icon/Images03_HCG_act/Interactive/E004_CG1
FE011,,1,100,40,FS0110,FA0110,T_FairyInfo_CheerAttributeTip_FE011,,,
FE011,,2,400,45,FS0110,FA0110,T_FairyInfo_CheerAttributeTip_FE011,,,
FE011,1,3,900,50,FS0111,FA0111,T_FairyInfo_CheerAttributeTip_FE011_2,,,
FE011,,4,1600,55,FS0111,FA0111,T_FairyInfo_CheerAttributeTip_FE011_2,,,
FE011,,5,2300,60,FS0111,FA0111,T_FairyInfo_CheerAttributeTip_FE011_2,,,
FE011,1,6,3000,65,FS0112,FA0112,T_FairyInfo_CheerAttributeTip_FE011_5,Icon/Images03_HCG/Images/HCG_E009_000,Icon/Images03_HCG/HCG_E009_01,
FE011,,7,3400,70,FS0112,FA0112,T_FairyInfo_CheerAttributeTip_FE011_5,,,
FE011,,8,4000,75,FS0112,FA0112,T_FairyInfo_CheerAttributeTip_FE011_5,,,
FE011,,9,5000,80,FS0112,FA0112,T_FairyInfo_CheerAttributeTip_FE011_5,,,
FE011,1,10,9000,85,FS0113,FA0113,T_FairyInfo_CheerAttributeTip_FE011_9,Icon/Images03_HCG/Images/HCG_E009_002,Icon/Images03_HCG/HCG_E009_02,
FE011,,11,15000,90,FS0113,FA0113,T_FairyInfo_CheerAttributeTip_FE011_9,,,
FE011,,12,20000,95,FS0113,FA0113,T_FairyInfo_CheerAttributeTip_FE011_9,,,
FE011,,13,40000,100,FS0113,FA0113,T_FairyInfo_CheerAttributeTip_FE011_9,,,
FE011,,14,80000,105,FS0113,FA0113,T_FairyInfo_CheerAttributeTip_FE011_9,,,
FE011,1,15,,110,FS0114,FA0114,T_FairyInfo_CheerAttributeTip_FE011_14,Icon/Images03_HCG/Images/HCG_E009_001,,Icon/Images03_HCG_act/Interactive/E009_CG1
FE012,,1,100,40,FS0120,FA0090,T_FairyInfo_CheerAttributeTip_FE006_2,,,
FE012,,2,400,45,FS0120,FA0090,T_FairyInfo_CheerAttributeTip_FE006_2,,,
FE012,1,3,900,50,FS0121,FA0091,T_FairyInfo_CheerAttributeTip_FE009_2,,,
FE012,,4,1600,55,FS0121,FA0091,T_FairyInfo_CheerAttributeTip_FE009_2,,,
FE012,,5,2300,60,FS0121,FA0091,T_FairyInfo_CheerAttributeTip_FE009_2,,,
FE012,1,6,3000,65,FS0122,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,Icon/Images03_HCG/Images/HCG_E015_000,Icon/Images03_HCG/HCG_E015_01,
FE012,,7,3400,70,FS0122,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,,,
FE012,,8,4000,75,FS0122,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,,,
FE012,,9,5000,80,FS0122,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,,,
FE012,1,10,9000,85,FS0123,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,Icon/Images03_HCG/Images/HCG_E015_002,Icon/Images03_HCG/HCG_E015_02,
FE012,,11,15000,90,FS0123,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE012,,12,20000,95,FS0123,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE012,,13,40000,100,FS0123,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE012,,14,80000,105,FS0123,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE012,1,15,,110,FS0124,FA0124,T_FairyInfo_CheerAttributeTip_FE012_14,Icon/Images03_HCG/Images/HCG_E015_001,,Icon/Images03_HCG_act/Interactive/E015_CG1
FE013,,1,100,40,FS0130,FA0130,T_FairyInfo_CheerAttributeTip_FE013,,,
FE013,,2,400,45,FS0130,FA0130,T_FairyInfo_CheerAttributeTip_FE013,,,
FE013,1,3,900,50,FS0131,FA0131,T_FairyInfo_CheerAttributeTip_FE013_2,,,
FE013,,4,1600,55,FS0131,FA0131,T_FairyInfo_CheerAttributeTip_FE013_2,,,
FE013,,5,2300,60,FS0131,FA0131,T_FairyInfo_CheerAttributeTip_FE013_2,,,
FE013,1,6,3000,65,FS0132,FA0132,T_FairyInfo_CheerAttributeTip_FE013_5,Icon/Images03_HCG/Images/HCG_E014_000,Icon/Images03_HCG/HCG_E014_01,
FE013,,7,3400,70,FS0132,FA0132,T_FairyInfo_CheerAttributeTip_FE013_5,,,
FE013,,8,4000,75,FS0132,FA0132,T_FairyInfo_CheerAttributeTip_FE013_5,,,
FE013,,9,5000,80,FS0132,FA0132,T_FairyInfo_CheerAttributeTip_FE013_5,,,
FE013,1,10,9000,85,FS0133,FA0133,T_FairyInfo_CheerAttributeTip_FE013_9,Icon/Images03_HCG/Images/HCG_E014_002,Icon/Images03_HCG/HCG_E014_02,
FE013,,11,15000,90,FS0133,FA0133,T_FairyInfo_CheerAttributeTip_FE013_9,,,
FE013,,12,20000,95,FS0133,FA0133,T_FairyInfo_CheerAttributeTip_FE013_9,,,
FE013,,13,40000,100,FS0133,FA0133,T_FairyInfo_CheerAttributeTip_FE013_9,,,
FE013,,14,80000,105,FS0133,FA0133,T_FairyInfo_CheerAttributeTip_FE013_9,,,
FE013,1,15,,110,FS0134,FA0134,T_FairyInfo_CheerAttributeTip_FE013_14,Icon/Images03_HCG/Images/HCG_E014_001,,Icon/Images03_HCG_act/Interactive/E014_CG1
FE014,,1,100,40,FS0140,FA0140,T_FairyInfo_CheerAttributeTip_FE014,,,
FE014,,2,400,45,FS0140,FA0140,T_FairyInfo_CheerAttributeTip_FE014,,,
FE014,1,3,900,50,FS0141,FA0141,T_FairyInfo_CheerAttributeTip_FE014_2,,,
FE014,,4,1600,55,FS0141,FA0141,T_FairyInfo_CheerAttributeTip_FE014_2,,,
FE014,,5,2300,60,FS0141,FA0141,T_FairyInfo_CheerAttributeTip_FE014_2,,,
FE014,1,6,3000,65,FS0142,FA0142,T_FairyInfo_CheerAttributeTip_FE014_5,Icon/Images03_HCG/Images/HCG_E007_000,Icon/Images03_HCG/HCG_E007_01,
FE014,,7,3400,70,FS0142,FA0142,T_FairyInfo_CheerAttributeTip_FE014_5,,,
FE014,,8,4000,75,FS0142,FA0142,T_FairyInfo_CheerAttributeTip_FE014_5,,,
FE014,,9,5000,80,FS0142,FA0142,T_FairyInfo_CheerAttributeTip_FE014_5,,,
FE014,1,10,9000,85,FS0143,FA0143,T_FairyInfo_CheerAttributeTip_FE014_9,Icon/Images03_HCG/Images/HCG_E007_002,Icon/Images03_HCG/HCG_E007_02,
FE014,,11,15000,90,FS0143,FA0143,T_FairyInfo_CheerAttributeTip_FE014_9,,,
FE014,,12,20000,95,FS0143,FA0143,T_FairyInfo_CheerAttributeTip_FE014_9,,,
FE014,,13,40000,100,FS0143,FA0143,T_FairyInfo_CheerAttributeTip_FE014_9,,,
FE014,,14,80000,105,FS0143,FA0143,T_FairyInfo_CheerAttributeTip_FE014_9,,,
FE014,1,15,,110,FS0144,FA0144,T_FairyInfo_CheerAttributeTip_FE014_14,Icon/Images03_HCG/Images/HCG_E007_001,,Icon/Images03_HCG_act/Interactive/E007_CG1
FE015,,1,100,40,FS0150,FA0090,T_FairyInfo_CheerAttributeTip_FE006_2,,,
FE015,,2,400,45,FS0150,FA0090,T_FairyInfo_CheerAttributeTip_FE006_2,,,
FE015,1,3,900,50,FS0151,FA0091,T_FairyInfo_CheerAttributeTip_FE009_2,,,
FE015,,4,1600,55,FS0151,FA0091,T_FairyInfo_CheerAttributeTip_FE009_2,,,
FE015,,5,2300,60,FS0151,FA0091,T_FairyInfo_CheerAttributeTip_FE009_2,,,
FE015,1,6,3000,65,FS0152,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,Icon/Images03_HCG/Images/HCG_E013_000,Icon/Images03_HCG/HCG_E013_01,
FE015,,7,3400,70,FS0152,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,,,
FE015,,8,4000,75,FS0152,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,,,
FE015,,9,5000,80,FS0152,FA0092,T_FairyInfo_CheerAttributeTip_FE009_5,,,
FE015,1,10,9000,85,FS0153,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,Icon/Images03_HCG/Images/HCG_E013_002,Icon/Images03_HCG/HCG_E013_02,
FE015,,11,15000,90,FS0153,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE015,,12,20000,95,FS0153,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE015,,13,40000,100,FS0153,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE015,,14,80000,105,FS0153,FA0093,T_FairyInfo_CheerAttributeTip_FE009_9,,,
FE015,1,15,,110,FS0154,FA0154,T_FairyInfo_CheerAttributeTip_FE015_14,Icon/Images03_HCG/Images/HCG_E013_001,,Icon/Images03_HCG_act/Interactive/E013_CG1
FE016,,1,100,40,FS0160,FA0160,T_FairyInfo_CheerAttributeTip_FE011,,,
FE016,,2,400,45,FS0160,FA0160,T_FairyInfo_CheerAttributeTip_FE011,,,
FE016,1,3,900,50,FS0161,FA0161,T_FairyInfo_CheerAttributeTip_FE011_2,,,
FE016,,4,1600,55,FS0161,FA0161,T_FairyInfo_CheerAttributeTip_FE011_2,,,
FE016,,5,2300,60,FS0161,FA0161,T_FairyInfo_CheerAttributeTip_FE011_2,,,
FE016,1,6,3000,65,FS0162,FA0162,T_FairyInfo_CheerAttributeTip_FE011_5,Icon/Images03_HCG/Images/HCG_E012_000,Icon/Images03_HCG/HCG_E012_01,
FE016,,7,3400,70,FS0162,FA0162,T_FairyInfo_CheerAttributeTip_FE011_5,,,
FE016,,8,4000,75,FS0162,FA0162,T_FairyInfo_CheerAttributeTip_FE011_5,,,
FE016,,9,5000,80,FS0162,FA0162,T_FairyInfo_CheerAttributeTip_FE011_5,,,
FE016,1,10,9000,85,FS0163,FA0163,T_FairyInfo_CheerAttributeTip_FE011_9,Icon/Images03_HCG/Images/HCG_E012_002,Icon/Images03_HCG/HCG_E012_02,
FE016,,11,15000,90,FS0163,FA0163,T_FairyInfo_CheerAttributeTip_FE011_9,,,
FE016,,12,20000,95,FS0163,FA0163,T_FairyInfo_CheerAttributeTip_FE011_9,,,
FE016,,13,40000,100,FS0163,FA0163,T_FairyInfo_CheerAttributeTip_FE011_9,,,
FE016,,14,80000,105,FS0163,FA0163,T_FairyInfo_CheerAttributeTip_FE011_9,,,
