ID,CHT,CHS,ENG,JPN,RUS,KOR,FRA,SPA,DEU
900016_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P090_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P090_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P090_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P090_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P090_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P090_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P090_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P090_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P090_EN
900017_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P091_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P091_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P091_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P091_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P091_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P091_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P091_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P091_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P091_EN
900018_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P023_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P023_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P023_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P023_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P023_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P023_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P023_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P023_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P023_EN
900019_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P024_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P024_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P024_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P024_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P024_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P024_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P024_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P024_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P024_EN
900020_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P025_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P025_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P025_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P025_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P025_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P025_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P025_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P025_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P025_EN
900021_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P026_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P026_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P026_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P026_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P026_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P026_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P026_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P026_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P026_EN
900022_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P028_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P028_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P028_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P028_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P028_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P028_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P028_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P028_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P028_EN
900023_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P029_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P029_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P029_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P029_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P029_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P029_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P029_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P029_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P029_EN
900024_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P030_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P030_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P030_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P030_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P030_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P030_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P030_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P030_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P030_EN
900025_S,Icon/Images09_Activity/Activity_StoreImg_ELV_01_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_01_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_01_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_01_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_01_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_01_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_01_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_01_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_01_EN
900026_S,Icon/Images09_Activity/Activity_StoreImg_ELV_E008_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_E008_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_E008_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E008_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_E008_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E008_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E008_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E008_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E008_EN
900027_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P031_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P031_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P031_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P031_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P031_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P031_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P031_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P031_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P031_EN
900028_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P032_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P032_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P032_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P032_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P032_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P032_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P032_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P032_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P032_EN
900029_S,Icon/Images09_Activity/Activity_StoreImg_ELV_E010_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_E010_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_E010_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E010_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_E010_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E010_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E010_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E010_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E010_EN
900030_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P033_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P033_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P033_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P033_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P033_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P033_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P033_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P033_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P033_EN
900031_S,Icon/Images09_Activity/Activity_StoreImg_ELV_E011_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_E011_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_E011_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E011_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_E011_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E011_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E011_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E011_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E011_EN
900032_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P034_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P034_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P034_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P034_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P034_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P034_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P034_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P034_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P034_EN
900033_S,Icon/Images09_Activity/Activity_StoreImg_ELV_E016_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_E016_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_E016_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E016_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_E016_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E016_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E016_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E016_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E016_EN
900034_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P035_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P035_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P035_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P035_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P035_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P035_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P035_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P035_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P035_EN
900035_S,Icon/Images09_Activity/Activity_StoreImg_ELV_E004_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_E004_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_E004_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E004_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_E004_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E004_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E004_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E004_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E004_EN
900036_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P036_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P036_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P036_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P036_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P036_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P036_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P036_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P036_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P036_EN
900037_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P037_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P037_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P037_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P037_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P037_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P037_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P037_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P037_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P037_EN
900038_S,Icon/Images09_Activity/Activity_StoreImg_ELV_E009_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_E009_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_E009_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E009_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_E009_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E009_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E009_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E009_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E009_EN
900039_S,Icon/Images09_Activity/Activity_StoreImg_ELV_E015_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_E015_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_E015_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E015_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_E015_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E015_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E015_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E015_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E015_EN
900040_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P038_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P038_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P038_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P038_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P038_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P038_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P038_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P038_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P038_EN
900041_S,Icon/Images09_Activity/Activity_StoreImg_ELV_E014_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_E014_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_E014_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E014_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_E014_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E014_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E014_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E014_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E014_EN
900042_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P039_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P039_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P039_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P039_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P039_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P039_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P039_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P039_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P039_EN
900043_S,Icon/Images09_Activity/Activity_StoreImg_ELV_E007_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_E007_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_E007_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E007_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_E007_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E007_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E007_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E007_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E007_EN
900044_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P040_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P040_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P040_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P040_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P040_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P040_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P040_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P040_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P040_EN
900045_S,Icon/Images09_Activity/Activity_StoreImg_ELV_E013_TW,Icon/Images09_Activity/Activity_StoreImg_ELV_E013_CN,Icon/Images09_Activity/Activity_StoreImg_ELV_E013_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E013_JP,Icon/Images09_Activity/Activity_StoreImg_ELV_E013_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E013_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E013_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E013_EN,Icon/Images09_Activity/Activity_StoreImg_ELV_E013_EN
900046_S,Icon/Images09_Activity/Activity_StoreBtn_Girl_P041_TW,Icon/Images09_Activity/Activity_StoreBtn_Girl_P041_CN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P041_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P041_JP,Icon/Images09_Activity/Activity_StoreBtn_Girl_P041_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P041_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P041_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P041_EN,Icon/Images09_Activity/Activity_StoreBtn_Girl_P041_EN
