Type,PlayerID,AttributeID,Part,Color,TotalLevel
1,3,1000045,3-6-7-8-11,0-1-2-3-4,45
1,3,1000046,3-6-7-8-11,0-1-2-3-4,46
1,3,1000047,3-6-7-8-11,0-1-2-3-4,47
1,3,1000048,3-6-7-8-11,0-1-2-3-4,48
1,3,1000049,3-6-7-8-11,0-1-2-3-4,49
1,3,1000050,3-6-7-8-11,0-1-2-3-4,50
1,3,1000051,3-6-7-8-11,0-1-2-3-4,51
1,3,1000052,3-6-7-8-11,0-1-2-3-4,52
1,3,1000053,3-6-7-8-11,0-1-2-3-4,53
1,3,1000054,3-6-7-8-11,0-1-2-3-4,54
1,3,1000055,3-6-7-8-11,0-1-2-3-4,55
1,3,1000056,3-6-7-8-11,0-1-2-3-4,56
1,3,1000057,3-6-7-8-11,0-1-2-3-4,57
1,3,1000058,3-6-7-8-11,0-1-2-3-4,58
1,3,1000059,3-6-7-8-11,0-1-2-3-4,59
1,3,1000060,3-6-7-8-11,0-1-2-3-4,60
1,3,1000061,3-6-7-8-11,0-1-2-3-4,61
1,3,1000062,3-6-7-8-11,0-1-2-3-4,62
1,3,1000063,3-6-7-8-11,0-1-2-3-4,63
1,3,1000064,3-6-7-8-11,0-1-2-3-4,64
1,3,1000065,3-6-7-8-11,0-1-2-3-4,65
1,3,1000066,3-6-7-8-11,0-1-2-3-4,66
1,3,1000067,3-6-7-8-11,0-1-2-3-4,67
1,3,1000068,3-6-7-8-11,0-1-2-3-4,68
1,3,1000069,3-6-7-8-11,0-1-2-3-4,69
1,3,1000070,3-6-7-8-11,0-1-2-3-4,70
1,3,1000071,3-6-7-8-11,0-1-2-3-4,71
1,3,1000072,3-6-7-8-11,0-1-2-3-4,72
1,3,1000073,3-6-7-8-11,0-1-2-3-4,73
1,3,1000074,3-6-7-8-11,0-1-2-3-4,74
1,3,1000075,3-6-7-8-11,0-1-2-3-4,75
1,3,1000076,3-6-7-8-11,0-1-2-3-4,76
1,3,1000077,3-6-7-8-11,0-1-2-3-4,77
1,3,1000078,3-6-7-8-11,0-1-2-3-4,78
1,3,1000079,3-6-7-8-11,0-1-2-3-4,79
1,3,1000080,3-6-7-8-11,0-1-2-3-4,80
1,3,1000081,3-6-7-8-11,0-1-2-3-4,81
1,3,1000082,3-6-7-8-11,0-1-2-3-4,82
1,3,1000083,3-6-7-8-11,0-1-2-3-4,83
1,3,1000084,3-6-7-8-11,0-1-2-3-4,84
1,3,1000085,3-6-7-8-11,0-1-2-3-4,85
1,3,1000086,3-6-7-8-11,0-1-2-3-4,86
1,3,1000087,3-6-7-8-11,0-1-2-3-4,87
1,3,1000088,3-6-7-8-11,0-1-2-3-4,88
1,3,1000089,3-6-7-8-11,0-1-2-3-4,89
1,3,1000090,3-6-7-8-11,0-1-2-3-4,90
1,3,1000091,3-6-7-8-11,0-1-2-3-4,91
1,3,1000092,3-6-7-8-11,0-1-2-3-4,92
1,3,1000093,3-6-7-8-11,0-1-2-3-4,93
1,3,1000094,3-6-7-8-11,0-1-2-3-4,94
1,3,1000095,3-6-7-8-11,0-1-2-3-4,95
1,3,1000096,3-6-7-8-11,0-1-2-3-4,96
1,3,1000097,3-6-7-8-11,0-1-2-3-4,97
1,3,1000098,3-6-7-8-11,0-1-2-3-4,98
1,3,1000099,3-6-7-8-11,0-1-2-3-4,99
1,3,1000100,3-6-7-8-11,0-1-2-3-4,100
1,3,1000101,3-6-7-8-11,0-1-2-3-4,101
1,3,1000102,3-6-7-8-11,0-1-2-3-4,102
1,3,1000103,3-6-7-8-11,0-1-2-3-4,103
1,3,1000104,3-6-7-8-11,0-1-2-3-4,104
1,3,1000105,3-6-7-8-11,0-1-2-3-4,105
1,3,1000106,3-6-7-8-11,0-1-2-3-4,106
1,3,1000107,3-6-7-8-11,0-1-2-3-4,107
1,3,1000108,3-6-7-8-11,0-1-2-3-4,108
1,3,1000109,3-6-7-8-11,0-1-2-3-4,109
1,3,1000110,3-6-7-8-11,0-1-2-3-4,110
1,3,1000111,3-6-7-8-11,0-1-2-3-4,111
1,3,1000112,3-6-7-8-11,0-1-2-3-4,112
1,3,1000113,3-6-7-8-11,0-1-2-3-4,113
1,3,1000114,3-6-7-8-11,0-1-2-3-4,114
1,3,1000115,3-6-7-8-11,0-1-2-3-4,115
1,3,1000116,3-6-7-8-11,0-1-2-3-4,116
1,3,1000117,3-6-7-8-11,0-1-2-3-4,117
1,3,1000118,3-6-7-8-11,0-1-2-3-4,118
1,3,1000119,3-6-7-8-11,0-1-2-3-4,119
1,3,1000120,3-6-7-8-11,0-1-2-3-4,120
1,3,1000121,3-6-7-8-11,0-1-2-3-4,121
1,3,1000122,3-6-7-8-11,0-1-2-3-4,122
1,3,1000123,3-6-7-8-11,0-1-2-3-4,123
1,3,1000124,3-6-7-8-11,0-1-2-3-4,124
1,3,1000125,3-6-7-8-11,0-1-2-3-4,125
1,3,1000126,3-6-7-8-11,0-1-2-3-4,126
1,3,1000127,3-6-7-8-11,0-1-2-3-4,127
1,3,1000128,3-6-7-8-11,0-1-2-3-4,128
1,3,1000129,3-6-7-8-11,0-1-2-3-4,129
1,3,1000130,3-6-7-8-11,0-1-2-3-4,130
1,3,1000131,3-6-7-8-11,0-1-2-3-4,131
1,3,1000132,3-6-7-8-11,0-1-2-3-4,132
1,3,1000133,3-6-7-8-11,0-1-2-3-4,133
1,3,1000134,3-6-7-8-11,0-1-2-3-4,134
1,3,1000135,3-6-7-8-11,0-1-2-3-4,135
1,3,1000136,3-6-7-8-11,0-1-2-3-4,136
1,3,1000137,3-6-7-8-11,0-1-2-3-4,137
1,3,1000138,3-6-7-8-11,0-1-2-3-4,138
1,3,1000139,3-6-7-8-11,0-1-2-3-4,139
1,3,1000140,3-6-7-8-11,0-1-2-3-4,140
1,3,1000141,3-6-7-8-11,0-1-2-3-4,141
1,3,1000142,3-6-7-8-11,0-1-2-3-4,142
1,3,1000143,3-6-7-8-11,0-1-2-3-4,143
1,3,1000144,3-6-7-8-11,0-1-2-3-4,144
1,3,1000145,3-6-7-8-11,0-1-2-3-4,145
1,3,1000146,3-6-7-8-11,0-1-2-3-4,146
1,3,1000147,3-6-7-8-11,0-1-2-3-4,147
1,3,1000148,3-6-7-8-11,0-1-2-3-4,148
1,3,1000149,3-6-7-8-11,0-1-2-3-4,149
1,3,1000150,3-6-7-8-11,0-1-2-3-4,150
1,3,1000151,3-6-7-8-11,0-1-2-3-4,151
1,3,1000152,3-6-7-8-11,0-1-2-3-4,152
1,3,1000153,3-6-7-8-11,0-1-2-3-4,153
1,3,1000154,3-6-7-8-11,0-1-2-3-4,154
1,3,1000155,3-6-7-8-11,0-1-2-3-4,155
1,3,1000156,3-6-7-8-11,0-1-2-3-4,156
1,3,1000157,3-6-7-8-11,0-1-2-3-4,157
1,3,1000158,3-6-7-8-11,0-1-2-3-4,158
1,3,1000159,3-6-7-8-11,0-1-2-3-4,159
1,3,1000160,3-6-7-8-11,0-1-2-3-4,160
1,3,1000161,3-6-7-8-11,0-1-2-3-4,161
1,3,1000162,3-6-7-8-11,0-1-2-3-4,162
1,3,1000163,3-6-7-8-11,0-1-2-3-4,163
1,3,1000164,3-6-7-8-11,0-1-2-3-4,164
1,3,1000165,3-6-7-8-11,0-1-2-3-4,165
1,3,1000166,3-6-7-8-11,0-1-2-3-4,166
1,3,1000167,3-6-7-8-11,0-1-2-3-4,167
1,3,1000168,3-6-7-8-11,0-1-2-3-4,168
1,3,1000169,3-6-7-8-11,0-1-2-3-4,169
1,3,1000170,3-6-7-8-11,0-1-2-3-4,170
1,3,1000171,3-6-7-8-11,0-1-2-3-4,171
1,3,1000172,3-6-7-8-11,0-1-2-3-4,172
1,3,1000173,3-6-7-8-11,0-1-2-3-4,173
1,3,1000174,3-6-7-8-11,0-1-2-3-4,174
1,3,1000175,3-6-7-8-11,0-1-2-3-4,175
1,3,1000176,3-6-7-8-11,0-1-2-3-4,176
1,3,1000177,3-6-7-8-11,0-1-2-3-4,177
1,3,1000178,3-6-7-8-11,0-1-2-3-4,178
1,3,1000179,3-6-7-8-11,0-1-2-3-4,179
1,3,1000180,3-6-7-8-11,0-1-2-3-4,180
1,3,1000181,3-6-7-8-11,0-1-2-3-4,181
1,3,1000182,3-6-7-8-11,0-1-2-3-4,182
1,3,1000183,3-6-7-8-11,0-1-2-3-4,183
1,3,1000184,3-6-7-8-11,0-1-2-3-4,184
1,3,1000185,3-6-7-8-11,0-1-2-3-4,185
1,3,1000186,3-6-7-8-11,0-1-2-3-4,186
1,3,1000187,3-6-7-8-11,0-1-2-3-4,187
1,3,1000188,3-6-7-8-11,0-1-2-3-4,188
1,3,1000189,3-6-7-8-11,0-1-2-3-4,189
1,3,1000190,3-6-7-8-11,0-1-2-3-4,190
1,3,1000191,3-6-7-8-11,0-1-2-3-4,191
1,3,1000192,3-6-7-8-11,0-1-2-3-4,192
1,3,1000193,3-6-7-8-11,0-1-2-3-4,193
1,3,1000194,3-6-7-8-11,0-1-2-3-4,194
1,3,1000195,3-6-7-8-11,0-1-2-3-4,195
1,3,1000196,3-6-7-8-11,0-1-2-3-4,196
1,3,1000197,3-6-7-8-11,0-1-2-3-4,197
1,3,1000198,3-6-7-8-11,0-1-2-3-4,198
1,3,1000199,3-6-7-8-11,0-1-2-3-4,199
1,3,1000200,3-6-7-8-11,0-1-2-3-4,200
1,3,1000201,3-6-7-8-11,0-1-2-3-4,201
1,3,1000202,3-6-7-8-11,0-1-2-3-4,203
1,3,1000203,3-6-7-8-11,0-1-2-3-4,205
1,3,1000204,3-6-7-8-11,0-1-2-3-4,207
1,3,1000205,3-6-7-8-11,0-1-2-3-4,209
1,3,1000206,3-6-7-8-11,0-1-2-3-4,211
1,3,1000207,3-6-7-8-11,0-1-2-3-4,213
1,3,1000208,3-6-7-8-11,0-1-2-3-4,215
1,3,1000209,3-6-7-8-11,0-1-2-3-4,217
1,3,1000210,3-6-7-8-11,0-1-2-3-4,219
1,3,1000211,3-6-7-8-11,0-1-2-3-4,221
1,3,1000212,3-6-7-8-11,0-1-2-3-4,223
1,3,1000213,3-6-7-8-11,0-1-2-3-4,225
1,3,1000214,3-6-7-8-11,0-1-2-3-4,227
1,3,1000215,3-6-7-8-11,0-1-2-3-4,229
1,3,1000216,3-6-7-8-11,0-1-2-3-4,231
1,3,1000217,3-6-7-8-11,0-1-2-3-4,233
1,3,1000218,3-6-7-8-11,0-1-2-3-4,235
1,3,1000219,3-6-7-8-11,0-1-2-3-4,237
1,3,1000220,3-6-7-8-11,0-1-2-3-4,239
1,3,1000221,3-6-7-8-11,0-1-2-3-4,241
1,3,1000222,3-6-7-8-11,0-1-2-3-4,243
1,3,1000223,3-6-7-8-11,0-1-2-3-4,245
1,3,1000224,3-6-7-8-11,0-1-2-3-4,247
1,3,1000225,3-6-7-8-11,0-1-2-3-4,249
1,3,1000226,3-6-7-8-11,0-1-2-3-4,251
1,3,1000227,3-6-7-8-11,0-1-2-3-4,253
1,3,1000228,3-6-7-8-11,0-1-2-3-4,255
1,3,1000229,3-6-7-8-11,0-1-2-3-4,257
1,3,1000230,3-6-7-8-11,0-1-2-3-4,259
1,3,1000231,3-6-7-8-11,0-1-2-3-4,261
1,3,1000232,3-6-7-8-11,0-1-2-3-4,263
1,3,1000233,3-6-7-8-11,0-1-2-3-4,265
1,3,1000234,3-6-7-8-11,0-1-2-3-4,267
1,3,1000235,3-6-7-8-11,0-1-2-3-4,269
1,3,1000236,3-6-7-8-11,0-1-2-3-4,271
1,3,1000237,3-6-7-8-11,0-1-2-3-4,273
1,3,1000238,3-6-7-8-11,0-1-2-3-4,275
1,3,1000239,3-6-7-8-11,0-1-2-3-4,277
1,3,1000240,3-6-7-8-11,0-1-2-3-4,279
1,4,1010001,3-6-7-8-11,0-1-2-3-4,1
1,4,1010002,3-6-7-8-11,0-1-2-3-4,2
1,4,1010003,3-6-7-8-11,0-1-2-3-4,3
1,4,1010004,3-6-7-8-11,0-1-2-3-4,4
1,4,1010005,3-6-7-8-11,0-1-2-3-4,5
1,4,1010006,3-6-7-8-11,0-1-2-3-4,6
1,4,1010007,3-6-7-8-11,0-1-2-3-4,7
1,4,1010008,3-6-7-8-11,0-1-2-3-4,8
1,4,1010009,3-6-7-8-11,0-1-2-3-4,9
1,4,1010010,3-6-7-8-11,0-1-2-3-4,10
1,4,1010011,3-6-7-8-11,0-1-2-3-4,11
1,4,1010012,3-6-7-8-11,0-1-2-3-4,12
1,4,1010013,3-6-7-8-11,0-1-2-3-4,13
1,4,1010014,3-6-7-8-11,0-1-2-3-4,14
1,4,1010015,3-6-7-8-11,0-1-2-3-4,15
1,4,1010016,3-6-7-8-11,0-1-2-3-4,16
1,4,1010017,3-6-7-8-11,0-1-2-3-4,17
1,4,1010018,3-6-7-8-11,0-1-2-3-4,18
1,4,1010019,3-6-7-8-11,0-1-2-3-4,19
1,4,1010020,3-6-7-8-11,0-1-2-3-4,20
1,4,1010021,3-6-7-8-11,0-1-2-3-4,21
1,4,1010022,3-6-7-8-11,0-1-2-3-4,22
1,4,1010023,3-6-7-8-11,0-1-2-3-4,23
1,4,1010024,3-6-7-8-11,0-1-2-3-4,24
1,4,1010025,3-6-7-8-11,0-1-2-3-4,25
1,4,1010026,3-6-7-8-11,0-1-2-3-4,26
1,4,1010027,3-6-7-8-11,0-1-2-3-4,27
1,4,1010028,3-6-7-8-11,0-1-2-3-4,28
1,4,1010029,3-6-7-8-11,0-1-2-3-4,29
1,4,1010030,3-6-7-8-11,0-1-2-3-4,30
1,4,1010031,3-6-7-8-11,0-1-2-3-4,31
1,4,1010032,3-6-7-8-11,0-1-2-3-4,32
1,4,1010033,3-6-7-8-11,0-1-2-3-4,33
1,4,1010034,3-6-7-8-11,0-1-2-3-4,34
1,4,1010035,3-6-7-8-11,0-1-2-3-4,35
1,4,1010036,3-6-7-8-11,0-1-2-3-4,36
1,4,1010037,3-6-7-8-11,0-1-2-3-4,37
1,4,1010038,3-6-7-8-11,0-1-2-3-4,38
1,4,1010039,3-6-7-8-11,0-1-2-3-4,39
1,4,1010040,3-6-7-8-11,0-1-2-3-4,40
1,4,1010041,3-6-7-8-11,0-1-2-3-4,41
1,4,1010042,3-6-7-8-11,0-1-2-3-4,42
1,4,1010043,3-6-7-8-11,0-1-2-3-4,43
1,4,1010044,3-6-7-8-11,0-1-2-3-4,44
1,4,1010045,3-6-7-8-11,0-1-2-3-4,45
1,4,1010046,3-6-7-8-11,0-1-2-3-4,46
1,4,1010047,3-6-7-8-11,0-1-2-3-4,47
1,4,1010048,3-6-7-8-11,0-1-2-3-4,48
1,4,1010049,3-6-7-8-11,0-1-2-3-4,49
1,4,1010050,3-6-7-8-11,0-1-2-3-4,50
1,4,1010051,3-6-7-8-11,0-1-2-3-4,51
1,4,1010052,3-6-7-8-11,0-1-2-3-4,52
1,4,1010053,3-6-7-8-11,0-1-2-3-4,53
1,4,1010054,3-6-7-8-11,0-1-2-3-4,54
1,4,1010055,3-6-7-8-11,0-1-2-3-4,55
1,4,1010056,3-6-7-8-11,0-1-2-3-4,56
1,4,1010057,3-6-7-8-11,0-1-2-3-4,57
1,4,1010058,3-6-7-8-11,0-1-2-3-4,58
1,4,1010059,3-6-7-8-11,0-1-2-3-4,59
1,4,1010060,3-6-7-8-11,0-1-2-3-4,60
1,4,1010061,3-6-7-8-11,0-1-2-3-4,61
1,4,1010062,3-6-7-8-11,0-1-2-3-4,62
1,4,1010063,3-6-7-8-11,0-1-2-3-4,63
1,4,1010064,3-6-7-8-11,0-1-2-3-4,64
1,4,1010065,3-6-7-8-11,0-1-2-3-4,65
1,4,1010066,3-6-7-8-11,0-1-2-3-4,66
1,4,1010067,3-6-7-8-11,0-1-2-3-4,67
1,4,1010068,3-6-7-8-11,0-1-2-3-4,68
1,4,1010069,3-6-7-8-11,0-1-2-3-4,69
1,4,1010070,3-6-7-8-11,0-1-2-3-4,70
1,4,1010071,3-6-7-8-11,0-1-2-3-4,71
1,4,1010072,3-6-7-8-11,0-1-2-3-4,72
1,4,1010073,3-6-7-8-11,0-1-2-3-4,73
1,4,1010074,3-6-7-8-11,0-1-2-3-4,74
1,4,1010075,3-6-7-8-11,0-1-2-3-4,75
1,4,1010076,3-6-7-8-11,0-1-2-3-4,76
1,4,1010077,3-6-7-8-11,0-1-2-3-4,77
1,4,1010078,3-6-7-8-11,0-1-2-3-4,78
1,4,1010079,3-6-7-8-11,0-1-2-3-4,79
1,4,1010080,3-6-7-8-11,0-1-2-3-4,80
1,4,1010081,3-6-7-8-11,0-1-2-3-4,81
1,4,1010082,3-6-7-8-11,0-1-2-3-4,82
1,4,1010083,3-6-7-8-11,0-1-2-3-4,83
1,4,1010084,3-6-7-8-11,0-1-2-3-4,84
1,4,1010085,3-6-7-8-11,0-1-2-3-4,85
1,4,1010086,3-6-7-8-11,0-1-2-3-4,86
1,4,1010087,3-6-7-8-11,0-1-2-3-4,87
1,4,1010088,3-6-7-8-11,0-1-2-3-4,88
1,4,1010089,3-6-7-8-11,0-1-2-3-4,89
1,4,1010090,3-6-7-8-11,0-1-2-3-4,90
1,4,1010091,3-6-7-8-11,0-1-2-3-4,91
1,4,1010092,3-6-7-8-11,0-1-2-3-4,92
1,4,1010093,3-6-7-8-11,0-1-2-3-4,93
1,4,1010094,3-6-7-8-11,0-1-2-3-4,94
1,4,1010095,3-6-7-8-11,0-1-2-3-4,95
1,4,1010096,3-6-7-8-11,0-1-2-3-4,96
1,4,1010097,3-6-7-8-11,0-1-2-3-4,97
1,4,1010098,3-6-7-8-11,0-1-2-3-4,98
1,4,1010099,3-6-7-8-11,0-1-2-3-4,99
1,4,1010100,3-6-7-8-11,0-1-2-3-4,100
1,4,1010101,3-6-7-8-11,0-1-2-3-4,101
1,4,1010102,3-6-7-8-11,0-1-2-3-4,102
1,4,1010103,3-6-7-8-11,0-1-2-3-4,103
1,4,1010104,3-6-7-8-11,0-1-2-3-4,104
1,4,1010105,3-6-7-8-11,0-1-2-3-4,105
1,4,1010106,3-6-7-8-11,0-1-2-3-4,106
1,4,1010107,3-6-7-8-11,0-1-2-3-4,107
1,4,1010108,3-6-7-8-11,0-1-2-3-4,108
1,4,1010109,3-6-7-8-11,0-1-2-3-4,109
1,4,1010110,3-6-7-8-11,0-1-2-3-4,110
1,4,1010111,3-6-7-8-11,0-1-2-3-4,111
1,4,1010112,3-6-7-8-11,0-1-2-3-4,112
1,4,1010113,3-6-7-8-11,0-1-2-3-4,113
1,4,1010114,3-6-7-8-11,0-1-2-3-4,114
1,4,1010115,3-6-7-8-11,0-1-2-3-4,115
1,4,1010116,3-6-7-8-11,0-1-2-3-4,116
1,4,1010117,3-6-7-8-11,0-1-2-3-4,117
1,4,1010118,3-6-7-8-11,0-1-2-3-4,118
1,4,1010119,3-6-7-8-11,0-1-2-3-4,119
1,4,1010120,3-6-7-8-11,0-1-2-3-4,120
1,4,1010121,3-6-7-8-11,0-1-2-3-4,121
1,4,1010122,3-6-7-8-11,0-1-2-3-4,122
1,4,1010123,3-6-7-8-11,0-1-2-3-4,123
1,4,1010124,3-6-7-8-11,0-1-2-3-4,124
1,4,1010125,3-6-7-8-11,0-1-2-3-4,125
1,4,1010126,3-6-7-8-11,0-1-2-3-4,126
1,4,1010127,3-6-7-8-11,0-1-2-3-4,127
1,4,1010128,3-6-7-8-11,0-1-2-3-4,128
1,4,1010129,3-6-7-8-11,0-1-2-3-4,129
1,4,1010130,3-6-7-8-11,0-1-2-3-4,130
1,4,1010131,3-6-7-8-11,0-1-2-3-4,131
1,4,1010132,3-6-7-8-11,0-1-2-3-4,132
1,4,1010133,3-6-7-8-11,0-1-2-3-4,133
1,4,1010134,3-6-7-8-11,0-1-2-3-4,134
1,4,1010135,3-6-7-8-11,0-1-2-3-4,135
1,4,1010136,3-6-7-8-11,0-1-2-3-4,136
1,4,1010137,3-6-7-8-11,0-1-2-3-4,137
1,4,1010138,3-6-7-8-11,0-1-2-3-4,138
1,4,1010139,3-6-7-8-11,0-1-2-3-4,139
1,4,1010140,3-6-7-8-11,0-1-2-3-4,140
1,4,1010141,3-6-7-8-11,0-1-2-3-4,141
1,4,1010142,3-6-7-8-11,0-1-2-3-4,142
1,4,1010143,3-6-7-8-11,0-1-2-3-4,143
1,4,1010144,3-6-7-8-11,0-1-2-3-4,144
1,4,1010145,3-6-7-8-11,0-1-2-3-4,145
1,4,1010146,3-6-7-8-11,0-1-2-3-4,146
1,4,1010147,3-6-7-8-11,0-1-2-3-4,147
1,4,1010148,3-6-7-8-11,0-1-2-3-4,148
1,4,1010149,3-6-7-8-11,0-1-2-3-4,149
1,4,1010150,3-6-7-8-11,0-1-2-3-4,150
1,4,1010151,3-6-7-8-11,0-1-2-3-4,151
1,4,1010152,3-6-7-8-11,0-1-2-3-4,152
1,4,1010153,3-6-7-8-11,0-1-2-3-4,153
1,4,1010154,3-6-7-8-11,0-1-2-3-4,154
1,4,1010155,3-6-7-8-11,0-1-2-3-4,155
1,4,1010156,3-6-7-8-11,0-1-2-3-4,156
1,4,1010157,3-6-7-8-11,0-1-2-3-4,157
1,4,1010158,3-6-7-8-11,0-1-2-3-4,158
1,4,1010159,3-6-7-8-11,0-1-2-3-4,159
1,4,1010160,3-6-7-8-11,0-1-2-3-4,160
1,4,1010161,3-6-7-8-11,0-1-2-3-4,161
1,4,1010162,3-6-7-8-11,0-1-2-3-4,162
1,4,1010163,3-6-7-8-11,0-1-2-3-4,163
1,4,1010164,3-6-7-8-11,0-1-2-3-4,164
1,4,1010165,3-6-7-8-11,0-1-2-3-4,165
1,4,1010166,3-6-7-8-11,0-1-2-3-4,166
1,4,1010167,3-6-7-8-11,0-1-2-3-4,167
1,4,1010168,3-6-7-8-11,0-1-2-3-4,168
1,4,1010169,3-6-7-8-11,0-1-2-3-4,169
1,4,1010170,3-6-7-8-11,0-1-2-3-4,170
1,4,1010171,3-6-7-8-11,0-1-2-3-4,171
1,4,1010172,3-6-7-8-11,0-1-2-3-4,172
1,4,1010173,3-6-7-8-11,0-1-2-3-4,173
1,4,1010174,3-6-7-8-11,0-1-2-3-4,174
1,4,1010175,3-6-7-8-11,0-1-2-3-4,175
1,4,1010176,3-6-7-8-11,0-1-2-3-4,176
1,4,1010177,3-6-7-8-11,0-1-2-3-4,177
1,4,1010178,3-6-7-8-11,0-1-2-3-4,178
1,4,1010179,3-6-7-8-11,0-1-2-3-4,179
1,4,1010180,3-6-7-8-11,0-1-2-3-4,180
1,4,1010181,3-6-7-8-11,0-1-2-3-4,181
1,4,1010182,3-6-7-8-11,0-1-2-3-4,182
1,4,1010183,3-6-7-8-11,0-1-2-3-4,183
1,4,1010184,3-6-7-8-11,0-1-2-3-4,184
1,4,1010185,3-6-7-8-11,0-1-2-3-4,185
1,4,1010186,3-6-7-8-11,0-1-2-3-4,186
1,4,1010187,3-6-7-8-11,0-1-2-3-4,187
1,4,1010188,3-6-7-8-11,0-1-2-3-4,188
1,4,1010189,3-6-7-8-11,0-1-2-3-4,189
1,4,1010190,3-6-7-8-11,0-1-2-3-4,190
1,4,1010191,3-6-7-8-11,0-1-2-3-4,191
1,4,1010192,3-6-7-8-11,0-1-2-3-4,192
1,4,1010193,3-6-7-8-11,0-1-2-3-4,193
1,4,1010194,3-6-7-8-11,0-1-2-3-4,194
1,4,1010195,3-6-7-8-11,0-1-2-3-4,195
1,4,1010196,3-6-7-8-11,0-1-2-3-4,196
1,4,1010197,3-6-7-8-11,0-1-2-3-4,197
1,4,1010198,3-6-7-8-11,0-1-2-3-4,198
1,4,1010199,3-6-7-8-11,0-1-2-3-4,199
1,4,1010200,3-6-7-8-11,0-1-2-3-4,200
1,4,1010201,3-6-7-8-11,0-1-2-3-4,201
1,4,1010202,3-6-7-8-11,0-1-2-3-4,203
1,4,1010203,3-6-7-8-11,0-1-2-3-4,205
1,4,1010204,3-6-7-8-11,0-1-2-3-4,207
1,4,1010205,3-6-7-8-11,0-1-2-3-4,209
1,4,1010206,3-6-7-8-11,0-1-2-3-4,211
1,4,1010207,3-6-7-8-11,0-1-2-3-4,213
1,4,1010208,3-6-7-8-11,0-1-2-3-4,215
1,4,1010209,3-6-7-8-11,0-1-2-3-4,217
1,4,1010210,3-6-7-8-11,0-1-2-3-4,219
1,4,1010211,3-6-7-8-11,0-1-2-3-4,221
1,4,1010212,3-6-7-8-11,0-1-2-3-4,223
1,4,1010213,3-6-7-8-11,0-1-2-3-4,225
1,4,1010214,3-6-7-8-11,0-1-2-3-4,227
1,4,1010215,3-6-7-8-11,0-1-2-3-4,229
1,4,1010216,3-6-7-8-11,0-1-2-3-4,231
1,4,1010217,3-6-7-8-11,0-1-2-3-4,233
1,4,1010218,3-6-7-8-11,0-1-2-3-4,235
1,4,1010219,3-6-7-8-11,0-1-2-3-4,237
1,4,1010220,3-6-7-8-11,0-1-2-3-4,239
1,4,1010221,3-6-7-8-11,0-1-2-3-4,241
1,4,1010222,3-6-7-8-11,0-1-2-3-4,243
1,4,1010223,3-6-7-8-11,0-1-2-3-4,245
1,4,1010224,3-6-7-8-11,0-1-2-3-4,247
