ID,Group,AppStoreType,CurrencyCode,Price,Gold,BonusGold,SendGold,USD,CNY,HKD,DropID,AccumulateValue,ICON,GooglePlay,AppStore,Type,IsOn,IsSendMail,VersionControl
801,,GooglePlay,,,45,,150,1,,,,3,Icon/Item/Shop/UI30_Shop_Diamod_00,auer.gp.moba.gema_150,,,1,,60
802,,GooglePlay,,,225,15,750,5,,,,15,Icon/Item/Shop/UI30_Shop_Diamod_01,auer.gp.moba.gema_750,,,1,,60
803,,GooglePlay,,,,,1500,10,,,,30,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba.gema_1500,,,1,,60
804,,GooglePlay,,,450,30,2250,15,,,,45,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba.gema_2250,,,1,,60
805,,GooglePlay,,,2250,450,4730,30,,,,90,Icon/Item/Shop/UI30_Shop_Diamod_03,auer.gp.moba.gema_4730,,,1,,60
806,,GooglePlay,,,885,115,8250,50,,,,150,Icon/Item/Shop/UI30_Shop_Diamod_04,auer.gp.moba.gema_8250,,,1,,60
807,,GooglePlay,,,1440,260,13800,80,,,,240,Icon/Item/Shop/UI30_Shop_Diamod_05,auer.gp.moba.gema_13800,,,1,,60
851,,GooglePlay,,,45,,,1,,,999011,3,Icon/Item/Shop/UI30_Shop_SpecialDiamod_00,auer.gp.moba.rainbow_75,,,1,,60
852,,GooglePlay,,,225,15,,5,,,999012,15,Icon/Item/Shop/UI30_Shop_SpecialDiamod_01,auer.gp.moba.rainbow_380,,,1,,60
853,,GooglePlay,,,,,,10,,,999013,30,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba.rainbow_760,,,1,,60
854,,GooglePlay,,,450,30,,15,,,999014,45,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba.rainbow_1140,,,1,,60
855,,GooglePlay,,,2250,450,,30,,,999015,90,Icon/Item/Shop/UI30_Shop_SpecialDiamod_03,auer.gp.moba.rainbow_2280,,,1,,60
856,,GooglePlay,,,885,115,,50,,,999016,150,Icon/Item/Shop/UI30_Shop_SpecialDiamod_04,auer.gp.moba.rainbow_3800,,,1,,60
857,,GooglePlay,,,1440,260,,80,,,999019,240,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,auer.gp.moba.rainbow_6080,,,1,,60
901,,AppleAppStore,,,45,,150,1,,,,3,Icon/Item/Shop/UI30_Shop_Diamod_00,,auer.ap.moba.gem_150,,1,,60
902,,AppleAppStore,,,225,15,750,5,,,,15,Icon/Item/Shop/UI30_Shop_Diamod_01,,auer.ap.moba.gem_750,,1,,60
903,,AppleAppStore,,,,,1500,10,,,,30,Icon/Item/Shop/UI30_Shop_Diamod_02,,auer.ap.moba.gem_1500,,1,,60
904,,AppleAppStore,,,450,30,2250,15,,,,45,Icon/Item/Shop/UI30_Shop_Diamod_02,,auer.ap.moba.gem_2250,,1,,60
905,,AppleAppStore,,,2250,450,4730,30,,,,90,Icon/Item/Shop/UI30_Shop_Diamod_03,,auer.ap.moba.gem_4730,,1,,60
906,,AppleAppStore,,,885,115,8250,50,,,,150,Icon/Item/Shop/UI30_Shop_Diamod_04,,auer.ap.moba.gem_8250,,1,,60
907,,AppleAppStore,,,1440,260,13800,80,,,,240,Icon/Item/Shop/UI30_Shop_Diamod_05,,auer.ap.moba.gem_13800,,1,,60
951,,AppleAppStore,,,45,,,1,,,999011,3,Icon/Item/Shop/UI30_Shop_SpecialDiamod_00,,auer.ap.moba.rainbow_75,,1,,60
952,,AppleAppStore,,,225,15,,5,,,999012,15,Icon/Item/Shop/UI30_Shop_SpecialDiamod_01,,auer.ap.moba.rainbow_380,,1,,60
953,,AppleAppStore,,,,,,10,,,999013,30,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,,auer.ap.moba.rainbow_760,,1,,60
954,,AppleAppStore,,,450,30,,15,,,999014,45,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,,auer.ap.moba.rainbow_1140,,1,,60
955,,AppleAppStore,,,2250,450,,30,,,999015,90,Icon/Item/Shop/UI30_Shop_SpecialDiamod_03,,auer.ap.moba.rainbow_2280,,1,,60
956,,AppleAppStore,,,885,115,,50,,,999016,150,Icon/Item/Shop/UI30_Shop_SpecialDiamod_04,,auer.ap.moba.rainbow_3800,,1,,60
957,,AppleAppStore,,,1440,260,,80,,,999019,240,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,,auer.ap.moba.rainbow_6080,,1,,60
1801,,GooglePlay,,,45,,150,0.99,,,,3,Icon/Item/Shop/UI30_Shop_Diamod_00,auer.gp.moba.gems_00150,,,1,,61
1802,,GooglePlay,,,225,15,750,4.99,,,,15,Icon/Item/Shop/UI30_Shop_Diamod_01,auer.gp.moba.gems_00750,,,1,,61
1803,,GooglePlay,,,,,1500,9.99,,,,30,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba.gems_01500,,,1,,61
1804,,GooglePlay,,,450,30,2250,14.99,,,,45,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba.gems_02250,,,1,,61
1805,,GooglePlay,,,2250,450,4730,29.99,,,,90,Icon/Item/Shop/UI30_Shop_Diamod_03,auer.gp.moba.gems_04730,,,1,,61
1806,,GooglePlay,,,885,115,8250,49.99,,,,150,Icon/Item/Shop/UI30_Shop_Diamod_04,auer.gp.moba.gems_08250,,,1,,61
1807,,GooglePlay,,,1440,260,13800,79.99,,,,240,Icon/Item/Shop/UI30_Shop_Diamod_05,auer.gp.moba.gems_13800,,,1,,61
1808,,GooglePlay,,,1440,260,18000,99.99,,,,300,Icon/Item/Shop/UI30_Shop_Diamod_05Up_2,auer.gp.moba.gems_18000,,,1,,61
1851,,GooglePlay,,,45,,,0.99,,,999011,3,Icon/Item/Shop/UI30_Shop_SpecialDiamod_00,auer.gp.moba.rainbow_00075,,,1,,61
1852,,GooglePlay,,,225,15,,4.99,,,999012,15,Icon/Item/Shop/UI30_Shop_SpecialDiamod_01,auer.gp.moba.rainbow_00380,,,1,,61
1853,,GooglePlay,,,,,,9.99,,,999013,30,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba.rainbow_00760,,,1,,61
1854,,GooglePlay,,,450,30,,14.99,,,999014,45,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba.rainbow_01140,,,1,,61
1855,,GooglePlay,,,2250,450,,29.99,,,999015,90,Icon/Item/Shop/UI30_Shop_SpecialDiamod_03,auer.gp.moba.rainbow_02280,,,1,,61
1856,,GooglePlay,,,885,115,,49.99,,,999016,150,Icon/Item/Shop/UI30_Shop_SpecialDiamod_04,auer.gp.moba.rainbow_03800,,,1,,61
1857,,GooglePlay,,,1440,260,,79.99,,,999019,240,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,auer.gp.moba.rainbow_06080,,,1,,61
1858,,GooglePlay,,,1440,260,,99.99,,,999017,300,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,auer.gp.moba.rainbow_07600,,,1,,61
1901,,AppleAppStore,,,45,,150,0.99,,,,3,Icon/Item/Shop/UI30_Shop_Diamod_00,,good.ios.moba.gems_00150,,1,,61
1902,,AppleAppStore,,,225,15,750,4.99,,,,15,Icon/Item/Shop/UI30_Shop_Diamod_01,,good.ios.moba.gems_00750,,1,,61
1903,,AppleAppStore,,,,,1500,9.99,,,,30,Icon/Item/Shop/UI30_Shop_Diamod_02,,good.ios.moba.gems_01500,,1,,61
1904,,AppleAppStore,,,450,30,2250,14.99,,,,45,Icon/Item/Shop/UI30_Shop_Diamod_02,,good.ios.moba.gems_02250,,1,,61
1905,,AppleAppStore,,,2250,450,4730,29.99,,,,90,Icon/Item/Shop/UI30_Shop_Diamod_03,,good.ios.moba.gems_04730,,1,,61
1906,,AppleAppStore,,,885,115,8250,49.99,,,,150,Icon/Item/Shop/UI30_Shop_Diamod_04,,good.ios.moba.gems_08250,,1,,61
1907,,AppleAppStore,,,1440,260,13800,79.99,,,,240,Icon/Item/Shop/UI30_Shop_Diamod_05,,good.ios.moba.gems_13800,,1,,61
1908,,AppleAppStore,,,1440,260,18000,99.99,,,,300,Icon/Item/Shop/UI30_Shop_Diamod_05Up_2,,good.ios.moba.gems_18000,,1,,61
1951,,AppleAppStore,,,45,,,0.99,,,999011,3,Icon/Item/Shop/UI30_Shop_SpecialDiamod_00,,good.ios.moba.rainbow_00075,,1,,61
1952,,AppleAppStore,,,225,15,,4.99,,,999012,15,Icon/Item/Shop/UI30_Shop_SpecialDiamod_01,,good.ios.moba.rainbow_00380,,1,,61
1953,,AppleAppStore,,,,,,9.99,,,999013,30,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,,good.ios.moba.rainbow_00760,,1,,61
1954,,AppleAppStore,,,450,30,,14.99,,,999014,45,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,,good.ios.moba.rainbow_01140,,1,,61
1955,,AppleAppStore,,,2250,450,,29.99,,,999015,90,Icon/Item/Shop/UI30_Shop_SpecialDiamod_03,,good.ios.moba.rainbow_02280,,1,,61
1956,,AppleAppStore,,,885,115,,49.99,,,999016,150,Icon/Item/Shop/UI30_Shop_SpecialDiamod_04,,good.ios.moba.rainbow_03800,,1,,61
1957,,AppleAppStore,,,1440,260,,79.99,,,999019,240,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,,good.ios.moba.rainbow_06080,,1,,61
1958,,AppleAppStore,,,1440,260,,99.99,,,999017,300,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,,good.ios.moba.rainbow_07600,,1,,61
301,,EcchiGamer,HoneyP,120,45,,260,1.82,12,14,,5,Icon/Item/Shop/UI30_Shop_Diamod_00,auer.gp.moba_00045,,,1,,
302,,EcchiGamer,HoneyP,350,225,15,825,5.32,35,42,,15,Icon/Item/Shop/UI30_Shop_Diamod_01Up,auer.gp.moba_00230,,,1,,
303,,EcchiGamer,HoneyP,500,,,1200,7.6,50,60,,20,Icon/Item/Shop/UI30_Shop_Diamod_02Up,auer.gp.moba_00230,,,1,,
304,,EcchiGamer,HoneyP,700,450,30,1725,10.64,70,84,,30,Icon/Item/Shop/UI30_Shop_Diamod_02Up,auer.gp.moba_00470,,,1,,
305,,EcchiGamer,HoneyP,1050,2250,450,2590,15.95,105,126,,45,Icon/Item/Shop/UI30_Shop_Diamod_02Up,auer.gp.moba_02585,,,1,,
306,,EcchiGamer,HoneyP,2130,885,115,5400,32.36,213,256,,90,Icon/Item/Shop/UI30_Shop_Diamod_03Up,auer.gp.moba_00950,,,1,,
307,,EcchiGamer,HoneyP,3550,1440,260,9500,53.94,355,426,,150,Icon/Item/Shop/UI30_Shop_Diamod_04Up,auer.gp.moba_01600,,,1,,
308,,EcchiGamer,HoneyP,7000,2250,450,19500,106.35,700,840,,300,Icon/Item/Shop/UI30_Shop_Diamod_05Up,auer.gp.moba_02585,,,1,,
351,,EcchiGamer,HoneyP,120,45,,,1.82,12,14,999004,5,Icon/Item/Shop/UI30_Shop_SpecialDiamod_00,auer.gp.moba_00045,,,1,,
352,,EcchiGamer,HoneyP,350,225,15,,5.32,35,42,999005,15,Icon/Item/Shop/UI30_Shop_SpecialDiamod_01,auer.gp.moba_00230,,,1,,
353,,EcchiGamer,HoneyP,500,,,,7.6,50,60,999018,20,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00470,,,1,,
354,,EcchiGamer,HoneyP,700,450,30,,10.64,70,84,999006,30,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00470,,,1,,
355,,EcchiGamer,HoneyP,1050,2250,450,,15.95,105,126,999007,45,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_02585,,,1,,
356,,EcchiGamer,HoneyP,2130,885,115,,32.36,213,256,999008,90,Icon/Item/Shop/UI30_Shop_SpecialDiamod_03,auer.gp.moba_00950,,,1,,
357,,EcchiGamer,HoneyP,3550,1440,260,,53.94,355,426,999009,150,Icon/Item/Shop/UI30_Shop_SpecialDiamod_04,auer.gp.moba_01600,,,1,,
358,,EcchiGamer,HoneyP,7000,2250,450,,106.35,700,840,999010,300,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,auer.gp.moba_02585,,,1,,
4001,,Steam,USD,120,45,,260,1.82,12,14,,5,Icon/Item/Shop/UI30_Shop_Diamod_00,auer.gp.moba_00045,,,1,,
4002,,Steam,USD,350,225,15,825,5.32,35,42,,15,Icon/Item/Shop/UI30_Shop_Diamod_01Up,auer.gp.moba_00230,,,1,,
4003,,Steam,USD,500,,,1200,7.6,50,60,,20,Icon/Item/Shop/UI30_Shop_Diamod_02Up,auer.gp.moba_00230,,,1,,
4004,,Steam,USD,700,450,30,1725,10.64,70,84,,30,Icon/Item/Shop/UI30_Shop_Diamod_02Up,auer.gp.moba_00470,,,1,,
4005,,Steam,USD,1050,2250,450,2590,15.95,105,126,,45,Icon/Item/Shop/UI30_Shop_Diamod_02Up,auer.gp.moba_02585,,,1,,
4006,,Steam,USD,2130,885,115,5400,32.36,213,256,,90,Icon/Item/Shop/UI30_Shop_Diamod_03Up,auer.gp.moba_00950,,,1,,
4007,,Steam,USD,3550,1440,260,9500,53.94,355,426,,150,Icon/Item/Shop/UI30_Shop_Diamod_04Up,auer.gp.moba_01600,,,1,,
4008,,Steam,USD,7000,2250,450,19500,106.35,700,840,,300,Icon/Item/Shop/UI30_Shop_Diamod_05Up,auer.gp.moba_02585,,,1,,
4501,,Steam,USD,120,45,,,1.82,12,14,999004,5,Icon/Item/Shop/UI30_Shop_SpecialDiamod_00,auer.gp.moba_00045,,,1,,
4502,,Steam,USD,350,225,15,,5.32,35,42,999005,15,Icon/Item/Shop/UI30_Shop_SpecialDiamod_01,auer.gp.moba_00230,,,1,,
4503,,Steam,USD,500,,,,7.6,50,60,999018,20,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00470,,,1,,
4504,,Steam,USD,700,450,30,,10.64,70,84,999006,30,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_00470,,,1,,
4505,,Steam,USD,1050,2250,450,,15.95,105,126,999007,45,Icon/Item/Shop/UI30_Shop_SpecialDiamod_02,auer.gp.moba_02585,,,1,,
4506,,Steam,USD,2130,885,115,,32.36,213,256,999008,90,Icon/Item/Shop/UI30_Shop_SpecialDiamod_03,auer.gp.moba_00950,,,1,,
4507,,Steam,USD,3550,1440,260,,53.94,355,426,999009,150,Icon/Item/Shop/UI30_Shop_SpecialDiamod_04,auer.gp.moba_01600,,,1,,
4508,,Steam,USD,7000,2250,450,,106.35,700,840,999010,300,Icon/Item/Shop/UI30_Shop_SpecialDiamod_05,auer.gp.moba_02585,,,1,,
8,6,Eroges,Erogold,100,45,,,1,,,,,,auer.gp.moba_00045,,,1,,
9,6,Eroges,Erogold,500,225,15,,5,,,,,,auer.gp.moba_00230,,,1,,
10,6,Eroges,Erogold,1000,450,30,,10,,,,,,auer.gp.moba_00470,,,1,,
11,6,Eroges,Erogold,2500,885,115,,25,,,,,,auer.gp.moba_00950,,,1,,
12,6,Eroges,Erogold,5000,1440,260,,50,,,,,,auer.gp.moba_01600,,,1,,
13,6,Eroges,Erogold,10000,2250,450,,100,,,,,,auer.gp.moba_02585,,,1,,
14,6,Eroges,Erogold,1500,1440,260,,15,,,,,,auer.gp.moba_01600,,,1,,
20,8,Eroges,Erogold,1000,2250,450,,10,,,,,,auer.gp.moba_02585,,,1,,
201,1,Eroges,Erogold,500,2250,450,,5,,,,,,auer.gp.moba_02585,,,1,,
202,1,Eroges,Erogold,1000,2250,450,,10,,,,,,auer.gp.moba_02585,,,1,,
203,2,GooglePlay,,,2250,450,,4.99,,,,,,auer.gp.moba_autorenew_monthcard1,,,1,,
204,3,GooglePlay,,,2250,450,,9.99,,,,,,auer.gp.moba_autorenew_monthcard2,,,1,,
205,2,AppleAppStore,,,2250,450,,4.99,,,,,,,,,1,,
206,3,AppleAppStore,,,2250,450,,9.99,,,,,,,,,1,,
1001,1,Eroges,Erogold,100,,,,1,,,,,,auer.gp.moba_02585,,,1,,
1002,1,Eroges,Erogold,100,,,,1,,,,,,auer.gp.moba_02585,,,1,,
1003,1,Eroges,Erogold,300,,,,3,,,,,,auer.gp.moba_02585,,,1,,
1004,1,Eroges,Erogold,300,,,,3,,,,,,auer.gp.moba_02585,,,1,,
1005,1,Eroges,Erogold,300,,,,3,,,,,,auer.gp.moba_02585,,,1,,
1006,1,Eroges,Erogold,300,,,,3,,,,,,auer.gp.moba_02585,,,1,,
1007,1,Eroges,Erogold,300,,,,3,,,,,,auer.gp.moba_02585,,,1,,
1008,1,Eroges,Erogold,200,,,,2,,,,,,auer.gp.moba_02585,,,1,,
1009,1,Eroges,Erogold,100,,,,1,,,,,,auer.gp.moba_02585,,,1,,
1010,1,Eroges,Erogold,600,,,,6,,,,,,auer.gp.moba_02585,,,1,,
1011,1,Eroges,Erogold,1000,,,,10,,,,,,auer.gp.moba_02585,,,1,,
1012,1,Eroges,Erogold,400,,,,4,,,,,,auer.gp.moba_02585,,,1,,
1013,1,Eroges,Erogold,700,,,,7,,,,,,auer.gp.moba_02585,,,1,,
1014,1,Eroges,Erogold,5000,,,,50,,,,,,auer.gp.moba_02585,,,1,,
2001,1,Eroges,Erogold,2500,2250,450,,25,,,,,,auer.gp.moba_02585,,,1,,
2002,1,Eroges,Erogold,5000,2250,450,,50,,,,,,auer.gp.moba_02585,,,1,,
2003,1,Eroges,Erogold,10000,2250,450,,100,,,,,,auer.gp.moba_02585,,,1,,
2004,1,Eroges,Erogold,1000,2250,450,,10,,,,,,auer.gp.moba_02585,,,1,,
2005,1,Eroges,Erogold,3000,2250,450,,30,,,,,,auer.gp.moba_02585,,,1,,
2006,1,Eroges,Erogold,6000,2250,450,,60,,,,,,auer.gp.moba_02585,,,1,,
3001,,Nutaku,Nutaku GOLD,100,45,,150,1,,,,3,Icon/Item/Shop/UI30_Shop_Diamod_00,auer.gp.moba_00045,,,1,,
3002,,Nutaku,Nutaku GOLD,500,225,15,750,5,,,,15,Icon/Item/Shop/UI30_Shop_Diamod_01,auer.gp.moba_00045,,,1,,
3003,,Nutaku,Nutaku GOLD,1000,,,1500,10,,,,30,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba_00045,,,1,,
3004,,Nutaku,Nutaku GOLD,1500,450,30,2250,15,,,,45,Icon/Item/Shop/UI30_Shop_Diamod_02,auer.gp.moba_00045,,,1,,
3005,,Nutaku,Nutaku GOLD,3000,2250,450,4730,30,,,,90,Icon/Item/Shop/UI30_Shop_Diamod_03,auer.gp.moba_00045,,,1,,
