ID,UnlockTip,RoleCondition,ItemCondition,SkinCondition,IntimacyLV
49,T_Puzzle_UnlockTip_49,5001,,,1
50,T_Puzzle_UnlockTip_50,5001,,,2
51,T_Puzzle_UnlockTip_51,5001,,,3
52,T_Puzzle_UnlockTip_52,5001,,,4
53,T_Puzzle_UnlockTip_53,5001,,,5
54,T_Puzzle_UnlockTip_54,5001,,,6
55,T_Puzzle_UnlockTip_55,5001,,,7
56,T_Puzzle_UnlockTip_56,5001,,,8
57,T_Puzzle_UnlockTip_57,5001,,,9
58,T_Puzzle_UnlockTip_58,5001,,,10
59,T_Puzzle_UnlockTip_59,5001,,,11
60,T_Puzzle_UnlockTip_12,5001,,2-4,
141,T_Puzzle_UnlockTip_141,5001,,,13
142,T_Puzzle_UnlockTip_142,5001,,,13
143,T_Puzzle_UnlockTip_139,5001,,3-4,
144,T_Puzzle_UnlockTip_12,5001,,3-4,
61,T_Puzzle_UnlockTip_61,6001,,,1
62,T_Puzzle_UnlockTip_62,6001,,,2
63,T_Puzzle_UnlockTip_63,6001,,,3
64,T_Puzzle_UnlockTip_64,6001,,,4
65,T_Puzzle_UnlockTip_65,6001,,,5
66,T_Puzzle_UnlockTip_66,6001,,,6
67,T_Puzzle_UnlockTip_67,6001,,,7
68,T_Puzzle_UnlockTip_68,6001,,,8
69,T_Puzzle_UnlockTip_69,6001,,,9
70,T_Puzzle_UnlockTip_70,6001,,,10
71,T_Puzzle_UnlockTip_71,6001,,,11
72,T_Puzzle_UnlockTip_12,6001,,2-4,
145,T_Puzzle_UnlockTip_145,6001,,,13
146,T_Puzzle_UnlockTip_146,6001,,,13
147,T_Puzzle_UnlockTip_139,6001,,3-4,
148,T_Puzzle_UnlockTip_12,6001,,3-4,
73,T_Puzzle_UnlockTip_73,7001,,,1
74,T_Puzzle_UnlockTip_74,7001,,,2
75,T_Puzzle_UnlockTip_75,7001,,,3
76,T_Puzzle_UnlockTip_76,7001,,,4
77,T_Puzzle_UnlockTip_77,7001,,,5
78,T_Puzzle_UnlockTip_78,7001,,,6
79,T_Puzzle_UnlockTip_79,7001,,,7
80,T_Puzzle_UnlockTip_80,7001,,,8
81,T_Puzzle_UnlockTip_81,7001,,,9
82,T_Puzzle_UnlockTip_82,7001,,,10
83,T_Puzzle_UnlockTip_83,7001,,,11
84,T_Puzzle_UnlockTip_12,7001,,2-4,
149,T_Puzzle_UnlockTip_149,7001,,,13
150,T_Puzzle_UnlockTip_150,7001,,,13
151,T_Puzzle_UnlockTip_139,7001,,3-4,
152,T_Puzzle_UnlockTip_12,7001,,3-4,
85,T_Puzzle_UnlockTip_85,8001,,,1
86,T_Puzzle_UnlockTip_86,8001,,,2
87,T_Puzzle_UnlockTip_87,8001,,,3
88,T_Puzzle_UnlockTip_88,8001,,,4
89,T_Puzzle_UnlockTip_89,8001,,,5
90,T_Puzzle_UnlockTip_90,8001,,,6
91,T_Puzzle_UnlockTip_91,8001,,,7
92,T_Puzzle_UnlockTip_92,8001,,,8
93,T_Puzzle_UnlockTip_93,8001,,,9
94,T_Puzzle_UnlockTip_94,8001,,,10
95,T_Puzzle_UnlockTip_95,8001,,,11
96,T_Puzzle_UnlockTip_12,8001,,2-4,
153,T_Puzzle_UnlockTip_153,8001,,,13
154,T_Puzzle_UnlockTip_154,8001,,,13
155,T_Puzzle_UnlockTip_139,8001,,3-4,
156,T_Puzzle_UnlockTip_12,8001,,3-4,
97,T_Puzzle_UnlockTip_97,9001,,,1
98,T_Puzzle_UnlockTip_98,9001,,,2
99,T_Puzzle_UnlockTip_99,9001,,,3
100,T_Puzzle_UnlockTip_100,9001,,,4
101,T_Puzzle_UnlockTip_101,9001,,,5
102,T_Puzzle_UnlockTip_102,9001,,,6
103,T_Puzzle_UnlockTip_103,9001,,,7
104,T_Puzzle_UnlockTip_104,9001,,,8
105,T_Puzzle_UnlockTip_105,9001,,,9
106,T_Puzzle_UnlockTip_106,9001,,,10
107,T_Puzzle_UnlockTip_107,9001,,,11
108,T_Puzzle_UnlockTip_12,9001,,2-4,
165,T_Puzzle_UnlockTip_165,9001,,,13
166,T_Puzzle_UnlockTip_166,9001,,,13
167,T_Puzzle_UnlockTip_139,9001,,3-4,
168,T_Puzzle_UnlockTip_12,9001,,3-4,
109,T_Puzzle_UnlockTip_109,10001,,,1
110,T_Puzzle_UnlockTip_110,10001,,,2
111,T_Puzzle_UnlockTip_111,10001,,,3
112,T_Puzzle_UnlockTip_112,10001,,,4
113,T_Puzzle_UnlockTip_113,10001,,,5
114,T_Puzzle_UnlockTip_114,10001,,,6
115,T_Puzzle_UnlockTip_115,10001,,,7
116,T_Puzzle_UnlockTip_116,10001,,,8
117,T_Puzzle_UnlockTip_117,10001,,,9
118,T_Puzzle_UnlockTip_118,10001,,,10
119,T_Puzzle_UnlockTip_119,10001,,,11
120,T_Puzzle_UnlockTip_12,10001,,2-4,
169,T_Puzzle_UnlockTip_169,10001,,,13
170,T_Puzzle_UnlockTip_170,10001,,,13
171,T_Puzzle_UnlockTip_139,10001,,3-4,
172,T_Puzzle_UnlockTip_12,10001,,3-4,
121,T_Puzzle_UnlockTip_121,11001,,,1
122,T_Puzzle_UnlockTip_122,11001,,,2
123,T_Puzzle_UnlockTip_123,11001,,,3
124,T_Puzzle_UnlockTip_124,11001,,,4
125,T_Puzzle_UnlockTip_125,11001,,,5
126,T_Puzzle_UnlockTip_126,11001,,,6
127,T_Puzzle_UnlockTip_127,11001,,,7
128,T_Puzzle_UnlockTip_128,11001,,,8
129,T_Puzzle_UnlockTip_129,11001,,,9
130,T_Puzzle_UnlockTip_130,11001,,,10
131,T_Puzzle_UnlockTip_131,11001,,,11
132,T_Puzzle_UnlockTip_12,11001,,2-4,
173,T_Puzzle_UnlockTip_173,11001,,,13
174,T_Puzzle_UnlockTip_174,11001,,,13
175,T_Puzzle_UnlockTip_139,11001,,3-4,
176,T_Puzzle_UnlockTip_12,11001,,3-4,
177,T_Puzzle_UnlockTip_177,12001,,,1
178,T_Puzzle_UnlockTip_178,12001,,,2
179,T_Puzzle_UnlockTip_179,12001,,,3
180,T_Puzzle_UnlockTip_180,12001,,,4
181,T_Puzzle_UnlockTip_181,12001,,,5
182,T_Puzzle_UnlockTip_182,12001,,,6
183,T_Puzzle_UnlockTip_183,12001,,,7
184,T_Puzzle_UnlockTip_184,12001,,,8
185,T_Puzzle_UnlockTip_185,12001,,,9
186,T_Puzzle_UnlockTip_186,12001,,,10
187,T_Puzzle_UnlockTip_187,12001,,,11
188,T_Puzzle_UnlockTip_12,12001,,2-4,
189,T_Puzzle_UnlockTip_189,12001,,,13
190,T_Puzzle_UnlockTip_190,12001,,,13
191,T_Puzzle_UnlockTip_139,12001,,3-4,
192,T_Puzzle_UnlockTip_12,12001,,3-4,
193,T_Puzzle_UnlockTip_193,13001,,,1
194,T_Puzzle_UnlockTip_194,13001,,,2
195,T_Puzzle_UnlockTip_195,13001,,,3
196,T_Puzzle_UnlockTip_196,13001,,,4
197,T_Puzzle_UnlockTip_197,13001,,,5
198,T_Puzzle_UnlockTip_198,13001,,,6
199,T_Puzzle_UnlockTip_199,13001,,,7
200,T_Puzzle_UnlockTip_200,13001,,,8
201,T_Puzzle_UnlockTip_201,13001,,,9
202,T_Puzzle_UnlockTip_202,13001,,,10
203,T_Puzzle_UnlockTip_203,13001,,,11
204,T_Puzzle_UnlockTip_12,13001,,2-4,
205,T_Puzzle_UnlockTip_205,13001,,,13
206,T_Puzzle_UnlockTip_206,13001,,,13
207,T_Puzzle_UnlockTip_139,13001,,3-4,
208,T_Puzzle_UnlockTip_12,13001,,3-4,
209,T_Puzzle_UnlockTip_209,14001,,,1
210,T_Puzzle_UnlockTip_210,14001,,,2
211,T_Puzzle_UnlockTip_211,14001,,,3
212,T_Puzzle_UnlockTip_212,14001,,,4
213,T_Puzzle_UnlockTip_213,14001,,,5
214,T_Puzzle_UnlockTip_214,14001,,,6
215,T_Puzzle_UnlockTip_215,14001,,,7
216,T_Puzzle_UnlockTip_216,14001,,,8
217,T_Puzzle_UnlockTip_217,14001,,,9
218,T_Puzzle_UnlockTip_218,14001,,,10
219,T_Puzzle_UnlockTip_219,14001,,,11
220,T_Puzzle_UnlockTip_12,14001,,2-4,
221,T_Puzzle_UnlockTip_221,14001,,,13
222,T_Puzzle_UnlockTip_222,14001,,,13
223,T_Puzzle_UnlockTip_139,14001,,3-4,
224,T_Puzzle_UnlockTip_12,14001,,3-4,
225,T_Puzzle_UnlockTip_225,15001,,,1
226,T_Puzzle_UnlockTip_226,15001,,,2
227,T_Puzzle_UnlockTip_227,15001,,,3
228,T_Puzzle_UnlockTip_228,15001,,,4
229,T_Puzzle_UnlockTip_229,15001,,,5
230,T_Puzzle_UnlockTip_230,15001,,,5
231,T_Puzzle_UnlockTip_231,15001,,,6
232,T_Puzzle_UnlockTip_232,15001,,,6
233,T_Puzzle_UnlockTip_233,15001,,,9
234,T_Puzzle_UnlockTip_234,15001,,,10
235,T_Puzzle_UnlockTip_235,15001,,,11
236,T_Puzzle_UnlockTip_12,15001,,3,
237,T_Puzzle_UnlockTip_237,15001,,,13
238,T_Puzzle_UnlockTip_238,15001,,,13
239,T_Puzzle_UnlockTip_139,15001,,,
240,T_Puzzle_UnlockTip_12,15001,,,
241,T_Puzzle_UnlockTip_241,16001,,,1
242,T_Puzzle_UnlockTip_242,16001,,,2
243,T_Puzzle_UnlockTip_243,16001,,,3
244,T_Puzzle_UnlockTip_244,16001,,,4
245,T_Puzzle_UnlockTip_245,16001,,,5
246,T_Puzzle_UnlockTip_246,16001,,,5
247,T_Puzzle_UnlockTip_247,16001,,,6
248,T_Puzzle_UnlockTip_248,16001,,,6
249,T_Puzzle_UnlockTip_249,16001,,,9
250,T_Puzzle_UnlockTip_250,16001,,,10
251,T_Puzzle_UnlockTip_251,16001,,,11
252,T_Puzzle_UnlockTip_12,16001,,3,
253,T_Puzzle_UnlockTip_253,16001,,,13
254,T_Puzzle_UnlockTip_254,16001,,,13
255,T_Puzzle_UnlockTip_139,16001,,,
256,T_Puzzle_UnlockTip_12,16001,,,
257,T_Puzzle_UnlockTip_257,17001,,,1
258,T_Puzzle_UnlockTip_258,17001,,,2
259,T_Puzzle_UnlockTip_259,17001,,,3
260,T_Puzzle_UnlockTip_260,17001,,,4
261,T_Puzzle_UnlockTip_261,17001,,,5
262,T_Puzzle_UnlockTip_262,17001,,,5
263,T_Puzzle_UnlockTip_263,17001,,,6
264,T_Puzzle_UnlockTip_264,17001,,,6
265,T_Puzzle_UnlockTip_265,17001,,,9
266,T_Puzzle_UnlockTip_266,17001,,,10
267,T_Puzzle_UnlockTip_267,17001,,,11
268,T_Puzzle_UnlockTip_12,17001,,3,
269,T_Puzzle_UnlockTip_269,17001,,,13
270,T_Puzzle_UnlockTip_270,17001,,,13
271,T_Puzzle_UnlockTip_139,17001,,,
272,T_Puzzle_UnlockTip_12,17001,,,
273,T_Puzzle_UnlockTip_273,18001,,,1
274,T_Puzzle_UnlockTip_274,18001,,,2
275,T_Puzzle_UnlockTip_275,18001,,,3
276,T_Puzzle_UnlockTip_276,18001,,,4
277,T_Puzzle_UnlockTip_277,18001,,,5
278,T_Puzzle_UnlockTip_278,18001,,,5
279,T_Puzzle_UnlockTip_279,18001,,,6
280,T_Puzzle_UnlockTip_280,18001,,,6
281,T_Puzzle_UnlockTip_281,18001,,,9
282,T_Puzzle_UnlockTip_282,18001,,,10
283,T_Puzzle_UnlockTip_283,18001,,,11
284,T_Puzzle_UnlockTip_12,18001,,3,
285,T_Puzzle_UnlockTip_285,18001,,,13
286,T_Puzzle_UnlockTip_286,18001,,,13
287,T_Puzzle_UnlockTip_139,18001,,,
288,T_Puzzle_UnlockTip_12,18001,,,
289,T_Puzzle_UnlockTip_289,19001,,,1
290,T_Puzzle_UnlockTip_290,19001,,,2
291,T_Puzzle_UnlockTip_291,19001,,,3
292,T_Puzzle_UnlockTip_292,19001,,,4
293,T_Puzzle_UnlockTip_293,19001,,,5
294,T_Puzzle_UnlockTip_294,19001,,,5
295,T_Puzzle_UnlockTip_295,19001,,,6
296,T_Puzzle_UnlockTip_296,19001,,,6
297,T_Puzzle_UnlockTip_297,19001,,,9
298,T_Puzzle_UnlockTip_298,19001,,,10
299,T_Puzzle_UnlockTip_299,19001,,,11
300,T_Puzzle_UnlockTip_12,19001,,3,
301,T_Puzzle_UnlockTip_301,20001,,,1
302,T_Puzzle_UnlockTip_302,20001,,,2
303,T_Puzzle_UnlockTip_303,20001,,,3
304,T_Puzzle_UnlockTip_304,20001,,,4
305,T_Puzzle_UnlockTip_305,20001,,,5
306,T_Puzzle_UnlockTip_306,20001,,,5
307,T_Puzzle_UnlockTip_307,20001,,,6
308,T_Puzzle_UnlockTip_308,20001,,,6
309,T_Puzzle_UnlockTip_309,20001,,,9
310,T_Puzzle_UnlockTip_310,20001,,,10
311,T_Puzzle_UnlockTip_311,20001,,,11
312,T_Puzzle_UnlockTip_12,20001,,3,
313,T_Puzzle_UnlockTip_301,21001,,,1
314,T_Puzzle_UnlockTip_302,21001,,,2
315,T_Puzzle_UnlockTip_303,21001,,,3
316,T_Puzzle_UnlockTip_304,21001,,,4
317,T_Puzzle_UnlockTip_305,21001,,,5
318,T_Puzzle_UnlockTip_306,21001,,,5
319,T_Puzzle_UnlockTip_307,21001,,,6
320,T_Puzzle_UnlockTip_308,21001,,,6
321,T_Puzzle_UnlockTip_309,21001,,,9
322,T_Puzzle_UnlockTip_310,21001,,,10
323,T_Puzzle_UnlockTip_311,21001,,,11
324,T_Puzzle_UnlockTip_12,21001,,3,
325,T_Puzzle_UnlockTip_301,22001,,,1
326,T_Puzzle_UnlockTip_302,22001,,,2
327,T_Puzzle_UnlockTip_303,22001,,,3
328,T_Puzzle_UnlockTip_304,22001,,,4
329,T_Puzzle_UnlockTip_305,22001,,,5
330,T_Puzzle_UnlockTip_306,22001,,,5
331,T_Puzzle_UnlockTip_307,22001,,,6
332,T_Puzzle_UnlockTip_308,22001,,,6
333,T_Puzzle_UnlockTip_309,22001,,,9
334,T_Puzzle_UnlockTip_310,22001,,,10
335,T_Puzzle_UnlockTip_311,22001,,,11
336,T_Puzzle_UnlockTip_12,22001,,3,
337,T_Puzzle_UnlockTip_301,90001,,,1
338,T_Puzzle_UnlockTip_302,90001,,,2
339,T_Puzzle_UnlockTip_303,90001,,,3
340,T_Puzzle_UnlockTip_304,90001,,,4
341,T_Puzzle_UnlockTip_305,90001,,,5
342,T_Puzzle_UnlockTip_306,90001,,,5
343,T_Puzzle_UnlockTip_307,90001,,,6
344,T_Puzzle_UnlockTip_308,90001,,,6
345,T_Puzzle_UnlockTip_309,90001,,,9
346,T_Puzzle_UnlockTip_310,90001,,,10
347,T_Puzzle_UnlockTip_311,90001,,,11
348,T_Puzzle_UnlockTip_12,90001,,3,
349,T_Puzzle_UnlockTip_301,91001,,,1
350,T_Puzzle_UnlockTip_302,91001,,,2
351,T_Puzzle_UnlockTip_303,91001,,,3
352,T_Puzzle_UnlockTip_304,91001,,,4
353,T_Puzzle_UnlockTip_305,91001,,,5
354,T_Puzzle_UnlockTip_306,91001,,,5
355,T_Puzzle_UnlockTip_307,91001,,,6
356,T_Puzzle_UnlockTip_308,91001,,,6
357,T_Puzzle_UnlockTip_309,91001,,,9
358,T_Puzzle_UnlockTip_310,91001,,,10
359,T_Puzzle_UnlockTip_311,91001,,,11
360,T_Puzzle_UnlockTip_12,91001,,3,
361,T_Puzzle_UnlockTip_301,23001,,,1
362,T_Puzzle_UnlockTip_302,23001,,,2
363,T_Puzzle_UnlockTip_303,23001,,,3
364,T_Puzzle_UnlockTip_304,23001,,,4
365,T_Puzzle_UnlockTip_305,23001,,,5
366,T_Puzzle_UnlockTip_306,23001,,,5
367,T_Puzzle_UnlockTip_307,23001,,,6
368,T_Puzzle_UnlockTip_308,23001,,,6
369,T_Puzzle_UnlockTip_309,23001,,,9
370,T_Puzzle_UnlockTip_310,23001,,,10
371,T_Puzzle_UnlockTip_311,23001,,,11
372,T_Puzzle_UnlockTip_12,23001,,3,
373,T_Puzzle_UnlockTip_301,24001,,,1
374,T_Puzzle_UnlockTip_302,24001,,,2
375,T_Puzzle_UnlockTip_303,24001,,,3
376,T_Puzzle_UnlockTip_304,24001,,,4
377,T_Puzzle_UnlockTip_305,24001,,,5
378,T_Puzzle_UnlockTip_306,24001,,,5
379,T_Puzzle_UnlockTip_307,24001,,,6
380,T_Puzzle_UnlockTip_308,24001,,,6
381,T_Puzzle_UnlockTip_309,24001,,,9
382,T_Puzzle_UnlockTip_310,24001,,,10
383,T_Puzzle_UnlockTip_311,24001,,,11
384,T_Puzzle_UnlockTip_12,24001,,3,
385,T_Puzzle_UnlockTip_301,25001,,,1
386,T_Puzzle_UnlockTip_302,25001,,,2
387,T_Puzzle_UnlockTip_303,25001,,,3
388,T_Puzzle_UnlockTip_304,25001,,,4
389,T_Puzzle_UnlockTip_305,25001,,,5
390,T_Puzzle_UnlockTip_306,25001,,,5
391,T_Puzzle_UnlockTip_307,25001,,,6
392,T_Puzzle_UnlockTip_308,25001,,,6
393,T_Puzzle_UnlockTip_309,25001,,,9
394,T_Puzzle_UnlockTip_310,25001,,,10
395,T_Puzzle_UnlockTip_311,25001,,,11
396,T_Puzzle_UnlockTip_12,25001,,3,
397,T_Puzzle_UnlockTip_301,26001,,,1
398,T_Puzzle_UnlockTip_302,26001,,,2
399,T_Puzzle_UnlockTip_303,26001,,,3
400,T_Puzzle_UnlockTip_304,26001,,,4
401,T_Puzzle_UnlockTip_305,26001,,,5
402,T_Puzzle_UnlockTip_306,26001,,,5
403,T_Puzzle_UnlockTip_307,26001,,,6
404,T_Puzzle_UnlockTip_308,26001,,,6
405,T_Puzzle_UnlockTip_309,26001,,,9
406,T_Puzzle_UnlockTip_310,26001,,,10
407,T_Puzzle_UnlockTip_311,26001,,,11
408,T_Puzzle_UnlockTip_12,26001,,3,
409,T_Puzzle_UnlockTip_301,27001,,,1
410,T_Puzzle_UnlockTip_302,27001,,,2
411,T_Puzzle_UnlockTip_303,27001,,,3
412,T_Puzzle_UnlockTip_304,27001,,,4
413,T_Puzzle_UnlockTip_305,27001,,,5
414,T_Puzzle_UnlockTip_306,27001,,,5
415,T_Puzzle_UnlockTip_307,27001,,,6
416,T_Puzzle_UnlockTip_308,27001,,,6
417,T_Puzzle_UnlockTip_309,27001,,,9
418,T_Puzzle_UnlockTip_310,27001,,,10
419,T_Puzzle_UnlockTip_311,27001,,,11
420,T_Puzzle_UnlockTip_12,27001,,3,
421,T_Puzzle_UnlockTip_301,28001,,,1
422,T_Puzzle_UnlockTip_302,28001,,,2
423,T_Puzzle_UnlockTip_303,28001,,,3
424,T_Puzzle_UnlockTip_304,28001,,,4
425,T_Puzzle_UnlockTip_305,28001,,,5
426,T_Puzzle_UnlockTip_306,28001,,,5
427,T_Puzzle_UnlockTip_307,28001,,,6
428,T_Puzzle_UnlockTip_308,28001,,,6
429,T_Puzzle_UnlockTip_309,28001,,,9
430,T_Puzzle_UnlockTip_310,28001,,,10
431,T_Puzzle_UnlockTip_311,28001,,,11
432,T_Puzzle_UnlockTip_12,28001,,3,
433,T_Puzzle_UnlockTip_301,29001,,,1
434,T_Puzzle_UnlockTip_302,29001,,,2
435,T_Puzzle_UnlockTip_303,29001,,,3
436,T_Puzzle_UnlockTip_304,29001,,,4
437,T_Puzzle_UnlockTip_305,29001,,,5
438,T_Puzzle_UnlockTip_306,29001,,,5
439,T_Puzzle_UnlockTip_307,29001,,,6
440,T_Puzzle_UnlockTip_308,29001,,,6
441,T_Puzzle_UnlockTip_309,29001,,,9
442,T_Puzzle_UnlockTip_310,29001,,,10
443,T_Puzzle_UnlockTip_311,29001,,,11
444,T_Puzzle_UnlockTip_12,29001,,3,
445,T_Puzzle_UnlockTip_301,30001,,,1
446,T_Puzzle_UnlockTip_302,30001,,,2
447,T_Puzzle_UnlockTip_303,30001,,,3
448,T_Puzzle_UnlockTip_304,30001,,,4
449,T_Puzzle_UnlockTip_305,30001,,,5
450,T_Puzzle_UnlockTip_306,30001,,,5
451,T_Puzzle_UnlockTip_307,30001,,,6
452,T_Puzzle_UnlockTip_308,30001,,,6
453,T_Puzzle_UnlockTip_309,30001,,,9
454,T_Puzzle_UnlockTip_310,30001,,,10
455,T_Puzzle_UnlockTip_311,30001,,,11
456,T_Puzzle_UnlockTip_12,30001,,3,
457,T_Puzzle_UnlockTip_301,31001,,,1
458,T_Puzzle_UnlockTip_302,31001,,,2
459,T_Puzzle_UnlockTip_303,31001,,,3
460,T_Puzzle_UnlockTip_304,31001,,,4
461,T_Puzzle_UnlockTip_305,31001,,,5
462,T_Puzzle_UnlockTip_306,31001,,,5
463,T_Puzzle_UnlockTip_307,31001,,,6
464,T_Puzzle_UnlockTip_308,31001,,,6
465,T_Puzzle_UnlockTip_309,31001,,,9
466,T_Puzzle_UnlockTip_310,31001,,,10
467,T_Puzzle_UnlockTip_311,31001,,,11
468,T_Puzzle_UnlockTip_12,31001,,3,
469,T_Puzzle_UnlockTip_301,32001,,,1
470,T_Puzzle_UnlockTip_302,32001,,,2
471,T_Puzzle_UnlockTip_303,32001,,,3
472,T_Puzzle_UnlockTip_304,32001,,,4
473,T_Puzzle_UnlockTip_305,32001,,,5
474,T_Puzzle_UnlockTip_306,32001,,,5
475,T_Puzzle_UnlockTip_307,32001,,,6
476,T_Puzzle_UnlockTip_308,32001,,,6
477,T_Puzzle_UnlockTip_309,32001,,,9
478,T_Puzzle_UnlockTip_310,32001,,,10
479,T_Puzzle_UnlockTip_311,32001,,,11
480,T_Puzzle_UnlockTip_12,32001,,3,
481,T_Puzzle_UnlockTip_301,33001,,,1
482,T_Puzzle_UnlockTip_302,33001,,,2
483,T_Puzzle_UnlockTip_303,33001,,,3
484,T_Puzzle_UnlockTip_304,33001,,,4
485,T_Puzzle_UnlockTip_305,33001,,,5
486,T_Puzzle_UnlockTip_306,33001,,,5
487,T_Puzzle_UnlockTip_307,33001,,,6
488,T_Puzzle_UnlockTip_308,33001,,,6
489,T_Puzzle_UnlockTip_309,33001,,,9
490,T_Puzzle_UnlockTip_310,33001,,,10
491,T_Puzzle_UnlockTip_311,33001,,,11
492,T_Puzzle_UnlockTip_12,33001,,3,
493,T_Puzzle_UnlockTip_301,34001,,,1
494,T_Puzzle_UnlockTip_302,34001,,,2
495,T_Puzzle_UnlockTip_303,34001,,,3
496,T_Puzzle_UnlockTip_304,34001,,,4
497,T_Puzzle_UnlockTip_305,34001,,,5
498,T_Puzzle_UnlockTip_306,34001,,,5
499,T_Puzzle_UnlockTip_307,34001,,,6
500,T_Puzzle_UnlockTip_308,34001,,,6
501,T_Puzzle_UnlockTip_309,34001,,,9
502,T_Puzzle_UnlockTip_310,34001,,,10
503,T_Puzzle_UnlockTip_311,34001,,,11
504,T_Puzzle_UnlockTip_12,34001,,3,
505,T_Puzzle_UnlockTip_301,35001,,,1
506,T_Puzzle_UnlockTip_302,35001,,,2
507,T_Puzzle_UnlockTip_303,35001,,,3
508,T_Puzzle_UnlockTip_304,35001,,,4
509,T_Puzzle_UnlockTip_305,35001,,,5
510,T_Puzzle_UnlockTip_306,35001,,,5
511,T_Puzzle_UnlockTip_307,35001,,,6
512,T_Puzzle_UnlockTip_308,35001,,,6
513,T_Puzzle_UnlockTip_309,35001,,,9
514,T_Puzzle_UnlockTip_310,35001,,,10
515,T_Puzzle_UnlockTip_311,35001,,,11
516,T_Puzzle_UnlockTip_12,35001,,3,
517,T_Puzzle_UnlockTip_301,36001,,,1
518,T_Puzzle_UnlockTip_302,36001,,,2
519,T_Puzzle_UnlockTip_303,36001,,,3
520,T_Puzzle_UnlockTip_304,36001,,,4
521,T_Puzzle_UnlockTip_305,36001,,,5
522,T_Puzzle_UnlockTip_306,36001,,,5
523,T_Puzzle_UnlockTip_307,36001,,,6
524,T_Puzzle_UnlockTip_308,36001,,,6
525,T_Puzzle_UnlockTip_309,36001,,,9
526,T_Puzzle_UnlockTip_310,36001,,,10
527,T_Puzzle_UnlockTip_311,36001,,,11
528,T_Puzzle_UnlockTip_12,36001,,3,
529,T_Puzzle_UnlockTip_301,37001,,,1
530,T_Puzzle_UnlockTip_302,37001,,,2
531,T_Puzzle_UnlockTip_303,37001,,,3
532,T_Puzzle_UnlockTip_304,37001,,,4
533,T_Puzzle_UnlockTip_305,37001,,,5
534,T_Puzzle_UnlockTip_306,37001,,,5
535,T_Puzzle_UnlockTip_307,37001,,,6
