Group,MonsterID,Count,BornPositionID,Period,PeriodCount
G28,999030,1,M6,1,1
G29,999068,3,M9,1,1
G29,999054,2,M9,1,1
G29,999088,1,M5,1,1
G29,999014,2,M2,1,1
G29,999031,1,M6,1,1
G30,999068,1,M7,1,1
G30,999088,1,M4,1,1
G30,999088,1,M1,1,1
G30,999088,1,M6,1,1
G30,999068,1,M2,1,1
G30,999031,1,M1,1,1
G30,999031,1,M6,1,1
G30,999054,2,M5,1,1
G31,999103,1,M5,1,1
G31,999055,5,M3,1,1
G31,999015,3,M7,1,1
G32,999107,1,M5,1,1
G32,999069,5,M2,1,1
G32,999032,3,M8,1,1
G33,999111,1,M5,1,1
G33,999089,1,M4,1,1
G33,999032,3,M6,1,1
G33,999055,4,M9,1,1
G34,999016,3,M1,1,1
G34,999016,2,M4,1,1
G34,999016,3,M7,1,1
G34,999056,1,M4,1,1
G35,999017,2,M3,1,1
G35,999017,2,M6,1,1
G35,999017,2,M9,1,1
G35,999033,1,M4,1,1
G35,999057,1,M6,1,1
G35,999057,1,M8,1,1
G36,999017,1,M2,1,1
G36,999033,1,M2,1,1
G36,999017,1,M4,1,1
G36,999033,1,M4,1,1
G36,999017,1,M8,1,1
G36,999033,1,M8,1,1
G36,999057,3,M6,1,1
G37,999070,3,M8,1,1
G37,999058,2,M8,1,1
G37,999018,1,M5,1,1
G37,999018,2,M1,1,1
G37,999033,1,M5,1,1
G38,999070,1,M8,1,1
G38,999018,1,M5,1,1
G38,999018,1,M1,1,1
G38,999018,1,M7,1,1
G38,999070,1,M3,1,1
G38,999034,1,M1,1,1
G38,999034,1,M7,1,1
G38,999058,2,M6,1,1
G39,999070,3,M9,1,1
G39,999058,2,M9,1,1
G39,999090,1,M5,1,1
G39,999018,2,M2,1,1
G39,999058,1,M6,1,1
G40,999071,3,M9,1,1
G40,999059,2,M9,1,1
G40,999091,1,M5,1,1
G40,999019,2,M2,1,1
G40,999035,1,M6,1,1
G41,999071,1,M7,1,1
G41,999091,1,M4,1,1
G41,999091,1,M1,1,1
G41,999091,1,M6,1,1
G41,999071,1,M2,1,1
G41,999035,1,M1,1,1
G41,999035,1,M6,1,1
G41,999059,2,M5,1,1
G42,999104,1,M5,1,1
G42,999060,5,M3,1,1
G42,999020,3,M7,1,1
G43,999108,1,M5,1,1
G43,999072,5,M2,1,1
G43,999036,3,M8,1,1
G44,999112,1,M5,1,1
G44,999092,1,M4,1,1
G44,999036,3,M6,1,1
G44,999060,4,M9,1,1
