ID,Type,PrefixImageName,LightMode,ItemCondition,Image,VersionControls
FR027,1,,,FR027,Icon/Icon02_HeadFrame/Frame_027,64
FR028,1,,,FR028,Icon/Icon02_HeadFrame/Frame_028,64
FR029,1,,,FR029,Icon/Icon02_HeadFrame/Frame_029,64
FR030,1,,,FR030,Icon/Icon02_HeadFrame/Frame_030,64
FR031,1,,,FR031,Icon/Icon02_HeadFrame/Frame_031,64
FR032,1,,,FR032,Icon/Icon02_HeadFrame/Frame_032,64
FR033,1,,,FR033,Icon/Icon02_HeadFrame/Frame_033,64
FR034,1,,,FR034,Icon/Icon02_HeadFrame/Frame_034,64
FR035,1,,,FR035,Icon/Icon02_HeadFrame/Frame_035,64
FR036,1,,,FR036,Icon/Icon02_HeadFrame/Frame_036,64
FR037,1,,,FR037,Icon/Icon02_HeadFrame/Frame_037,64
FR038,1,,,FR038,Icon/Icon02_HeadFrame/Frame_038,64
FR039,1,,,FR039,Icon/Icon02_HeadFrame/Frame_039,64
FR047,1,,,FR047,Icon/Icon02_HeadFrame/Frame_047,67
FR048,1,,,FR048,Icon/Icon02_HeadFrame/Frame_048,67
FR049,1,,,FR049,Icon/Icon02_HeadFrame/Frame_049,67
SpeFR001,1,,,SpeFR001,Icon/Icon02_HeadFrame/Frame_040,64
SpeFR002,1,,,SpeFR002,Icon/Icon02_HeadFrame/Frame_041,64
1001,2,,,1001,Icon/Icon01_Head/Icon01_Head_S_P01,64
2001,2,,,2001,Icon/Icon01_Head/Icon01_Head_S_P02,64
3001,2,,,3001,Icon/Icon01_Head/Icon01_Head_S_P03,64
4001,2,,,4001,Icon/Icon01_Head/Icon01_Head_S_P04,64
5001,2,,,5001,Icon/Icon01_Head/Icon01_Head_S_P05,64
6001,2,,,6001,Icon/Icon01_Head/Icon01_Head_S_P06,64
7001,2,,,7001,Icon/Icon01_Head/Icon01_Head_S_P07,64
8001,2,,,8001,Icon/Icon01_Head/Icon01_Head_S_P08,64
9001,2,,,9001,Icon/Icon01_Head/Icon01_Head_S_P09,64
10001,2,,,10001,Icon/Icon01_Head/Icon01_Head_S_P10,64
11001,2,,,11001,Icon/Icon01_Head/Icon01_Head_S_P11,64
12001,2,,,12001,Icon/Icon01_Head/Icon01_Head_S_P12,64
13001,2,,,13001,Icon/Icon01_Head/Icon01_Head_S_P13,64
14001,2,,,14001,Icon/Icon01_Head/Icon01_Head_S_P14,64
15001,2,,,15001,Icon/Icon01_Head/Icon01_Head_S_P15,64
16001,2,,,16001,Icon/Icon01_Head/Icon01_Head_S_P16,64
17001,2,,,17001,Icon/Icon01_Head/Icon01_Head_S_P17,64
18001,2,,,18001,Icon/Icon01_Head/Icon01_Head_S_P18,64
19001,2,,,19001,Icon/Icon01_Head/Icon01_Head_S_P19,64
20001,2,,,20001,Icon/Icon01_Head/Icon01_Head_S_P20,64
21001,2,,,21001,Icon/Icon01_Head/Icon01_Head_S_P21,64
22001,2,,,22001,Icon/Icon01_Head/Icon01_Head_S_P22,64
90001,2,,,90001,Icon/Icon01_Head/Icon01_Head_S_P90,64
91001,2,,,91001,Icon/Icon01_Head/Icon01_Head_S_P91,64
23001,2,,,23001,Icon/Icon01_Head/Icon01_Head_S_P23,64
24001,2,,,24001,Icon/Icon01_Head/Icon01_Head_S_P24,64
25001,2,,,25001,Icon/Icon01_Head/Icon01_Head_S_P25,64
26001,2,,,26001,Icon/Icon01_Head/Icon01_Head_S_P26,64
27001,2,,,27001,Icon/Icon01_Head/Icon01_Head_S_P27,64
28001,2,,,28001,Icon/Icon01_Head/Icon01_Head_S_P28,64
29001,2,,,29001,Icon/Icon01_Head/Icon01_Head_S_P29,64
30001,2,,,30001,Icon/Icon01_Head/Icon01_Head_S_P30,64
31001,2,,,31001,Icon/Icon01_Head/Icon01_Head_S_P31,64
32001,2,,,32001,Icon/Icon01_Head/Icon01_Head_S_P32,64
33001,2,,,33001,Icon/Icon01_Head/Icon01_Head_S_P33,378-64
34001,2,,,34001,Icon/Icon01_Head/Icon01_Head_S_P34,379-64
35001,2,,,35001,Icon/Icon01_Head/Icon01_Head_S_P35,380-64
36001,2,,,36001,Icon/Icon01_Head/Icon01_Head_S_P36,381-64
37001,2,,,37001,Icon/Icon01_Head/Icon01_Head_S_P37,382-64
38001,2,,,38001,Icon/Icon01_Head/Icon01_Head_S_P38,383-64
39001,2,,,39001,Icon/Icon01_Head/Icon01_Head_S_P39,384-64
10040001,2,,,10040001,Icon/Icon01_Head/Icon01_Head_S_P40,385-64
10041001,2,,,10041001,Icon/Icon01_Head/Icon01_Head_S_P41,386-64
10042001,2,,,10042001,Icon/Icon01_Head/Icon01_Head_S_P42,387-64
H4001,2,,,H4001,Icon/Icon01_Head/Icon01_Head_S_P04_01,64
H6001,2,,,H6001,Icon/Icon01_Head/Icon01_Head_S_P06_01,64
H7001,2,,,H7001,Icon/Icon01_Head/Icon01_Head_S_P07_01,64
H18001,2,,,H18001,Icon/Icon01_Head/Icon01_Head_S_P18_01,64
H32001,2,,,H32001,Icon/Icon01_Head/Icon01_Head_S_P32_01,64
H36001,2,,,H36001,Icon/Icon01_Head/Icon01_Head_S_P36_01,381-64
H38001,2,,,H38001,Icon/Icon01_Head/Icon01_Head_S_P38_01,383-64
SpeH001,2,,,SpeH001,Icon/Icon01_Head/Icon01_Head_S_Tiger_01,64
SpeH002,2,,,SpeH002,Icon/Icon01_Head/Icon01_Head_S_Ingots_01,64
FE001,2,,,FE001,Icon/Icon10_ElvHead/Icon01_Head_S_E017,62-64
FE002,2,,,FE002,Icon/Icon10_ElvHead/Icon01_Head_S_E003,62-64
FE003,2,,,FE003,Icon/Icon10_ElvHead/Icon01_Head_S_E000,62-64
FE004,2,,,FE004,Icon/Icon10_ElvHead/Icon01_Head_S_E002,62-64
FE005,2,,,FE005,Icon/Icon10_ElvHead/Icon01_Head_S_E001,62-64
FE006,2,,,FE006,Icon/Icon10_ElvHead/Icon01_Head_S_E008,62-1001-64
FE007,2,,,FE007,Icon/Icon10_ElvHead/Icon01_Head_S_E010,62-1002-64
FE008,2,,,FE008,Icon/Icon10_ElvHead/Icon01_Head_S_E011,62-1003-64
FE009,2,,,FE009,Icon/Icon10_ElvHead/Icon01_Head_S_E016,62-1004-64
FE010,2,,,FE010,Icon/Icon10_ElvHead/Icon01_Head_S_E004,62-1005-64
FE011,2,,,FE011,Icon/Icon10_ElvHead/Icon01_Head_S_E009,62-1006-64
FE012,2,,,FE012,Icon/Icon10_ElvHead/Icon01_Head_S_E015,62-1007-64
FE013,2,,,FE013,Icon/Icon10_ElvHead/Icon01_Head_S_E014,62-1008-64
FE014,2,,,FE014,Icon/Icon10_ElvHead/Icon01_Head_S_E007,62-1009-64
FE015,2,,,FE015,Icon/Icon10_ElvHead/Icon01_Head_S_E013,62-1010-64
FE016,2,,,FE016,Icon/Icon10_ElvHead/Icon01_Head_S_E012,62-1011-64
BG000,3,,1,BG000,Icon/Images01_BG/Images/S009,64
BG001,3,,2,BG001,Icon/Images01_BG/Images/bg018b,64
BG002,3,,,BG002,Icon/Images01_BG/Images/S001,64
BG003,3,,3,BG003,Icon/Images01_BG/Images/S001_3,64
BG004,3,,,BG004,Icon/Images01_BG/Images/S002,64
BG005,3,,4,BG005,Icon/Images01_BG/Images/S003,64
BG006,3,,,BG006,Icon/Images01_BG/Images/S004,64
BG007,3,,5,BG007,Icon/Images01_BG/Images/S004_2,64
BG008,3,,5,BG008,Icon/Images01_BG/Images/S015,64
BG009,3,,6,BG009,Icon/Images01_BG/Images/S006,64
BG010,3,,7,BG010,Icon/Images01_BG/Images/S007,64
BG011,3,,8,BG011,Icon/Images01_BG/Images/S008,64
BG012,3,,,BG012,Icon/Images01_BG/Images/S010,64
BG013,3,,,BG013,Icon/Images01_BG/Images/S011,64
BG014,3,,9,BG014,Icon/Images01_BG/Images/S013,64
BG015,3,,10,BG015,Icon/Images01_BG/Images/S016,64
BG016,3,,11,BG016,Icon/Images01_BG/Images/S017_2,64
BG017,3,,12,BG017,Icon/Images01_BG/Images/S020,64
BG018,3,,13,BG018,Icon/Images01_BG/Images/S021,64
BG019,3,,14,BG019,Icon/Images01_BG/Images/S022,64
BG020,3,,,BG020,Icon/Images01_BG/Images/S023,64
BG021,3,,,BG021,Icon/Images01_BG/Images/S024,64
BG022,3,,15,BG022,Icon/Images01_BG/Images/S026,64
BG023,3,,16,BG023,Icon/Images01_BG/Images/S028,64
BG024,3,,17,BG024,Icon/Images01_BG/Images/S029,64
BG025,3,,,BG025,Icon/Images01_BG/Images/S030,64
BG048,3,,8,BG048,Icon/Images01_BG/Images/S048,67
BG049,3,,1,BG049,Icon/Images01_BG/Images/S049,67
BG050,3,,2,BG050,Icon/Images01_BG/Images/S050,67
BG051,3,,1,BG051,Icon/Images01_BG/Images/S051,67
SpeBG001,3,,8,SpeBG001,Icon/Images01_BG/Images/S041,64
SpeBG002,3,,,SpeBG002,Icon/Images01_BG/Images/S042,64
RL001,4,P001_000,,1001,1&Normal-6&Laugh-9&Angry-9&Sad-12&Surprise-12&Shy,67-64
RL002,4,P002_000,,2001,1&Normal-6&Laugh-6&Serious-9&Sad-9&Surprise-12&Shy-12&Helpless,67-64
RL003,4,P003_000,,3001,1&Normal-6&Laugh-9&Surprise-12&Shy-12&Helpless,67-64
RL004,4,P004_000,,4001,1&Normal-3&Laugh-6&Serious-6&Surprise-9&Shy-9&Helpless-12&BlackNormal-12&BlackSerious,67-64
RL005,4,P005_000,,5001,1&Normal-6&Laugh-9&Surprise-9&Shy-12&Helpless-12&Sleep,67-64
RL006,4,P006_000,,6001,1&Normal-6&Laugh-9&Surprise-9&Shy-12&Lovely-12&Hate,67-64
RL007,4,P007_000,,7001,1&Normal-3&Laugh-6&Serious-6&Surprise-9&Shy-9&Helpless-12&BlackNormal-12&BlackSerious,67-64
RL008,4,P008_000,,8001,1&Normal-6&Laugh-6&Angry-9&Serious-9&Sad-12&Surprise-12&Shy,67-64
RL009,4,P009_000,,9001,1&Normal-6&Laugh-6&Angry-9&Think-9&Sad-12&Surprise-12&Shy,67-64
RL010,4,P010_000,,10001,1&Normal-6&Laugh-9&Pain-9&Sad-12&Surprise-12&Shy,67-64
RL011,4,P011_000,,11001,1&Normal-6&Laugh-9&Surprise-9&Sad-12&Shy-12&Lovely,67-64
RL012,4,P012_000,,12001,1&Normal-3&Laugh-6&Serious-6&Angry-9&very Angry-9&Sad-12&Surprise-12&Think,67-64
RL013,4,P013_000,,13001,1&Normal-3&Confuse-6&Sad-6&Shy-9&BlackNormal-9&BlackHappy-12&BlackCrazy-12&BlackAngry,67-64
RL014,4,P014_000,,14001,1&Normal-3&Smile-6&Angry-6&Serious-9&Think-9&Awkward-12&Surprise-12&Shy,67-64
RL015,4,P015_000,,15001,1&Normal-6&Smile-9&Serious-9&Think-12&Sad-12&Helpless,67-64
RL016,4,P016_000,,16001,1&Laugh-3&Happy-6&Surprise-6&Shy-9&Think-9&Tired-12&Nervous-12&Lovely,67-64
RL017,4,P017_000,,17001,1&Normal-6&Happy-12&Surprise,67-64
RL018,4,P018_000,,18001,1&Normal-6&Focus-6&Surprise-9&Think-9&Shy-12&Helpness-12&Daze,67-64
RL019,4,P019_000,,19001,1&Normal-3&Laugh-6&Angry-6&VeryAngry-9&Sad-9&Proud-12&Shy-12&Confuse,67-64
RL020,4,P020_000,,20001,1&Normal-6&Happy-6&Angry-9&Nervous-9&Shy-12&Tired-12&Tired_02,67-64
RL021,4,P021_000,,21001,1&Normal-3&Laugh-6&Angry-6&Rile-9&Lovely-9&Lovely_02-12&Think-12&Wronged,67-64
RL022,4,P022_000,,22001,1&Normal-6&Smile-9&Thinking-9&Surprise-12&Shy-12&Sleep,67-64
RL090,4,P090_000,,90001,1&Normal-3&Happy-6&Angry-6&Sad-9&Doya-9&Sigh-12&Helpless-12&Tsundere,67-64
RL091,4,P091_000,,91001,1&Normal-6&Happy-6&enjoy-9&Surprise-9&Sad-12&weak-12&excited,67-64
RL023,4,P023_000,,23001,1&Normal-3&Normal2-6&Happy-6&Happy2-6&Happy3-9&Angry-9&Angry3-9&Sad-12&Sad2-12&Sleep-12&Sleep2,67-64
RL024,4,P024_000,,24001,1&Normal-6&Smile_02-6&Evilsmile-9&Surprise-9&Shy-12&Tired-12&Misty,67-64
RL025,4,P025_000,,25001,1&Normal-6&Evilsmile-9&Angry-9&impatient-12&Surprise-12&Misty,67-64
RL026,4,P026_000,,26001,1&Normal-6&Laugh-9&Evilsmile-9&Angry-12&impatient-12&Surprise,67-64
RL027,4,P027_000,,27001,1&Normal-6&Laugh-9&Angry-9&Sad-12&Surprise-12&Shy,67-64
RL028,4,P028_000,,28001,1&Normal-6&Happy-9&Angry-9&Sad-12&Amazed-12&Shy,67-64
RL029,4,P029_000,,29001,1&Normal-6&Smile-6&Mad-9&Longface-9&Sad-12&Surprise-12&Smirk,67-64
RL030,4,P030_000,,30001,1&Normal-6&Happy-9&Angry-9&Pleasure-12&Surprise-12&Pokerface,67-64
RL031,4,P031_000,,31001,1&Normal-3&Happy-6&Angry-6&Serious-9&Surprised-9&Sad-12&Emotionless-12&Confused,67-64
RL032,4,P032_000,,32001,1&Normal-3&Laugh-6&Smile-6&Angry-9&Surprise-9&Sad-12&Nervous-12&Giggle-12&Confused,67-64
RL033,4,P033_000,,33001,1&Normal-3&Happy-6&Smile-6&Angry-9&Surprised-9&Sad-12&Shy-12&Confused,67-64
RL034,4,P034_000,,34001,1&Normal-3&Smile-6&Angry-6&Surprised-9&Sad-9&Shy-12&Confused-12&Smug,67-64
RL035,4,P035_000,,35001,1&Normal-3&Happy-6&Angry-6&Serious-9&Disdain-9&Sad-12&Shy-12&Zoneout,67-64
RL036,4,P036_000,,36001,1&Normal-6&Happy-9&Evilsmile-9&Angry-12&Sad-12&Surprised,67-381-64
RL037,4,P037_000,,37001,1&Normal-6&Angry-9&Sad-9&Surprised-12&Cold-12&Shy,67-382-64
RL038,4,P038_000,,38001,1&Normal-6&Happy-6&Smile-9&Angry-9&Sad-12&Panic-12&Shy,67-383-64
RL039,4,P039_000,,39001,1&Normal-6&Happy-9&Angry-9&Sad-12&Surprised-12&Shy,67-384-64
RL040,4,P040_000,,10040001,1&Normal-6&Smile-6&Angry-9&Serious-9&Sad-12&Surprise-12&Think,67-385-64
RL041,4,P041_000,,10041001,1&Normal-6&Smile-9&Happy-9&Angry-12&Sad-12&Shy,67-386-64
RL042,4,P042_000,,10042001,1&Normal-3&Happy-6&Smile-6&Angry-9&Surprise-9&Sad-12&Shy-12&Scary-12&Cool,67-387-64
