TimeId,Value,NormalRewardsDropId,MemberRewardsDropId
2020_6,25,120990105,220990105
2020_6,30,120990106,220990106
2020_6,35,120990107,220990107
2020_6,40,120990108,220990108
2020_6,45,120990109,220990109
2020_6,50,120990110,220990110
2020_6,55,120990111,220990111
2020_6,60,120990112,220990112
2020_6,65,120990113,220990113
2020_6,70,120990114,220990114
2020_6,75,120990115,220990115
2020_6,80,120990116,220990116
2020_6,85,120990117,220990117
2020_6,90,120990118,220990118
2020_6,95,120990119,220990119
2020_6,100,120990120,220990120
2020_7,5,120990101,220990101
2020_7,10,120990102,220990102
2020_7,15,120990103,220990103
2020_7,20,120990104,220990104
2020_7,25,120990105,220990105
2020_7,30,120990106,220990106
2020_7,35,120990107,220990107
2020_7,40,120990108,220990108
2020_7,45,120990109,220990109
2020_7,50,120990110,220990110
2020_7,55,120990111,220990111
2020_7,60,120990112,220990112
2020_7,65,120990113,220990113
2020_7,70,120990114,220990114
2020_7,75,120990115,220990115
2020_7,80,120990116,220990116
2020_7,85,120990117,220990117
2020_7,90,120990118,220990118
2020_7,95,120990119,220990119
2020_7,100,120990120,220990120
2020_8,5,120990101,220990101
2020_8,10,120990102,220990102
2020_8,15,120990103,220990103
2020_8,20,120990104,220990104
2020_8,25,120990105,220990105
2020_8,30,120990106,220990106
2020_8,35,120990107,220990107
2020_8,40,120990108,220990108
2020_8,45,120990109,220990109
2020_8,50,120990110,220990110
2020_8,55,120990111,220990111
2020_8,60,120990112,220990112
2020_8,65,120990113,220990113
2020_8,70,120990114,220990114
2020_8,75,120990115,220990115
2020_8,80,120990116,220990116
2020_8,85,120990117,220990117
2020_8,90,120990118,220990118
2020_8,95,120990119,220990119
2020_8,100,120990120,220990120
2020_9,5,120990101,220990101
2020_9,10,120990102,220990102
2020_9,15,120990103,220990103
2020_9,20,120990104,220990104
2020_9,25,120990105,220990105
2020_9,30,120990106,220990106
2020_9,35,120990107,220990107
2020_9,40,120990108,220990108
2020_9,45,120990109,220990109
2020_9,50,120990110,220990110
2020_9,55,120990111,220990111
2020_9,60,120990112,220990112
2020_9,65,120990113,220990113
2020_9,70,120990114,220990114
2020_9,75,120990115,220990115
2020_9,80,120990116,220990116
2020_9,85,120990117,220990117
2020_9,90,120990118,220990118
2020_9,95,120990119,220990119
2020_9,100,120990120,220990120
2020_10,5,120990101,220990101
2020_10,10,120990102,220990102
2020_10,15,120990103,220990103
2020_10,20,120990104,220990104
2020_10,25,120990105,220990105
2020_10,30,120990106,220990106
2020_10,35,120990107,220990107
2020_10,40,120990108,220990108
2020_10,45,120990109,220990109
2020_10,50,120990110,220990110
2020_10,55,120990111,220990111
2020_10,60,120990112,220990112
2020_10,65,120990113,220990113
2020_10,70,120990114,220990114
2020_10,75,120990115,220990115
2020_10,80,120990116,220990116
2020_10,85,120990117,220990117
2020_10,90,120990118,220990118
2020_10,95,120990119,220990119
2020_10,100,120990120,220990120
2020_11,5,120990101,220990102
2020_11,10,120990102,220990102
2020_11,15,120990103,220990102
2020_11,20,120990104,220990104
2020_11,25,120990105,220990121
2020_11,30,120990106,220990102
2020_11,35,120990107,220990107
2020_11,40,120990108,220990102
2020_11,45,120990109,220990102
2020_11,50,120990110,220990122
2020_11,55,120990111,220990102
2020_11,60,120990112,220990112
2020_11,65,120990113,220990102
2020_11,70,120990114,220990102
2020_11,75,120990115,220990123
2020_11,80,120990116,220990102
2020_11,85,120990117,220990117
2020_11,90,120990118,220990102
2020_11,95,120990119,220990119
2020_11,100,120990120,220990120
2020_12,5,120990101,220990102
2020_12,10,120990102,220990102
2020_12,15,120990103,220990102
2020_12,20,120990104,220990104
2020_12,25,120990105,220990121
2020_12,30,120990106,220990102
2020_12,35,120990107,220990107
2020_12,40,120990108,220990102
2020_12,45,120990109,220990102
2020_12,50,120990110,220990122
2020_12,55,120990111,220990102
2020_12,60,120990112,220990112
2020_12,65,120990113,220990102
2020_12,70,120990114,220990102
2020_12,75,120990115,220990123
2020_12,80,120990116,220990102
2020_12,85,120990117,220990117
2020_12,90,120990118,220990102
2020_12,95,120990119,220990119
2020_12,100,120990120,220990120
2021_1,5,120990101,220990102
2021_1,10,120990102,220990102
2021_1,15,120990103,220990102
2021_1,20,120990104,220990104
2021_1,25,120990105,220990121
2021_1,30,120990106,220990102
2021_1,35,120990107,220990107
2021_1,40,120990108,220990102
2021_1,45,120990109,220990102
2021_1,50,120990110,220990122
2021_1,55,120990111,220990102
2021_1,60,120990112,220990112
2021_1,65,120990113,220990102
2021_1,70,120990114,220990102
2021_1,75,120990115,220990123
2021_1,80,120990116,220990102
2021_1,85,120990117,220990117
2021_1,90,120990118,220990102
2021_1,95,120990119,220990119
2021_1,100,120990120,220990120
2021_2,5,120990101,220990102
2021_2,10,120990102,220990102
2021_2,15,120990103,220990102
2021_2,20,120990104,220990104
2021_2,25,120990105,220990121
2021_2,30,120990106,220990102
2021_2,35,120990107,220990107
2021_2,40,120990108,220990102
2021_2,45,120990109,220990102
2021_2,50,120990110,220990122
2021_2,55,120990111,220990102
2021_2,60,120990112,220990112
2021_2,65,120990113,220990102
2021_2,70,120990114,220990102
2021_2,75,120990115,220990123
2021_2,80,120990116,220990102
2021_2,85,120990117,220990117
2021_2,90,120990118,220990102
2021_2,95,120990119,220990119
2021_2,100,120990120,220990120
2021_3,5,120990101,220990102
2021_3,10,120990102,220990102
2021_3,15,120990103,220990102
2021_3,20,120990104,220990104
2021_3,25,120990105,220990121
2021_3,30,120990106,220990102
2021_3,35,120990107,220990107
2021_3,40,120990108,220990102
2021_3,45,120990109,220990102
2021_3,50,120990110,220990122
2021_3,55,120990111,220990102
2021_3,60,120990112,220990112
2021_3,65,120990113,220990102
2021_3,70,120990114,220990102
2021_3,75,120990115,220990123
2021_3,80,120990116,220990102
2021_3,85,120990117,220990117
2021_3,90,120990118,220990102
2021_3,95,120990119,220990119
2021_3,100,120990120,220990120
2021_4,5,120990101,220990102
2021_4,10,120990102,220990102
2021_4,15,120990103,220990102
2021_4,20,120990104,220990104
2021_4,25,120990105,220990121
2021_4,30,120990106,220990102
2021_4,35,120990107,220990107
2021_4,40,120990108,220990102
2021_4,45,120990109,220990102
2021_4,50,120990110,220990122
2021_4,55,120990111,220990102
2021_4,60,120990112,220990112
2021_4,65,120990113,220990102
2021_4,70,120990114,220990102
2021_4,75,120990115,220990123
2021_4,80,120990116,220990102
2021_4,85,120990117,220990117
2021_4,90,120990118,220990102
2021_4,95,120990119,220990119
2021_4,100,120990120,220990120
2021_5,5,120990101,220990102
2021_5,10,120990102,220990102
2021_5,15,120990103,220990102
2021_5,20,120990104,220990104
2021_5,25,120990105,220990121
2021_5,30,120990106,220990102
2021_5,35,120990107,220990107
2021_5,40,120990108,220990102
2021_5,45,120990109,220990102
2021_5,50,120990110,220990122
2021_5,55,120990111,220990102
2021_5,60,120990112,220990112
2021_5,65,120990113,220990102
2021_5,70,120990114,220990102
2021_5,75,120990115,220990123
2021_5,80,120990116,220990102
2021_5,85,120990117,220990117
2021_5,90,120990118,220990102
2021_5,95,120990119,220990119
2021_5,100,120990120,220990120
2021_6,5,120990101,220990102
2021_6,10,120990102,220990102
2021_6,15,120990103,220990102
2021_6,20,120990104,220990104
2021_6,25,120990105,220990121
2021_6,30,120990106,220990102
2021_6,35,120990107,220990107
2021_6,40,120990108,220990102
2021_6,45,120990109,220990102
2021_6,50,120990110,220990122
2021_6,55,120990111,220990102
2021_6,60,120990112,220990112
2021_6,65,120990113,220990102
2021_6,70,120990114,220990102
2021_6,75,120990115,220990123
2021_6,80,120990116,220990102
2021_6,85,120990117,220990117
2021_6,90,120990118,220990102
2021_6,95,120990119,220990119
2021_6,100,120990120,220990120
2021_7,5,120990101,220990102
2021_7,10,120990102,220990102
2021_7,15,120990103,220990102
2021_7,20,120990104,220990104
2021_7,25,120990105,220990121
2021_7,30,120990106,220990102
2021_7,35,120990107,220990107
2021_7,40,120990108,220990102
2021_7,45,120990109,220990102
2021_7,50,120990110,220990122
2021_7,55,120990111,220990102
2021_7,60,120990112,220990112
2021_7,65,120990113,220990102
2021_7,70,120990114,220990102
2021_7,75,120990115,220990123
2021_7,80,120990116,220990102
2021_7,85,120990117,220990117
2021_7,90,120990118,220990102
2021_7,95,120990119,220990119
2021_7,100,120990120,220990120
2021_8,5,120990101,220990102
2021_8,10,120990102,220990102
2021_8,15,120990103,220990102
2021_8,20,120990104,220990104
2021_8,25,120990105,220990121
2021_8,30,120990106,220990102
2021_8,35,120990107,220990107
2021_8,40,120990108,220990102
2021_8,45,120990109,220990102
2021_8,50,120990110,220990122
2021_8,55,120990111,220990102
2021_8,60,120990112,220990112
2021_8,65,120990113,220990102
2021_8,70,120990114,220990102
2021_8,75,120990115,220990123
2021_8,80,120990116,220990102
2021_8,85,120990117,220990117
2021_8,90,120990118,220990102
2021_8,95,120990119,220990119
2021_8,100,120990120,220990120
2021_9,5,120990101,220990102
2021_9,10,120990102,220990102
2021_9,15,120990103,220990102
2021_9,20,120990104,220990104
2021_9,25,120990105,220990121
2021_9,30,120990106,220990102
2021_9,35,120990107,220990107
2021_9,40,120990108,220990102
2021_9,45,120990109,220990102
2021_9,50,120990110,220990122
2021_9,55,120990111,220990102
2021_9,60,120990112,220990112
2021_9,65,120990113,220990102
2021_9,70,120990114,220990102
2021_9,75,120990115,220990123
2021_9,80,120990116,220990102
2021_9,85,120990117,220990117
2021_9,90,120990118,220990102
2021_9,95,120990119,220990119
2021_9,100,120990120,220990120
2021_10,5,120990101,220990102
2021_10,10,120990102,220990102
2021_10,15,120990103,220990102
2021_10,20,120990104,220990104
2021_10,25,120990105,220990121
2021_10,30,120990106,220990102
2021_10,35,120990107,220990107
2021_10,40,120990108,220990102
2021_10,45,120990109,220990102
2021_10,50,120990110,220990122
2021_10,55,120990111,220990102
2021_10,60,120990112,220990112
2021_10,65,120990113,220990102
2021_10,70,120990114,220990102
2021_10,75,120990115,220990123
2021_10,80,120990116,220990102
2021_10,85,120990117,220990117
2021_10,90,120990118,220990102
2021_10,95,120990119,220990119
2021_10,100,120990120,220990120
2021_11,5,120990101,220990102
2021_11,10,120990102,220990102
2021_11,15,120990103,220990102
2021_11,20,120990104,220990104
2021_11,25,120990105,220990121
2021_11,30,120990106,220990102
2021_11,35,120990107,220990107
2021_11,40,120990108,220990102
2021_11,45,120990109,220990102
2021_11,50,120990110,220990122
2021_11,55,120990111,220990102
2021_11,60,120990112,220990112
2021_11,65,120990113,220990102
2021_11,70,120990114,220990102
2021_11,75,120990115,220990123
2021_11,80,120990116,220990102
2021_11,85,120990117,220990117
2021_11,90,120990118,220990102
2021_11,95,120990119,220990119
2021_11,100,120990120,220990120
2021_12,5,120990101,220990102
2021_12,10,120990102,220990102
2021_12,15,120990103,220990102
2021_12,20,120990104,220990104
2021_12,25,120990105,220990121
2021_12,30,120990106,220990102
2021_12,35,120990107,220990107
2021_12,40,120990108,220990102
2021_12,45,120990109,220990102
2021_12,50,120990110,220990122
2021_12,55,120990111,220990102
2021_12,60,120990112,220990112
2021_12,65,120990113,220990102
2021_12,70,120990114,220990102
2021_12,75,120990115,220990123
2021_12,80,120990116,220990102
2021_12,85,120990117,220990117
2021_12,90,120990118,220990102
2021_12,95,120990119,220990119
2021_12,100,120990120,220990120
2022_1,5,120990101,220990102
2022_1,10,120990102,220990102
2022_1,15,120990103,220990102
2022_1,20,120990104,220990104
2022_1,25,120990105,220990121
2022_1,30,120990106,220990102
2022_1,35,120990107,220990107
2022_1,40,120990108,220990102
2022_1,45,120990109,220990102
2022_1,50,120990110,220990122
2022_1,55,120990111,220990102
2022_1,60,120990112,220990112
2022_1,65,120990113,220990102
2022_1,70,120990114,220990102
2022_1,75,120990115,220990123
2022_1,80,120990116,220990102
2022_1,85,120990117,220990117
2022_1,90,120990118,220990102
2022_1,95,120990119,220990119
2022_1,100,120990120,220990120
2022_2,5,120990101,220990102
2022_2,10,120990102,220990102
2022_2,15,120990103,220990102
2022_2,20,120990104,220990104
2022_2,25,120990105,220990121
2022_2,30,120990106,220990102
2022_2,35,120990107,220990107
2022_2,40,120990108,220990102
2022_2,45,120990109,220990102
2022_2,50,120990110,220990122
2022_2,55,120990111,220990102
2022_2,60,120990112,220990112
2022_2,65,120990113,220990102
2022_2,70,120990114,220990102
2022_2,75,120990115,220990123
2022_2,80,120990116,220990102
2022_2,85,120990117,220990117
2022_2,90,120990118,220990102
2022_2,95,120990119,220990119
2022_2,100,120990120,220990120
2022_3,5,120990101,220990102
2022_3,10,120990102,220990102
2022_3,15,120990103,220990102
2022_3,20,120990104,220990104
2022_3,25,120990105,220990121
2022_3,30,120990106,220990102
2022_3,35,120990107,220990107
2022_3,40,120990108,220990102
2022_3,45,120990109,220990102
2022_3,50,120990110,220990122
2022_3,55,120990111,220990102
2022_3,60,120990112,220990112
2022_3,65,120990113,220990102
2022_3,70,120990114,220990102
2022_3,75,120990115,220990123
2022_3,80,120990116,220990102
2022_3,85,120990117,220990117
2022_3,90,120990118,220990102
2022_3,95,120990119,220990119
2022_3,100,120990120,220990120
2022_4,5,120990101,BPDrop001-BPDrop002
2022_4,10,120990102,BPDrop001-BPDrop010
2022_4,15,120990103,BPDrop001-BPDrop002
2022_4,20,120990104,BPDrop001-BPDrop010
2022_4,25,120990105,BPDrop001-BPDrop003
2022_4,30,120990106,BPDrop001-BPDrop003
2022_4,35,120990107,BPDrop001-BPDrop003
2022_4,40,120990108,BPDrop001-BPDrop011
2022_4,45,120990109,BPDrop001-BPDrop004
2022_4,50,120990110,BPDrop001-BPDrop004
2022_4,55,120990111,BPDrop001-BPDrop004
2022_4,60,120990112,BPDrop001-BPDrop012
2022_4,65,120990113,BPDrop001-BPDrop005
2022_4,70,120990114,BPDrop001-BPDrop005
2022_4,75,120990115,BPDrop001-BPDrop005
2022_4,80,120990116,BPDrop001-BPDrop013
2022_4,85,120990117,BPDrop001-BPDrop006
2022_4,90,120990118,BPDrop001-BPDrop008
2022_4,95,120990119,BPDrop001-BPDrop007
2022_4,100,120990120,BPDrop001-BPDrop009
2022_5,5,120990101,BPDrop001-BPDrop002
2022_5,10,120990102,BPDrop001-BPDrop010
2022_5,15,120990103,BPDrop001-BPDrop002
2022_5,20,120990104,BPDrop001-BPDrop010
2022_5,25,120990105,BPDrop001-BPDrop003
2022_5,30,120990106,BPDrop001-BPDrop003
2022_5,35,120990107,BPDrop001-BPDrop003
2022_5,40,120990108,BPDrop001-BPDrop011
2022_5,45,120990109,BPDrop001-BPDrop004
2022_5,50,120990110,BPDrop001-BPDrop004
2022_5,55,120990111,BPDrop001-BPDrop004
2022_5,60,120990112,BPDrop001-BPDrop012
2022_5,65,120990113,BPDrop001-BPDrop005
2022_5,70,120990114,BPDrop001-BPDrop005
2022_5,75,120990115,BPDrop001-BPDrop005
2022_5,80,120990116,BPDrop001-BPDrop013
2022_5,85,120990117,BPDrop001-BPDrop006
2022_5,90,120990118,BPDrop001-BPDrop008
2022_5,95,120990119,BPDrop001-BPDrop007
2022_5,100,120990120,BPDrop001-BPDrop009
2022_6,5,120990101,BPDrop001-BPDrop002
2022_6,10,120990102,BPDrop001-BPDrop010
2022_6,15,120990103,BPDrop001-BPDrop002
2022_6,20,120990104,BPDrop001-BPDrop010
2022_6,25,120990105,BPDrop001-BPDrop003
2022_6,30,120990106,BPDrop001-BPDrop003
2022_6,35,120990107,BPDrop001-BPDrop003
2022_6,40,120990108,BPDrop001-BPDrop011
2022_6,45,120990109,BPDrop001-BPDrop004
2022_6,50,120990110,BPDrop001-BPDrop004
2022_6,55,120990111,BPDrop001-BPDrop004
2022_6,60,120990112,BPDrop001-BPDrop012
2022_6,65,120990113,BPDrop001-BPDrop005
2022_6,70,120990114,BPDrop001-BPDrop005
2022_6,75,120990115,BPDrop001-BPDrop005
2022_6,80,120990116,BPDrop001-BPDrop013
2022_6,85,120990117,BPDrop001-BPDrop006
2022_6,90,120990118,BPDrop001-BPDrop008
2022_6,95,120990119,BPDrop001-BPDrop007
2022_6,100,120990120,BPDrop001-BPDrop009
2022_7,5,120990101,BPDrop001-BPDrop002
2022_7,10,120990102,BPDrop001-BPDrop010
2022_7,15,120990103,BPDrop001-BPDrop002
2022_7,20,120990104,BPDrop001-BPDrop010
2022_7,25,120990105,BPDrop001-BPDrop003
2022_7,30,120990106,BPDrop001-BPDrop003
2022_7,35,120990107,BPDrop001-BPDrop003
2022_7,40,120990108,BPDrop001-BPDrop011
2022_7,45,120990109,BPDrop001-BPDrop004
2022_7,50,120990110,BPDrop001-BPDrop004
2022_7,55,120990111,BPDrop001-BPDrop004
2022_7,60,120990112,BPDrop001-BPDrop012
2022_7,65,120990113,BPDrop001-BPDrop005
2022_7,70,120990114,BPDrop001-BPDrop005
2022_7,75,120990115,BPDrop001-BPDrop005
2022_7,80,120990116,BPDrop001-BPDrop013
2022_7,85,120990117,BPDrop001-BPDrop006
2022_7,90,120990118,BPDrop001-BPDrop008
2022_7,95,120990119,BPDrop001-BPDrop007
2022_7,100,120990120,BPDrop001-BPDrop009
2022_8,5,120990101,BPDrop001-BPDrop002
2022_8,10,120990102,BPDrop001-BPDrop010
2022_8,15,120990103,BPDrop001-BPDrop002
2022_8,20,120990104,BPDrop001-BPDrop010
2022_8,25,120990105,BPDrop001-BPDrop003
2022_8,30,120990106,BPDrop001-BPDrop003
2022_8,35,120990107,BPDrop001-BPDrop003
2022_8,40,120990108,BPDrop001-BPDrop011
2022_8,45,120990109,BPDrop001-BPDrop004
2022_8,50,120990110,BPDrop001-BPDrop004
2022_8,55,120990111,BPDrop001-BPDrop004
2022_8,60,120990112,BPDrop001-BPDrop012
2022_8,65,120990113,BPDrop001-BPDrop005
2022_8,70,120990114,BPDrop001-BPDrop005
2022_8,75,120990115,BPDrop001-BPDrop005
2022_8,80,120990116,BPDrop001-BPDrop013
2022_8,85,120990117,BPDrop001-BPDrop006
2022_8,90,120990118,BPDrop001-BPDrop008
2022_8,95,120990119,BPDrop001-BPDrop007
2022_8,100,120990120,BPDrop001-BPDrop009
2022_9,5,120990101,BPDrop001-BPDrop002
2022_9,10,120990102,BPDrop001-BPDrop010
2022_9,15,120990103,BPDrop001-BPDrop002
2022_9,20,120990104,BPDrop001-BPDrop010
2022_9,25,120990105,BPDrop001-BPDrop003
2022_9,30,120990106,BPDrop001-BPDrop003
2022_9,35,120990107,BPDrop001-BPDrop003
2022_9,40,120990108,BPDrop001-BPDrop011
2022_9,45,120990109,BPDrop001-BPDrop004
2022_9,50,120990110,BPDrop001-BPDrop004
2022_9,55,120990111,BPDrop001-BPDrop004
2022_9,60,120990112,BPDrop001-BPDrop012
2022_9,65,120990113,BPDrop001-BPDrop005
2022_9,70,120990114,BPDrop001-BPDrop005
2022_9,75,120990115,BPDrop001-BPDrop005
2022_9,80,120990116,BPDrop001-BPDrop013
2022_9,85,120990117,BPDrop001-BPDrop006
2022_9,90,120990118,BPDrop001-BPDrop008
2022_9,95,120990119,BPDrop001-BPDrop007
2022_9,100,120990120,BPDrop001-BPDrop009
2022_10,5,120990101,BPDrop001-BPDrop002
2022_10,10,120990102,BPDrop001-BPDrop010
2022_10,15,120990103,BPDrop001-BPDrop002
2022_10,20,120990104,BPDrop001-BPDrop010
2022_10,25,120990105,BPDrop001-BPDrop003
2022_10,30,120990106,BPDrop001-BPDrop003
2022_10,35,120990107,BPDrop001-BPDrop003
2022_10,40,120990108,BPDrop001-BPDrop011
2022_10,45,120990109,BPDrop001-BPDrop004
2022_10,50,120990110,BPDrop001-BPDrop004
2022_10,55,120990111,BPDrop001-BPDrop004
2022_10,60,120990112,BPDrop001-BPDrop012
2022_10,65,120990113,BPDrop001-BPDrop005
2022_10,70,120990114,BPDrop001-BPDrop005
2022_10,75,120990115,BPDrop001-BPDrop005
2022_10,80,120990116,BPDrop001-BPDrop013
2022_10,85,120990117,BPDrop001-BPDrop006
2022_10,90,120990118,BPDrop001-BPDrop008
2022_10,95,120990119,BPDrop001-BPDrop007
2022_10,100,120990120,BPDrop001-BPDrop009
2022_11,5,120990101,BPDrop001-BPDrop002
2022_11,10,120990102,BPDrop001-BPDrop010
2022_11,15,120990103,BPDrop001-BPDrop002
2022_11,20,120990104,BPDrop001-BPDrop010
2022_11,25,120990105,BPDrop001-BPDrop003
2022_11,30,120990106,BPDrop001-BPDrop003
2022_11,35,120990107,BPDrop001-BPDrop003
2022_11,40,120990108,BPDrop001-BPDrop011
2022_11,45,120990109,BPDrop001-BPDrop004
2022_11,50,120990110,BPDrop001-BPDrop004
2022_11,55,120990111,BPDrop001-BPDrop004
2022_11,60,120990112,BPDrop001-BPDrop012
2022_11,65,120990113,BPDrop001-BPDrop005
2022_11,70,120990114,BPDrop001-BPDrop005
2022_11,75,120990115,BPDrop001-BPDrop005
2022_11,80,120990116,BPDrop001-BPDrop013
2022_11,85,120990117,BPDrop001-BPDrop006
2022_11,90,120990118,BPDrop001-BPDrop008
2022_11,95,120990119,BPDrop001-BPDrop007
2022_11,100,120990120,BPDrop001-BPDrop009
2022_12,5,120990101,BPDrop001-BPDrop002
2022_12,10,120990102,BPDrop001-BPDrop010
2022_12,15,120990103,BPDrop001-BPDrop002
2022_12,20,120990104,BPDrop001-BPDrop010
2022_12,25,120990105,BPDrop001-BPDrop003
2022_12,30,120990106,BPDrop001-BPDrop003
2022_12,35,120990107,BPDrop001-BPDrop003
2022_12,40,120990108,BPDrop001-BPDrop011
2022_12,45,120990109,BPDrop001-BPDrop004
2022_12,50,120990110,BPDrop001-BPDrop004
2022_12,55,120990111,BPDrop001-BPDrop004
2022_12,60,120990112,BPDrop001-BPDrop012
2022_12,65,120990113,BPDrop001-BPDrop005
2022_12,70,120990114,BPDrop001-BPDrop005
2022_12,75,120990115,BPDrop001-BPDrop005
2022_12,80,120990116,BPDrop001-BPDrop013
2022_12,85,120990117,BPDrop001-BPDrop006
2022_12,90,120990118,BPDrop001-BPDrop008
2022_12,95,120990119,BPDrop001-BPDrop007
2022_12,100,120990120,BPDrop001-BPDrop009
2023_1,5,120200101,BPDrop001-BPDrop002
2023_1,10,120200102,BPDrop001-BPDrop010
2023_1,15,120200103,BPDrop001-BPDrop002
2023_1,20,120200104,BPDrop001-BPDrop010
2023_1,25,120200105,BPDrop001-BPDrop003
2023_1,30,120200106,BPDrop001-BPDrop003
2023_1,35,120200107,BPDrop001-BPDrop003
2023_1,40,120200108,BPDrop001-BPDrop011
2023_1,45,120200109,BPDrop001-BPDrop004
2023_1,50,120200110,BPDrop001-BPDrop004
2023_1,55,120200111,BPDrop001-BPDrop004
2023_1,60,120200112,BPDrop001-BPDrop012
2023_1,65,120200113,BPDrop001-BPDrop005
2023_1,70,120200114,BPDrop001-BPDrop005
2023_1,75,120200115,BPDrop001-BPDrop005
2023_1,80,120200116,BPDrop001-BPDrop013
2023_1,85,120200117,BPDrop001-BPDrop006
2023_1,90,120200118,BPDrop001-BPDrop008
2023_1,95,120200119,BPDrop001-BPDrop007
2023_1,100,120200120,BPDrop001-BPDrop009
2023_2,5,120990101,BPDrop001-BPDrop002
2023_2,10,120990102,BPDrop001-BPDrop010
2023_2,15,120990103,BPDrop001-BPDrop002
2023_2,20,120990104,BPDrop001-BPDrop010
2023_2,25,120990105,BPDrop001-BPDrop003
2023_2,30,120990106,BPDrop001-BPDrop003
2023_2,35,120990107,BPDrop001-BPDrop003
2023_2,40,120990108,BPDrop001-BPDrop011
2023_2,45,120990109,BPDrop001-BPDrop004
2023_2,50,120990110,BPDrop001-BPDrop004
2023_2,55,120990111,BPDrop001-BPDrop004
2023_2,60,120990112,BPDrop001-BPDrop012
2023_2,65,120990113,BPDrop001-BPDrop005
2023_2,70,120990114,BPDrop001-BPDrop005
2023_2,75,120990115,BPDrop001-BPDrop005
2023_2,80,120990116,BPDrop001-BPDrop013
2023_2,85,120990117,BPDrop001-BPDrop006
2023_2,90,120990118,BPDrop001-BPDrop008
2023_2,95,120990119,BPDrop001-BPDrop007
2023_2,100,120990120,BPDrop001-BPDrop009
2023_3,5,120990101,BPDrop001-BPDrop002
2023_3,10,120990102,BPDrop001-BPDrop010
2023_3,15,120990103,BPDrop001-BPDrop002
2023_3,20,120990104,BPDrop001-BPDrop010
2023_3,25,120990105,BPDrop001-BPDrop003
2023_3,30,120990106,BPDrop001-BPDrop003
2023_3,35,120990107,BPDrop001-BPDrop003
2023_3,40,120990108,BPDrop001-BPDrop011
2023_3,45,120990109,BPDrop001-BPDrop004
2023_3,50,120990110,BPDrop001-BPDrop004
2023_3,55,120990111,BPDrop001-BPDrop004
2023_3,60,120990112,BPDrop001-BPDrop012
2023_3,65,120990113,BPDrop001-BPDrop005
2023_3,70,120990114,BPDrop001-BPDrop005
2023_3,75,120990115,BPDrop001-BPDrop005
2023_3,80,120990116,BPDrop001-BPDrop013
2023_3,85,120990117,BPDrop001-BPDrop006
2023_3,90,120990118,BPDrop001-BPDrop008
2023_3,95,120990119,BPDrop001-BPDrop007
2023_3,100,120990120,BPDrop001-BPDrop009
2023_4,5,120990101,BPDrop001-BPDrop002
2023_4,10,120990102,BPDrop001-BPDrop010
2023_4,15,120990103,BPDrop001-BPDrop002
2023_4,20,120990104,BPDrop001-BPDrop010
2023_4,25,120990105,BPDrop001-BPDrop003
