RuneID,Star,CostItemID,CostCount,CostMoney,AttributeID,SpecialAttributeID,SpecialAttributeTIP
161001,3,350009-350010-161001,900-225-2,4500,1630003,1631003,T_EquipmentStar_SpecialAttributeTIP_161001_2
161001,4,,,,1630004,1631004,T_EquipmentStar_SpecialAttributeTIP_161001_3
161002,1,350009-350012-161002,300-75-1,1500,1630001,1631005,T_EquipmentStar_SpecialAttributeTIP_161002
161002,2,350009-350012-161002,600-150-2,3000,1630002,1631006,T_EquipmentStar_SpecialAttributeTIP_161002_1
161002,3,350009-350012-161002,900-225-2,4500,1630003,1631007,T_EquipmentStar_SpecialAttributeTIP_161002_2
161002,4,,,,1630004,1631008,T_EquipmentStar_SpecialAttributeTIP_161002_3
161003,1,350009-350011-161003,300-75-1,1500,1630001,1631009,T_EquipmentStar_SpecialAttributeTIP_161003
161003,2,350009-350011-161003,600-150-2,3000,1630002,1631010,T_EquipmentStar_SpecialAttributeTIP_161003_1
161003,3,350009-350011-161003,900-225-2,4500,1630003,1631011,T_EquipmentStar_SpecialAttributeTIP_161003_2
161003,4,,,,1630004,1631012,T_EquipmentStar_SpecialAttributeTIP_161003_3
161004,1,350009-350010-161004,300-75-1,1500,1630001,1631013,T_EquipmentStar_SpecialAttributeTIP_161004
161004,2,350009-350010-161004,600-150-2,3000,1630002,1631014,T_EquipmentStar_SpecialAttributeTIP_161004_1
161004,3,350009-350010-161004,900-225-2,4500,1630003,1631015,T_EquipmentStar_SpecialAttributeTIP_161004_2
161004,4,,,,1630004,1631016,T_EquipmentStar_SpecialAttributeTIP_161004_3
161005,1,350009-350012-161005,300-75-1,1500,1630001,1631017,T_EquipmentStar_SpecialAttributeTIP_161005
161005,2,350009-350012-161005,600-150-2,3000,1630002,1631018,T_EquipmentStar_SpecialAttributeTIP_161005_1
161005,3,350009-350012-161005,900-225-2,4500,1630003,1631019,T_EquipmentStar_SpecialAttributeTIP_161005_2
161005,4,,,,1630004,1631020,T_EquipmentStar_SpecialAttributeTIP_161005_3
161006,1,350009-350012-161006,300-75-1,1500,1630001,1631021,T_EquipmentStar_SpecialAttributeTIP_161006
161006,2,350009-350012-161006,600-150-2,3000,1630002,1631022,T_EquipmentStar_SpecialAttributeTIP_161006_1
161006,3,350009-350012-161006,900-225-2,4500,1630003,1631023,T_EquipmentStar_SpecialAttributeTIP_161006_2
161006,4,,,,1630004,1631024,T_EquipmentStar_SpecialAttributeTIP_161006_3
161007,1,350009-350011-161007,300-75-1,1500,1630001,1631025,T_EquipmentStar_SpecialAttributeTIP_161007
161007,2,350009-350011-161007,600-150-2,3000,1630002,1631026,T_EquipmentStar_SpecialAttributeTIP_161007_1
161007,3,350009-350011-161007,900-225-2,4500,1630003,1631027,T_EquipmentStar_SpecialAttributeTIP_161007_2
161007,4,,,,1630004,1631028,T_EquipmentStar_SpecialAttributeTIP_161007_3
161008,1,350009-350012-161008,300-75-1,1500,1630001,1631029,T_EquipmentStar_SpecialAttributeTIP_161008
161008,2,350009-350012-161008,600-150-2,3000,1630002,1631030,T_EquipmentStar_SpecialAttributeTIP_161008_1
161008,3,350009-350012-161008,900-225-2,4500,1630003,1631031,T_EquipmentStar_SpecialAttributeTIP_161008_2
161008,4,,,,1630004,1631032,T_EquipmentStar_SpecialAttributeTIP_161008_3
161009,1,350009-350010-161009,300-75-1,1500,1630001,1631033,T_EquipmentStar_SpecialAttributeTIP_161009
161009,2,350009-350010-161009,600-150-2,3000,1630002,1631034,T_EquipmentStar_SpecialAttributeTIP_161009_1
161009,3,350009-350010-161009,900-225-2,4500,1630003,1631035,T_EquipmentStar_SpecialAttributeTIP_161009_2
161009,4,,,,1630004,1631036,T_EquipmentStar_SpecialAttributeTIP_161009_3
161010,1,350009-350012-161010,300-75-1,1500,1630001,1631037,T_EquipmentStar_SpecialAttributeTIP_161010
161010,2,350009-350012-161010,600-150-2,3000,1630002,1631038,T_EquipmentStar_SpecialAttributeTIP_161010_1
161010,3,350009-350012-161010,900-225-2,4500,1630003,1631039,T_EquipmentStar_SpecialAttributeTIP_161010_2
161010,4,,,,1630004,1631040,T_EquipmentStar_SpecialAttributeTIP_161010_3
161011,1,350009-350011-161011,300-75-1,1500,1630001,1631041,T_EquipmentStar_SpecialAttributeTIP_161011
161011,2,350009-350011-161011,600-150-2,3000,1630002,1631042,T_EquipmentStar_SpecialAttributeTIP_161011_1
161011,3,350009-350011-161011,900-225-2,4500,1630003,1631043,T_EquipmentStar_SpecialAttributeTIP_161011_2
161011,4,,,,1630004,1631044,T_EquipmentStar_SpecialAttributeTIP_161011_3
161012,1,350009-350010-161012,300-75-1,1500,1630001,1631045,T_EquipmentStar_SpecialAttributeTIP_161012
161012,2,350009-350010-161012,600-150-2,3000,1630002,1631046,T_EquipmentStar_SpecialAttributeTIP_161012_1
161012,3,350009-350010-161012,900-225-2,4500,1630003,1631047,T_EquipmentStar_SpecialAttributeTIP_161012_2
161012,4,,,,1630004,1631048,T_EquipmentStar_SpecialAttributeTIP_161012_3
161013,1,350009-350010-161013,300-75-1,1500,1630001,1631049,T_EquipmentStar_SpecialAttributeTIP_161013
161013,2,350009-350010-161013,600-150-2,3000,1630002,1631050,T_EquipmentStar_SpecialAttributeTIP_161013_1
161013,3,350009-350010-161013,900-225-2,4500,1630003,1631051,T_EquipmentStar_SpecialAttributeTIP_161013_2
161013,4,,,,1630004,1631052,T_EquipmentStar_SpecialAttributeTIP_161013_3
161014,1,350009-350011-161014,300-75-1,1500,1630001,1631053,T_EquipmentStar_SpecialAttributeTIP_161014
161014,2,350009-350011-161014,600-150-2,3000,1630002,1631054,T_EquipmentStar_SpecialAttributeTIP_161014_1
161014,3,350009-350011-161014,900-225-2,4500,1630003,1631055,T_EquipmentStar_SpecialAttributeTIP_161014_2
161014,4,,,,1630004,1631056,T_EquipmentStar_SpecialAttributeTIP_161014_3
161015,1,350009-350010-161015,300-75-1,1500,1630001,1631057,T_EquipmentStar_SpecialAttributeTIP_161015
161015,2,350009-350010-161015,600-150-2,3000,1630002,1631058,T_EquipmentStar_SpecialAttributeTIP_161015_1
161015,3,350009-350010-161015,900-225-2,4500,1630003,1631059,T_EquipmentStar_SpecialAttributeTIP_161015_2
161015,4,,,,1630004,1631060,T_EquipmentStar_SpecialAttributeTIP_161015_3
161016,1,350009-350012-161016,300-75-1,1500,1630001,1631061,T_EquipmentStar_SpecialAttributeTIP_161016
161016,2,350009-350012-161016,600-150-2,3000,1630002,1631062,T_EquipmentStar_SpecialAttributeTIP_161016_1
161016,3,350009-350012-161016,900-225-2,4500,1630003,1631063,T_EquipmentStar_SpecialAttributeTIP_161016_2
161016,4,,,,1630004,1631064,T_EquipmentStar_SpecialAttributeTIP_161016_3
161017,1,350009-350010-161017,300-75-1,1500,1630001,1631065,T_EquipmentStar_SpecialAttributeTIP_161017
161017,2,350009-350010-161017,600-150-2,3000,1630002,1631066,T_EquipmentStar_SpecialAttributeTIP_161017_1
161017,3,350009-350010-161017,900-225-2,4500,1630003,1631067,T_EquipmentStar_SpecialAttributeTIP_161017_2
161017,4,,,,1630004,1631068,T_EquipmentStar_SpecialAttributeTIP_161017_3
161018,1,350009-350011-161018,300-75-1,1500,1630001,1631069,T_EquipmentStar_SpecialAttributeTIP_161018
161018,2,350009-350011-161018,600-150-2,3000,1630002,1631070,T_EquipmentStar_SpecialAttributeTIP_161018_1
161018,3,350009-350011-161018,900-225-2,4500,1630003,1631071,T_EquipmentStar_SpecialAttributeTIP_161018_2
161018,4,,,,1630004,1631072,T_EquipmentStar_SpecialAttributeTIP_161018_3
161019,1,350009-350012-161019,300-75-1,1500,1630001,1631073,T_EquipmentStar_SpecialAttributeTIP_161019
161019,2,350009-350012-161019,600-150-2,3000,1630002,1631074,T_EquipmentStar_SpecialAttributeTIP_161019_1
161019,3,350009-350012-161019,900-225-2,4500,1630003,1631075,T_EquipmentStar_SpecialAttributeTIP_161019_2
161019,4,,,,1630004,1631076,T_EquipmentStar_SpecialAttributeTIP_161019_3
161020,1,350009-350010-161020,300-75-1,1500,1630001,1631077,T_EquipmentStar_SpecialAttributeTIP_161020
161020,2,350009-350010-161020,600-150-2,3000,1630002,1631078,T_EquipmentStar_SpecialAttributeTIP_161020_1
161020,3,350009-350010-161020,900-225-2,4500,1630003,1631079,T_EquipmentStar_SpecialAttributeTIP_161020_2
161020,4,,,,1630004,1631080,T_EquipmentStar_SpecialAttributeTIP_161020_3
161021,1,350009-350011-161021,300-75-1,1500,1630001,1631081,T_EquipmentStar_SpecialAttributeTIP_161021
161021,2,350009-350011-161021,600-150-2,3000,1630002,1631082,T_EquipmentStar_SpecialAttributeTIP_161021_1
161021,3,350009-350011-161021,900-225-2,4500,1630003,1631083,T_EquipmentStar_SpecialAttributeTIP_161021_2
161021,4,,,,1630004,1631084,T_EquipmentStar_SpecialAttributeTIP_161021_3
161022,1,350009-350012-161022,300-75-1,1500,1630001,1631085,T_EquipmentStar_SpecialAttributeTIP_161022
161022,2,350009-350012-161022,600-150-2,3000,1630002,1631086,T_EquipmentStar_SpecialAttributeTIP_161022_1
161022,3,350009-350012-161022,900-225-2,4500,1630003,1631087,T_EquipmentStar_SpecialAttributeTIP_161022_2
161022,4,,,,1630004,1631088,T_EquipmentStar_SpecialAttributeTIP_161022_3
161090,1,350009-350010-161090,300-75-1,1500,1630001,1631089,T_EquipmentStar_SpecialAttributeTIP_161090
161090,2,350009-350010-161090,600-150-2,3000,1630002,1631090,T_EquipmentStar_SpecialAttributeTIP_161090_1
161090,3,350009-350010-161090,900-225-2,4500,1630003,1631091,T_EquipmentStar_SpecialAttributeTIP_161090_2
161090,4,,,,1630004,1631092,T_EquipmentStar_SpecialAttributeTIP_161090_3
161091,1,350009-350011-161091,300-75-1,1500,1630001,1631093,T_EquipmentStar_SpecialAttributeTIP_161091
161091,2,350009-350011-161091,600-150-2,3000,1630002,1631094,T_EquipmentStar_SpecialAttributeTIP_161091_1
161091,3,350009-350011-161091,900-225-2,4500,1630003,1631095,T_EquipmentStar_SpecialAttributeTIP_161091_2
161091,4,,,,1630004,1631096,T_EquipmentStar_SpecialAttributeTIP_161091_3
161023,1,350009-350010-161023,300-75-1,1500,1630001,1631097,T_EquipmentStar_SpecialAttributeTIP_161023
161023,2,350009-350010-161023,600-150-2,3000,1630002,1631098,T_EquipmentStar_SpecialAttributeTIP_161023_1
161023,3,350009-350010-161023,900-225-2,4500,1630003,1631099,T_EquipmentStar_SpecialAttributeTIP_161023_2
161023,4,,,,1630004,1631100,T_EquipmentStar_SpecialAttributeTIP_161023_3
161024,1,350009-350011-161024,300-75-1,1500,1630001,1631101,T_EquipmentStar_SpecialAttributeTIP_161024
161024,2,350009-350011-161024,600-150-2,3000,1630002,1631102,T_EquipmentStar_SpecialAttributeTIP_161024_1
161024,3,350009-350011-161024,900-225-2,4500,1630003,1631103,T_EquipmentStar_SpecialAttributeTIP_161024_2
161024,4,,,,1630004,1631104,T_EquipmentStar_SpecialAttributeTIP_161024_3
161025,1,350009-350012-161025,300-75-1,1500,1630001,1631105,T_EquipmentStar_SpecialAttributeTIP_161025
161025,2,350009-350012-161025,600-150-2,3000,1630002,1631106,T_EquipmentStar_SpecialAttributeTIP_161025_1
161025,3,350009-350012-161025,900-225-2,4500,1630003,1631107,T_EquipmentStar_SpecialAttributeTIP_161025_2
161025,4,,,,1630004,1631108,T_EquipmentStar_SpecialAttributeTIP_161025_3
161026,1,350009-350010-161026,300-75-1,1500,1630001,1631109,T_EquipmentStar_SpecialAttributeTIP_161026
161026,2,350009-350010-161026,600-150-2,3000,1630002,1631110,T_EquipmentStar_SpecialAttributeTIP_161026_1
161026,3,350009-350010-161026,900-225-2,4500,1630003,1631111,T_EquipmentStar_SpecialAttributeTIP_161026_2
161026,4,,,,1630004,1631112,T_EquipmentStar_SpecialAttributeTIP_161026_3
161027,1,350009-350012-161027,300-75-1,1500,1630001,1631113,T_EquipmentStar_SpecialAttributeTIP_161027
161027,2,350009-350012-161027,600-150-2,3000,1630002,1631114,T_EquipmentStar_SpecialAttributeTIP_161027_1
161027,3,350009-350012-161027,900-225-2,4500,1630003,1631115,T_EquipmentStar_SpecialAttributeTIP_161027_2
161027,4,,,,1630004,1631116,T_EquipmentStar_SpecialAttributeTIP_161027_3
161028,1,350009-350010-161028,300-75-1,1500,1630001,1631117,T_EquipmentStar_SpecialAttributeTIP_161028
161028,2,350009-350010-161028,600-150-2,3000,1630002,1631118,T_EquipmentStar_SpecialAttributeTIP_161028_1
161028,3,350009-350010-161028,900-225-2,4500,1630003,1631119,T_EquipmentStar_SpecialAttributeTIP_161028_2
161028,4,,,,1630004,1631120,T_EquipmentStar_SpecialAttributeTIP_161028_3
161029,1,350009-350012-161029,300-75-1,1500,1630001,1631121,T_EquipmentStar_SpecialAttributeTIP_161029
161029,2,350009-350012-161029,600-150-2,3000,1630002,1631122,T_EquipmentStar_SpecialAttributeTIP_161029_1
161029,3,350009-350012-161029,900-225-2,4500,1630003,1631123,T_EquipmentStar_SpecialAttributeTIP_161029_2
161029,4,,,,1630004,1631124,T_EquipmentStar_SpecialAttributeTIP_161029_3
161030,1,350009-350010-161030,300-75-1,1500,1630001,1631125,T_EquipmentStar_SpecialAttributeTIP_161030
161030,2,350009-350010-161030,600-150-2,3000,1630002,1631126,T_EquipmentStar_SpecialAttributeTIP_161030_1
161030,3,350009-350010-161030,900-225-2,4500,1630003,1631127,T_EquipmentStar_SpecialAttributeTIP_161030_2
161030,4,,,,1630004,1631128,T_EquipmentStar_SpecialAttributeTIP_161030_3
161031,1,350009-350011-161031,300-75-1,1500,1630001,1631129,T_EquipmentStar_SpecialAttributeTIP_161031
161031,2,350009-350011-161031,600-150-2,3000,1630002,1631130,T_EquipmentStar_SpecialAttributeTIP_161031_1
161031,3,350009-350011-161031,900-225-2,4500,1630003,1631131,T_EquipmentStar_SpecialAttributeTIP_161031_2
161031,4,,,,1630004,1631132,T_EquipmentStar_SpecialAttributeTIP_161031_3
161032,1,350009-350010-161032,300-75-1,1500,1630001,1631133,T_EquipmentStar_SpecialAttributeTIP_161032
161032,2,350009-350010-161032,600-150-2,3000,1630002,1631134,T_EquipmentStar_SpecialAttributeTIP_161032_1
161032,3,350009-350010-161032,900-225-2,4500,1630003,1631135,T_EquipmentStar_SpecialAttributeTIP_161032_2
161032,4,,,,1630004,1631136,T_EquipmentStar_SpecialAttributeTIP_161032_3
161033,1,350009-350012-161033,300-75-1,1500,1630001,1631137,T_EquipmentStar_SpecialAttributeTIP_161033
161033,2,350009-350012-161033,600-150-2,3000,1630002,1631138,T_EquipmentStar_SpecialAttributeTIP_161033_1
161033,3,350009-350012-161033,900-225-2,4500,1630003,1631139,T_EquipmentStar_SpecialAttributeTIP_161033_2
161033,4,,,,1630004,1631140,T_EquipmentStar_SpecialAttributeTIP_161033_3
161034,1,350009-350010-161034,300-75-1,1500,1630001,1631141,T_EquipmentStar_SpecialAttributeTIP_161034
161034,2,350009-350010-161034,600-150-2,3000,1630002,1631142,T_EquipmentStar_SpecialAttributeTIP_161034_1
161034,3,350009-350010-161034,900-225-2,4500,1630003,1631143,T_EquipmentStar_SpecialAttributeTIP_161034_2
161034,4,,,,1630004,1631144,T_EquipmentStar_SpecialAttributeTIP_161034_3
161035,1,350009-350012-161035,300-75-1,1500,1630001,1631145,T_EquipmentStar_SpecialAttributeTIP_161035
161035,2,350009-350012-161035,600-150-2,3000,1630002,1631146,T_EquipmentStar_SpecialAttributeTIP_161035_1
161035,3,350009-350012-161035,900-225-2,4500,1630003,1631147,T_EquipmentStar_SpecialAttributeTIP_161035_2
161035,4,,,,1630004,1631148,T_EquipmentStar_SpecialAttributeTIP_161035_3
161036,1,350009-350010-161036,300-75-1,1500,1630001,1631149,T_EquipmentStar_SpecialAttributeTIP_161036
161036,2,350009-350010-161036,600-150-2,3000,1630002,1631150,T_EquipmentStar_SpecialAttributeTIP_161036_1
161036,3,350009-350010-161036,900-225-2,4500,1630003,1631151,T_EquipmentStar_SpecialAttributeTIP_161036_2
161036,4,,,,1630004,1631152,T_EquipmentStar_SpecialAttributeTIP_161036_3
161037,1,350009-350010-161037,300-75-1,1500,1630001,1631153,T_EquipmentStar_SpecialAttributeTIP_161037
161037,2,350009-350010-161037,600-150-2,3000,1630002,1631154,T_EquipmentStar_SpecialAttributeTIP_161037_1
161037,3,350009-350010-161037,900-225-2,4500,1630003,1631155,T_EquipmentStar_SpecialAttributeTIP_161037_2
161037,4,,,,1630004,1631156,T_EquipmentStar_SpecialAttributeTIP_161037_3
161038,1,350009-350012-161038,300-75-1,1500,1630001,1631157,T_EquipmentStar_SpecialAttributeTIP_161038
161038,2,350009-350012-161038,600-150-2,3000,1630002,1631158,T_EquipmentStar_SpecialAttributeTIP_161038_1
161038,3,350009-350012-161038,900-225-2,4500,1630003,1631159,T_EquipmentStar_SpecialAttributeTIP_161038_2
161038,4,,,,1630004,1631160,T_EquipmentStar_SpecialAttributeTIP_161038_3
161039,1,350009-350010-161039,300-75-1,1500,1630001,1631161,T_EquipmentStar_SpecialAttributeTIP_161039
161039,2,350009-350010-161039,600-150-2,3000,1630002,1631162,T_EquipmentStar_SpecialAttributeTIP_161039_1
161039,3,350009-350010-161039,900-225-2,4500,1630003,1631163,T_EquipmentStar_SpecialAttributeTIP_161039_2
161039,4,,,,1630004,1631164,T_EquipmentStar_SpecialAttributeTIP_161039_3
161040,1,350009-350011-161040,300-75-1,1500,1630001,1631165,T_EquipmentStar_SpecialAttributeTIP_161040
161040,2,350009-350011-161040,600-150-2,3000,1630002,1631166,T_EquipmentStar_SpecialAttributeTIP_161040_1
161040,3,350009-350011-161040,900-225-2,4500,1630003,1631167,T_EquipmentStar_SpecialAttributeTIP_161040_2
161040,4,,,,1630004,1631168,T_EquipmentStar_SpecialAttributeTIP_161040_3
161041,1,350009-350010-161041,300-75-1,1500,1630001,1631169,T_EquipmentStar_SpecialAttributeTIP_161041
161041,2,350009-350010-161041,600-150-2,3000,1630002,1631170,T_EquipmentStar_SpecialAttributeTIP_161041_1
161041,3,350009-350010-161041,900-225-2,4500,1630003,1631171,T_EquipmentStar_SpecialAttributeTIP_161041_2
161041,4,,,,1630004,1631172,T_EquipmentStar_SpecialAttributeTIP_161041_3
161042,1,350009-350012-161042,300-75-1,1500,1630001,1631173,T_EquipmentStar_SpecialAttributeTIP_161042
161042,2,350009-350012-161042,600-150-2,3000,1630002,1631174,T_EquipmentStar_SpecialAttributeTIP_161042_1
161042,3,350009-350012-161042,900-225-2,4500,1630003,1631175,T_EquipmentStar_SpecialAttributeTIP_161042_2
161042,4,,,,1630004,1631176,T_EquipmentStar_SpecialAttributeTIP_161042_3
