RoleID,Level,Intimacy,RewardTip,VersionControl
15001,9,800,T_Intimacy_RewardTip_15001_8,
15001,10,1120,T_Intimacy_RewardTip_15001_9,
15001,11,1600,T_Intimacy_RewardTip_15001_10,
15001,12,2100,T_Intimacy_RewardTip_1001_11,
15001,13,2100,,
15001,14,2100,T_Intimacy_RewardTip_1001_13,
15001,15,,T_Intimacy_RewardTip_1001_14,
16001,1,40,T_Intimacy_RewardTip_16001,
16001,2,80,T_Intimacy_RewardTip_16001_1,
16001,3,120,T_Intimacy_RewardTip_16001_2,
16001,4,160,T_Intimacy_RewardTip_16001_3,
16001,5,220,T_Intimacy_RewardTip_16001_4,
16001,6,280,T_Intimacy_RewardTip_16001_5,
16001,7,400,,
16001,8,560,,
16001,9,800,T_Intimacy_RewardTip_16001_8,
16001,10,1120,T_Intimacy_RewardTip_16001_9,
16001,11,1600,T_Intimacy_RewardTip_16001_10,
16001,12,2100,T_Intimacy_RewardTip_1001_11,
16001,13,2100,,
16001,14,2100,T_Intimacy_RewardTip_1001_13,
16001,15,,T_Intimacy_RewardTip_1001_14,
17001,1,40,T_Intimacy_RewardTip_17001,
17001,2,80,T_Intimacy_RewardTip_17001_1,
17001,3,120,T_Intimacy_RewardTip_17001_2,
17001,4,160,T_Intimacy_RewardTip_17001_3,
17001,5,220,T_Intimacy_RewardTip_17001_4,
17001,6,280,T_Intimacy_RewardTip_17001_5,
17001,7,400,,
17001,8,560,,
17001,9,800,T_Intimacy_RewardTip_17001_8,
17001,10,1120,T_Intimacy_RewardTip_17001_9,
17001,11,1600,T_Intimacy_RewardTip_17001_10,
17001,12,2100,T_Intimacy_RewardTip_1001_11,
17001,13,2100,,
17001,14,2100,T_Intimacy_RewardTip_1001_13,
17001,15,,T_Intimacy_RewardTip_1001_14,
18001,1,40,T_Intimacy_RewardTip_18001,
18001,2,80,T_Intimacy_RewardTip_18001_1,
18001,3,120,T_Intimacy_RewardTip_18001_2,
18001,4,160,T_Intimacy_RewardTip_18001_3,
18001,5,220,T_Intimacy_RewardTip_18001_4,
18001,6,280,T_Intimacy_RewardTip_18001_5,
18001,7,400,,
18001,8,560,,
18001,9,800,T_Intimacy_RewardTip_18001_8,
18001,10,1120,T_Intimacy_RewardTip_18001_9,
18001,11,1600,T_Intimacy_RewardTip_18001_10,
18001,12,2100,T_Intimacy_RewardTip_1001_11,
18001,13,2100,,
18001,14,2100,T_Intimacy_RewardTip_1001_13,
18001,15,,T_Intimacy_RewardTip_1001_14,
19001,1,40,T_Intimacy_RewardTip_19001,
19001,2,80,T_Intimacy_RewardTip_19001_1,
19001,3,120,T_Intimacy_RewardTip_19001_2,
19001,4,160,T_Intimacy_RewardTip_19001_3,
19001,5,220,T_Intimacy_RewardTip_19001_4,
19001,6,280,T_Intimacy_RewardTip_19001_5,
19001,7,400,,
19001,8,560,,
19001,9,800,T_Intimacy_RewardTip_19001_8,
19001,10,1120,T_Intimacy_RewardTip_19001_9,
19001,11,1600,T_Intimacy_RewardTip_19001_10,
19001,12,2100,T_Intimacy_RewardTip_1001_11,
19001,13,2100,,
19001,14,2100,T_Intimacy_RewardTip_1001_13,
19001,15,,T_Intimacy_RewardTip_1001_14,
20001,1,40,T_Intimacy_RewardTip_20001,
20001,2,80,T_Intimacy_RewardTip_20001_1,
20001,3,120,T_Intimacy_RewardTip_20001_2,
20001,4,160,T_Intimacy_RewardTip_20001_3,
20001,5,220,T_Intimacy_RewardTip_20001_4,
20001,6,280,T_Intimacy_RewardTip_20001_5,
20001,7,400,,
20001,8,560,,
20001,9,800,T_Intimacy_RewardTip_20001_8,
20001,10,1120,T_Intimacy_RewardTip_20001_9,
20001,11,1600,T_Intimacy_RewardTip_20001_10,
20001,12,2100,T_Intimacy_RewardTip_1001_11,
20001,13,2100,,
20001,14,2100,T_Intimacy_RewardTip_1001_13,
20001,15,,T_Intimacy_RewardTip_1001_14,
21001,1,40,T_Intimacy_RewardTip_21001,
21001,2,80,T_Intimacy_RewardTip_21001_1,
21001,3,120,T_Intimacy_RewardTip_21001_2,
21001,4,160,T_Intimacy_RewardTip_21001_3,
21001,5,220,T_Intimacy_RewardTip_21001_4,
21001,6,280,T_Intimacy_RewardTip_21001_5,
21001,7,400,,
21001,8,560,,
21001,9,800,T_Intimacy_RewardTip_21001_8,
21001,10,1120,T_Intimacy_RewardTip_21001_9,
21001,11,1600,T_Intimacy_RewardTip_21001_10,
21001,12,2100,T_Intimacy_RewardTip_1001_11,
21001,13,2100,,
21001,14,2100,T_Intimacy_RewardTip_1001_13,
21001,15,,T_Intimacy_RewardTip_1001_14,
22001,1,40,T_Intimacy_RewardTip_22001,
22001,2,80,T_Intimacy_RewardTip_22001_1,
22001,3,120,T_Intimacy_RewardTip_22001_2,
22001,4,160,T_Intimacy_RewardTip_22001_3,
22001,5,220,T_Intimacy_RewardTip_22001_4,
22001,6,280,T_Intimacy_RewardTip_22001_5,
22001,7,400,,
22001,8,560,,
22001,9,800,T_Intimacy_RewardTip_22001_8,
22001,10,1120,T_Intimacy_RewardTip_22001_9,
22001,11,1600,T_Intimacy_RewardTip_22001_10,
22001,12,2100,T_Intimacy_RewardTip_1001_11,
22001,13,2100,,
22001,14,2100,T_Intimacy_RewardTip_1001_13,
22001,15,,T_Intimacy_RewardTip_1001_14,
90001,1,40,T_Intimacy_RewardTip_90001,
90001,2,80,T_Intimacy_RewardTip_90001_1,
90001,3,120,T_Intimacy_RewardTip_90001_2,
90001,4,160,T_Intimacy_RewardTip_90001_3,
90001,5,220,T_Intimacy_RewardTip_90001_4,
90001,6,280,T_Intimacy_RewardTip_90001_5,
90001,7,400,,
90001,8,560,,
90001,9,800,T_Intimacy_RewardTip_90001_8,
90001,10,1120,T_Intimacy_RewardTip_90001_9,
90001,11,1600,T_Intimacy_RewardTip_90001_10,
90001,12,2100,T_Intimacy_RewardTip_1001_11,
90001,13,2100,,
90001,14,2100,T_Intimacy_RewardTip_1001_13,
90001,15,,T_Intimacy_RewardTip_1001_14,
91001,1,40,T_Intimacy_RewardTip_91001,
91001,2,80,T_Intimacy_RewardTip_91001_1,
91001,3,120,T_Intimacy_RewardTip_91001_2,
91001,4,160,T_Intimacy_RewardTip_91001_3,
91001,5,220,T_Intimacy_RewardTip_91001_4,
91001,6,280,T_Intimacy_RewardTip_91001_5,
91001,7,400,,
91001,8,560,,
91001,9,800,T_Intimacy_RewardTip_91001_8,
91001,10,1120,T_Intimacy_RewardTip_91001_9,
91001,11,1600,T_Intimacy_RewardTip_91001_10,
91001,12,2100,T_Intimacy_RewardTip_1001_11,
91001,13,2100,,
91001,14,2100,T_Intimacy_RewardTip_1001_13,
91001,15,,T_Intimacy_RewardTip_1001_14,
23001,1,40,T_Intimacy_RewardTip_23001,
23001,2,80,T_Intimacy_RewardTip_23001_1,
23001,3,120,T_Intimacy_RewardTip_23001_2,
23001,4,160,T_Intimacy_RewardTip_23001_3,
23001,5,220,T_Intimacy_RewardTip_23001_4,
23001,6,280,T_Intimacy_RewardTip_23001_5,
23001,7,400,,
23001,8,560,,
23001,9,800,T_Intimacy_RewardTip_23001_8,
23001,10,1120,T_Intimacy_RewardTip_23001_9,
23001,11,1600,T_Intimacy_RewardTip_23001_10,
23001,12,2100,T_Intimacy_RewardTip_1001_11,
23001,13,2100,,
23001,14,2100,T_Intimacy_RewardTip_1001_13,
23001,15,,T_Intimacy_RewardTip_1001_14,
24001,1,40,T_Intimacy_RewardTip_24001,
24001,2,80,T_Intimacy_RewardTip_24001_1,
24001,3,120,T_Intimacy_RewardTip_24001_2,
24001,4,160,T_Intimacy_RewardTip_24001_3,
24001,5,220,T_Intimacy_RewardTip_24001_4,
24001,6,280,T_Intimacy_RewardTip_24001_5,
24001,7,400,,
24001,8,560,,
24001,9,800,T_Intimacy_RewardTip_24001_8,
24001,10,1120,T_Intimacy_RewardTip_24001_9,
24001,11,1600,T_Intimacy_RewardTip_24001_10,
24001,12,2100,T_Intimacy_RewardTip_1001_11,
24001,13,2100,,
24001,14,2100,T_Intimacy_RewardTip_1001_13,
24001,15,,T_Intimacy_RewardTip_1001_14,
25001,1,40,T_Intimacy_RewardTip_25001,
25001,2,80,T_Intimacy_RewardTip_25001_1,
25001,3,120,T_Intimacy_RewardTip_25001_2,
25001,4,160,T_Intimacy_RewardTip_25001_3,
25001,5,220,T_Intimacy_RewardTip_25001_4,
25001,6,280,T_Intimacy_RewardTip_25001_5,
25001,7,400,,
25001,8,560,,
25001,9,800,T_Intimacy_RewardTip_25001_8,
25001,10,1120,T_Intimacy_RewardTip_25001_9,
25001,11,1600,T_Intimacy_RewardTip_25001_10,
25001,12,2100,T_Intimacy_RewardTip_1001_11,
25001,13,2100,,
25001,14,2100,T_Intimacy_RewardTip_1001_13,
25001,15,,T_Intimacy_RewardTip_1001_14,
26001,1,40,T_Intimacy_RewardTip_26001,
26001,2,80,T_Intimacy_RewardTip_26001_1,
26001,3,120,T_Intimacy_RewardTip_26001_2,
26001,4,160,T_Intimacy_RewardTip_26001_3,
26001,5,220,T_Intimacy_RewardTip_26001_4,
26001,6,280,T_Intimacy_RewardTip_26001_5,
26001,7,400,,
26001,8,560,,
26001,9,800,T_Intimacy_RewardTip_26001_8,
26001,10,1120,T_Intimacy_RewardTip_26001_9,
26001,11,1600,T_Intimacy_RewardTip_26001_10,
26001,12,2100,T_Intimacy_RewardTip_1001_11,
26001,13,2100,,
26001,14,2100,T_Intimacy_RewardTip_1001_13,
26001,15,,T_Intimacy_RewardTip_1001_14,
27001,1,40,T_Intimacy_RewardTip_27001,
27001,2,80,T_Intimacy_RewardTip_27001_1,
27001,3,120,T_Intimacy_RewardTip_27001_2,
27001,4,160,T_Intimacy_RewardTip_27001_3,
27001,5,220,T_Intimacy_RewardTip_27001_4,
27001,6,280,T_Intimacy_RewardTip_27001_5,
27001,7,400,,
27001,8,560,,
27001,9,800,T_Intimacy_RewardTip_27001_8,
27001,10,1120,T_Intimacy_RewardTip_27001_9,
27001,11,1600,T_Intimacy_RewardTip_27001_10,
27001,12,2100,T_Intimacy_RewardTip_1001_11,
27001,13,2100,,
27001,14,2100,T_Intimacy_RewardTip_1001_13,
27001,15,,T_Intimacy_RewardTip_1001_14,
28001,1,40,T_Intimacy_RewardTip_28001,
28001,2,80,T_Intimacy_RewardTip_28001_1,
28001,3,120,T_Intimacy_RewardTip_28001_2,
28001,4,160,T_Intimacy_RewardTip_28001_3,
28001,5,220,T_Intimacy_RewardTip_28001_4,
28001,6,280,T_Intimacy_RewardTip_28001_5,
28001,7,400,,
28001,8,560,,
28001,9,800,T_Intimacy_RewardTip_28001_8,
28001,10,1120,T_Intimacy_RewardTip_28001_9,
28001,11,1600,T_Intimacy_RewardTip_28001_10,
28001,12,2100,T_Intimacy_RewardTip_1001_11,
28001,13,2100,,
28001,14,2100,T_Intimacy_RewardTip_1001_13,
28001,15,,T_Intimacy_RewardTip_1001_14,
29001,1,40,T_Intimacy_RewardTip_29001,
29001,2,80,T_Intimacy_RewardTip_29001_1,
29001,3,120,T_Intimacy_RewardTip_29001_2,
29001,4,160,T_Intimacy_RewardTip_29001_3,
29001,5,220,T_Intimacy_RewardTip_29001_4,
29001,6,280,T_Intimacy_RewardTip_29001_5,
29001,7,400,,
29001,8,560,,
29001,9,800,T_Intimacy_RewardTip_29001_8,
29001,10,1120,T_Intimacy_RewardTip_29001_9,
29001,11,1600,T_Intimacy_RewardTip_29001_10,
29001,12,2100,T_Intimacy_RewardTip_1001_11,
29001,13,2100,,
29001,14,2100,T_Intimacy_RewardTip_1001_13,
29001,15,,T_Intimacy_RewardTip_1001_14,
30001,1,40,T_Intimacy_RewardTip_30001,
30001,2,80,T_Intimacy_RewardTip_30001_1,
30001,3,120,T_Intimacy_RewardTip_30001_2,
30001,4,160,T_Intimacy_RewardTip_30001_3,
30001,5,220,T_Intimacy_RewardTip_30001_4,
30001,6,280,T_Intimacy_RewardTip_30001_5,
30001,7,400,,
30001,8,560,,
30001,9,800,T_Intimacy_RewardTip_30001_8,
30001,10,1120,T_Intimacy_RewardTip_30001_9,
30001,11,1600,T_Intimacy_RewardTip_30001_10,
30001,12,2100,T_Intimacy_RewardTip_1001_11,
30001,13,2100,,
30001,14,2100,T_Intimacy_RewardTip_1001_13,
30001,15,,T_Intimacy_RewardTip_1001_14,
31001,1,40,T_Intimacy_RewardTip_31001,
31001,2,80,T_Intimacy_RewardTip_31001_1,
31001,3,120,T_Intimacy_RewardTip_31001_2,
31001,4,160,T_Intimacy_RewardTip_31001_3,
31001,5,220,T_Intimacy_RewardTip_31001_4,
31001,6,280,T_Intimacy_RewardTip_31001_5,
31001,7,400,,
31001,8,560,,
31001,9,800,T_Intimacy_RewardTip_31001_8,
31001,10,1120,T_Intimacy_RewardTip_31001_9,
31001,11,1600,T_Intimacy_RewardTip_31001_10,
31001,12,2100,T_Intimacy_RewardTip_1001_11,
31001,13,2100,,519
31001,14,2100,T_Intimacy_RewardTip_1001_13,519
31001,15,,T_Intimacy_RewardTip_1001_14,519
32001,1,40,T_Intimacy_RewardTip_32001,
32001,2,80,T_Intimacy_RewardTip_32001_1,
32001,3,120,T_Intimacy_RewardTip_32001_2,
32001,4,160,T_Intimacy_RewardTip_32001_3,
32001,5,220,T_Intimacy_RewardTip_32001_4,
32001,6,280,T_Intimacy_RewardTip_32001_5,
32001,7,400,,
32001,8,560,,
32001,9,800,T_Intimacy_RewardTip_32001_8,
32001,10,1120,T_Intimacy_RewardTip_32001_9,
32001,11,1600,T_Intimacy_RewardTip_32001_10,
32001,12,2100,T_Intimacy_RewardTip_1001_11,
32001,13,2100,,521
32001,14,2100,T_Intimacy_RewardTip_1001_13,521
32001,15,,T_Intimacy_RewardTip_1001_14,521
33001,1,40,T_Intimacy_RewardTip_33001,
33001,2,80,T_Intimacy_RewardTip_33001_1,
33001,3,120,T_Intimacy_RewardTip_33001_2,
33001,4,160,T_Intimacy_RewardTip_33001_3,
33001,5,220,T_Intimacy_RewardTip_33001_4,
33001,6,280,T_Intimacy_RewardTip_33001_5,
33001,7,400,,
33001,8,560,,
33001,9,800,T_Intimacy_RewardTip_33001_8,
33001,10,1120,T_Intimacy_RewardTip_33001_9,
33001,11,1600,T_Intimacy_RewardTip_33001_10,
33001,12,2100,T_Intimacy_RewardTip_1001_11,
33001,13,2100,,523
33001,14,2100,T_Intimacy_RewardTip_1001_13,523
33001,15,,T_Intimacy_RewardTip_1001_14,523
34001,1,40,T_Intimacy_RewardTip_34001,
34001,2,80,T_Intimacy_RewardTip_34001_1,
34001,3,120,T_Intimacy_RewardTip_34001_2,
34001,4,160,T_Intimacy_RewardTip_34001_3,
34001,5,220,T_Intimacy_RewardTip_34001_4,
34001,6,280,T_Intimacy_RewardTip_34001_5,
34001,7,400,,
34001,8,560,,
34001,9,800,T_Intimacy_RewardTip_34001_8,
34001,10,1120,T_Intimacy_RewardTip_34001_9,
34001,11,1600,T_Intimacy_RewardTip_34001_10,
34001,12,2100,T_Intimacy_RewardTip_1001_11,
34001,13,2100,,525
34001,14,2100,T_Intimacy_RewardTip_1001_13,525
34001,15,,T_Intimacy_RewardTip_1001_14,525
35001,1,40,T_Intimacy_RewardTip_35001,
35001,2,80,T_Intimacy_RewardTip_35001_1,
35001,3,120,T_Intimacy_RewardTip_35001_2,
35001,4,160,T_Intimacy_RewardTip_35001_3,
35001,5,220,T_Intimacy_RewardTip_35001_4,
35001,6,280,T_Intimacy_RewardTip_35001_5,
35001,7,400,,
35001,8,560,,
35001,9,800,T_Intimacy_RewardTip_35001_8,
35001,10,1120,T_Intimacy_RewardTip_35001_9,
35001,11,1600,T_Intimacy_RewardTip_35001_10,
35001,12,2100,T_Intimacy_RewardTip_1001_11,
35001,13,2100,,527
35001,14,2100,T_Intimacy_RewardTip_1001_13,527
35001,15,,T_Intimacy_RewardTip_1001_14,527
36001,1,40,T_Intimacy_RewardTip_36001,
36001,2,80,T_Intimacy_RewardTip_36001_1,
36001,3,120,T_Intimacy_RewardTip_36001_2,
36001,4,160,T_Intimacy_RewardTip_36001_3,
