ID,ShowID,Highlight,Role1,RoleMotion1,RoleScale1,RoleColor1,RoleEffects1,Role2,RoleMotion2,RoleScale2,RoleColor2,RoleEffects2,Role3,RoleMotion3,RoleScale3,RoleColor3,RoleEffects3,Sound,Music,DialogImagePerfab,ShowType,Speaker,Dialog,CantSkip,DialogType
P001_2_17,,,,,,,,,,,,,P001_000_Shy,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_17,,
P001_2_18,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_2_18,,
P001_2_19,,,,,,,,,,,,,,srightout,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_19,,
P001_2_20,,,,,,,,,,,,,no,,,,,,BGM00,Icon/Images01_BG/S006,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_2_20,,
P001_2_21,,,,,,,,,,,,,P001_000_Shy,normal,,#FFFFFFFF,,player/Player/R18_P01_01/P001_Dead_01,BGM02,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_2_21,,
P001_2_22,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_22,,
P001_2_23,,,,,,,,,,,,,,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_2_23,,
P001_2_24,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_24,,
P001_2_25,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_2_25,,
P001_2_26,,,,,,,,,,,,,,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_2_26,,
P001_2_27,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_27,,
P001_2_28,,,,,,,,,,,,,P001_000_Surprise,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_05,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_2_28,,
P001_2_29,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_2_29,,
P001_2_30,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_2_30,,
P001_2_31,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_2_31,,
P001_3_1,P001_3,,,,,,,,,,,,,,,,,,BGM03,Icon/Images01_BG/S001,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_3_1,,
P001_3_2,,,P001_000_Angry,,,#FFFFFFFF,,,,,,,,,,,,player/Player/R18_P01_01/P001_general_03,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_2,,
P001_3_3,,,,,,#8e8e8eFF,,P007_000_Shy,,,#FFFFFFFF,,,,,,,,,,,T_Dialog_Speaker_P001_3_3,T_Dialog_Dialog_P001_3_3,,
P001_3_4,,,P001_000_Normal,,,#FFFFFFFF,,,,,#8e8e8eFF,,,,,,,player/Player/R18_P01_01/P001_general_04,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_4,,
P001_3_5,,,P001_000_Angry,,,#FFFFFFFF,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_5,,
P001_3_6,,,,,,#8e8e8eFF,,P007_000_Shy,,,#FFFFFFFF,,,,,,,,,,,T_Dialog_Speaker_P001_3_3,T_Dialog_Dialog_P001_3_6,,
P001_3_7,,,no,,,,,no,,,,,P006_000_Normal,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_2,T_Dialog_Dialog_P001_3_7,,
P001_3_8,,,P001_000_Surprise,,,#FFFFFFFF,,,,,,,no,,,,,player/Player/R18_P01_01/P001_general_05,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_8,,
P001_3_9,,,,,,#8e8e8eFF,,P008_000_Normal,,,#FFFFFFFF,,,,,,,,,,,T_Dialog_Speaker_P001_3_9,T_Dialog_Dialog_P001_3_9,,
P001_3_10,,,,,,,,P002_000_Laugh,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_1,T_Dialog_Dialog_P001_3_10,,
P001_3_11,,,P001_000_Normal,,,#FFFFFFFF,,,,,#8e8e8eFF,,,,,,,player/Player/R18_P01_01/P001_general_06,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_11,,
P001_3_12,,,no,,,,,,,,,,P001_000_Angry,sleft,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_03,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_12,,
P001_3_13,,,,,,,,P002_000_Sad,shake,,#FFFFFFFF,,P001_000_Angry,normal,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_1,T_Dialog_Dialog_P001_3_13,,
P001_3_14,,,no,,,,,no,,,,,no,,,,,,BGM01,Icon/Images01_BG/S004,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_3_14,,
P001_3_15,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_3_15,,
P001_3_16,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_3_16,,
P001_3_17,,,,,,,,,,,,,P001_000_Normal,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_01,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_17,,
P001_3_18,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_3_18,,
P001_3_19,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_3_19,,
P001_3_20,,,,,,,,,,,,,,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_06,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_20,,
P001_3_21,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_3_21,,
P001_3_22,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_3_22,,
P001_3_23,,,,,,,,,,,,,P001_000_Shy,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_05,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_23,,
P001_3_24,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_3_24,,
P001_3_25,,,,,,,,,,,,,P001_000_Surprise,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_25,,
P001_3_26,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_3_26,,
P001_3_27,,,,,,,,,,,,,P001_000_Normal,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_27,,
P001_3_28,,,,,,,,,,,,,,,,,,player/Player/R18_P01_01/P001_MVP_01,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_28,,
P001_3_29,,,,,,,,,,,,,P001_000_Laugh,,,,,player/Player/R18_P01_01/P001_general_04,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_29,,
P001_3_30,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_3_30,,
P001_3_31,,,,,,,,,,,,,,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_02,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_3_31,,
P001_4_1,P001_4,,,,,,,,,,,,P001_000_Normal,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_01,BGM01,Icon/Images01_BG/S004,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_1,,
P001_4_2,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_2,,
P001_4_3,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_3,,
P001_4_4,,,,,,,,,,,,,,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_06,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_4,,
P001_4_5,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_5,,
P001_4_6,,,,,,,,,,,,,,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_5,,
P001_4_7,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_7,,
P001_4_8,,,,,,,,,,,,,P001_000_Shy,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_8,,
P001_4_9,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_9,,
P001_4_10,,,,,,,,,,,,,P001_000_Normal,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_04,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_10,,
P001_4_11,,,,,,,,,,,,,,,,#8e8e8eFF,,,,Icon/Images01_BG/S001,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_11,,
P001_4_12,,,,,,,,,,,,,P001_000_Shy,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_12,,
P001_4_13,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_13,,
P001_4_14,,,,,,,,,,,,,no,,,,,,,Icon/Images01_BG/S004,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_14,,
P001_4_15,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_15,,
P001_4_16,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_16,,
P001_4_17,,,,,,,,,,,,,P001_000_Normal,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_02,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_17,,
P001_4_18,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_18,,
P001_4_19,,,,,,,,,,,,,,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_01,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_19,,
P001_4_20,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_20,,
P001_4_21,,,,,,,,,,,,,,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_21,,
P001_4_22,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_22,,
P001_4_23,,,,,,,,,,,,,,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_23,,
P001_4_24,,,,,,,,,,,,,P001_000_Laugh,,,,,player/Player/R18_P01_01/P001_general_04,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_24,,
P001_4_25,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_25,,
P001_4_26,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_26,,
P001_4_27,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_27,,
P001_4_28,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_28,,
P001_4_29,,,,,,,,,,,,,P001_000_Shy,,,#FFFFFFFF,,,BGM02,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_29,,
P001_4_30,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_30,,
P001_4_31,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_31,,
P001_4_32,,,,,,,,,,,,,P001_000_Normal,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_32,,
P001_4_33,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_33,,
P001_4_34,,,,,,,,,,,,,P001_000_Laugh,,,,,player/Player/R18_P01_01/P001_Choice_01,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_34,,
P001_4_35,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_35,,
P001_4_36,,,,,,,,,,,,,P001_000_Shy,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_36,,
P001_4_37,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_37,,
P001_4_38,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_38,,
P001_4_39,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_39,,
P001_4_40,,,,,,,,,,,,,P001_000_Normal,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_01,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_40,,
P001_4_41,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_5,,
P001_4_42,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_42,,
P001_4_43,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_43,,
P001_4_44,,,,,,,,,,,,,P001_000_Laugh,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_04,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_44,,
P001_4_45,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_45,,
P001_4_46,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_46,,
P001_4_47,,,,,,,,,,,,,P001_000_Normal,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_47,,
P001_4_48,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_48,,
P001_4_49,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_49,,
P001_4_50,,,,,,,,,,,,,P001_000_Angry,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_03,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_50,,
P001_4_51,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_4_51,,
P001_4_52,,,,,,,,,,,,,P001_000_Laugh,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_02,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_4_52,,
P001_4_53,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_3,T_Dialog_Dialog_P001_4_53,,
P001_N_1_1,P001_N_1,,,,,,,,,,,,P001_000_Sad,,,,,,bgm_scene_10,Icon/Images01_BG/S003,,,T_Dialog_Dialog_P001_N_1_1,,
P001_N_1_2,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_N_1_2,,
P001_N_1_3,,,,,,,,,,,,,P001_000_Shy,,,#FFFFFFFF,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_N_1_3,,
P001_N_1_4,,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P001_N_1_4,,
P001_N_1_5,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_N_1_5,,
P001_N_1_6,,,,,,,,,,,,,P001_000_Surprise,shake,,#FFFFFFFF,,player/Player/R18_P01_01/P001_Story_01,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_N_1_6,,
P001_N_1_7,,,,,,,,,,,,,P001_000_Angry,,,,,,,,,,T_Dialog_Dialog_P001_N_1_7,,
P001_N_1_8,,,,,,,,,,,,,P001_000_Shy,,,,,player/Player/R18_P01_01/P001_general_01,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_N_1_8,,
P001_N_1_9,,,,,,,,,,,,,,,,#8e8e8eFF,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_N_1_9,,
P001_N_1_10,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_5,T_Dialog_Dialog_P001_N_1_10,,
P001_N_1_11,,,,,,,,,,,,,P001_000_Normal,,,#FFFFFFFF,,player/Player/R18_P01_01/P001_general_04,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_N_1_11,,
P001_N_1_12,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Speaker_P001_1_14,T_Dialog_Dialog_P001_N_1_12,,
P001_N_1_13,,,,,,,,,,,,,,,,,,,BGM00,,,,T_Dialog_Dialog_P001_N_1_13,,
P001_N_1_14,,,,,,,,,,,,,,,,,,,,,,,T_Dialog_Dialog_P001_N_1_14,,
