ID,Title,NAME,Description,Definition,DefinitionIcon,Range,Difficulty,AttackDamage,Constitution,SkillDamage,MODEL_NAME,MODEL_NAME_Lobby,NudeModel,MixAnimationType,TYPE,Icon,Icon2,Icon3,DefaultSkinIcon,Height,ATTRIBUTE_ID,NormalSkills,Skills,Runes,Equipments,FightValueRate,TrainingItemID,TrainingItemCount,SexTrainingItemID,SexTrainingItemCount,SexTrainingTips,TrainingTips,TrainingAnimationID,Score,GiftDialog,VersionControl
9001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_9001,T_CHARACTER_Description_9001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,5,4,8,Player/R18_P09_01,Player/R18_P09_01_Lobby,Player/R18_P09_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P09,Icon/Icon01_Head/Icon01_Head_M_P09,Icon/Icon01_Head/Icon01_Head_B_P09,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P09,3.3,901,9001-9002-9003,9004-9005,100000-100001-100002-100003-100004-100005-100006-100007-150017-150018-100013-100014-100015-100016-100017-100018-100019-150045-150036-151009,161009-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,900101-900102,352-56
10001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_10001,T_CHARACTER_Description_10001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,6,5,7,4,Player/R18_P10_01,Player/R18_P10_01_Lobby,Player/R18_P10_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P10,Icon/Icon01_Head/Icon01_Head_M_P10,Icon/Icon01_Head/Icon01_Head_B_P10,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P10,3.3,10001,10001-10002-10003,10004-10005,100000-100001-100002-100003-100004-100005-100006-100007-150019-150020-100013-100014-100015-100016-100017-100018-100019-150046-150037-151010,161010-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,1000101-1000102,353-56
11001,T_CHARACTER_Title_1,T_CHARACTER_NAME_11001,T_CHARACTER_Description_11001,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,4,3,9,4,Player/R18_P11_01,Player/R18_P11_01_Lobby,Player/R18_P11_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P11,Icon/Icon01_Head/Icon01_Head_M_P11,Icon/Icon01_Head/Icon01_Head_B_P11,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P11,3.3,11001,11001-11002-11003,11004-11005,100000-100001-100002-100003-100004-100005-100006-100007-150021-150022-100013-100014-100015-100016-100017-100018-100019-150047-150038-151011,161011-160017-160014-160011-160002-160005-160008,2.5-0.45-4.5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,1100101-1100102,354-56
12001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_12001,T_CHARACTER_Description_12001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,5,5,7,5,Player/R18_P12_01,Player/R18_P12_01_Lobby,Player/R18_P12_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P12,Icon/Icon01_Head/Icon01_Head_M_P12,Icon/Icon01_Head/Icon01_Head_B_P12,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P12,3.5,12001,12001-12002-12003,12004-12005,100000-100001-100002-100003-100004-100005-100006-100007-150026-150027-100013-100014-100015-100016-100017-100018-100019-150048-150039-151012,161012-160016-160013-160010-160001-160004-160007,2.5-0.45-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,1200101-1200102,355-56
13001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_13001,T_CHARACTER_Description_13001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,7,5,6,Player/R18_P13_01,Player/R18_P13_01_Lobby,Player/R18_P13_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P13,Icon/Icon01_Head/Icon01_Head_M_P13,Icon/Icon01_Head/Icon01_Head_B_P13,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P13,3.5,13001,13001-13002-13003,13004-13005,100000-100001-100002-100003-100004-100005-100006-100007-150051-150052-100013-100014-100015-100016-100017-100018-100019-150055-150049-151013,161013-160016-160013-160010-160001-160004-160007,3.1-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,1300101-1300102,356-56
14001,T_CHARACTER_Title_1,T_CHARACTER_NAME_14001,T_CHARACTER_Description_14001,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,5,4,8,5,Player/R18_P14_01,Player/R18_P14_01_Lobby,Player/R18_P14_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P14,Icon/Icon01_Head/Icon01_Head_M_P14,Icon/Icon01_Head/Icon01_Head_B_P14,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P14,3.5,14001,14001-14002-14003,14004-14005,100000-100001-100002-100003-100004-100005-100006-100007-150053-150054-100013-100014-100015-100016-100017-100018-100019-150056-150050-151014,161014-160017-160014-160011-160002-160005-160008,2.5-0.45-4.55,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,1400101-1400102,357-56
15001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_15001,T_CHARACTER_Description_15001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,6,6,6,Player/R18_P15_01,Player/R18_P15_01_Lobby,Player/R18_P15_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P15,Icon/Icon01_Head/Icon01_Head_M_P15,Icon/Icon01_Head/Icon01_Head_B_P15,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P15,3.5,15001,15001-15002-15003,15004-15005,100000-100001-100002-100003-100004-100005-100006-100007-150058-150059-100013-100014-100015-100016-100017-100018-100019-150060-150057-151015,161015-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,1500101-1500102,358-56
16001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_16001,T_CHARACTER_Description_16001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,3,5,7,4,Player/R18_P16_01,Player/R18_P16_01_Lobby,Player/R18_P16_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P16,Icon/Icon01_Head/Icon01_Head_M_P16,Icon/Icon01_Head/Icon01_Head_B_P16,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P16,3.5,16001,16001-16002-16003,16004-16005,100000-100001-100002-100003-100004-100005-100006-100007-150062-150063-100013-100014-100015-100016-100017-100018-100019-150064-150061-151016,161016-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,1600101-1600102,359-56
17001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_17001,T_CHARACTER_Description_17001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,5,7,6,Player/R18_P17_01,Player/R18_P17_01_Lobby,Player/R18_P17_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P17,Icon/Icon01_Head/Icon01_Head_M_P17,Icon/Icon01_Head/Icon01_Head_B_P17,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P17,3.5,17001,17001-17002-17003,17004-17005,100000-100001-100002-100003-100004-100005-100006-100007-150066-150067-100013-100014-100015-100016-100017-100018-100019-150068-150065-151017,161017-160016-160013-160010-160001-160004-160007,2.5-0.45-4.5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,360-56
18001,T_CHARACTER_Title_1,T_CHARACTER_NAME_18001,T_CHARACTER_Description_18001,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,4,4,8,6,Player/R18_P18_01,Player/R18_P18_01_Lobby,Player/R18_P18_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P18,Icon/Icon01_Head/Icon01_Head_M_P18,Icon/Icon01_Head/Icon01_Head_B_P18,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P18,3.5,18001,18001-18002-18003,18004-18005,100000-100001-100002-100003-100004-100005-100006-100007-150070-150071-100013-100014-100015-100016-100017-100018-100019-150072-150069-151018,161018-160017-160014-160011-160002-160005-160008,2.5-0.45-4.55,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,361-56
19001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_19001,T_CHARACTER_Description_19001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,4,5,7,5,Player/R18_P19_01,Player/R18_P19_01_Lobby,Player/R18_P19_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P19,Icon/Icon01_Head/Icon01_Head_M_P19,Icon/Icon01_Head/Icon01_Head_B_P19,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P19,3.5,19001,19001-19002-19003,19004-19005,100000-100001-100002-100003-100004-100005-100006-100007-150074-150075-100013-100014-100015-100016-100017-100018-100019-150076-150073-151019,161019-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,362-56
20001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_20001,T_CHARACTER_Description_20001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,7,5,6,Player/R18_P20_01,Player/R18_P20_01_Lobby,Player/R18_P20_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P20,Icon/Icon01_Head/Icon01_Head_M_P20,Icon/Icon01_Head/Icon01_Head_B_P20,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P20,3.5,20001,20001-20002-20003,20004-20005,100000-100001-100002-100003-100004-100005-100006-100007-150078-150079-100013-100014-100015-100016-100017-100018-100019-150080-150077-151020,161020-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,363-56
21001,T_CHARACTER_Title_1,T_CHARACTER_NAME_21001,T_CHARACTER_Description_21001,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,4,5,7,6,Player/R18_P21_01,Player/R18_P21_01_Lobby,Player/R18_P21_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P21,Icon/Icon01_Head/Icon01_Head_M_P21,Icon/Icon01_Head/Icon01_Head_B_P21,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P21,3.5,21001,21001-21002-21003,21004-21005,100000-100001-100002-100003-100004-100005-100006-100007-150082-150083-100013-100014-100015-100016-100017-100018-100019-150084-150081-151021,161021-160017-160014-160011-160002-160005-160008,2.5-0.45-4.55,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,364-56
22001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_22001,T_CHARACTER_Description_22001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,4,5,7,4,Player/R18_P22_01,Player/R18_P22_01_Lobby,Player/R18_P22_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P22,Icon/Icon01_Head/Icon01_Head_M_P22,Icon/Icon01_Head/Icon01_Head_B_P22,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P22,3.5,22001,22001-22002-22003,22004-22005,100000-100001-100002-100003-100004-100005-100006-100007-150086-150087-100013-100014-100015-100016-100017-100018-100019-150088-150085-151022,161022-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,365-56
90001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_90001,T_CHARACTER_Description_90001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,6,5,7,Player/R18_P90_01,Player/R18_P90_01_Lobby,Player/R18_P90_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P90,Icon/Icon01_Head/Icon01_Head_M_P90,Icon/Icon01_Head/Icon01_Head_B_P90,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P90,3.5,90001,90001-90002-90003,90004-90005,100000-100001-100002-100003-100004-100005-100006-100007-150090-150091-100013-100014-100015-100016-100017-100018-100019-150092-150089-151090,161090-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,366-56
91001,T_CHARACTER_Title_1,T_CHARACTER_NAME_91001,T_CHARACTER_Description_91001,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,4,5,7,6,Player/R18_P91_01,Player/R18_P91_01_Lobby,Player/R18_P91_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P91,Icon/Icon01_Head/Icon01_Head_M_P91,Icon/Icon01_Head/Icon01_Head_B_P91,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P91,3.5,91001,91001-91002-91003,91004-91005,100000-100001-100002-100003-100004-100005-100006-100007-150094-150095-100013-100014-100015-100016-100017-100018-100019-150096-150093-151091,161091-160017-160014-160011-160002-160005-160008,2.5-0.45-4.55,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,367-56
23001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_23001,T_CHARACTER_Description_23001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,6,5,7,Player/R18_P23_01,Player/R18_P23_01_Lobby,Player/R18_P23_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P23,Icon/Icon01_Head/Icon01_Head_M_P23,Icon/Icon01_Head/Icon01_Head_B_P23,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P23,3.5,23001,23001-23002-23003,23004-23005,100000-100001-100002-100003-100004-100005-100006-100007-150098-150099-100013-100014-100015-100016-100017-100018-100019-150100-150097-151023,161023-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,368-56
24001,T_CHARACTER_Title_1,T_CHARACTER_NAME_24001,T_CHARACTER_Description_24001,2,Icon/Item/ability/Icon_Tank,T_CHARACTER_Range_1,4,6,6,6,Player/R18_P24_01,Player/R18_P24_01_Lobby,Player/R18_P24_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P24,Icon/Icon01_Head/Icon01_Head_M_P24,Icon/Icon01_Head/Icon01_Head_B_P24,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P24,3.5,24001,24001-24002-24003,24004-24005,100000-100001-100002-100003-100004-100005-100006-100007-150102-150103-100013-100014-100015-100016-100017-100018-100019-150104-150101-151024,161024-160017-160014-160011-160002-160005-160008,2.5-0.45-4.55,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,369-56
25001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_25001,T_CHARACTER_Description_25001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,4,6,6,5,Player/R18_P25_01,Player/R18_P25_01_Lobby,Player/R18_P25_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P25,Icon/Icon01_Head/Icon01_Head_M_P25,Icon/Icon01_Head/Icon01_Head_B_P25,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P25,3.5,25001,25001-25002-25003,25004-25005,100000-100001-100002-100003-100004-100005-100006-100007-150106-150107-100013-100014-100015-100016-100017-100018-100019-150108-150105-151025,161025-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,370-56
26001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_26001,T_CHARACTER_Description_26001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,5,5,8,Player/R18_P26_01,Player/R18_P26_01_Lobby,Player/R18_P26_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P26,Icon/Icon01_Head/Icon01_Head_M_P26,Icon/Icon01_Head/Icon01_Head_B_P26,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P26,3.5,26001,26001-26002-26003,26004-26005,100000-100001-100002-100003-100004-100005-100006-100007-150110-150111-100013-100014-100015-100016-100017-100018-100019-150112-150109-151026,161026-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,371-56
27001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_27001,T_CHARACTER_Description_27001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,3,6,7,6,Player/R18_P27_01,Player/R18_P27_01_Lobby,Player/R18_P27_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P27,Icon/Icon01_Head/Icon01_Head_M_P27,Icon/Icon01_Head/Icon01_Head_B_P27,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P27,3.5,27001,27001-27002-27003,27004-27005,100000-100001-100002-100003-100004-100005-100006-100007-150114-150115-100013-100014-100015-100016-100017-100018-100019-150116-150113-151027,161027-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,372-56-59
28001,T_CHARACTER_Title_1001,T_CHARACTER_NAME_28001,T_CHARACTER_Description_28001,1,Icon/Item/ability/Icon_Damage,T_CHARACTER_Range_1,4,7,4,6,Player/R18_P28_01,Player/R18_P28_01_Lobby,Player/R18_P28_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P28,Icon/Icon01_Head/Icon01_Head_M_P28,Icon/Icon01_Head/Icon01_Head_B_P28,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P28,3.5,28001,28001-28002-28003,28004-28005,100000-100001-100002-100003-100004-100005-100006-100007-150118-150119-100013-100014-100015-100016-100017-100018-100019-150120-150117-151028,161028-160016-160013-160010-160001-160004-160007,2.7-0.46-5,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,373-56
29001,T_CHARACTER_Title_2001,T_CHARACTER_NAME_29001,T_CHARACTER_Description_29001,3,Icon/Item/ability/Icon_Support,T_CHARACTER_Range_1,3,6,5,6,Player/R18_P29_01,Player/R18_P29_01_Lobby,Player/R18_P29_00_Lobby,,3,Icon/Icon01_Head/Icon01_Head_S_P29,Icon/Icon01_Head/Icon01_Head_M_P29,Icon/Icon01_Head/Icon01_Head_B_P29,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P29,3.5,29001,29001-29002-29003,29004-29005,100000-100001-100002-100003-100004-100005-100006-100007-150122-150123-100013-100014-100015-100016-100017-100018-100019-150124-150121-151029,161029-160018-160015-160012-160003-160006-160009,2.5-0.45-4.8,350001,3,350004,3,T_CHARACTER_SexTrainingTips_1001,T_CHARACTER_TrainingTips_2001,,,,374-56
