ID,STACK_TYPE,STACK_LEVEL,STACK_COUNT,BarIcon,BarTip,AttributeStack,HealHPRate,HPShell,HitCountShell,PERIOD,DelayTrigger,TRIGGER_TIME,DMG_RATE,DMG_CONSTANT,ATTRIBUTE_ID,AttributeRate,Energy,ShowText,FX_STATUS,FX_TRIGGER,LIMIT_TYPE,StatusType,IsAura,IsBuff,AuraWorkStatus,AuraWorkRange,AuraTarget,IsRemoveOnSkill,IsRemoveOnHit,OnEndStatus,SpecialFunction,SpecialFunctionValue,IsStackInherit
7030,7030,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7030,,,,,120,,,,,,,,,,,,,,1,,,,,,,9,-240_240,
7031,7031,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7031,,,,,120,,,,,,,,,,,,,,1,,,,,,,9,-120_-150,
7032,7032,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7032,,,,,120,,,,,,,,,,,,,,1,,,,,,,9,90_100,
7033,7033,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7033,,,,,120,,,,,,,,,,,,,,1,,,,,,,9,-50_-80,
7034,7034,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7034,,,,,120,,,,,,,,,,,,,,1,,,,,,,9,280_300,
7035,7035,1,,,,,,,,60,,,,,,,,,,,,,,1,,,,,,,12,1004-FS0134,
7036,7036,1,,,,,,,,60,,,,,,,,,,,,,,1,,,,,,,12,1004-FS0140-1005-FS0154,
7037,7037,1,,,,,,,,60,,,,,,,,,,,,,,1,,,,,,,12,1006-FS0124,
7038,7038,1,,,,,,,,60,,,,,,,,,,,,,,1,,,,,,,12,1001-FS0074,
7039,7039,1,,,,,,,,60,,,,,,,,,,,,,,1,,,,,,,12,FS0074-1001,
7040,7040,1,,Icon\Item\Skill\Icon_Buff_009_Thunder,,,,,,60,,,,,2804,,,,,,,,,1,,,,,,,,,
7041,7041,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7032,,,,,1,0.1,1,,,,,,,,,,,1,1,7032,45,Ally,,,,,,
7042,7042,1,,Icon\Item\Skill\Icon_Buff_008_Invisible,T_STATUS_BarTip_7033,,,,,1,0.1,1,,,,,,,,,,,1,1,7033,45,Ally,,,,,,
7043,996001,1,,,,,,,,180,,,,,,,,,,,,,,1,,,,,,,11,3-0.8-1-5000,
7044,7044,1,3,Icon\Item\Skill\Icon_Buff_008_Invisible,,1,,,,60,1,2,0.2,,2021,,,,FX_R18_P15_skill_2_hit,,,,,,,,,,,,,,
7045,7044,2,,Icon\Item\Skill\Icon_Buff_011_Stolen,,1,,,,60,1,2,1,,5011,,,,FX_R18_moba__atk_1_hit__debuff,,,,,,,,,,,,,,1
7046,996001,1,,,,,,,,180,,,,,,,,,,,,,,1,,,,,,,11,3-0.5-1,
7047,996001,1,,,,,,,,180,,,,,,,,,,,,,,1,,,,,,,11,3-0.8-1,
10001,10001,1,,,,,,,,99999,,,,,,,,,,,,,,1,,,,,,,4,1E-06,
10002,10001,2,5,Icon\Item\Skill\Icon_Skill_G007,T_STATUS_BarTip_10002,1,,,,99999,,,,,,,,,FX_R18_G_Buff_1-FX_R18_G_Buff_1-FX_R18_G_Buff_2-FX_R18_G_Buff_2-FX_R18_G_Buff_3,,,,,1,,,,,,,4,0.2,
10003,10003,1,20,Icon\Item\Skill\Icon_Skill_G008,T_STATUS_BarTip_10003,1,,,,99999,,,,,9910003,,,,,,,,,1,,,,,,,,,
10004,10004,1,1,Icon\Item\Skill\Icon_Skill_G006,T_STATUS_BarTip_10004,,,,,99999,,,,,,,,,,,,,,1,,,,,,,5,,
10005,10005,99,,,,,,,,1,,,,,8007,,,,,,,8,,1,,,,,,,1,,
10006,10006,1,,,,,,,,99999,,,,,209,,,,,,,,,,,,,,,,,,
10007,10007,1,,,,,,,,99999,,,,,11009,,,,,,,,,,,,,,,,,,
10008,10008,1,,,,,,,,99999,,,,,22009,,,,,,,,,,,,,,,,,,
10009,10009,1,,,,,,,,99999,,,,,18009,,,,,,,,,,,,,,,,,,
10010,10010,1,,,,,,,,99999,,,,,91009,,,,,,,,,,,,,,,,,,
130003,7001,1,,,,,,,,2,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130009,994502,4,,,,,,,,3,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
130010,994502,4,,,,,,,,4,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
130011,994502,4,,,,,,,,6,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
130069,992501,1,,,,,,,,6,,,,,2501,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130015,4502,1,,,,,,,,16,,,,,4001,,,,FX_trap_buff_004,,,,,1,,,,,,,,,
130016,4502,1,,,,,,,,16,,,,,4002,,,,FX_trap_buff_004,,,,,1,,,,,,,,,
130017,4502,1,,,,,,,,16,,,,,4004,,,,FX_trap_buff_004,,,,,1,,,,,,,,,
130021,130021,1,,,,,,,,300,,,,,1300211,,,,,,,,,1,,,,,,,,,
130022,130021,2,,,,,,,,300,,,,,1300221,,,,,,,,,1,,,,,,,,,
130023,130021,3,,,,,,,,300,,,,,1300231,,,,,,,,,1,,,,,,,,,
130073,130021,4,,,,,,,,300,,,,,1300731,,,,,,,,,1,,,,,,,,,
130027,994502,4,,,,,,,,2,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
130028,994502,4,,,,,,,,3,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
130029,994502,4,,,,,,,,5,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
130033,7001,2,,,,,,,,2,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130034,7001,3,,,,,,,,2.5,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130035,7001,4,,,,,,,,3,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130039,130039,2,,,,,,,,8,,,,,1300391,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130040,130039,3,,,,,,,,8,,,,,1300401,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130041,130039,4,,,,,,,,8,,,,,1300411,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130079,130039,5,,,,,,,,8,,,,,1300791,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130045,993502,2,,,,,,,,12,,1,0.33,,,,,,FX_R18_moba__atk_1_hit__debuff,,,,,,,,,,,,,,
130046,993502,3,,,,,,,,13,,1,0.33,,,,,,FX_R18_moba__atk_1_hit__debuff,,,,,,,,,,,,,,
130047,993502,4,,,,,,,,15,,1,0.33,,,,,,FX_R18_moba__atk_1_hit__debuff,,,,,,,,,,,,,,
130081,993502,4,,,,,,,,15,,1,0.33,,,,,,FX_R18_moba__atk_1_hit__debuff,,,,,,,,,,,,,,
130051,130051,2,,,,,,,,3,,,,,1300511,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130052,130051,3,,,,,,,,3,,,,,1300521,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130053,130051,4,,,,,,,,3,,,,,1300531,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130083,130051,5,,,,,,,,3,,,,,1300831,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130057,994502,4,,,,,,,,4,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
130058,994502,4,,,,,,,,6,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
130059,994502,4,,,,,,,,8,,,,,4502,,,,FX_trap_buff_001,,,,,,,,,,,,,,
130063,130063,2,,,,,,,,8,,,,,1300631,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130064,130063,3,,,,,,,,8,,,,,1300641,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130065,130063,4,,,,,,,,8,,,,,1300651,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130087,130063,5,,,,,,,,8,,,,,1300871,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130098,130098,2,,,,,,,,8,,,,,1300981,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130099,130098,3,,,,,,,,8,,,,,1300991,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130100,130098,4,,,,,,,,8,,,,,1301001,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130101,130098,5,,,,,,,,8,,,,,1301011,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130104,130104,2,,,,,,,,3,,,,,1301041,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130105,130104,3,,,,,,,,3,,,,,1301051,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130106,130104,4,,,,,,,,3,,,,,1301061,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130107,130104,5,,,,,,,,3,,,,,1301071,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130108,130108,2,,,,,,,,5,,,,,1301081,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130109,130108,3,,,,,,,,5,,,,,1301091,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130110,130108,4,,,,,,,,5,,,,,1301101,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130111,130108,5,,,,,,,,5,,,,,1301111,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130116,7001,1,,,,,,,,1,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130117,7001,2,,,,,,,,1,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130118,7001,3,,,,,,,,1.5,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130119,7001,4,,,,,,,,1.5,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130120,130120,2,,,,,,,,8,,,,,1301201,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130121,130120,3,,,,,,,,8,,,,,1301211,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130122,130120,4,,,,,,,,8,,,,,1301221,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130123,130120,5,,,,,,,,8,,,,,1301231,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130133,130133,2,,,,,,,,6,,,,,1301331,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130134,130133,3,,,,,,,,6,,,,,1301341,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130135,130133,4,,,,,,,,6,,,,,1301351,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130136,130133,5,,,,,,,,6,,,,,1301361,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130141,7001,1,,,,,,,,1,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,998010,,,
130142,7001,2,,,,,,,,1,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,998010,,,
130143,7001,3,,,,,,,,1.5,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,998010,,,
130144,7001,4,,,,,,,,1.5,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,998010,,,
130145,130145,1,,,,,,,,8,,1,0.2,,,,,,FX_R18_P20_atk_hit,,,,,,,,,,,,,,
130146,130145,2,,,,,,,,8,,1,0.3,,,,,,FX_R18_P20_atk_hit,,,,,,,,,,,,,,
130147,130145,3,,,,,,,,8,,1,0.4,,,,,,FX_R18_P20_atk_hit,,,,,,,,,,,,,,
130148,130145,4,,,,,,,,8,,1,0.5,,,,,,FX_R18_P20_atk_hit,,,,,,,,,,,,,,
130149,130149,2,,,,,,,,6,,,,,1301491,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130150,130149,3,,,,,,,,6,,,,,1301501,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130151,130149,4,,,,,,,,6,,,,,1301511,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130152,130149,5,,,,,,,,6,,,,,1301521,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130153,130153,2,,,,,,,,8,,,,,1301531,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130154,130153,3,,,,,,,,8,,,,,1301541,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130155,130153,4,,,,,,,,8,,,,,1301551,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130156,130153,5,,,,,,,,8,,,,,1301561,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130157,130157,2,,,,,,,,8,,,,,1301571,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130158,130158,3,,,,,,,,8,,,,,1301581,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130159,130159,4,,,,,,,,8,,,,,1301591,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130160,130160,5,,,,,,,,8,,,,,1301601,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130161,130161,2,,,,,,,,6,,,,,1301611,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130162,130161,3,,,,,,,,6,,,,,1301621,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130163,130161,4,,,,,,,,6,,,,,1301631,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130164,130161,5,,,,,,,,6,,,,,1301641,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130165,130165,2,,,,,,,,6,,,,,1301651,,,,FX_R18_p10_skill__2_Defense_down,,,,,1,,,,,,,,,
130166,130165,3,,,,,,,,6,,,,,1301661,,,,FX_R18_p10_skill__2_Defense_down,,,,,1,,,,,,,,,
130167,130165,4,,,,,,,,6,,,,,1301671,,,,FX_R18_p10_skill__2_Defense_down,,,,,1,,,,,,,,,
130168,130165,5,,,,,,,,6,,,,,1301681,,,,FX_R18_p10_skill__2_Defense_down,,,,,1,,,,,,,,,
130169,130169,2,,,,,,,,8,,,,,1301691,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130170,130170,3,,,,,,,,8,,,,,1301701,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130171,130171,4,,,,,,,,8,,,,,1301711,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130172,130172,5,,,,,,,,8,,,,,1301721,,,,FX_R18_p10_skill__2_Atk_up,,,,,1,,,,,,,,,
130173,130173,2,,,,,,,,8,,,,,1301731,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130174,130173,3,,,,,,,,8,,,,,1301741,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130175,130173,4,,,,,,,,8,,,,,1301751,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130176,130173,5,,,,,,,,8,,,,,1301761,,,,FX_R18_p10_skill__2_Defense_UP,,,,,1,,,,,,,,,
130177,7001,1,,,,,,,,1,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130178,7001,2,,,,,,,,1,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130179,7001,3,,,,,,,,1.5,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130180,7001,4,,,,,,,,1.5,,,,,,,,,FX_moba_p006__Skill_2_2_A,,3,1,,,,,,,,,,,
130181,130181,2,,,,,,,,6,,,,,1301811,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130182,130181,3,,,,,,,,6,,,,,1301821,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130183,130181,4,,,,,,,,6,,,,,1301831,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130184,130181,5,,,,,,,,6,,,,,1301841,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130185,130185,2,,,,,,,,6,,,,,1301851,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
130186,130185,3,,,,,,,,6,,,,,1301861,,,,FX_R18_p10_skill__2_Defense_down,,,,,,,,,,,,,,
