SkinID,RoleID,SkinName,Color,MODEL_NAME,MODEL_NAME_Lobby,Icon3,VersionControl
10037,1001,T_Skin_SkinName_10037,1,Player/R18_P01_05_2,Player/R18_P01_05_2_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_05_2,455-56
10038,1001,T_Skin_SkinName_10038,4,Player/R18_P01_45,Player/R18_P01_45_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_45,459-56
10039,1001,T_Skin_SkinName_10039,1,Player/R18_P01_24_X01,Player/R18_P01_24_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24_X01,461-56
10040,1001,T_Skin_SkinName_10040,4,Player/R18_P01_43,Player/R18_P01_43_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_43,462-56
20011,2001,T_Skin_SkinName_20011,1,Player/R18_P02_01_1,Player/R18_P02_01_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P02_1,56
20012,2001,T_Skin_SkinName_20012,2,Player/R18_P02_03,Player/R18_P02_03_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_03,56
20013,2001,T_Skin_SkinName_20013,2,Player/R18_P02_03_1,Player/R18_P02_03_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_03_1,56
20014,2001,T_Skin_SkinName_20014,2,Player/R18_P02_07,Player/R18_P02_07_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_07,405-56
20015,2001,T_Skin_SkinName_20015,2,Player/R18_P02_07_1,Player/R18_P02_07_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_07_1,405-56
20016,2001,T_Skin_SkinName_10016,4,Player/R18_P02_15,Player/R18_P02_15_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_15,351-412-56
20017,2001,T_Skin_SkinName_10017,4,Player/R18_P02_17,Player/R18_P02_17_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_17,414-56
20018,2001,T_Skin_SkinName_20018,2,Player/R18_P02_19,Player/R18_P02_19_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_19,415-56
20019,2001,T_Skin_SkinName_20019,2,Player/R18_P02_19_1,Player/R18_P02_19_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_19_1,415-56
20020,2001,T_Skin_SkinName_20020,2,Player/R18_P02_23,Player/R18_P02_23_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_23,56
20021,2001,T_Skin_SkinName_20021,1,Player/R18_P02_01_X01,Player/R18_P02_01_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P02_X01,277-56
20022,2001,T_Skin_SkinName_10021,4,Player/R18_P02_20,Player/R18_P02_20_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_20,351-413-56
20023,2001,T_Skin_SkinName_10022,4,Player/R18_P02_24,Player/R18_P02_24_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24,351-419-56
20024,2001,T_Skin_SkinName_10025,4,Player/R18_P02_25,Player/R18_P02_25_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_25,351-423-56
20025,2001,T_Skin_SkinName_10026,4,Player/R18_P02_26,Player/R18_P02_26_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_26,351-425-56
20026,2001,T_Skin_SkinName_20026,3,Player/R18_P02_27,Player/R18_P02_27_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_27,426-56
20027,2001,T_Skin_SkinName_20027,3,Player/R18_P02_27_X01,Player/R18_P02_27_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_27_X01,426-56
20028,2001,T_Skin_SkinName_20028,1,Player/R18_P02_00,Player/R18_P02_00_show,Icon/Icon06_SkinCard/Icon06_SkinCard_00,291-56
20029,2001,T_Skin_SkinName_20029,4,Player/R18_P02_08,Player/R18_P02_08_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_08,441-56
20030,2001,T_Skin_SkinName_10032,4,Player/R18_P02_34,Player/R18_P02_34_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_34,351-443-56
20031,2001,T_Skin_SkinName_10033,4,Player/R18_P02_33,Player/R18_P02_33_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_33,351-447-56
20032,2001,T_Skin_SkinName_10034,4,Player/R18_P02_37,Player/R18_P02_37_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_37,351-449-56
20033,2001,T_Skin_SkinName_20033,1,Player/R18_P02_29,Player/R18_P02_29_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_29,310-108-56
20034,2001,T_Skin_SkinName_20034,4,Player/R18_P02_30,Player/R18_P02_30_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_30,451-56
20035,2001,T_Skin_SkinName_10035,4,Player/R18_P02_40,Player/R18_P02_40_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_40,452-56
20036,2001,T_Skin_SkinName_10036,4,Player/R18_P02_41,Player/R18_P02_41_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_41,454-56
20037,2001,T_Skin_SkinName_10037,1,Player/R18_P02_05_2,Player/R18_P02_05_2_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_05_2,455-56
20038,2001,T_Skin_SkinName_10038,4,Player/R18_P02_45,Player/R18_P02_45_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_45,459-56
20039,2001,T_Skin_SkinName_10039,1,Player/R18_P02_24_X01,Player/R18_P02_24_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24_X01,461-56
20040,2001,T_Skin_SkinName_10040,4,Player/R18_P02_43,Player/R18_P02_43_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_43,462-56
30011,3001,T_Skin_SkinName_30011,1,Player/R18_P03_01_1,Player/R18_P03_01_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P03_1,56
30012,3001,T_Skin_SkinName_30012,2,Player/R18_P03_08,Player/R18_P03_08_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_08,56
30013,3001,T_Skin_SkinName_30013,2,Player/R18_P03_08_1,Player/R18_P03_08_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_08_1,56
30014,3001,T_Skin_SkinName_30014,1,Player/R18_P03_00,Player/R18_P03_00_show,Icon/Icon06_SkinCard/Icon06_SkinCard_00,278-56
30015,3001,T_Skin_SkinName_30015,2,Player/R18_P03_02_1,Player/R18_P03_02_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_10_1,405-56
30016,3001,T_Skin_SkinName_10016,4,Player/R18_P03_15,Player/R18_P03_15_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_15,412-56
30017,3001,T_Skin_SkinName_30017,3,Player/R18_P03_21,Player/R18_P03_21_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_21,408-56
30018,3001,T_Skin_SkinName_30018,3,Player/R18_P03_21_1,Player/R18_P03_21_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_21_1,408-56
30019,3001,T_Skin_SkinName_10017,4,Player/R18_P03_17,Player/R18_P03_17_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_17,414-56
30020,3001,T_Skin_SkinName_10021,4,Player/R18_P03_20,Player/R18_P03_20_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_20,413-56
30021,3001,T_Skin_SkinName_10022,4,Player/R18_P03_24,Player/R18_P03_24_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24,419-56
30022,3001,T_Skin_SkinName_10025,4,Player/R18_P03_25,Player/R18_P03_25_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_25,423-56
30023,3001,T_Skin_SkinName_30023,3,Player/R18_P03_07_1,Player/R18_P03_07_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_07_1,424-56
30024,3001,T_Skin_SkinName_30024,3,Player/R18_P03_07,Player/R18_P03_07_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_07,424-56
30025,3001,T_Skin_SkinName_10026,4,Player/R18_P03_26,Player/R18_P03_26_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_26,425-56
30026,3001,T_Skin_SkinName_30026,3,Player/R18_P03_18,Player/R18_P03_18_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_18,437-56
30027,3001,T_Skin_SkinName_30027,3,Player/R18_P03_18_X01,Player/R18_P03_18_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_18_X01,437-56
30028,3001,T_Skin_SkinName_10032,4,Player/R18_P03_34,Player/R18_P03_34_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_34,443-56
30029,3001,T_Skin_SkinName_30029,1,Player/R18_P03_29,Player/R18_P03_29_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_29,311-108-56
30030,3001,T_Skin_SkinName_10033,4,Player/R18_P03_33,Player/R18_P03_33_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_33,447-56
30031,3001,T_Skin_SkinName_10034,4,Player/R18_P03_37,Player/R18_P03_37_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_37,449-56
30032,3001,T_Skin_SkinName_10035,4,Player/R18_P03_40,Player/R18_P03_40_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_40,452-56
30033,3001,T_Skin_SkinName_10036,4,Player/R18_P03_41,Player/R18_P03_41_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_41,454-56
30034,3001,T_Skin_SkinName_10037,1,Player/R18_P03_05_2,Player/R18_P03_05_2_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_05_2,455-56
30035,3001,T_Skin_SkinName_10038,4,Player/R18_P03_45,Player/R18_P03_45_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_45,459-56
30036,3001,T_Skin_SkinName_10039,1,Player/R18_P03_24_X01,Player/R18_P03_24_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24_X01,461-56
30037,3001,T_Skin_SkinName_10040,4,Player/R18_P03_43,Player/R18_P03_43_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_43,462-56
40011,4001,T_Skin_SkinName_40011,1,Player/R18_P04_01_1,Player/R18_P04_01_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P04_1,56
40012,4001,T_Skin_SkinName_40012,2,Player/R18_P04_90,Player/R18_P04_90_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_90,402-56
40013,4001,T_Skin_SkinName_40013,2,Player/R18_P04_90_1,Player/R18_P04_90_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_90_1,402-56
40014,4001,T_Skin_SkinName_40014,1,Player/R18_P04_05,Player/R18_P04_05_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_05,277-56
40015,4001,T_Skin_SkinName_40015,2,Player/R18_P04_02,Player/R18_P04_02_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_11,405-56
40016,4001,T_Skin_SkinName_10016,4,Player/R18_P04_15,Player/R18_P04_15_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_15,412-56
40017,4001,T_Skin_SkinName_40017,1,Player/R18_P04_00,Player/R18_P04_00_show,Icon/Icon06_SkinCard/Icon06_SkinCard_00,281-56
40018,4001,T_Skin_SkinName_10017,4,Player/R18_P04_17,Player/R18_P04_17_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_17,414-56
40019,4001,T_Skin_SkinName_40019,2,Player/R18_P04_07,Player/R18_P04_07_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_07,401-56
40020,4001,T_Skin_SkinName_40020,2,Player/R18_P04_07_1,Player/R18_P04_07_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_07_1,401-56
40021,4001,T_Skin_SkinName_10021,4,Player/R18_P04_20,Player/R18_P04_20_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_20,413-56
40022,4001,T_Skin_SkinName_10022,4,Player/R18_P04_24,Player/R18_P04_24_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24,419-56
40023,4001,T_Skin_SkinName_10025,4,Player/R18_P04_25,Player/R18_P04_25_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_25,423-56
40024,4001,T_Skin_SkinName_10026,4,Player/R18_P04_26,Player/R18_P04_26_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_26,425-56
40025,4001,T_Skin_SkinName_40025,3,Player/R18_P04_19,Player/R18_P04_19_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_19,427-56
40026,4001,T_Skin_SkinName_40026,3,Player/R18_P04_19_1,Player/R18_P04_19_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_19_1,427-56
40027,4001,T_Skin_SkinName_40027,3,Player/R18_P04_21,Player/R18_P04_21_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_21,439-56
40028,4001,T_Skin_SkinName_40028,3,Player/R18_P04_21_1,Player/R18_P04_21_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_21_1,439-56
40029,4001,T_Skin_SkinName_10032,4,Player/R18_P04_34,Player/R18_P04_34_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_34,443-56
40030,4001,T_Skin_SkinName_10033,4,Player/R18_P04_33,Player/R18_P04_33_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_33,447-56
40031,4001,T_Skin_SkinName_40031,1,Player/R18_P04_29,Player/R18_P04_29_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_29,312-108-56
40032,4001,T_Skin_SkinName_10034,4,Player/R18_P04_37,Player/R18_P04_37_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_37,449-56
40033,4001,T_Skin_SkinName_10035,4,Player/R18_P04_40,Player/R18_P04_40_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_40,452-56
40034,4001,T_Skin_SkinName_10036,4,Player/R18_P04_41,Player/R18_P04_41_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_41,454-56
40035,4001,T_Skin_SkinName_10037,1,Player/R18_P04_05_2,Player/R18_P04_05_2_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_05_2,455-56
40036,4001,T_Skin_SkinName_10038,4,Player/R18_P04_45,Player/R18_P04_45_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_45,459-56
40037,4001,T_Skin_SkinName_10039,1,Player/R18_P04_24_X01,Player/R18_P04_24_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24_X01,461-56
40038,4001,T_Skin_SkinName_10040,4,Player/R18_P04_43,Player/R18_P04_43_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_43,462-56
50011,5001,T_Skin_SkinName_50011,1,Player/R18_P05_01_1,Player/R18_P05_01_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P05_1,
50012,5001,T_Skin_SkinName_50012,2,Player/R18_P05_02,Player/R18_P05_02_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_10,56
50013,5001,T_Skin_SkinName_50013,2,Player/R18_P05_02_1,Player/R18_P05_02_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_10_1,56
50014,5001,T_Skin_SkinName_50014,1,Player/R18_P05_00,Player/R18_P05_00_show,Icon/Icon06_SkinCard/Icon06_SkinCard_00,56
50015,5001,T_Skin_SkinName_50015,1,Player/R18_P05_03,Player/R18_P05_03_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_03,56
50016,5001,T_Skin_SkinName_50016,2,Player/R18_P05_10,Player/R18_P05_10_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_02,405-56
50017,5001,T_Skin_SkinName_50017,2,Player/R18_P05_08,Player/R18_P05_08_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_08,404-56
50018,5001,T_Skin_SkinName_50018,2,Player/R18_P05_08_1,Player/R18_P05_08_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_08_1,404-56
50019,5001,T_Skin_SkinName_10016,4,Player/R18_P05_15,Player/R18_P05_15_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_15,412-56
50020,5001,T_Skin_SkinName_10017,4,Player/R18_P05_17,Player/R18_P05_17_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_17,414-56
50021,5001,T_Skin_SkinName_10021,4,Player/R18_P05_20,Player/R18_P05_20_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_20,413-56
50022,5001,T_Skin_SkinName_50022,3,Player/R18_P05_06,Player/R18_P05_06_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_06,410-56
50023,5001,T_Skin_SkinName_50023,3,Player/R18_P05_06_1,Player/R18_P05_06_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_06_1,410-56
50024,5001,T_Skin_SkinName_10022,4,Player/R18_P05_24,Player/R18_P05_24_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24,419-56
50025,5001,T_Skin_SkinName_10025,4,Player/R18_P05_25,Player/R18_P05_25_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_25,423-56
50026,5001,T_Skin_SkinName_10026,4,Player/R18_P05_26,Player/R18_P05_26_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_26,425-56
50027,5001,T_Skin_SkinName_50027,3,Player/R18_P05_05,Player/R18_P05_05_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_05,429-56
50028,5001,T_Skin_SkinName_50028,3,Player/R18_P05_05_1,Player/R18_P05_05_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_05_1,429-56
50029,5001,T_Skin_SkinName_50029,1,Player/R18_P05_29,Player/R18_P05_29_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_29,293-108-56
50030,5001,T_Skin_SkinName_50030,3,Player/R18_P05_27,Player/R18_P05_27_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_27,438-56
50031,5001,T_Skin_SkinName_50031,3,Player/R18_P05_27_1,Player/R18_P05_27_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_27_X01,438-56
50032,5001,T_Skin_SkinName_10032,4,Player/R18_P05_34,Player/R18_P05_34_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_34,443-56
50033,5001,T_Skin_SkinName_10033,4,Player/R18_P05_33,Player/R18_P05_33_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_33,447-56
50034,5001,T_Skin_SkinName_10034,4,Player/R18_P05_37,Player/R18_P05_37_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_37,449-56
50035,5001,T_Skin_SkinName_10035,4,Player/R18_P05_40,Player/R18_P05_40_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_40,452-56
50036,5001,T_Skin_SkinName_10036,4,Player/R18_P05_41,Player/R18_P05_41_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_41,454-56
50037,5001,T_Skin_SkinName_10037,1,Player/R18_P05_05_2,Player/R18_P05_05_2_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_05_2,455-56
50038,5001,T_Skin_SkinName_10038,4,Player/R18_P05_45,Player/R18_P05_45_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_45,459-56
50039,5001,T_Skin_SkinName_10039,1,Player/R18_P05_24_X01,Player/R18_P05_24_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24_X01,461-56
50040,5001,T_Skin_SkinName_10040,4,Player/R18_P05_43,Player/R18_P05_43_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_43,462-56
60011,6001,T_Skin_SkinName_60011,1,Player/R18_P06_01_1,Player/R18_P06_01_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_01_P06_1,56
60012,6001,T_Skin_SkinName_60012,2,Player/R18_P06_02,Player/R18_P06_02_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_09,56
60013,6001,T_Skin_SkinName_60013,2,Player/R18_P06_02_1,Player/R18_P06_02_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_09_1,56
60014,6001,T_Skin_SkinName_60014,2,Player/R18_P06_10,Player/R18_P06_10_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_10,405-56
60015,6001,T_Skin_SkinName_60015,2,Player/R18_P06_04,Player/R18_P06_04_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_04,403-56
60016,6001,T_Skin_SkinName_60016,2,Player/R18_P06_04_1,Player/R18_P06_04_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_04_1,403-56
60017,6001,T_Skin_SkinName_60017,1,Player/R18_P06_00,Player/R18_P06_00_show,Icon/Icon06_SkinCard/Icon06_SkinCard_00,279-56
60018,6001,T_Skin_SkinName_10016,4,Player/R18_P06_15,Player/R18_P06_15_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_15,412-56
60019,6001,T_Skin_SkinName_10017,4,Player/R18_P06_17,Player/R18_P06_17_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_17,414-56
60020,6001,T_Skin_SkinName_10021,4,Player/R18_P06_20,Player/R18_P06_20_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_20,413-56
60021,6001,T_Skin_SkinName_60021,3,Player/R18_P06_08,Player/R18_P06_08_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_08,411-56
60022,6001,T_Skin_SkinName_60022,3,Player/R18_P06_08_1,Player/R18_P06_08_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_08_1,411-56
60023,6001,T_Skin_SkinName_10022,4,Player/R18_P06_24,Player/R18_P06_24_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_24,419-56
60024,6001,T_Skin_SkinName_10025,4,Player/R18_P06_25,Player/R18_P06_25_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_25,423-56
60025,6001,T_Skin_SkinName_10026,4,Player/R18_P06_26,Player/R18_P06_26_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_26,425-56
60026,6001,T_Skin_SkinName_60026,3,Player/R18_P06_16,Player/R18_P06_16_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_16_X01,431-56
60027,6001,T_Skin_SkinName_60027,3,Player/R18_P06_16_X01,Player/R18_P06_16_X01_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_16,431-56
60028,6001,T_Skin_SkinName_60028,3,Player/R18_P06_12,Player/R18_P06_12_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_12,442-56
60029,6001,T_Skin_SkinName_60029,3,Player/R18_P06_12_1,Player/R18_P06_12_1_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_12_1,442-56
60030,6001,T_Skin_SkinName_60030,3,Player/R18_P06_12_2,Player/R18_P06_12_2_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_12_2,442-56
60031,6001,T_Skin_SkinName_10032,4,Player/R18_P06_34,Player/R18_P06_34_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_34,443-56
60032,6001,T_Skin_SkinName_10033,4,Player/R18_P06_33,Player/R18_P06_33_Lobby,Icon/Icon06_SkinCard/Icon06_SkinCard_33,447-56
