RoleID,TriggerID,DialogIDs,Sounds
2001,sex_end_01,,P002_Sex_End_01
2001,sex_end_02,,P002_Sex_End_02
2001,sex_end_03,,P002_Sex_End_02
2001,sex_end_04,,P002_Sex_End_04
2001,sex_idel,,P002_Story_10
2001,marry_01,,P002_general_05
2001,marry_02,,P002_Marry_01
2001,marry_03,,UI_Star
2001,marry_04,,sys018
3001,hit,300103-300104-300105-300106,P003_Overhit_02-P003_Overhit_03-P003_Overhit_01
3001,hit_1,,P003_Hit_01-P003_Hit_02-P003_Hit_03-P003_blank_01-P003_blank_02-P003_blank_03-P003_blank_01-P003_blank_02-P003_blank_03-P003_blank_01-P003_blank_02-P003_blank_03
3001,end,,P003_Break_01
3001,idel2,,P003_Training_02-P003_Break_02-P003_blank_01-P003_blank_02-P003_blank_03-P003_blank_01-P003_blank_02-P003_blank_03-P003_blank_01-P003_blank_02-P003_blank_03
3001,fire,,P003_Attack-P003_blank_02-P003_blank_03
3001,skill,,P003_C01-P003_C02-P003_C03-P003_blank_01-P003_blank_02-P003_blank_03
3001,dead,,P003_training_02
3001,dead_1,,P003_Story_09
3001,levelup,,P003_Gift_01-P003_Gift_02
3001,mvp,,P003_Victory_01-P003_Victory_02
3001,sex_hit,,P003_Hit_01-P003_Hit_02-P003_Overhit_02-P003_Overhit_03
3001,sex_loop,,P003_Story_06-P003_Sex_Loop_01-P003_Sex_Loop_02-P003_Sex_Loop_03-P003_Sex_Loop_04-P003_Sex_Loop_05-P003_Sex_Loop_06-P003_Sex_Loop_07
3001,sex_end_01,,P003_Sex_End_01
3001,sex_end_02,,P003_Sex_End_03
3001,sex_end_03,,P003_Sex_End_03
3001,sex_end_04,,P003_Sex_End_04
3001,sex_idel,,P003_Story_01
3001,marry_01,,P003_general_06
3001,marry_02,,P003_Overhit_01
3001,marry_03,,UI_Star
3001,marry_04,,sys018
3001,sex_loop_06,,P008_Story_01
3001,sex_end_06_01,,P003_Live_01
3001,sex_end_06_02,,P003_general_06
3001,sex_end_06_03,,P008_Sex_End_06_03
3001,sex_end_06_04,,P008_Sex_End_06_04
3001,sex_idel_06,,P003_blank_01-P003_Story_01
4001,hit,400103-400104-400105-400106,P004_Overhit_02-P004_Overhit_03-P004_Overhit_01
4001,hit_1,,P004_Hit_01-P004_Hit_02-P004_Hit_03-P004_blank_01-P004_blank_02-P004_blank_03-P004_blank_01-P004_blank_02-P004_blank_03-P004_blank_01-P004_blank_02-P004_blank_03
4001,end,,P004_Break_01
4001,idel2,,P004_Training_02-P004_Break_02-P004_blank_01-P004_blank_02-P004_blank_03-P004_blank_01-P004_blank_02-P004_blank_03-P004_blank_01-P004_blank_02-P004_blank_03
4001,fire,,P004_Attack-P004_blank_02-P004_blank_03
4001,skill,,P004_C01-P004_C02-P004_C03-P004_blank_01-P004_blank_02-P004_blank_03
4001,dead,,P004_Overhit_02
4001,dead_1,,P004_Story_09
4001,levelup,,P004_Gift_01-P004_Gift_02
4001,mvp,,P004_Victory_01-P004_Victory_02
4001,sex_hit,,P004_Hit_01-P004_Hit_02
4001,sex_loop,,P004_Hit_03-P004_Break_02-P04_Sex_Loop_01-P04_Sex_Loop_02-P04_Sex_Loop_03-P04_Sex_Loop_04
4001,sex_end_03,,P04_Sex_End_03
4001,sex_end_02,,P04_Sex_End_02
4001,sex_end_01,,P04_Sex_End_01
4001,sex_end_04,,P04_Sex_End_04
4001,sex_idel,,P004_Story_01
4001,marry_01,,P004_general_01
4001,marry_02,,P004_Marry_01
4001,marry_03,,UI_Star
4001,marry_04,,sys018
5001,hit,500103-500104-500105-500106,P005_Overhit_02-P005_Overhit_03-P005_Overhit_01
5001,hit_1,,P005_Hit_01-P005_Hit_02-P005_Hit_03-P005_blank_01-P005_blank_02-P005_blank_03-P005_blank_01-P005_blank_02-P005_blank_03-P005_blank_01-P005_blank_02-P005_blank_03
5001,end,,P005_Break_01
5001,idel2,,P005_Training_02-P005_Break_02-P005_blank_01-P005_blank_02-P005_blank_03-P005_blank_01-P005_blank_02-P005_blank_03-P005_blank_01-P005_blank_02-P005_blank_03
5001,fire,,P005_Attack-P005_blank_02-P005_blank_03
5001,skill,,P005_C01-P005_C02-P005_C03-P005_blank_01-P005_blank_02-P005_blank_03
5001,dead,,P005_Dead_03
5001,dead_1,,P005_Story_08
5001,levelup,,P005_Gift_01-P005_Gift_02
5001,mvp,,P005_Victory_01-P005_Victory_02
5001,sex_hit,,P005_Sex_Hit_01-P005_Sex_Hit_02-P005_Sex_Hit_03-P005_Story_01
5001,sex_loop,,P005_Story_05-P005_Story_06-P005_Story_07-P005_Story_09-P005_Story_10
5001,sex_end_01,,P005_Sex_End_01
5001,sex_end_02,,P005_Sex_End_02
5001,sex_end_03,,P005_Sex_End_03
5001,sex_end_05,,P005_Sex_End_05
5001,sex_idel,,P005_Story_01-P005_Story_02
5001,marry_01,,P005_General_04
5001,marry_02,,P005_Overhit_01
5001,marry_03,,UI_Star
5001,marry_04,,sys018
6001,hit,600103-600104-600105-600106,P006_Overhit_02-P006_Overhit_03-P006_Overhit_01
6001,hit_1,,P006_Hit_01-P006_Hit_02-P006_Hit_03-P006_blank_01-P006_blank_02-P006_blank_03-P006_blank_01-P006_blank_02-P006_blank_03-P006_blank_01-P006_blank_02-P006_blank_03
6001,end,,P006_Break_01
6001,idel2,,P006_Overhit_03-P006_Break_02-P006_blank_01-P006_blank_02-P006_blank_03-P006_blank_01-P006_blank_02-P006_blank_03-P006_blank_01-P006_blank_02-P006_blank_03
6001,fire,,P006_Attack-P006_blank_02-P006_blank_03
6001,skill,,P006_C01-P006_C02-P006_C03-P006_blank_01-P006_blank_02-P006_blank_03
6001,dead,,P006_Dead_03
6001,dead_1,,P006_Story_09
6001,levelup,,P006_Gift_01-P006_Gift_02
6001,mvp,,P006_Victory_01-P006_Victory_02
6001,sex_hit,,P006_Overhit_01-P006_Hit_02
6001,sex_loop,,P006_Story_06-P006_Story_08-P006_Story_03
6001,sex_end_01,,P006_Sex_End_01
6001,sex_end_02,,P006_Sex_End_02
6001,sex_end_03,,P006_Sex_End_02
6001,sex_end_04,,P006_Sex_End_04
6001,sex_idel,,P006_Story_01
6001,marry_01,,P006_general_06
6001,marry_02,,P006_Choice_01
6001,marry_03,,UI_Star
6001,marry_04,,sys018
6001,sex_loop_06,,P008_Story_01
6001,sex_end_06_01,,P006_Overhit_02
6001,sex_end_06_02,,P006_Hit_01
6001,sex_end_06_03,,P008_Sex_End_06_03
6001,sex_end_06_04,,P006_Training_02
6001,sex_idel_06,,P006_blank_01-P006_Dead_02-P006_blank_01
7001,hit,700103-700104-700105-700106,P007_Overhit_02-P007_Overhit_03-P007_Overhit_01
7001,hit_1,,P007_Hit_01-P007_Hit_02-P007_Hit_03-P007_blank_01-P007_blank_02-P007_blank_03-P007_blank_01-P007_blank_02-P007_blank_03-P007_blank_01-P007_blank_02-P007_blank_03
7001,end,,P007_Break_01
7001,idel2,,P007_Break_02-P007_Overhit_03-P007_blank_01-P007_blank_02-P007_blank_03-P007_blank_01-P007_blank_02-P007_blank_03-P007_blank_01-P007_blank_02-P007_blank_03
7001,fire,,P007_Attack-P007_blank_02-P007_blank_03
7001,skill,,P007_C01-P007_C02-P007_C03-P007_blank_01-P007_blank_02-P007_blank_03
7001,dead,,P007_Dead_04
7001,dead_1,,P007_Dead_03
7001,levelup,,P007_Gift_01-P007_Gift_02
7001,mvp,,P007_Victory_01-P007_Victory_02
7001,sex_hit,,P007_Hit_01-P007_Hit_02-P007_Hit_03
7001,sex_loop,,P007_Sex_Loop_01-P007_Sex_Loop_02-P007_Sex_Loop_03-P007_Sex_Loop_04-P007_Sex_Loop_05-P007_Sex_Loop_06-P007_Sex_Loop_07-P007_Story_06
7001,sex_end_01,,P007_Sex_End_01
7001,sex_end_02,,P007_Sex_End_02
7001,sex_end_03,,P007_Sex_End_03
7001,sex_end_04,,P007_Sex_End_03
7001,sex_idel,,P007_Story_09
7001,marry_01,,P007_general_06
7001,marry_02,,P007_Dead_02
7001,marry_03,,UI_Star
7001,marry_04,,sys018
7001,sex_end_05,,P007_Sex_End_05
7001,sex_loop_06,,P007_Sex06_Loop
7001,sex_end_06_01,,P007_Training_02
7001,sex_end_06_02,,P007_Training_01
7001,sex_end_06_03,,P007_Sex06_End_01
7001,sex_end_06_04,,P007_Story_09
7001,sex_idel_06,,P007_blank_01-P007_Overhit_03-P007_blank_01-P007_blank_01
8001,hit,800103-800104-800105-800106,P008_Overhit_02-P008_Overhit_03-P008_Overhit_01
8001,hit_1,,P008_Hit_01-P008_Hit_02-P008_Hit_03-P008_blank_01-P008_blank_02-P008_blank_03-P008_blank_01-P008_blank_02-P008_blank_03-P008_blank_01-P008_blank_02-P008_blank_03
8001,end,,P008_Break_01
8001,idel2,,P008_Training_01-P008_Training_02-P008_blank_01-P008_blank_02-P008_blank_03-P008_blank_01-P008_blank_02-P008_blank_03-P008_blank_01-P008_blank_02-P008_blank_03
8001,fire,,P008_Attack-P008_blank_02-P008_blank_03
8001,skill,,P008_C01-P008_C02-P008_C03-P008_blank_01-P008_blank_02-P008_blank_03
8001,dead,,P008_Overhit_03
8001,dead_1,,P008_Story_07
8001,levelup,,P008_Gift_01-P008_Gift_02
8001,mvp,,P008_Victory_01-P008_Victory_02
8001,sex_hit,,P008_Overhit_01-P008_Story_02
8001,sex_loop,,P008_Story_06-P008_Story_10-P008_Story_05
8001,sex_loop_06,,P008_Story_01
8001,sex_end_01,,P008_Sex_End_01
8001,sex_end_02,,P008_Sex_End_02
8001,sex_end_03,,P008_Sex_End_02
8001,sex_end_04,,P008_Sex_End_02
8001,sex_end_06_01,,P008_Sex_End_06_01
8001,sex_end_06_02,,P008_Story_02
8001,sex_end_06_03,,P008_Sex_End_06_03
8001,sex_end_06_04,,P008_Sex_End_06_04
8001,sex_idel,,P008_Story_04-P008_Story_08
8001,sex_idel_06,,P008_blank_01-P008_Sex_Idel_06-P008_blank_01-P008_blank_01-P008_blank_01
8001,sex_hit_06,,P008_general_05-P008_blank_01-P008_blank_01-P008_blank_01
8001,marry_01,,P008_Marry_01
8001,marry_02,,P008_Marry_02
8001,marry_03,,UI_Star
8001,marry_04,,sys018
9001,hit,900103-900104-900105-900106,P009_Overhit_02-P009_Overhit_03-P009_Overhit_01
9001,hit_1,,P009_Hit_01-P009_Hit_02-P009_Hit_03-P009_blank_01-P009_blank_02-P009_blank_03-P009_blank_01-P009_blank_02-P009_blank_03-P009_blank_01-P009_blank_02-P009_blank_03
9001,end,,P009_Break_01
9001,idel2,,P009_Training_01-P009_Training_02-P009_blank_01-P009_blank_02-P009_blank_03-P009_blank_01-P009_blank_02-P009_blank_03-P009_blank_01-P009_blank_02-P009_blank_03
9001,fire,,P009_Attack-P009_blank_02-P009_blank_03
9001,skill,,P009_C01-P009_C02-P009_C03-P009_blank_01-P009_blank_02-P009_blank_03
9001,dead,,P009_Dead_03
9001,dead_1,,P009_Story_14
9001,levelup,,P009_Gift_01-P009_Gift_02
9001,mvp,,P009_Victory_01-P009_Victory_02
9001,sex_hit,,P009_Hit_01-P009_Hit_02
9001,sex_loop,,P009_Sex_Loop_01-P009_Sex_Loop_02-P009_Sex_Loop_03-P009_Sex_Loop_04-P009_Sex_Loop_05
9001,sex_end_01,,P009_Sex_End_01
9001,sex_end_02,,P009_Sex_End_02
9001,sex_idel,,P009_Story_15
9001,sex_end_03,,P009_Sex_End_02
9001,sex_end_04,,P009_Sex_End_02
9001,sex_end_05,,P009_Sex_End_02
9001,marry_01,,P009_Marry_01
9001,marry_02,,P009_general_06
9001,marry_03,,UI_Star
9001,marry_04,,sys018
10001,hit,1000103-1000104-1000105-1000106,P010_Overhit_02-P010_Overhit_03-P010_Overhit_01
10001,hit_1,,P010_Hit_01-P010_Hit_02-P010_Hit_03-P010_blank_01-P010_blank_02-P010_blank_03-P010_blank_01-P010_blank_02-P010_blank_03-P010_blank_01-P010_blank_02-P010_blank_03
10001,end,,P010_Break_01
10001,idel2,,P010_Training_01-P010_Training_02-P010_blank_01-P010_blank_02-P010_blank_03-P010_blank_01-P010_blank_02-P010_blank_03-P010_blank_01-P010_blank_02-P010_blank_03
10001,fire,,P010_Attack-P010_blank_02-P010_blank_03
10001,skill,,P010_C01-P010_C02-P010_C03-P010_blank_01-P010_blank_02-P010_blank_03
10001,dead,,P010_Dead_03
10001,dead_1,,P010_Story_13
10001,levelup,,P010_Gift_01-P010_Gift_02
10001,mvp,,P010_Victory_01-P010_Victory_02
10001,sex_hit,,P010_Overhit_01-P010_Overhit_02-P010_Story_02
10001,sex_loop,,P010_Overhit_01-P010_Overhit_01-P010_Story_07-P010_Story_08-P010_Story_11
10001,sex_end_01,,P010_Sex_End_01
10001,sex_end_02,,P010_Sex_End_02
10001,sex_end_03,,P010_Sex_End_03
10001,sex_end_04,,P010_Sex_End_04
10001,sex_idel,,P010_Story_01
10001,sex_loop_06,,P008_Story_01
10001,sex_end_06_01,,P010_general_06
10001,sex_end_06_02,,P010_Training_01
10001,sex_end_06_03,,P008_Sex_End_06_03
10001,sex_end_06_04,,P008_Sex_End_06_04
10001,sex_idel_06,,P010_blank_01-P10_Sex_06_idel
10001,sex_hit_06,,P10_Sex_hit_06-P010_blank_01-P010_blank_01
10001,marry_01,,P010_general_03
10001,marry_02,,P010_Dead_01
10001,marry_03,,UI_Star
10001,marry_04,,sys018
11001,hit,1100103-1100104-1000105-1000106,P011_Overhit_02-P011_Overhit_03-P011_Overhit_01
11001,hit_1,,P011_Hit_01-P011_Hit_02-P011_Hit_03-P011_blank_01-P011_blank_02-P011_blank_03-P011_blank_01-P011_blank_02-P011_blank_03-P011_blank_01-P011_blank_02-P011_blank_03
11001,end,,P011_Break_01
11001,idel2,,P011_Training_01-P011_Training_02-P011_blank_01-P011_blank_02-P011_blank_03-P011_blank_01-P011_blank_02-P011_blank_03-P011_blank_01-P011_blank_02-P011_blank_03
11001,fire,,P011_Attack-P011_blank_02-P011_blank_03
11001,skill,,P011_C01-P011_C02-P011_C03-P011_blank_01-P011_blank_02-P011_blank_03
11001,dead,,P011_Dead_03
11001,dead_1,,P011_Story_13
11001,levelup,,P011_Gift_01-P011_Gift_02
11001,mvp,,P011_Victory_01-P011_Victory_02
11001,sex_hit,,P011_Hit_01-P011_Hit_02
11001,sex_loop,,P011_Overhit_01-P011_Overhit_02-P011_Overhit_03-P011_Story_10-P011_Story_11
11001,sex_end_01,,P011_Sex_End_01
11001,sex_end_02,,P011_Sex_End_02
11001,sex_idel,,P011_Story_02
11001,sex_end_03,,P011_Sex_End_03
11001,sex_end_04,,P011_Sex_End_03
11001,sex_end_05,,P011_Sex_End_03
11001,marry_01,,P011_Marry_01
11001,marry_02,,P011_Marry_02
11001,marry_03,,UI_Star
11001,marry_04,,sys018
11001,sex_loop_06,,P008_Story_01
11001,sex_end_06_01,,P011_general_05
11001,sex_end_06_02,,P011_Hit_03
11001,sex_end_06_03,,P008_Sex_End_06_03
11001,sex_end_06_04,,P008_Sex_End_06_04
11001,sex_idel_06,,P011_Story_05
12001,hit,1200103-1200104-1000105-1000106,P012_Overhit_02-P012_Overhit_03-P012_Overhit_01
12001,hit_1,,P012_Hit_01-P012_Hit_02-P012_Hit_03-P012_blank_01-P012_blank_02-P012_blank_03-P012_blank_01-P012_blank_02-P012_blank_03-P012_blank_01-P012_blank_02-P012_blank_03
12001,end,,P012_Break_01
12001,idel2,,P012_Training_01-P012_Training_02-P012_blank_01-P012_blank_02-P012_blank_03-P012_blank_01-P012_blank_02-P012_blank_03-P012_blank_01-P012_blank_02-P012_blank_03
12001,fire,,P012_Attack-P012_blank_02-P012_blank_03
12001,skill,,P012_C01-P012_C02-P012_C03-P012_blank_01-P012_blank_02-P012_blank_03
12001,dead,,P012_Overhit_03
12001,dead_1,,P012_Story_10
12001,levelup,,P012_Gift_01-P012_Gift_02
12001,mvp,,P012_Victory_01-P012_Victory_02
12001,sex_hit,,P012_Overhit_01-P012_Overhit_03-P012_Training_02
12001,sex_loop,,P012_Story_05-P012_Sex_Loop_06-P012_Sex_Loop_06-P012_Sex_Loop_05-P012_Sex_Loop_04-P012_Sex_Loop_03-P012_Sex_Loop_02-P012_Sex_Loop_01
12001,sex_end_02,,P012_Sex_End_02
12001,sex_idel,,P012_Story_03
12001,sex_end_05,,P012_Sex_End_05
12001,sex_loop_06,,P012_Story_01
12001,sex_end_06_01,,P012_Story_05
12001,sex_end_06_02,,P012_Sex_End_06_02
12001,sex_end_06_03,,P012_Sex_End_06_03
12001,sex_end_06_04,,P012_Sex_End_06_04
12001,sex_idel_06,,P012_blank_01-P012_Break_02-P012_blank_01-P012_blank_01
12001,sex_hit_06,,P012_general_06-P012_blank_01-P012_blank_01
12001,marry_01,,P012_Marry_01
12001,marry_02,,P012_Marry_02
12001,marry_03,,UI_Star
12001,marry_04,,sys018
13001,hit,1300103-1300104-1300105-1300106,P13_Hit_01-P13_Hit_02-P13_Training_03
13001,hit_1,,P13_Hit_01-P13_Hit_02-P13_blank_01-P13_blank_02-P13_blank_03-P13_blank_01-P13_blank_02-P13_blank_03-P13_blank_01-P13_blank_02-P13_blank_03
13001,end,,P13_Break_02
13001,idel2,,P13_Training_01-P13_Training_02-P13_blank_01-P13_blank_02-P13_blank_03-P13_blank_01-P13_blank_02-P13_blank_03-P13_blank_01-P13_blank_02-P13_blank_03
13001,fire,,P13_Attack-P13_blank_02-P13_blank_03
13001,skill,,P13_C01-P13_C02-P13_C03-P13_blank_01-P13_blank_02-P13_blank_03
13001,dead,,P13_Training_02
13001,dead_1,,P13_Break_01
13001,levelup,,P13_Gift_01-P13_Gift_02
13001,mvp,,P13_MVP_01
13001,sex_hit,,P13_Training_01-P13_Training_02
13001,sex_loop,,P13_Sex_Loop_01-P13_Sex_Loop_02-P13_Sex_Loop_03-P13_Sex_Loop_04-P13_Sex_Loop_05-P13_Sex_Loop_06
13001,sex_end_01,,P13_Sex_End_01
13001,sex_end_04,,P13_Sex_End_04
13001,sex_idel,,P13_Story_01
13001,sex_end_02,,P13_Sex_End_05
13001,sex_end_05,,P13_Sex_End_05
13001,sex_loop_06,,P012_Story_01
13001,sex_end_06_01,,P012_Story_05
13001,sex_end_06_02,,P13_Sex_End_06_02
13001,sex_end_06_03,,P012_Sex_End_06_03
13001,sex_end_06_04,,P13_Sex_End_06_04
13001,sex_idel_06,,P13_blank_01-P13_Sex_Idel_06-P13_blank_01-P13_blank_01
13001,marry_01,,P13_general_06
13001,marry_02,,P13_Gift_01
13001,marry_03,,UI_Star
13001,marry_04,,sys018
14001,hit,1400103-1400104-1400105,P14_Hit_02-P14_Hit_03-P14_Training_02
14001,hit_1,,P14_Hit_02-P14_Hit_03-P14_blank_01-P14_blank_02-P14_blank_03-P14_blank_01-P14_blank_02-P14_blank_03-P14_blank_01-P14_blank_02-P14_blank_03
14001,end,,P14_Break_02
14001,idel2,,P14_Story_01-P14_blank_01-P14_blank_02-P14_blank_03-P14_blank_01-P14_blank_02-P14_blank_03-P14_blank_01-P14_blank_02-P14_blank_03
14001,fire,,P14_Attack_01-P14_Attack_02-P14_blank_02-P14_blank_03
14001,skill,,P14_Attack_03-P14_Attack_04-P14_Attack_05-P14_blank_01-P14_blank_02-P14_blank_03
14001,dead,,P14_Story_09
14001,dead_1,,P14_Break_01
14001,levelup,,P14_Gift_01-P14_Gift_02
14001,mvp,,P14_MVP_01
14001,sex_hit,,P14_Training_03-P14_Training_04
14001,sex_loop,,P14_Story_07-P14_Story_10-P14_Story_09
14001,sex_end_01,,P14_Sex_End_01
14001,sex_end_02,,P14_Sex_End_02
14001,sex_end_04,,P14_Sex_End_04
14001,sex_idel,,P14_Story_02
14001,sex_loop_06,,P007_Sex06_Loop
14001,sex_end_06_01,,P14_Story_04
14001,sex_end_06_02,,P14_Training_02
14001,sex_end_06_03,,P007_Sex06_End_01
14001,sex_end_06_04,,P14_Story_14
14001,sex_idel_06,,P14_blank_01-P14_Break_02-P14_blank_01-P14_blank_01
14001,marry_01,,P14_general_04
14001,marry_02,,P14_Gift_02
14001,marry_03,,UI_Star
14001,marry_04,,sys018
15001,hit,,P15_hit_01-P15_hit_02-P15_hit_03
15001,hit_1,,P15_hit_01-P15_hit_02-P15_hit_03-P15_blank_01-P15_blank_02-P15_blank_03-P15_blank_01-P15_blank_02-P15_blank_03-P15_blank_01-P15_blank_02-P15_blank_03
15001,end,,P15_break_01
15001,idel2,,P15_Sex_End_02-P15_blank_01-P15_blank_02-P15_blank_03-P15_blank_01-P15_blank_02-P15_blank_03-P15_blank_01-P15_blank_02-P15_blank_03
15001,fire,,P15_atk_01-P15_atk_02-P15_blank_02-P15_blank_03
15001,skill,,P15_skill_01-P15_skill_02-P15_blank_01-P15_blank_02-P15_blank_03
15001,dead,,P15_break_02
15001,dead_1,,P15_break_01
15001,levelup,,P15_gift_01-P15_gift_02
15001,mvp,,P15_MVP_01
15001,sex_hit,,P15_Sex_Loop_01-P15_Sex_Loop_02
15001,sex_loop,,P15_Sex_Loop_03-P15_Sex_Loop_04-P15_Sex_Loop_05-P15_Sex_Loop_06-P15_Sex_Loop_07
15001,sex_end_02,,P15_Sex_End_03
15001,sex_idel,,P15_Sex_End_02
15001,sex_end_03,,P15_Sex_End_03
15001,sex_loop_06,,P15_sex_06_01
15001,sex_end_06_01,,P15_hit_02
15001,sex_end_06_02,,P15_Sex_Loop_03
15001,sex_end_06_03,,P15_sex_06_03
15001,sex_end_06_04,,P15_Sex_End_02
15001,sex_idel_06,,P15_blank_01-P15_general_11-P15_blank_01-P15_blank_01
15001,marry_01,,P15_general_15
15001,marry_02,,P15_general_12
15001,marry_03,,UI_Star
15001,marry_04,,sys018
16001,hit,,P016_general_13-P016_hit_03
16001,hit_1,,P016_hit_01-P016_hit_02-P16_blank_01-P16_blank_02-P16_blank_03-P16_blank_01-P16_blank_02-P16_blank_03-P16_blank_01-P16_blank_02-P16_blank_03
16001,end,,P016_break_01
16001,idel2,,P016_story_09-P16_blank_01-P16_blank_02-P16_blank_03-P16_blank_01-P16_blank_02-P16_blank_03-P16_blank_01-P16_blank_02-P16_blank_03
16001,fire,,P016_atk_01-P016_atk_02-P016_atk_03-P16_blank_02-P16_blank_03
16001,skill,,P016_general_13-P016_atk_03-P16_blank_01-P16_blank_02-P16_blank_03
16001,dead,,P016_break_02
16001,dead_1,,P016_break_03
16001,levelup,,P016_gift_01-P016_gift_02-P016_gift_03
16001,mvp,,P016_mvp_01
16001,sex_loop,,P016_sexloop_01-P016_sexloop_02
16001,sex_hit,,P016_hit_02-P016_story_02
16001,sex_end_01,,P016_sex_end_01
16001,sex_end_02,,P016_sex_end_05
16001,sex_end_05,,P016_sex_end_01
16001,sex_idel,,P016_story_01
16001,marry_01,,P016_general_09
16001,marry_02,,P016_gift_03
16001,marry_03,,UI_Star
16001,marry_04,,sys018
17001,hit,,P17_hit_02-P17_hit_04
17001,hit_1,,P17_hit_01-P17_hit_02-P17_hit_04-P17_blank_02-P17_blank_03-P17_blank_01-P17_blank_02-P17_blank_03-P17_blank_01-P17_blank_02-P17_blank_03
17001,end,,P17_break_01
17001,idel2,,P17_story_09-P17_blank_01-P17_blank_02-P17_blank_03-P17_blank_01-P17_blank_02-P17_blank_03-P17_blank_01-P17_blank_02-P17_blank_03
17001,fire,,P17_atk_01-P17_atk_02-P17_atk_03-P17_blank_02-P17_blank_03
17001,skill,,P17_skill_01-P17_skill_02-P17_blank_01-P17_blank_02-P17_blank_03
17001,dead,,P17_break_02
17001,dead_1,,P17_break_03
17001,levelup,,P17_gift_01-P17_gift_02
17001,mvp,,P17_mvp_01
17001,sex_loop,,P17_story_03-P17_story_04
17001,sex_hit,,P17_hit_02-P17_hit_04
17001,sex_end_02,,P17_sex_end_02
17001,sex_end_04,,P17_sex_end_04
17001,sex_idel,,P17_story_09
17001,sex_loop_06,,P17_story_02
17001,sex_end_06_01,,P17_skill_01
17001,sex_end_06_02,,P17_general_13
17001,sex_end_06_03,,P007_Sex06_End_01
17001,sex_end_06_04,,P17_general_09
17001,sex_idel_06,,P17_story_09-P17_blank_01-P17_blank_01-P17_blank_01
18001,hit,,P18_hit_01-P18_hit_02
18001,hit_1,,P18_hit_01-P18_hit_02-P18_hit_03-P18_blank_02-P18_blank_03-P18_blank_01-P18_blank_02-P18_blank_03-P18_blank_01-P18_blank_02-P18_blank_03
18001,end,,P18_Break_01
