ID,TYPE,NAME,ICON,HeadIcon,ExcludeRole,Role,Color,RepeatChangeID,RepeatChangeCount,Value,DropTag,Info,Source,IsCountDrop,SortIndex,EnergyValue,ObtainWays,VersionControl
29,,T_ITEM_NAME_29,Icon/Item/Gift/Icon_Event_Redenvelopes,,,,4,,,,EventCoin,T_ITEM_Info_12,,,,,2+104,801
30,,T_ITEM_NAME_30,Icon/Item/Icon_Money_04,,,,4,,,,,T_ITEM_Info_30,,,,,10,53
31,,T_ITEM_NAME_31,Icon/Item/Icon_VIPCoin,,,,4,,,,,T_ITEM_Info_31,,,,,2+20,59
32,,T_ITEM_NAME_32,Icon/Item/Gift/Icon_VIPGacha,,,,4,,,,,T_ITEM_Info_32,,,,,2+20,59
33,,T_ITEM_NAME_33,Icon/Item/Gift/Icon_Power drink,,,,4,,,100,,T_ITEM_Info_33,,,5,,3,62
34,,T_ITEM_NAME_34,Icon/Item/Icon_DecorateCoin,,,,4,,,,,T_ITEM_Info_34,,,,,2+107,64
35,,T_ITEM_NAME_35,Icon/Item/Gift/Icon_XmasTicket,,,,4,,,,,T_ITEM_Info_35,,,,,3,130
36,,T_ITEM_NAME_36,Icon/Item/Icon_XmasCoin,,,,4,,,,,T_ITEM_Info_36,,,,,1,130
37,,T_ITEM_NAME_37,Icon/Item/Icon_Money_YOT,,,,4,,,,,T_ITEM_Info_37,,,,,1,131
38,,T_ITEM_NAME_38,Icon/Item/Gift/Icon_YOTTicket,,,,4,,,,,T_ITEM_Info_38,,,,,3,131
39,,T_ITEM_NAME_39,Icon/Item/Icon_Money_VD,,,,4,,,,,T_ITEM_Info_39,,,,,3,133
40,,T_ITEM_NAME_40,Icon/Item/Icon_T-Shirt_2,,,,4,,,,40,T_ITEM_Info_39,,,,,3,135
41,,T_ITEM_NAME_41,Icon/Item/Icon_T-Shirt_3,,,,4,,,,41,T_ITEM_Info_41,,,,,1,135
42,,T_ITEM_NAME_42,Icon/Item/Icon_GWTicket,,,,4,,,,,T_ITEM_Info_38,,,,,3,136
43,,T_ITEM_NAME_43,Icon/Item/Icon_GWCoin,,,,4,,,,,T_ITEM_Info_41,,,,,1,136
44,,T_ITEM_NAME_44,Icon/Item/Icon_BuildCoin_1,,,,4,,,,44,T_ITEM_Info_44,,,,,9-3,137
45,,T_ITEM_NAME_45,Icon/Item/Icon_BuildCoin_2,,,,4,,,,45,T_ITEM_Info_41,,,,,1,137
70,,T_ITEM_NAME_70,Icon/Item/Gift/Icon_PartyTicket,,,,4,,,,,T_ITEM_Info_70,,,,,9,
71,,T_ITEM_NAME_71,Icon/Item/Gift/Icon_Coin_EquipDamage,,,,4,,,,71,T_ITEM_Info_71,,,13,,1,
72,,T_ITEM_NAME_72,Icon/Item/Gift/Icon_Coin_EquipTank,,,,4,,,,72,T_ITEM_Info_71,,,14,,1,
73,,T_ITEM_NAME_73,Icon/Item/Gift/Icon_Coin_EquipSupport,,,,4,,,,73,T_ITEM_Info_71,,,15,,1,
74,,T_ITEM_NAME_74,Icon/Item/Icon_Coin_1st,,,,4,,,,,T_ITEM_Info_74,,,,,,151
75,,T_ITEM_NAME_75,Icon/Item/Gift/Icon_Coin_ChinaTicket,,,,4,,,,,T_ITEM_Info_75,,,,,,152
76,,T_ITEM_NAME_76,Icon/Item/Icon_Coin_2nd,,,,4,,,,,T_ITEM_Info_76,,,,,,132
77,,T_ITEM_NAME_77,Icon/Item/Icon_Coin_2nd_Grey,,,,3,,,, ,T_ITEM_Info_77,,,,,,132
78,,T_ITEM_NAME_78,Icon/Item/Icon_GuildCoin_2,,,,5,,,,78,T_ITEM_Info_78,,,,,,67
79,,T_ITEM_NAME_79,Icon/Item/Icon_GuildCoin_1,,,,5,,,,79,T_ITEM_Info_79,,,,,,67
80,18,T_ITEM_NAME_80,Icon/Item/Icon_GuildScore,,,,5,,,,80,T_ITEM_Info_80,,,,,,67
101,11,T_ITEM_NAME_101,Icon/Item/GiftBox/Icon_GiftBox_04,Icon/Item/Icon_LoveLetter,,,3,,,101,,T_ITEM_Info_101,,,,,,
102,11,T_ITEM_NAME_102,Icon/Item/GiftBox/Icon_GiftBox_07,Icon/Item/Icon_LoveLetter,,,3,,,102,,T_ITEM_Info_101,,,,,,
103,11,T_ITEM_NAME_103,Icon/Item/GiftBox/Icon_GiftBox_12,Icon/Item/Icon_LoveLetter,,,3,,,103,,T_ITEM_Info_101,,,,,,
104,11,T_ITEM_NAME_104,Icon/Item/GiftBox/Icon_GiftBox_15,Icon/Item/Icon_LoveLetter,,,3,,,104,,T_ITEM_Info_101,,,,,,
105,11,T_ITEM_NAME_105,Icon/Item/GiftBox/Icon_GiftBox_18,Icon/Item/Icon_LoveLetter,,,3,,,105,,T_ITEM_Info_101,,,,,,
106,11,T_ITEM_NAME_106,Icon/Item/GiftBox/Icon_GiftBox_21,Icon/Item/Icon_LoveLetter,,,3,,,106,,T_ITEM_Info_101,,,,,,
107,11,T_ITEM_NAME_107,Icon/Item/GiftBox/Icon_GiftBox_24,Icon/Item/Icon_LoveLetter,,,3,,,107,,T_ITEM_Info_101,,,,,,
108,11,T_ITEM_NAME_108,Icon/Item/GiftBox/Icon_GiftBox_27,Icon/Item/Icon_LoveLetter,,,3,,,108,,T_ITEM_Info_101,,,,,,
109,11,T_ITEM_NAME_109,Icon/Item/GiftBox/Icon_GiftBox_30,Icon/Item/Icon_LoveLetter,,,3,,,109,,T_ITEM_Info_101,,,,,,
110,11,T_ITEM_NAME_110,Icon/Item/GiftBox/Icon_GiftBox_33,Icon/Item/Icon_LoveLetter,,,3,,,110,,T_ITEM_Info_101,,,,,,
141,11,T_ITEM_NAME_141,Icon/Item/GiftBox/Icon_GiftBox_str1_1_B1,Icon/Item/Icon_LoveLetter,,,3,,,141,,T_ITEM_Info_101,,,,,,
142,11,T_ITEM_NAME_142,Icon/Item/GiftBox/Icon_GiftBox_str1_2_B1,Icon/Item/Icon_LoveLetter,,,3,,,142,,T_ITEM_Info_101,,,,,,
143,11,T_ITEM_NAME_143,Icon/Item/GiftBox/Icon_GiftBox_str2_1_B1,Icon/Item/Icon_LoveLetter,,,3,,,143,,T_ITEM_Info_101,,,,,,
144,11,T_ITEM_NAME_144,Icon/Item/GiftBox/Icon_GiftBox_str2_2_B1,Icon/Item/Icon_LoveLetter,,,3,,,144,,T_ITEM_Info_101,,,,,,
111,11,T_ITEM_NAME_101,Icon/Item/GiftBox/Icon_GiftBox_04,Icon/Item/Icon_Petals,,,3,,,101,,T_ITEM_Info_101,,,,,,
112,11,T_ITEM_NAME_102,Icon/Item/GiftBox/Icon_GiftBox_07,Icon/Item/Icon_Petals,,,3,,,102,,T_ITEM_Info_101,,,,,,
113,11,T_ITEM_NAME_103,Icon/Item/GiftBox/Icon_GiftBox_12,Icon/Item/Icon_Petals,,,3,,,103,,T_ITEM_Info_101,,,,,,
114,11,T_ITEM_NAME_104,Icon/Item/GiftBox/Icon_GiftBox_15,Icon/Item/Icon_Petals,,,3,,,104,,T_ITEM_Info_101,,,,,,
115,11,T_ITEM_NAME_105,Icon/Item/GiftBox/Icon_GiftBox_18,Icon/Item/Icon_Petals,,,3,,,105,,T_ITEM_Info_101,,,,,,
116,11,T_ITEM_NAME_106,Icon/Item/GiftBox/Icon_GiftBox_21,Icon/Item/Icon_Petals,,,3,,,106,,T_ITEM_Info_101,,,,,,
117,11,T_ITEM_NAME_107,Icon/Item/GiftBox/Icon_GiftBox_24,Icon/Item/Icon_Petals,,,3,,,107,,T_ITEM_Info_101,,,,,,
118,11,T_ITEM_NAME_108,Icon/Item/GiftBox/Icon_GiftBox_27,Icon/Item/Icon_Petals,,,3,,,108,,T_ITEM_Info_101,,,,,,
119,11,T_ITEM_NAME_109,Icon/Item/GiftBox/Icon_GiftBox_30,Icon/Item/Icon_Petals,,,3,,,109,,T_ITEM_Info_101,,,,,,
120,11,T_ITEM_NAME_110,Icon/Item/GiftBox/Icon_GiftBox_33,Icon/Item/Icon_Petals,,,3,,,110,,T_ITEM_Info_101,,,,,,
145,11,T_ITEM_NAME_141,Icon/Item/GiftBox/Icon_GiftBox_str1_1_B1,Icon/Item/Icon_Petals,,,3,,,141,,T_ITEM_Info_101,,,,,,
146,11,T_ITEM_NAME_142,Icon/Item/GiftBox/Icon_GiftBox_str1_2_B1,Icon/Item/Icon_Petals,,,3,,,142,,T_ITEM_Info_101,,,,,,
147,11,T_ITEM_NAME_143,Icon/Item/GiftBox/Icon_GiftBox_str2_1_B1,Icon/Item/Icon_Petals,,,3,,,143,,T_ITEM_Info_101,,,,,,
148,11,T_ITEM_NAME_144,Icon/Item/GiftBox/Icon_GiftBox_str2_2_B1,Icon/Item/Icon_Petals,,,3,,,144,,T_ITEM_Info_101,,,,,,
121,11,T_ITEM_NAME_101,Icon/Item/GiftBox/Icon_GiftBox_04,Icon/Item/Icon_T-Shirt,,,3,,,101,,T_ITEM_Info_101,,,,,,
122,11,T_ITEM_NAME_102,Icon/Item/GiftBox/Icon_GiftBox_07,Icon/Item/Icon_T-Shirt,,,3,,,102,,T_ITEM_Info_101,,,,,,
123,11,T_ITEM_NAME_103,Icon/Item/GiftBox/Icon_GiftBox_12,Icon/Item/Icon_T-Shirt,,,3,,,103,,T_ITEM_Info_101,,,,,,
124,11,T_ITEM_NAME_104,Icon/Item/GiftBox/Icon_GiftBox_15,Icon/Item/Icon_T-Shirt,,,3,,,104,,T_ITEM_Info_101,,,,,,
125,11,T_ITEM_NAME_105,Icon/Item/GiftBox/Icon_GiftBox_18,Icon/Item/Icon_T-Shirt,,,3,,,105,,T_ITEM_Info_101,,,,,,
126,11,T_ITEM_NAME_106,Icon/Item/GiftBox/Icon_GiftBox_21,Icon/Item/Icon_T-Shirt,,,3,,,106,,T_ITEM_Info_101,,,,,,
127,11,T_ITEM_NAME_107,Icon/Item/GiftBox/Icon_GiftBox_24,Icon/Item/Icon_T-Shirt,,,3,,,107,,T_ITEM_Info_101,,,,,,
128,11,T_ITEM_NAME_108,Icon/Item/GiftBox/Icon_GiftBox_27,Icon/Item/Icon_T-Shirt,,,3,,,108,,T_ITEM_Info_101,,,,,,
129,11,T_ITEM_NAME_109,Icon/Item/GiftBox/Icon_GiftBox_30,Icon/Item/Icon_T-Shirt,,,3,,,109,,T_ITEM_Info_101,,,,,,
130,11,T_ITEM_NAME_110,Icon/Item/GiftBox/Icon_GiftBox_33,Icon/Item/Icon_T-Shirt,,,3,,,110,,T_ITEM_Info_101,,,,,,
149,11,T_ITEM_NAME_141,Icon/Item/GiftBox/Icon_GiftBox_str1_1_B1,Icon/Item/Icon_T-Shirt,,,3,,,141,,T_ITEM_Info_101,,,,,,
150,11,T_ITEM_NAME_142,Icon/Item/GiftBox/Icon_GiftBox_str1_2_B1,Icon/Item/Icon_T-Shirt,,,3,,,142,,T_ITEM_Info_101,,,,,,
151,11,T_ITEM_NAME_143,Icon/Item/GiftBox/Icon_GiftBox_str2_1_B1,Icon/Item/Icon_T-Shirt,,,3,,,143,,T_ITEM_Info_101,,,,,,
152,11,T_ITEM_NAME_144,Icon/Item/GiftBox/Icon_GiftBox_str2_2_B1,Icon/Item/Icon_T-Shirt,,,3,,,144,,T_ITEM_Info_101,,,,,,
131,11,T_ITEM_NAME_101,Icon/Item/GiftBox/Icon_GiftBox_04,Icon/Item/Gift/Icon_Energydrink,,,3,,,101,,T_ITEM_Info_101,,,,,,
132,11,T_ITEM_NAME_102,Icon/Item/GiftBox/Icon_GiftBox_07,Icon/Item/Gift/Icon_Energydrink,,,3,,,102,,T_ITEM_Info_101,,,,,,
133,11,T_ITEM_NAME_103,Icon/Item/GiftBox/Icon_GiftBox_12,Icon/Item/Gift/Icon_Energydrink,,,3,,,103,,T_ITEM_Info_101,,,,,,
134,11,T_ITEM_NAME_104,Icon/Item/GiftBox/Icon_GiftBox_15,Icon/Item/Gift/Icon_Energydrink,,,3,,,104,,T_ITEM_Info_101,,,,,,
135,11,T_ITEM_NAME_105,Icon/Item/GiftBox/Icon_GiftBox_18,Icon/Item/Gift/Icon_Energydrink,,,3,,,105,,T_ITEM_Info_101,,,,,,
136,11,T_ITEM_NAME_106,Icon/Item/GiftBox/Icon_GiftBox_21,Icon/Item/Gift/Icon_Energydrink,,,3,,,106,,T_ITEM_Info_101,,,,,,
137,11,T_ITEM_NAME_107,Icon/Item/GiftBox/Icon_GiftBox_24,Icon/Item/Gift/Icon_Energydrink,,,3,,,107,,T_ITEM_Info_101,,,,,,
138,11,T_ITEM_NAME_108,Icon/Item/GiftBox/Icon_GiftBox_27,Icon/Item/Gift/Icon_Energydrink,,,3,,,108,,T_ITEM_Info_101,,,,,,
139,11,T_ITEM_NAME_109,Icon/Item/GiftBox/Icon_GiftBox_30,Icon/Item/Gift/Icon_Energydrink,,,3,,,109,,T_ITEM_Info_101,,,,,,
140,11,T_ITEM_NAME_110,Icon/Item/GiftBox/Icon_GiftBox_33,Icon/Item/Gift/Icon_Energydrink,,,3,,,110,,T_ITEM_Info_101,,,,,,
153,11,T_ITEM_NAME_141,Icon/Item/GiftBox/Icon_GiftBox_str1_1_B1,Icon/Item/Gift/Icon_Energydrink,,,3,,,141,,T_ITEM_Info_101,,,,,,
154,11,T_ITEM_NAME_142,Icon/Item/GiftBox/Icon_GiftBox_str1_2_B1,Icon/Item/Gift/Icon_Energydrink,,,3,,,142,,T_ITEM_Info_101,,,,,,
155,11,T_ITEM_NAME_143,Icon/Item/GiftBox/Icon_GiftBox_str2_1_B1,Icon/Item/Gift/Icon_Energydrink,,,3,,,143,,T_ITEM_Info_101,,,,,,
156,11,T_ITEM_NAME_144,Icon/Item/GiftBox/Icon_GiftBox_str2_2_B1,Icon/Item/Gift/Icon_Energydrink,,,3,,,144,,T_ITEM_Info_101,,,,,,
157,11,T_ITEM_NAME_101,Icon/Item/GiftBox/Icon_GiftBox_04,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,101,,T_ITEM_Info_101,,,,,,
158,11,T_ITEM_NAME_102,Icon/Item/GiftBox/Icon_GiftBox_07,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,102,,T_ITEM_Info_101,,,,,,
159,11,T_ITEM_NAME_103,Icon/Item/GiftBox/Icon_GiftBox_12,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,103,,T_ITEM_Info_101,,,,,,
160,11,T_ITEM_NAME_104,Icon/Item/GiftBox/Icon_GiftBox_15,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,104,,T_ITEM_Info_101,,,,,,
161,11,T_ITEM_NAME_105,Icon/Item/GiftBox/Icon_GiftBox_18,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,105,,T_ITEM_Info_101,,,,,,
162,11,T_ITEM_NAME_106,Icon/Item/GiftBox/Icon_GiftBox_21,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,106,,T_ITEM_Info_101,,,,,,
163,11,T_ITEM_NAME_107,Icon/Item/GiftBox/Icon_GiftBox_24,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,107,,T_ITEM_Info_101,,,,,,
164,11,T_ITEM_NAME_108,Icon/Item/GiftBox/Icon_GiftBox_27,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,108,,T_ITEM_Info_101,,,,,,
165,11,T_ITEM_NAME_109,Icon/Item/GiftBox/Icon_GiftBox_30,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,109,,T_ITEM_Info_101,,,,,,
166,11,T_ITEM_NAME_110,Icon/Item/GiftBox/Icon_GiftBox_33,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,110,,T_ITEM_Info_101,,,,,,
167,11,T_ITEM_NAME_141,Icon/Item/GiftBox/Icon_GiftBox_str1_1_B1,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,141,,T_ITEM_Info_101,,,,,,
168,11,T_ITEM_NAME_142,Icon/Item/GiftBox/Icon_GiftBox_str1_2_B1,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,142,,T_ITEM_Info_101,,,,,,
169,11,T_ITEM_NAME_143,Icon/Item/GiftBox/Icon_GiftBox_str2_1_B1,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,143,,T_ITEM_Info_101,,,,,,
170,11,T_ITEM_NAME_144,Icon/Item/GiftBox/Icon_GiftBox_str2_2_B1,Icon/Item/Gift/Icon_Event_BottledSand,,,3,,,144,,T_ITEM_Info_101,,,,,,
171,11,T_ITEM_NAME_101,Icon/Item/GiftBox/Icon_GiftBox_04,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,101,,T_ITEM_Info_101,,,,,,
172,11,T_ITEM_NAME_102,Icon/Item/GiftBox/Icon_GiftBox_07,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,102,,T_ITEM_Info_101,,,,,,
173,11,T_ITEM_NAME_103,Icon/Item/GiftBox/Icon_GiftBox_12,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,103,,T_ITEM_Info_101,,,,,,
174,11,T_ITEM_NAME_104,Icon/Item/GiftBox/Icon_GiftBox_15,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,104,,T_ITEM_Info_101,,,,,,
175,11,T_ITEM_NAME_141,Icon/Item/GiftBox/Icon_GiftBox_str1_1_B1,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,141,,T_ITEM_Info_101,,,,,,
176,11,T_ITEM_NAME_142,Icon/Item/GiftBox/Icon_GiftBox_str1_2_B1,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,142,,T_ITEM_Info_101,,,,,,
177,11,T_ITEM_NAME_143,Icon/Item/GiftBox/Icon_GiftBox_str2_1_B1,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,143,,T_ITEM_Info_101,,,,,,
178,11,T_ITEM_NAME_144,Icon/Item/GiftBox/Icon_GiftBox_str2_2_B1,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,144,,T_ITEM_Info_101,,,,,,
179,11,T_ITEM_NAME_105,Icon/Item/GiftBox/Icon_GiftBox_18,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,105,,T_ITEM_Info_101,,,,,,
180,11,T_ITEM_NAME_106,Icon/Item/GiftBox/Icon_GiftBox_21,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,106,,T_ITEM_Info_101,,,,,,
181,11,T_ITEM_NAME_107,Icon/Item/GiftBox/Icon_GiftBox_24,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,107,,T_ITEM_Info_101,,,,,,
182,11,T_ITEM_NAME_108,Icon/Item/GiftBox/Icon_GiftBox_27,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,108,,T_ITEM_Info_101,,,,,,
183,11,T_ITEM_NAME_109,Icon/Item/GiftBox/Icon_GiftBox_30,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,109,,T_ITEM_Info_101,,,,,,
184,11,T_ITEM_NAME_110,Icon/Item/GiftBox/Icon_GiftBox_33,Icon/Item/Gift/Icon_Event_Summerdrink,,,3,,,110,,T_ITEM_Info_101,,,,,,
185,11,T_ITEM_NAME_101,Icon/Item/GiftBox/Icon_GiftBox_04,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,101,,T_ITEM_Info_101,,,,,,
186,11,T_ITEM_NAME_102,Icon/Item/GiftBox/Icon_GiftBox_07,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,102,,T_ITEM_Info_101,,,,,,
187,11,T_ITEM_NAME_103,Icon/Item/GiftBox/Icon_GiftBox_12,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,103,,T_ITEM_Info_101,,,,,,
188,11,T_ITEM_NAME_104,Icon/Item/GiftBox/Icon_GiftBox_15,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,104,,T_ITEM_Info_101,,,,,,
189,11,T_ITEM_NAME_141,Icon/Item/GiftBox/Icon_GiftBox_str1_1_B1,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,141,,T_ITEM_Info_101,,,,,,
190,11,T_ITEM_NAME_142,Icon/Item/GiftBox/Icon_GiftBox_str1_2_B1,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,142,,T_ITEM_Info_101,,,,,,
191,11,T_ITEM_NAME_143,Icon/Item/GiftBox/Icon_GiftBox_str2_1_B1,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,143,,T_ITEM_Info_101,,,,,,
192,11,T_ITEM_NAME_144,Icon/Item/GiftBox/Icon_GiftBox_str2_2_B1,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,144,,T_ITEM_Info_101,,,,,,
193,11,T_ITEM_NAME_105,Icon/Item/GiftBox/Icon_GiftBox_18,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,105,,T_ITEM_Info_101,,,,,,
194,11,T_ITEM_NAME_106,Icon/Item/GiftBox/Icon_GiftBox_21,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,106,,T_ITEM_Info_101,,,,,,
195,11,T_ITEM_NAME_107,Icon/Item/GiftBox/Icon_GiftBox_24,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,107,,T_ITEM_Info_101,,,,,,
196,11,T_ITEM_NAME_108,Icon/Item/GiftBox/Icon_GiftBox_27,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,108,,T_ITEM_Info_101,,,,,,
197,11,T_ITEM_NAME_109,Icon/Item/GiftBox/Icon_GiftBox_30,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,109,,T_ITEM_Info_101,,,,,,
198,11,T_ITEM_NAME_110,Icon/Item/GiftBox/Icon_GiftBox_33,Icon/Item/Gift/Icon_Event_Shavedice,,,3,,,110,,T_ITEM_Info_101,,,,,,
199,11,T_ITEM_NAME_101,Icon/Item/GiftBox/Icon_GiftBox_04,Icon/Item/Gift/Icon_Event_Bag,,,3,,,101,,T_ITEM_Info_101,,,,,,
200,11,T_ITEM_NAME_102,Icon/Item/GiftBox/Icon_GiftBox_07,Icon/Item/Gift/Icon_Event_Bag,,,3,,,102,,T_ITEM_Info_101,,,,,,
201,11,T_ITEM_NAME_103,Icon/Item/GiftBox/Icon_GiftBox_12,Icon/Item/Gift/Icon_Event_Bag,,,3,,,103,,T_ITEM_Info_101,,,,,,
202,11,T_ITEM_NAME_104,Icon/Item/GiftBox/Icon_GiftBox_15,Icon/Item/Gift/Icon_Event_Bag,,,3,,,104,,T_ITEM_Info_101,,,,,,
203,11,T_ITEM_NAME_141,Icon/Item/GiftBox/Icon_GiftBox_str1_1_B1,Icon/Item/Gift/Icon_Event_Bag,,,3,,,141,,T_ITEM_Info_101,,,,,,
204,11,T_ITEM_NAME_142,Icon/Item/GiftBox/Icon_GiftBox_str1_2_B1,Icon/Item/Gift/Icon_Event_Bag,,,3,,,142,,T_ITEM_Info_101,,,,,,
205,11,T_ITEM_NAME_143,Icon/Item/GiftBox/Icon_GiftBox_str2_1_B1,Icon/Item/Gift/Icon_Event_Bag,,,3,,,143,,T_ITEM_Info_101,,,,,,
206,11,T_ITEM_NAME_144,Icon/Item/GiftBox/Icon_GiftBox_str2_2_B1,Icon/Item/Gift/Icon_Event_Bag,,,3,,,144,,T_ITEM_Info_101,,,,,,
207,11,T_ITEM_NAME_105,Icon/Item/GiftBox/Icon_GiftBox_18,Icon/Item/Gift/Icon_Event_Bag,,,3,,,105,,T_ITEM_Info_101,,,,,,
208,11,T_ITEM_NAME_106,Icon/Item/GiftBox/Icon_GiftBox_21,Icon/Item/Gift/Icon_Event_Bag,,,3,,,106,,T_ITEM_Info_101,,,,,,
209,11,T_ITEM_NAME_107,Icon/Item/GiftBox/Icon_GiftBox_24,Icon/Item/Gift/Icon_Event_Bag,,,3,,,107,,T_ITEM_Info_101,,,,,,
210,11,T_ITEM_NAME_108,Icon/Item/GiftBox/Icon_GiftBox_27,Icon/Item/Gift/Icon_Event_Bag,,,3,,,108,,T_ITEM_Info_101,,,,,,
211,11,T_ITEM_NAME_109,Icon/Item/GiftBox/Icon_GiftBox_30,Icon/Item/Gift/Icon_Event_Bag,,,3,,,109,,T_ITEM_Info_101,,,,,,
