RuneID,Level,CostCount,CostMoney,AttributeID,AttributeGroupRate,SpecialAttributeID,SpecialAttributeTIP
150004,8,10,10,110017,1,,
150004,9,10,10,110018,1,,
150004,10,10,10,110019,1,130011,待定
150005,,10,10,,,,
150005,1,10,10,110010,1,130012,待定
150005,2,10,10,110011,1,,
150005,3,10,10,110012,1,,
150005,4,10,10,110013,1,,
150005,5,10,10,110014,1,130013,待定
150005,6,10,10,110015,1,,
150005,7,10,10,110016,1,,
150005,8,10,10,110017,1,,
150005,9,10,10,110018,1,,
150005,10,10,10,110019,1,130014,待定
150006,,10,10,,,,
150006,1,10,10,110010,1,130015,待定
150006,2,10,10,110011,1,,
150006,3,10,10,110012,1,,
150006,4,10,10,110013,1,,
150006,5,10,10,110014,1,130016,待定
150006,6,10,10,110015,1,,
150006,7,10,10,110016,1,,
150006,8,10,10,110017,1,,
150006,9,10,10,110018,1,,
150006,10,10,10,110019,1,130017,待定
150007,,10,10,,,,
150007,1,10,10,110010,1,130018,待定
150007,2,10,10,110011,1,,
150007,3,10,10,110012,1,,
150007,4,10,10,110013,1,,
150007,5,10,10,110014,1,130019,待定
150007,6,10,10,110015,1,,
150007,7,10,10,110016,1,,
150007,8,10,10,110017,1,,
150007,9,10,10,110018,1,,
150007,10,10,10,110019,1,130020,待定
150008,,10,10,,,,
150008,1,10,10,110010,1,130021,待定
150008,2,10,10,110011,1,,
150008,3,10,10,110012,1,,
150008,4,10,10,110013,1,,
150008,5,10,10,110014,1,130022,待定
150008,6,10,10,110015,1,,
150008,7,10,10,110016,1,,
150008,8,10,10,110017,1,,
150008,9,10,10,110018,1,,
150008,10,10,10,110019,1,130023,待定
150009,,10,10,,,,
150009,1,10,10,110010,1,130024,待定
150009,2,10,10,110011,1,,
150009,3,10,10,110012,1,,
150009,4,10,10,110013,1,,
150009,5,10,10,110014,1,130025,待定
150009,6,10,10,110015,1,,
150009,7,10,10,110016,1,,
150009,8,10,10,110017,1,,
150009,9,10,10,110018,1,,
150009,10,10,10,110019,1,130026,待定
150010,,10,10,,,,
150010,1,10,10,110010,1,130027,待定
150010,2,10,10,110011,1,,
150010,3,10,10,110012,1,,
150010,4,10,10,110013,1,,
150010,5,10,10,110014,1,130028,待定
150010,6,10,10,110015,1,,
150010,7,10,10,110016,1,,
150010,8,10,10,110017,1,,
150010,9,10,10,110018,1,,
150010,10,10,10,110019,1,130029,待定
150011,,10,10,,,,
150011,1,10,10,110010,1,130030,待定
150011,2,10,10,110011,1,,
150011,3,10,10,110012,1,,
150011,4,10,10,110013,1,,
150011,5,10,10,110014,1,130031,待定
150011,6,10,10,110015,1,,
150011,7,10,10,110016,1,,
150011,8,10,10,110017,1,,
150011,9,10,10,110018,1,,
150011,10,10,10,110019,1,130032,待定
150012,,10,10,,,,
150012,1,10,10,110010,1,130033,待定
150012,2,10,10,110011,1,,
150012,3,10,10,110012,1,,
150012,4,10,10,110013,1,,
150012,5,10,10,110014,1,130034,待定
150012,6,10,10,110015,1,,
150012,7,10,10,110016,1,,
150012,8,10,10,110017,1,,
150012,9,10,10,110018,1,,
150012,10,10,10,110019,1,130035,待定
150013,,10,10,,,,
150013,1,10,10,110010,1,130036,待定
150013,2,10,10,110011,1,,
150013,3,10,10,110012,1,,
150013,4,10,10,110013,1,,
150013,5,10,10,110014,1,130037,待定
150013,6,10,10,110015,1,,
150013,7,10,10,110016,1,,
150013,8,10,10,110017,1,,
150013,9,10,10,110018,1,,
150013,10,10,10,110019,1,130038,待定
150014,,10,10,,,,
150014,1,10,10,110010,1,130039,待定
150014,2,10,10,110011,1,,
150014,3,10,10,110012,1,,
150014,4,10,10,110013,1,,
150014,5,10,10,110014,1,130040,待定
150014,6,10,10,110015,1,,
150014,7,10,10,110016,1,,
150014,8,10,10,110017,1,,
150014,9,10,10,110018,1,,
150014,10,10,10,110019,1,130041,待定
150015,,10,10,,,,
150015,1,10,10,110010,1,130042,待定
150015,2,10,10,110011,1,,
150015,3,10,10,110012,1,,
150015,4,10,10,110013,1,,
150015,5,10,10,110014,1,130043,待定
150015,6,10,10,110015,1,,
150015,7,10,10,110016,1,,
150015,8,10,10,110017,1,,
150015,9,10,10,110018,1,,
150015,10,10,10,110019,1,130044,待定
150016,,10,10,,,,
150016,1,10,10,110010,1,130045,待定
150016,2,10,10,110011,1,,
150016,3,10,10,110012,1,,
150016,4,10,10,110013,1,,
150016,5,10,10,110014,1,130046,待定
150016,6,10,10,110015,1,,
150016,7,10,10,110016,1,,
150016,8,10,10,110017,1,,
150016,9,10,10,110018,1,,
150016,10,10,10,110019,1,130047,待定
